Press Release Date,Press Release Title,Link to PDF File
6/11/12,New York City Comptroller and New York City Law Department Announce Major Shareholder Derivative Suit Against Wal-Mart  (released in conjunction with the NYC Comptroller's Office) (in PDF),http://www.nyc.gov/html/law/downloads/pdf/PR12-06-068.pdf
5/4/12,City Nets Record Settlement from Sign Company and Building Owner Who Repeatedly Installed Illegal Wall Signs on Landmarked Building  (in PDF),http://www.nyc.gov/html/law/downloads/pdf/598%20Broadway.pdf
5/4/12,Second Circuit Upholds Historic Labor Agreement Between the City and Association of Unions  (in PDF),http://www.nyc.gov/html/law/downloads/pdf/PLA_Win_Appeal.pdf
3/28/12,Corporation Counsel Michael A. Cardozo Awards Inaugural Law Department Clerkship to Candice Cho  (in PDF),http://www.nyc.gov/html/law/downloads/pdf/Clerkship_Cho.pdf
3/13/12,"A.G. Schneiderman and NYC Corporation Counsel Cardozo Sue Two ""Roll-Your-Own"" Cigarette Businesses for Evading Taxes  (released in conjunction with the NYS Attorney General's Office) (in PDF)",http://www.nyc.gov/html/law/downloads/pdf/roll_your_own_cigarette_lawsuit.pdf
2/6/12,"Mayor Bloomberg Announces Suit Against Two More ""Roll-Your-Own"" Cigarette Businesses Evading Taxes -- And Shutdown of Another  (in PDF)",http://www.nyc.gov/html/law/downloads/pdf/pr020612.pdf
12/29/11,City Wins Latest Challenge to Planned Marine Waste Transfer Station at East 91st Street and the East River  (in PDF),http://www.nyc.gov/html/law/downloads/pdf/East%2091st%20Street%20Marine%20Waste%20Transfer%20Station.pdf
12/21/11,"Appeals Court Rules in City's Favor in Major Campaign Finance Reform Case; Reaffirms the Importance of Avoiding Even the Appearance of ""Pay-to-Play"" Politics  (in PDF)",http://www.nyc.gov/html/law/downloads/pdf/3278132_1.pdf
12/20/11,"New York City Law Department Announces Consent Decree in Lawsuit Against ""Roll-Your-Own"" Cigarette Businesses  (in PDF)",http://www.nyc.gov/html/law/downloads/pdf/Island%20Smokes%20Consent%20Decree.pdf
12/14/11,Mayor Michael R. Bloomberg to Honor Law Department Staff at 30th Annual Awards Ceremony  (in PDF),http://www.nyc.gov/html/law/downloads/pdf/3266192_1.pdf
11/29/11,Owners of Three Upper West Side SRO Buildings Agree to Restore Buildings' Use as Permanent Residences  (in PDF),http://www.nyc.gov/html/law/downloads/pdf/Continental%20Settlement.pdf
11/23/11,"Federal Bar Council Honors Corporation Counsel Michael A. Cardozo with Prestigious Emory Buckner Medal; in Award’s Keynote Speech, Cardozo Offers Ideas on How to Provide Greater Attorney Training and Increase the Number of Public Sector Lawyers  (released in conjunction with the Federal Bar Council - their release available here. Find the related speech here. )  (in PDF)",http://www.nyc.gov/html/law/downloads/pdf/3242974_1.pdf
11/21/11,Law Department Announces Plans to Launch First -Ever Corporation Counsel Clerkship  (in PDF),http://www.nyc.gov/html/law/downloads/pdf/3223023_2.pdf
11/21/11,"Mayor Bloomberg Announces Suit Against ""Roll-Your-Own"" Cigarette Businesses Evading Taxes   (released in conjunction with the Office of the Mayor) (in PDF) ",http://www.nyc.gov/html/law/downloads/pdf/Roll_Your_Own_Cigarettes.pdf
11/18/11,Law Department Attorney Receives Prestigious Government Service Award from the American Bar Association  (in PDF) ,http://www.nyc.gov/html/law/downloads/pdf/Gabe_Taussig_ABA_Government_Service_Award.pdf
11/17/11,Joint Statement From Law Department Corporation Counsel Michael A. Cardozo and Health Commissioner Dr. Thomas Farley on the District Court Ruling in Favor of Restrictions on the Sale of Flavored Tobacco Products  (in PDF),http://www.nyc.gov/html/law/downloads/pdf/Flavored_Tobacco_Win.pdf
11/2/11,City of New York and Sutton Place South Corporation Announce Historic Agreement to Create Public Park  (released in conjunction with the Department of Parks & Recreation and Bingham McCutchen LLP / Sutton Place South Corporation)  (in PDF),http://www.nycgovparks.org/sub_newsroom/press_releases/press_releases.php?id=21022
10/28/11,Corporation Counsel Michael A. Cardozo Urges Medical Malpractice Reform Before Governor's Medicaid Task Force Panel  (in PDF),http://www.nyc.gov/html/law/downloads/pdf/3212644_1.pdf
9/22/11,"In Speech to Citizens Budget Commission, New York City Corporation Counsel Michael A. Cardozo Addresses Key New York City Legal Issues Involving Billions of Dollars and Much-Needed Reform Initiatives  (in PDF)  Full text of speech and accompanying charts linked in release. ",http://www.nyc.gov/html/law/downloads/pdf/3167281_1.pdf
8/16/11,City Prevails in Prospect Park West Bike Case; Decision Preserves Bike Path Requested by the Community  (in PDF),http://www.nyc.gov/html/law/downloads/pdf/3124808_1.pdf
8/9/11,Historic Labor Agreement Between the City and Association of Unions Preserved by Federal Court  (in PDF),http://www.nyc.gov/html/law/downloads/pdf/Project%20Labor%20Agreement%20Win.pdf
7/28/11,Appeals Court Unanimously Dismisses Challenge to Class Size Expenditures  (in PDF),http://www.nyc.gov/html/law/downloads/pdf/3103063_1.pdf
7/20/11,"Corporation Counsel Michael A. Cardozo Testifies Before Special Commission on Judicial Compensation, Urges Salary Increases for New York State Judges  (in PDF) ",http://www.nyc.gov/html/law/downloads/pdf/3093088_1.pdf
7/13/11,"Appeals Court Upholds Principle that City Oversees Layoffs, Not Judiciary  (in PDF)",http://www.nyc.gov/html/law/downloads/pdf/3078087_1.pdf
4/27/11,"NYC Law Department Hosts Ninth Annual ""Take Our Sons & Daughters to Work Day""  (in PDF)",http://www.nyc.gov/html/law/downloads/pdf/Take%20Our%20Daughters%20&%20Sons%20to%20Work%20Day%202011.pdf
4/21/11,Mayor Bloomberg Announces Racketeering Suit Against Out-of-State Internet Ring and City Bootleggers for Illegal Cigarette Sales  (released in conjunction with the Office of the Mayor and the Department of Finance) (in PDF),http://www.nyc.gov/portal/site/nycgov/menuitem.c0935b9a57bb4ef3daf2f1c701c789a0/index.jsp?pageID=mayor_press_release&catID=1194&doc_name=http%3A%2F%2Fwww.nyc.gov%2Fhtml%2Fom%2Fhtml%2F2011a%2Fpr130-11.html&cc=unused1978&rc=1194&ndi=1
3/25/11,TLC's Ability to Immediately Suspend Licenses of Taxi Drivers Arrested on Criminal Charges Upheld by Federal Appeals Court  (in PDF),http://www.nyc.gov/html/law/downloads/pdf/TLC%202nd%20Circuit%20Decision.pdf
2/25/11,"New York Pension Funds Settle Countrywide Financial Corporation Litigation for $624 Million  (released in conjunction with the Office of the City Comptroller, the Office of the State Comptroller, and Labaton Sucharow, LLP.) (in PDF)",http://www.nyc.gov/html/law/downloads/pdf/Countrywide.pdf
12/21/10,"Mayor Michael Bloomberg Proposes Overhaul of the New York State Juvenile Justice System to Improve Public Safety, Break the Cycle of Crime and Save Taxpayers Millions  (released in conjunction with the Office of the Mayor, the Administration for Children's Services, the Department of Probation and the National Action Network)",http://www.nyc.gov/portal/site/nycgov/menuitem.c0935b9a57bb4ef3daf2f1c701c789a0/index.jsp?pageID=mayor_press_release&catID=1194&doc_name=http%3A%2F%2Fwww.nyc.gov%2Fhtml%2Fom%2Fhtml%2F2010b%2Fpr520-10.html&cc=unused1978&rc=1194&ndi=1
12/17/10,Mayor Michael Bloomberg Honors Law Department Staff at 29th Annual Awards Ceremony  (in PDF),http://www.nyc.gov/html/law/downloads/pdf/2010%20Law%20Department%20Awards%20Ceremony.pdf
11/19/10,Corporation Counsel Names Susan Amron as the New Chief of the Environmental Law Division ,http://www.nyc.gov/html/law/downloads/pdf/Susan_Amron_Environmental_Law_Chief.pdf
10/6/10,New York City Employees' Retirement System Settles Securities Action Aganst Apple  (Released in conjunction with the Office of the New York City Comptroller),http://www.nyc.gov/html/law/downloads/pdf/2792132_1.pdf
10/1/10,City's First Decision Involving Republican National Convention Cases Results in a Win ,http://www.nyc.gov/html/law/downloads/pdf/2787342_1.pdf
9/23/10,Law Department Attorney Wins Prestigious Professionalism Award from the American Inns of Court ,http://www.nyc.gov/html/law/downloads/pdf/9-23-10%20Alan%20Krams%20Award.pdf
8/23/10,Mayor Bloomberg & Corporation Counsel Cardozo Announce City's Latest Win in City's Case Targeting Illegal Reservation Cigarette Sales  (released in conjunction with the Office of the Mayor),http://www.nyc.gov/html/law/downloads/pdf/364-10%20Cigarettes%20Win.pdf
7/17/10,Federal Court Upholds City's New Rule Regulating the Vending of Art in Parks ,http://www.nyc.gov/html/law/downloads/pdf/Lederman_United_Artists_Win.pdf
6/23/10,Judge Approves Amended Settlement in WTC Litigation  (released by all parties in the litigation),http://www.nyc.gov/html/law/downloads/pdf/WTC%20Judge%20Approves%20Amended%20Settlement.pdf
6/23/10,Hearing Held on Proposed Settlement in WTC Litigation  (released by all parties in the litigation),http://www.nyc.gov/html/law/downloads/pdf/WTC%20Hearing%20Held%20June%2023.pdf
6/22/10,City to Extend Disabled Parking Program to Non-City Residents ,http://www.nyc.gov/html/law/downloads/pdf/Disabled%20Driver%20Parking%20Permit%20Settlement.pdf
6/10/10,WTC Plaintiffs to Receive Approximately $125 Million in Additional Value Under Amended Settlement Providing Total Compensation of up to $712.5 Million  (released by all parties in the litigation),http://www.nyc.gov/html/law/downloads/pdf/WTC_Settlement_Release.pdf
6/9/10,Federal Appeals Court Upholds City’s Right to Protect Confidential Sources in RNC Case ,http://www.nyc.gov/html/law/downloads/pdf/RNC_Mandamus_Win.pdf
5/12/10,Corporation Counsel Names James McSpiritt as the New Chief of the Economic Development Division ,http://www.nyc.gov/html/law/downloads/pdf/Jim_McSpiritt.pdf
5/11/10,Lawsuit Challenging City's Rezoning of Coney Island is Dismissed ,http://www.nyc.gov/html/law/downloads/pdf/Coney_Island_Win.pdf
5/7/10,"New York Pension Funds Settle Countrywide Financial Corporation Litigation for $624 Million  (released in conjunction with the Office of the New York State Comptroller, the Office of the New York City Comptroller, and Labaton Sucharow, LLP) (in PDF)",http://www.nyc.gov/html/law/downloads/pdf/Countrywide%20Settlement.pdf
4/30/10,State's Highest Court Unanimously (7-0) Reverses Lower Court; Finds That City Can Apply 2007 Statute to Bar Engineer from Filing Any Documents with Buildings Department Based on False Filings He Made Before Effective Date of Statute ,http://www.nyc.gov/html/law/downloads/pdf/2634211_1.pdf
4/26/10,Second Circuit Court of Appeals Affirms Two Lower Court Decisions Awarding City $9.4 Million Against Amtrak ,http://www.nyc.gov/html/law/downloads/pdf/2628091_1.pdf
4/22/10,Corporation Counsel Names Angela Albertus as the New Chief of the Family Court Division .,http://www.nyc.gov/html/law/downloads/pdf/Family%20Court%20Division%20Chief%20Named.pdf
4/21/10,"New York City Law Department to Host Eighth Annual ""Take Our Daughters & Sons to Work"" Day ",http://www.nyc.gov/html/law/downloads/pdf/Daughters%20Sons%20to%20Work.pdf
4/16/10,"City Wins Another Longstanding Case Involving Adult Use Zoning Laws, This Time Affecting Topless Bars and Strip Clubs (in PDF)",http://www.nyc.gov/html/law/downloads/pdf/2ndAdultUseZoningWin.pdf
3/30/10,City Wins Longstanding Case Involving Adult Use Zoning Laws ,http://www.nyc.gov/html/law/downloads/pdf/Adult_Use_Zoning_Win.pdf
3/29/10,Mayor Bloomberg Announces New NYC Service Initiative to Provide Free Legal Services to Homeowners in Danger of Foreclosure  (released in conjunction with the Office of the Mayor),http://www.nyc.gov/html/law/downloads/pdf/Foreclosure_Legal_Assistance.pdf
3/24/10,Court Rejects Challenge to City's Newly Adopted Restrictions on the Sale of Flavored Tobacco Products  (in PDF),http://www.nyc.gov/html/law/downloads/pdf/pr032410.pdf
2010,World Trade Center Insurance Fund Announces Settlement of 9/11 Rescue and Debris Removal Claims (Released by the Captive in Conjunction with the City and its Contractors),http://www.nyc.gov/html/law/downloads/pdf/1WTC%20Captive%20release.pdf
3/10/10,City Wins Tavern on the Green Trademark Case ,http://www.nyc.gov/html/law/downloads/pdf/Tavern_on_the_Green_Win.pdf
3/2/10,New York City Law Department Announces Publication of New Rules for Press Passes that Incorporate Online Media ,http://www.nyc.gov/html/law/downloads/pdf/Press_Pass_Release.pdf
2/16/10,Court Finds City's Policing of Large Bike Groups Constitutional ,http://www.nyc.gov/html/law/downloads/pdf/Critical%20Mass%20Win%20SDNY.pdf
2/12/10,City Prevails in Two Significant Medicaid Cases: Wins Continue City's Aggressive Efforts to Recover Monies Owed to It ,http://www.nyc.gov/html/law/downloads/pdf/Medicaid.pdf
2/3/10,"In Significant and Unanimous Win, Appellate Court Upholds City's Regulation of Billboards ",http://www.nyc.gov/html/law/downloads/pdf/2555654.pdf
1/19/10,City and EPA Reach Groundbreaking Agreement on Monitoring Possible PCB Caulk Exposure in City Schools ,http://www.nyc.gov/html/law/downloads/pdf/PCB%20Agreement%20with%20EPA.pdf
1/12/10,Mayor Bloomberg Announces Lawsuit to Collect up to $16 Million in Unpaid Real Estate Taxes from Nigerian Government  (released in conjunction with the Office of the Mayor),http://www.nyc.gov/html/law/downloads/pdf/13-09%20(Nigeria%20Lawsuit).pdf
1/6/10,"New York City Corporation Counsel Michael A. Cardozo and Philadelphia City Solicitor Shelley R. Smith Come Together in the Name of Public Service to Honor 2009 Yankees-Phillies World Series ""Friendly Wager"" ",http://www.nyc.gov/html/law/downloads/pdf/2526126.pdf
12/28/09,Manhattan Judge Dismisses Suit Challenging the Planned Marine Waste Transfer Station at East 91st Street and the East River  (in PDF),http://www.nyc.gov/html/law/downloads/pdf/waste_transfer_station.pdf
12/17/09,"State's Highest Court Rules 6-0, Upholding the Police Commissioner's Authority to Choose the Official Method for Drug Testing ",http://www.nyc.gov/html/law/downloads/pdf/2512953.pdf
12/11/09,Federal Court Rejects Effort to Enjoin Mandatory Breathalyzer Tests for Police Officers Involved in Shootings ,http://www.nyc.gov/html/law/downloads/pdf/2507945.pdf
12/10/09,Mayor Michael Bloomberg Honors Law Department Staff at 28th Annual Awards Ceremony ,http://www.nyc.gov/html/law/downloads/pdf/2009_Awards_Ceremony.pdf
12/4/09,Corporation Counsel Michael A. Cardozo Honored at 2009 Cyrus R. Vance Tribute  (released in conjunction with The Fund for Modern Courts),http://www.nyc.gov/html/law/downloads/pdf/1MediaRelease%20Final.pdf
12/1/09,Mayor Michael R. Bloomberg and Department of Design and Construction Sue Comptroller William Thompson to Compel Registration of Brooklyn House of Detention Design Contract ,http://www.nyc.gov/html/law/downloads/pdf/2497847_1.pdf
11/25/09,Federal District Court Dismisses Lawsuit Challenging the Lack of Development in Willets Point ,http://www.nyc.gov/html/law/downloads/pdf/Willets%20Point%20Win%20-%20Eastern%20District.pdf
11/20/09,State Court Rejects Challenge to Mayor's Green Taxi Incentives Program ,http://www.nyc.gov/html/law/downloads/pdf/2490745_1.pdf
11/19/09,Jury Sides with City in Excessive Force Lawsuit Filed by Man Arrested Over Suspected Bomb Device ,http://www.nyc.gov/html/law/downloads/pdf/Hoax%20Bomb%20Arrest%20Win.pdf
11/17/09,City's Prohibition of New Parades Along Fifth Avenue Found Consistent with the First Amendment ,http://www.nyc.gov/html/law/downloads/pdf/Fifth_Ave_Parade_Win_2nd_Circuit.pdf
11/10/09,Statements of Mayor Michael Bloomberg and Corporation Counsel Cardozo on Passage of Bill by State Legislature to Present Double Dipping of Public Funds,http://www.nyc.gov/portal/site/nycgov/menuitem.c0935b9a57bb4ef3daf2f1c701c789a0/index.jsp?pageID=mayor_press_release&catID=1194&doc_name=http%3A%2F%2Fwww.nyc.gov%2Fhtml%2Fom%2Fhtml%2F2009b%2Fpr489-09.html&cc=unused1978&rc=1194&ndi=1
11/4/09,Man Who Claims That He Was On The S.I. Ferry During The Tragic 2003 Crash - And Whom The City Alleges Wasn't - Loses Lawsuit; This Victory is an Example of How The City's Law Department and Department of Investigation Aggressively Pursue Fraudulent Cases ,http://www.nyc.gov/html/law/downloads/pdf/2476258_1.pdf
10/28/09,"Inspired By Their Respective Mayors, New York City Corporation Counsel Michael A. Cardozo and Philadelphia City Solicitor Shelley R. Smith Make Friendly Wager on the 2009 Yankees-Phillies World Series  (in PDF)",http://www.nyc.gov/html/law/downloads/pdf/2470889_1.pdf
