Borough,Facility Name,Street Address,City,State,Zip Code,Telephone Number,Timings,Comments
Brooklyn,Family Justice Center,350 Jay Street,Brooklyn,NY,,718-250-5111,M-F - 9 AM - 5 PM,Walk-in Services are available
Bronx,Family Justice Center,198 E. 161st Street,Bronx,NY,,718-508-1222,M-F - 9 AM - 5 PM,Walk-in Services are available
Queens,Family Justice Center,126-02 82nd Avenue,Queens,NY,,718-575-4500,M-F - 9 AM - 5 PM,Walk-in Services are available
