Complaint Number,Status,Date Entered,House Number,House Street,BIN,Community Board,Special District,Complaint Category,Unit,Disposition Date,Disposition Code,Inspection Date,DOBRunDate
4502537,CLOSED,12/16/2011,35-15       , 190 STREET                     ,4119966,411,   ,05,QNS.,02/26/2013,H1,02/26/2013,2013-02-27 00:00:00
4541990,ACTIVE,02/26/2013,43-59       ,147 STREET                      ,4121942,407,   ,05,QNS.,,  ,,2013-02-27 00:00:00
4527525,ACTIVE,09/14/2012,166-59      ,24 AVENUE                       ,4129375,407,   ,71,QNS.,02/26/2013,C1,02/25/2013,2013-02-27 00:00:00
4509554,CLOSED,03/13/2012,71-69       ,169 STREET                      ,4150423,408,   ,05,QNS.,02/26/2013,I1,02/26/2013,2013-02-27 00:00:00
4541966,ACTIVE,02/26/2013,233-22      ,38 DRIVE                        ,4168610,411,   ,15,QNS.,,  ,,2013-02-27 00:00:00
4541158,CLOSED,02/15/2013,88-10       ,78 STREET                       ,4183133,409,   ,59,ELCTR,02/26/2013,C2,02/25/2013,2013-02-27 00:00:00
4512397,ACTIVE,04/11/2012,89-18       ,98 STREET                       ,4185895,409,   ,05,QNS.,02/26/2013,C1,02/25/2013,2013-02-27 00:00:00
4530539,CLOSED,10/17/2012,123-09      ,JAMAICA AVENUE                  ,4193818,409,   ,45,QNS.,02/26/2013,C2,02/19/2013,2013-02-27 00:00:00
4528849,CLOSED,09/28/2012,86-04       ,124 STREET                      ,4193835,409,   ,45,QNS.,02/26/2013,C4,02/19/2013,2013-02-27 00:00:00
4541877,ACTIVE,02/26/2013,9101        ,120 STREET                      ,4196722,409,   ,74,QNS.,,  ,,2013-02-27 00:00:00
4541924,ACTIVE,02/26/2013,127-11      ,102 AVENUE                      ,4200908,409,   ,05,QNS.,,  ,,2013-02-27 00:00:00
4520360,CLOSED,07/03/2012,91-46       ,HOLLIS COURT BOULEVARD          ,4225313,413,   ,09,QNS.,02/26/2013,L2,02/26/2013,2013-02-27 00:00:00
4541880,ACTIVE,02/26/2013,115-07      ,LEFFERTS BOULEVARD              ,4251987,410,   ,37,ERT  ,,  ,,2013-02-27 00:00:00
4541509,ACTIVE,02/21/2013,141         ,BEACH 130 STREET                ,4306155,414,   ,59,ELCTR,02/26/2013,C1,02/25/2013,2013-02-27 00:00:00
5100162,CLOSED,10/02/2012,165         ,CAMPBELL AVENUE                 ,5004872,501,   ,45,ST.IS,02/26/2013,C2,02/25/2013,2013-02-27 00:00:00
5100210,CLOSED,10/04/2012,1418        ,FOREST AVENUE                   ,5011195,501,   ,83,ST.IS,02/26/2013,I2,02/25/2013,2013-02-27 00:00:00
3437233,ACTIVE,02/26/2013,171         ,KENT AVENUE                     ,3396768,301,   ,4B,SEP  ,,  ,,2013-02-27 00:00:00
4538088,CLOSED,01/11/2013,132-11      ,41 AVENUE                       ,4114166,407,   ,12,BEST ,02/26/2013,L2,02/25/2013,2013-02-27 00:00:00
4541894,ACTIVE,02/26/2013,44-01       ,KISSENA BOULEVARD               ,4117221,407,   ,4B,SEP  ,,  ,,2013-02-27 00:00:00
3310448,CLOSED,07/01/2009,1227        ,  47 STREET                     ,3396984,312,   ,14,EXCAV,02/26/2013,L3,02/21/2013,2013-02-27 00:00:00
4530765,ACTIVE,10/19/2012,15-57       ,BELL BOULEVARD                  ,4132509,407,   ,05,QNS.,02/26/2013,C1,02/25/2013,2013-02-27 00:00:00
4526874,ACTIVE,09/09/2012,15-57       ,215 STREET                      ,4132557,407,   ,45,QNS.,02/26/2013,C1,02/25/2013,2013-02-27 00:00:00
4541954,ACTIVE,02/26/2013,130-19      ,57 ROAD                         ,4138910,407,   ,55,QNS.,,  ,,2013-02-27 00:00:00
5102772,CLOSED,02/24/2013,4521        ,ARTHUR KILL ROAD                ,5158310,503,   ,67,C & D,02/26/2013,F6,02/25/2013,2013-02-27 00:00:00
4520497,CLOSED,07/05/2012,76-80       ,172 STREET                      ,4151688,408,   ,05,QNS.,02/26/2013,H1,02/26/2013,2013-02-27 00:00:00
4541892,ACTIVE,02/26/2013,8835        ,241 STREET                      ,4167328,413,   ,45,QNS.,,  ,,2013-02-27 00:00:00
4541986,ACTIVE,02/26/2013,257-14      ,HILLSIDE AVENUE                 ,4179773,413,   ,45,QNS.,,  ,,2013-02-27 00:00:00
4510730,ACTIVE,03/25/2012,91-55       ,85 STREET                       ,4186014,409,   ,05,QNS.,02/26/2013,C3,02/25/2013,2013-02-27 00:00:00
4541422,CLOSED,02/20/2013,187-14      ,QUENCER ROAD                    ,4221346,412,   ,85,QNS.,02/26/2013,K1,02/26/2013,2013-02-27 00:00:00
4541934,ACTIVE,02/26/2013,103-17      ,SPRINGFIELD BOULEVARD           ,4240510,413,   ,37,ERT  ,,  ,,2013-02-27 00:00:00
4541958,ACTIVE,02/26/2013,114-40      ,130 STREET                      ,4251673,410,   ,74,QNS.,,  ,,2013-02-27 00:00:00
4530073,ACTIVE,10/12/2012,11449       ,128 STREET                      ,4251686,410,   ,45,QNS.,02/26/2013,C1,02/20/2013,2013-02-27 00:00:00
4530072,ACTIVE,10/12/2012,11445       ,128 STREET                      ,4251687,410,   ,45,QNS.,02/26/2013,C1,02/20/2013,2013-02-27 00:00:00
4530071,ACTIVE,10/12/2012,11443       ,128 STREET                      ,4251688,410,   ,45,QNS.,02/26/2013,C3,02/20/2013,2013-02-27 00:00:00
4531683,ACTIVE,10/28/2012,114-39      ,128 STREET                      ,4251690,410,   ,45,QNS.,02/26/2013,C1,02/20/2013,2013-02-27 00:00:00
4530069,ACTIVE,10/12/2012,114-33      ,128 STREET                      ,4251692,410,   ,45,QNS.,02/26/2013,C1,02/20/2013,2013-02-27 00:00:00
4541949,ACTIVE,02/26/2013,118-37      ,204 STREET                      ,4272357,412,   ,45,QNS.,,  ,,2013-02-27 00:00:00
4541948,ACTIVE,02/26/2013,118-29      ,204 STREET                      ,4272359,412,   ,45,QNS.,,  ,,2013-02-27 00:00:00
5100229,CLOSED,10/04/2012,368         ,MAINE AVENUE                    ,5011642,501,   ,05,ST.IS,02/26/2013,I2,02/25/2013,2013-02-27 00:00:00
5102807,ACTIVE,02/26/2013,202         ,SHERADEN AVENUE                 ,5020145,502,   ,45,ST.IS,,  ,,2013-02-27 00:00:00
4541896,ACTIVE,02/26/2013,61-01       ,JUNCTION BOULEVARD              ,4540407,406,   ,4B,SEP  ,,  ,,2013-02-27 00:00:00
4510584,CLOSED,03/23/2012,165-19      ,81 AVENUE                       ,4152059,408,   ,15,QNS.,02/26/2013,K1,02/26/2013,2013-02-27 00:00:00
4541962,ACTIVE,02/26/2013,75-46       ,193 STREET                      ,4155153,408,   ,76,CITY ,02/26/2013,E1,02/26/2013,2013-02-27 00:00:00
4541960,ACTIVE,02/26/2013,75-46       ,193 STREET                      ,4155153,408,   ,83,QNS.,,  ,,2013-02-27 00:00:00
4541983,ACTIVE,02/26/2013,75-50       ,193 STREET                      ,4155154,408,   ,83,QNS.,,  ,,2013-02-27 00:00:00
4541870,CLOSED,02/26/2013,252-12      ,NORTHERN BOULEVARD              ,4170915,411,   ,49,SPOPS,02/26/2013,B2,02/21/2013,2013-02-27 00:00:00
4541982,ACTIVE,02/26/2013,77-23       ,252 STREET                      ,4173974,413,   ,45,QNS.,,  ,,2013-02-27 00:00:00
4541926,ACTIVE,02/26/2013,97-05       ,123 STREET                      ,4199837,409,   ,45,QNS.,,  ,,2013-02-27 00:00:00
4541918,ACTIVE,02/26/2013,113-08      ,107 AVENUE                      ,4203437,410,   ,4B,SEP  ,,  ,,2013-02-27 00:00:00
4540147,CLOSED,02/04/2013,8918        ,184 STREET                      ,4212544,412,   ,45,QNS.,02/26/2013,H1,02/14/2013,2013-02-27 00:00:00
4538199,CLOSED,01/12/2013,8918        ,184 STREET                      ,4212544,412,   ,45,QNS.,02/26/2013,H1,02/14/2013,2013-02-27 00:00:00
4530530,CLOSED,10/17/2012,89-18       ,184 STREET                      ,4212544,412,   ,45,QNS.,02/26/2013,I2,02/14/2013,2013-02-27 00:00:00
4541921,ACTIVE,02/26/2013,168-38      ,JAMAICA AVENUE                  ,4217424,412,   ,4B,SEP  ,,  ,,2013-02-27 00:00:00
4541920,ACTIVE,02/26/2013,168-36      ,JAMAICA AVENUE                  ,4217425,412,   ,4B,SEP  ,,  ,,2013-02-27 00:00:00
4541985,ACTIVE,02/26/2013,130-25      ,148 STREET                      ,4262938,412,   ,45,QNS.,,  ,,2013-02-27 00:00:00
3437255,ACTIVE,02/26/2013,379         ,WASHINGTON AVENUE               ,3341956,302,   ,4B,SEP  ,,  ,,2013-02-27 00:00:00
5100281,CLOSED,10/09/2012,12          ,WEST STREET                     ,5005564,501,   ,45,ST.IS,02/26/2013,I2,02/25/2013,2013-02-27 00:00:00
5101809,ACTIVE,12/31/2012,17          ,KINGSBRIDGE AVENUE              ,5031903,502,   ,05,ST.IS,02/26/2013,C1,02/26/2013,2013-02-27 00:00:00
5101778,ACTIVE,12/31/2012,83          ,ELSON STREET                    ,5031936,502,   ,05,ST.IS,02/26/2013,C3,02/25/2013,2013-02-27 00:00:00
5101800,ACTIVE,12/31/2012,77          ,ELSON STREET                    ,5031938,502,   ,05,ST.IS,02/26/2013,C3,02/25/2013,2013-02-27 00:00:00
5101797,ACTIVE,12/31/2012,71          ,ELSON STREET                    ,5031940,502,   ,05,ST.IS,02/26/2013,C3,02/25/2013,2013-02-27 00:00:00
5101804,ACTIVE,12/31/2012,63          ,ELSON STREET                    ,5031942,502,   ,05,ST.IS,02/26/2013,C1,02/25/2013,2013-02-27 00:00:00
5101803,ACTIVE,12/31/2012,59          ,ELSON STREET                    ,5031943,502,   ,05,ST.IS,02/26/2013,C1,02/25/2013,2013-02-27 00:00:00
5101782,ACTIVE,12/31/2012,57          ,ELSON STREET                    ,5031944,502,   ,05,ST.IS,02/26/2013,C1,02/25/2013,2013-02-27 00:00:00
4541883,ACTIVE,02/26/2013,43-06       ,BELL BOULEVARD                  ,4138263,411,   ,4B,SEP  ,,  ,,2013-02-27 00:00:00
4521280,CLOSED,07/12/2012,70-45       ,174 STREET                      ,4150585,408,   ,15,QNS.,02/26/2013,K1,02/26/2013,2013-02-27 00:00:00
4541872,ACTIVE,02/26/2013,78-01       ,101 AVENUE                      ,4188076,409,   ,45,QNS.,,  ,,2013-02-27 00:00:00
4529837,CLOSED,10/10/2012,125-09      ,HILLSIDE AVENUE                 ,4193651,409,   ,45,QNS.,02/26/2013,C2,02/19/2013,2013-02-27 00:00:00
4529683,ACTIVE,10/09/2012,87-21       ,117 STREET                      ,4195909,409,   ,45,QNS.,02/26/2013,C1,02/19/2013,2013-02-27 00:00:00
4540653,ACTIVE,02/07/2013,89-30       ,134 STREET                      ,4196874,409,   ,45,QNS.,02/26/2013,C1,02/19/2013,2013-02-27 00:00:00
4533554,ACTIVE,11/18/2012,121-04      ,89 AVENUE                       ,4196942,409,IBZ,45,QNS.,02/26/2013,C1,02/19/2013,2013-02-27 00:00:00
4541599,CLOSED,02/22/2013,91-02       ,183 STREET                      ,4211884,412,   ,65,PLUMB,02/26/2013,A8,02/25/2013,2013-02-27 00:00:00
4541970,ACTIVE,02/26/2013,114-51      ,121 STREET                      ,4251363,410,   ,45,QNS.,,  ,,2013-02-27 00:00:00
4541971,ACTIVE,02/26/2013,114-51      ,121 STREET                      ,4251363,410,   ,59,ELCTR,,  ,,2013-02-27 00:00:00
4541984,ACTIVE,02/26/2013,115-30      ,135 STREET                      ,4252516,410,   ,45,QNS.,,  ,,2013-02-27 00:00:00
4541933,ACTIVE,02/26/2013,190-27      ,118 AVENUE                      ,4271407,412,   ,37,ERT  ,,  ,,2013-02-27 00:00:00
4541955,ACTIVE,02/26/2013,229         ,BEACH 124 STREET                ,4304652,414,   ,37,ERT  ,,  ,,2013-02-27 00:00:00
4541952,ACTIVE,02/26/2013,229         ,BEACH 124 STREET                ,4304652,414,   ,05,QNS.,,  ,,2013-02-27 00:00:00
4541951,ACTIVE,02/26/2013,229         ,BEACH 124 STREET                ,4304652,414,   ,31,QNS.,,  ,,2013-02-27 00:00:00
4541508,CLOSED,02/21/2013,3518        ,42 STREET                       ,4436911,401,   ,94,PLUMB,02/26/2013,I2,02/25/2013,2013-02-27 00:00:00
4541905,ACTIVE,02/26/2013,225-01      ,MERRICK BOULEVARD               ,4828897,413,   ,4B,SEP  ,,  ,,2013-02-27 00:00:00
5100315,CLOSED,10/10/2012,91          ,ALBION PLACE                    ,5024267,501,   ,71,ST.IS,02/26/2013,C2,02/25/2013,2013-02-27 00:00:00
5100314,CLOSED,10/10/2012,95          ,ALBION PLACE                    ,5024268,501,   ,71,ST.IS,02/26/2013,C2,02/25/2013,2013-02-27 00:00:00
5101636,ACTIVE,12/20/2012,4439        ,ARTHUR KILL ROAD                ,5087222,503,   ,45,ST.IS,02/26/2013,C3,02/25/2013,2013-02-27 00:00:00
5101472,CLOSED,12/10/2012,7426        ,AMBOY ROAD                      ,5088114,503,   ,45,ST.IS,02/26/2013,I2,02/25/2013,2013-02-27 00:00:00
5100870,CLOSED,11/21/2012,7095        ,AMBOY ROAD                      ,5089007,503,   ,05,ST.IS,02/26/2013,I2,02/25/2013,2013-02-27 00:00:00
5102708,CLOSED,02/19/2013,776         ,NEW DORP LANE                   ,5105499,502,   ,30,ERT  ,02/26/2013,I2,02/21/2013,2013-02-27 00:00:00
5102709,CLOSED,02/19/2013,774         ,NEW DORP LANE                   ,5105500,502,   ,30,ERT  ,02/26/2013,I1,02/21/2013,2013-02-27 00:00:00
4541914,ACTIVE,02/26/2013,82-23       ,BROADWAY                        ,4037504,404,   ,4B,SEP  ,,  ,,2013-02-27 00:00:00
4541814,CLOSED,02/25/2013,83-02       ,BROADWAY                        ,4430211,404,   ,73,QNS.,02/26/2013,F6,02/26/2013,2013-02-27 00:00:00
4541820,ACTIVE,02/25/2013,156-11      ,CROSS ISLAND PARKWAY            ,4103879,407,   ,65,PLUMB,02/26/2013,C1,02/25/2013,2013-02-27 00:00:00
4540242,CLOSED,02/05/2013,140-35      ,BEECH AVENUE                    ,4117144,407,   ,45,QNS.,02/26/2013,H1,02/26/2013,2013-02-27 00:00:00
4541259,CLOSED,02/18/2013,140-35      ,BEECH AVENUE                    ,4117144,407,   ,45,QNS.,02/26/2013,H1,02/26/2013,2013-02-27 00:00:00
4536752,ACTIVE,12/21/2012,43-36       ,163 STREET                      ,4122433,407,   ,05,QNS.,02/26/2013,C1,02/25/2013,2013-02-27 00:00:00
4541977,ACTIVE,02/26/2013,165-14      ,69 AVENUE                       ,4149791,408,   ,31,ERT  ,,  ,,2013-02-27 00:00:00
4526119,CLOSED,08/30/2012,77-15       ,168 STREET                      ,4151773,408,   ,15,QNS.,02/26/2013,I1,02/26/2013,2013-02-27 00:00:00
4510163,ACTIVE,03/20/2012,8720        ,92 STREET                       ,4184229,409,   ,05,QNS.,02/26/2013,C1,02/25/2013,2013-02-27 00:00:00
4531026,ACTIVE,10/22/2012,86-46       ,126 STREET                      ,4193886,409,   ,45,QNS.,02/26/2013,C1,02/19/2013,2013-02-27 00:00:00
4541893,ACTIVE,02/26/2013,91-10       ,218 PLACE                       ,4229433,413,   ,4B,SEP  ,,  ,,2013-02-27 00:00:00
4530939,ACTIVE,10/22/2012,111-58      ,128 STREET                      ,4250811,410,   ,45,QNS.,02/26/2013,C3,02/20/2013,2013-02-27 00:00:00
4532473,ACTIVE,11/07/2012,111-58      ,128 STREET                      ,4250811,410,   ,45,QNS.,02/26/2013,C3,02/20/2013,2013-02-27 00:00:00
4533593,CLOSED,11/19/2012,111-38      ,131 STREET                      ,4250902,410,   ,85,QNS.,02/26/2013,A8,02/20/2013,2013-02-27 00:00:00
4533592,ACTIVE,11/19/2012,111-38      ,131 STREET                      ,4250902,410,   ,45,QNS.,02/26/2013,C1,02/20/2013,2013-02-27 00:00:00
4535164,CLOSED,12/03/2012,41-28       ,MAIN STREET                     ,4312192,407,   ,05,QNS.,02/26/2013,I2,02/25/2013,2013-02-27 00:00:00
5102632,ACTIVE,02/14/2013,193         ,VICTORY BOULEVARD               ,5000665,501,   ,45,ST.IS,02/26/2013,C1,02/25/2013,2013-02-27 00:00:00
5100011,CLOSED,09/22/2012,762         ,RICHMOND TERRACE                ,5001728,501,   ,55,ST.IS,02/26/2013,A8,02/25/2013,2013-02-27 00:00:00
5102799,ACTIVE,02/26/2013,63          ,TYSEN STREET                    ,5001740,501,   ,29,ST.IS,,  ,,2013-02-27 00:00:00
5102800,ACTIVE,02/26/2013,260         ,NEAL DOW AVENUE                 ,5012095,501,   ,4B,SEP  ,,  ,,2013-02-27 00:00:00
5100188,CLOSED,10/03/2012,81          ,AMADOR STREET                   ,5033269,501,   ,45,ST.IS,02/26/2013,C2,02/25/2013,2013-02-27 00:00:00
5102614,CLOSED,02/12/2013,333         ,FINLEY AVENUE                   ,5057204,503,   ,66,PLUMB,02/26/2013,I2,02/19/2013,2013-02-27 00:00:00
5102813,ACTIVE,02/26/2013,65          ,KREISCHER STREET                ,5105090,503,   ,67,ERT  ,,  ,,2013-02-27 00:00:00
5101692,CLOSED,12/27/2012,961         ,BLOOMINGDALE ROAD               ,5107802,503,   ,15,ST.IS,02/26/2013,I2,02/25/2013,2013-02-27 00:00:00
4527971,ACTIVE,09/19/2012,107-53      ,UNION HALL STREET               ,4216022,412,   ,45,QNS.,02/26/2013,C1,02/14/2013,2013-02-27 00:00:00
4531268,ACTIVE,10/25/2012,107-53      ,UNION HALL STREET               ,4216022,412,   ,71,QNS.,02/26/2013,C1,02/14/2013,2013-02-27 00:00:00
4534977,ACTIVE,11/30/2012,111-47      ,133 STREET                      ,4251048,410,   ,45,QNS.,02/26/2013,C1,02/20/2013,2013-02-27 00:00:00
4541760,CLOSED,02/25/2013,222-03      ,141 ROAD                        ,4282403,413,   ,30,ERT  ,02/26/2013,A8,02/26/2013,2013-02-27 00:00:00
5100223,CLOSED,10/04/2012,29          ,LEXINGTON AVENUE                ,5024425,501,   ,05,ST.IS,02/26/2013,I2,02/25/2013,2013-02-27 00:00:00
5100222,CLOSED,10/04/2012,29          ,LEXINGTON AVENUE                ,5024425,501,   ,05,ST.IS,02/26/2013,I2,02/25/2013,2013-02-27 00:00:00
5100257,CLOSED,10/07/2012,87          ,MURDOCK PLACE                   ,5026505,501,   ,45,ST.IS,02/26/2013,C2,02/25/2013,2013-02-27 00:00:00
5102803,ACTIVE,02/26/2013,114         ,FAHY AVENUE                     ,5032029,502,   ,05,ST.IS,,  ,,2013-02-27 00:00:00
5100198,CLOSED,10/03/2012,703         ,KATAN AVENUE                    ,5074323,503,   ,45,ST.IS,02/26/2013,I2,02/25/2013,2013-02-27 00:00:00
5102805,ACTIVE,02/26/2013,600         ,HYLAN BOULEVARD                 ,5106189,502,   ,63,ELEVR,,  ,,2013-02-27 00:00:00
4541231,CLOSED,02/17/2013,13-39       ,125 STREET                      ,4314667,407,   ,59,ELCTR,02/26/2013,C2,02/25/2013,2013-02-27 00:00:00
5100180,CLOSED,10/03/2012,20          ,WESTBROOK AVENUE                ,5027000,501,   ,71,ST.IS,02/26/2013,C2,02/25/2013,2013-02-27 00:00:00
5102377,CLOSED,02/01/2013,20          ,WESTBROOK AVENUE                ,5027000,501,   ,45,ST.IS,02/26/2013,C2,02/25/2013,2013-02-27 00:00:00
5102591,CLOSED,02/11/2013,1736        ,RICHMOND AVENUE                 ,5036636,502,   ,05,ST.IS,02/26/2013,A8,02/25/2013,2013-02-27 00:00:00
5101786,ACTIVE,12/31/2012,65          ,ELSON STREET                    ,5113280,502,   ,05,ST.IS,02/26/2013,C3,02/25/2013,2013-02-27 00:00:00
3437047,ACTIVE,02/23/2013,756         ,MCDONALD AVENUE                 ,3328437,312,   ,92,SPOPS,02/26/2013,C1,02/26/2013,2013-02-27 00:00:00
5100189,ACTIVE,10/03/2012,17          ,WARDS POINT AVENUE              ,5088542,503,   ,45,ST.IS,02/26/2013,C1,02/25/2013,2013-02-27 00:00:00
4541929,ACTIVE,02/26/2013,110-20      ,64 AVENUE                       ,4432129,406,   ,05,QNS.,,  ,,2013-02-27 00:00:00
5100329,CLOSED,10/11/2012,191         ,DONGAN STREET                   ,5005661,501,   ,05,ST.IS,02/26/2013,C2,02/25/2013,2013-02-27 00:00:00
5102809,ACTIVE,02/26/2013,31          ,LINCOLN PLACE                   ,5045445,501,   ,12,ERT  ,,  ,,2013-02-27 00:00:00
5102810,ACTIVE,02/26/2013,31          ,LINCOLN PLACE                   ,5045445,501,   ,03,ERT  ,,  ,,2013-02-27 00:00:00
5102808,ACTIVE,02/26/2013,31          ,LINCOLN PLACE                   ,5045445,501,   ,91,ERT  ,,  ,,2013-02-27 00:00:00
5102812,ACTIVE,02/26/2013,31          ,LINCOLN PLACE                   ,5045445,501,   ,14,EXCAV,,  ,,2013-02-27 00:00:00
5061665,CLOSED,01/22/2007,170         ,BADEN PLACE                     ,5054731,502,   ,83,ST.IS,02/26/2013,L2,02/26/2013,2013-02-27 00:00:00
5036990,CLOSED,01/30/2003,170         ,BADEN PLACE                     ,5054731,502,   ,05,ST.IS,02/26/2013,L2,02/26/2013,2013-02-27 00:00:00
