Complaint Number,Status,Date Entered,House Number,House Street,BIN,Community Board,Special District,Complaint Category,Unit,Disposition Date,Disposition Code,Inspection Date,DOBRunDate
5102806,ACTIVE,02/26/2013,26          ,TANGLEWOOD DRIVE                ,5061905,503,   ,85,ST.IS,,  ,,2013-02-27 00:00:00
5101844,ACTIVE,01/02/2013,91          ,CORDELIA AVENUE                 ,5110850,503,   ,05,ST.IS,02/26/2013,C1,02/25/2013,2013-02-27 00:00:00
3435720,ACTIVE,02/04/2013,566         ,VAN SICLEN AVENUE               ,3388282,305,   ,59,ELCTR,02/26/2013,C1,02/20/2013,2013-02-27 00:00:00
4541240,CLOSED,02/18/2013,42-07       ,KISSENA BOULEVARD               ,4539608,407,   ,45,QNS.,02/26/2013,H1,02/26/2013,2013-02-27 00:00:00
5102797,CLOSED,02/26/2013,19          ,FATHER CAPODANNO BOULEVARD      ,5124544,502,   ,86,ST.IS,02/26/2013,I1,02/26/2013,2013-02-27 00:00:00
3436978,CLOSED,02/22/2013,520A        ,CHRISTOPHER AVENUE              ,3398041,316,   ,30,ERT  ,02/26/2013,I2,02/25/2013,2013-02-27 00:00:00
4533993,CLOSED,11/21/2012,137-04      ,64 ROAD                         ,4141814,407,   ,4B,SEP  ,02/26/2013,C2,02/22/2013,2013-02-27 00:00:00
4533722,ACTIVE,11/19/2012,78-10       ,160 STREET                      ,4147921,408,   ,45,QNS.,02/26/2013,C3,02/15/2013,2013-02-27 00:00:00
4531230,ACTIVE,10/24/2012,73-10       ,162 STREET                      ,4148002,408,   ,45,QNS.,02/26/2013,C3,02/15/2013,2013-02-27 00:00:00
4539961,CLOSED,02/02/2013,171-04      ,73 AVENUE                       ,4151043,408,   ,15,QNS.,02/26/2013,A8,02/26/2013,2013-02-27 00:00:00
4535993,ACTIVE,12/12/2012,240-15      ,HILLSIDE AVENUE BELLEROSE       ,4438351,413,   ,4B,SEP  ,02/26/2013,C1,01/29/2013,2013-02-27 00:00:00
4541938,ACTIVE,02/26/2013,90-18       ,78 STREET                       ,4184964,409,   ,45,QNS.,,  ,,2013-02-27 00:00:00
4533773,CLOSED,11/19/2012,119-01      ,HILLSIDE AVENUE                 ,4193466,409,   ,71,QNS.,02/26/2013,C4,02/19/2013,2013-02-27 00:00:00
4541987,ACTIVE,02/26/2013,94-08       ,118 STREET                      ,4199094,409,   ,1A,QNS.,,  ,,2013-02-27 00:00:00
4529102,CLOSED,10/01/2012,94-43       ,118 STREET                      ,4199119,409,   ,45,QNS.,02/26/2013,C2,02/19/2013,2013-02-27 00:00:00
4541869,ACTIVE,02/26/2013,120-20      ,101 AVENUE                      ,4200609,409,   ,45,QNS.,,  ,,2013-02-27 00:00:00
4541931,ACTIVE,02/26/2013,91-05       ,183 STREET                      ,4211891,412,   ,45,QNS.,,  ,,2013-02-27 00:00:00
4541946,ACTIVE,02/26/2013,165-07      ,SOUTH ROAD                      ,4216266,412,IBZ,52,PLUMB,,  ,,2013-02-27 00:00:00
4541919,ACTIVE,02/26/2013,104-12      ,164 STREET                      ,4216271,412,   ,4B,SEP  ,,  ,,2013-02-27 00:00:00
4541916,ACTIVE,02/26/2013,88-14       ,SPRINGFIELD BOULEVARD           ,4228862,413,   ,4B,SEP  ,,  ,,2013-02-27 00:00:00
4541989,ACTIVE,02/26/2013,114-11      ,204 STREET                      ,4236920,412,   ,58,BOILR,,  ,,2013-02-27 00:00:00
4541864,ACTIVE,02/26/2013,25514       ,FRANCIS LEWIS BOULEVARD         ,4288940,413,   ,45,QNS.,,  ,,2013-02-27 00:00:00
4541898,ACTIVE,02/26/2013,134-02      ,33 AVENUE                       ,4438084,407,   ,4B,SEP  ,,  ,,2013-02-27 00:00:00
4541950,ACTIVE,02/26/2013,171-09      ,NORTHERN BOULEVARD              ,4438198,407,   ,4B,SEP  ,,  ,,2013-02-27 00:00:00
4541881,ACTIVE,02/26/2013,25-20       ,BROOKLYN QUEENS EXPRESSWA       ,4837054,401,   ,4B,SEP  ,,  ,,2013-02-27 00:00:00
4541874,ACTIVE,02/26/2013,183-24      , 144 AVENUE                     ,4841954,412,   ,45,QNS.,,  ,,2013-02-27 00:00:00
5102802,ACTIVE,02/26/2013,101         ,MILES AVENUE                    ,5104818,503,   ,84,FEU  ,,  ,,2013-02-27 00:00:00
5100234,CLOSED,10/05/2012,270         ,TAYLOR STREET                   ,5106709,501,   ,05,ST.IS,02/26/2013,A8,02/25/2013,2013-02-27 00:00:00
5100307,CLOSED,10/10/2012,43          ,CLARADON LANE                   ,5095845,502,   ,45,ST.IS,02/26/2013,C2,02/25/2013,2013-02-27 00:00:00
5102801,ACTIVE,02/26/2013,18A         ,JENNIFER PLACE                  ,5127148,502,   ,4B,SEP  ,,  ,,2013-02-27 00:00:00
3436163,CLOSED,02/11/2013,173         ,BEDFORD AVENUE                  ,3324831,301,   ,31,BKLYN,02/26/2013,I2,02/21/2013,2013-02-27 00:00:00
4513902,ACTIVE,04/28/2012,163-40      ,WILLETS POINT BOULEVARD         ,4540598,407,   ,45,QNS.,02/26/2013,C1,02/25/2013,2013-02-27 00:00:00
5100209,CLOSED,10/04/2012,1418        ,FOREST AVENUE                   ,5011195,501,   ,05,ST.IS,02/26/2013,H1,02/25/2013,2013-02-27 00:00:00
5102798,ACTIVE,02/26/2013,623         ,RICHMOND ROAD                   ,5016098,501,   ,45,ST.IS,,  ,,2013-02-27 00:00:00
5100236,CLOSED,10/05/2012,201         ,ARLINGTON AVENUE                ,5028475,501,   ,05,ST.IS,02/26/2013,A8,02/25/2013,2013-02-27 00:00:00
5102794,ACTIVE,02/26/2013,166         ,ROMA AVENUE                     ,5056986,502,   ,83,ST.IS,,  ,,2013-02-27 00:00:00
5102795,ACTIVE,02/26/2013,166         ,ROMA AVENUE                     ,5056986,502,   ,05,ST.IS,,  ,,2013-02-27 00:00:00
5102804,ACTIVE,02/26/2013,4           ,MILBANK ROAD                    ,5057093,502,   ,31,ST.IS,,  ,,2013-02-27 00:00:00
5101805,ACTIVE,12/31/2012,87          ,ELSON STREET                    ,5031935,502,   ,05,ST.IS,02/26/2013,C1,02/25/2013,2013-02-27 00:00:00
4541465,CLOSED,02/20/2013,119-09      ,AUDLEY STREET                   ,4079460,409,   ,73,ERT  ,02/26/2013,A8,02/07/2013,2013-02-27 00:00:00
5101802,ACTIVE,12/31/2012,53          ,ELSON STREET                    ,5031945,502,   ,05,ST.IS,02/26/2013,C1,02/25/2013,2013-02-27 00:00:00
5101801,ACTIVE,12/31/2012,51          ,ELSON STREET                    ,5031946,502,   ,05,ST.IS,02/26/2013,C1,02/25/2013,2013-02-27 00:00:00
5101799,ACTIVE,12/31/2012,47          ,ELSON STREET                    ,5031947,502,   ,05,ST.IS,02/26/2013,C3,02/25/2013,2013-02-27 00:00:00
5101776,ACTIVE,12/31/2012,45          ,ELSON STREET                    ,5031948,502,   ,05,ST.IS,02/26/2013,C3,02/25/2013,2013-02-27 00:00:00
5101763,ACTIVE,12/31/2012,41          ,ELSON STREET                    ,5031949,502,   ,45,ST.IS,02/26/2013,C3,02/25/2013,2013-02-27 00:00:00
5101795,ACTIVE,12/31/2012,27          ,ELSON STREET                    ,5031954,502,   ,05,ST.IS,02/26/2013,C3,02/25/2013,2013-02-27 00:00:00
5101785,ACTIVE,12/31/2012,11          ,ELSON STREET                    ,5031959,502,   ,05,ST.IS,02/26/2013,C3,02/25/2013,2013-02-27 00:00:00
5101766,ACTIVE,12/31/2012,5           ,ELSON STREET                    ,5031962,502,   ,45,ST.IS,02/26/2013,C1,02/25/2013,2013-02-27 00:00:00
5102811,ACTIVE,02/26/2013,3951        ,VICTORY BOULEVARD               ,5107405,502,   ,15,ST.IS,,  ,,2013-02-27 00:00:00
5101486,ACTIVE,12/10/2012,15          ,JOYCE LANE                      ,5125839,503,   ,45,ST.IS,02/26/2013,C3,02/25/2013,2013-02-27 00:00:00
5100845,CLOSED,11/19/2012,209         ,PARK AVENUE                     ,5125874,501,   ,29,ST.IS,02/26/2013,I2,02/25/2013,2013-02-27 00:00:00
4539411,CLOSED,01/29/2013,1963        ,79 STREET                       ,4444631,401,   ,37,QNS.,02/26/2013,I2,02/25/2013,2013-02-27 00:00:00
