NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
AIRPORT LA GUARDIA       ,01 ONE FAMILY HOMES                        ,6,$178750.00,$445958.00,$490000.00,$530000.00
AIRPORT LA GUARDIA       ,02 TWO FAMILY HOMES                        ,2,$475000.00,$507500.00,$507500.00,$540000.00
AIRPORT LA GUARDIA       ,03 THREE FAMILY HOMES                      ,1,$745000.00,$745000.00,$745000.00,$745000.00
ARVERNE                  ,01 ONE FAMILY HOMES                        ,87,$160000.00,$305615.00,$295000.00,$700000.00
ARVERNE                  ,02 TWO FAMILY HOMES                        ,180,$150000.00,$414127.00,$417500.00,$540000.00
ARVERNE                  ,03 THREE FAMILY HOMES                      ,20,$220000.00,$475373.00,$471000.00,$890000.00
ASTORIA                  ,01 ONE FAMILY HOMES                        ,85,$200000.00,$578771.00,$564000.00,$2175000.00
ASTORIA                  ,02 TWO FAMILY HOMES                        ,210,$175000.00,$685243.00,$670000.00,$2000000.00
ASTORIA                  ,03 THREE FAMILY HOMES                      ,83,$150000.00,$715707.00,$740000.00,$1075000.00
BAYSIDE                  ,01 ONE FAMILY HOMES                        ,424,$180000.00,$651426.00,$634500.00,$2000000.00
BAYSIDE                  ,02 TWO FAMILY HOMES                        ,131,$200000.00,$764615.00,$773800.00,$1181170.00
BAYSIDE                  ,03 THREE FAMILY HOMES                      ,14,$233333.00,$822550.00,$848500.00,$999000.00
BEECHHURST               ,01 ONE FAMILY HOMES                        ,66,$160000.00,$825152.00,$800000.00,$1635000.00
BEECHHURST               ,02 TWO FAMILY HOMES                        ,2,$625000.00,$725000.00,$725000.00,$825000.00
BELLE HARBOR             ,01 ONE FAMILY HOMES                        ,38,$250000.00,$739896.00,$750000.00,$1200000.00
BELLE HARBOR             ,02 TWO FAMILY HOMES                        ,37,$290000.00,$868257.00,$885000.00,$1400000.00
BELLE HARBOR             ,03 THREE FAMILY HOMES                      ,3,$710000.00,$836667.00,$820000.00,$980000.00
BELLEROSE                ,01 ONE FAMILY HOMES                        ,181,$205000.00,$493579.00,$490000.00,$765000.00
BELLEROSE                ,02 TWO FAMILY HOMES                        ,49,$250000.00,$554675.00,$550000.00,$795000.00
BRIARWOOD                ,01 ONE FAMILY HOMES                        ,39,$380000.00,$568715.00,$550000.00,$965000.00
BRIARWOOD                ,02 TWO FAMILY HOMES                        ,24,$370000.00,$617671.00,$625000.00,$825000.00
BRIARWOOD                ,03 THREE FAMILY HOMES                      ,11,$200000.00,$760500.00,$740000.00,$1400000.00
BROAD CHANNEL            ,01 ONE FAMILY HOMES                        ,27,$155000.00,$344525.00,$320000.00,$570000.00
BROAD CHANNEL            ,02 TWO FAMILY HOMES                        ,7,$177500.00,$385543.00,$465000.00,$593336.00
CAMBRIA HEIGHTS          ,01 ONE FAMILY HOMES                        ,170,$150000.00,$373047.00,$382500.00,$550000.00
CAMBRIA HEIGHTS          ,02 TWO FAMILY HOMES                        ,10,$200000.00,$377610.00,$409500.00,$505000.00
COLLEGE POINT            ,01 ONE FAMILY HOMES                        ,125,$257500.00,$505107.00,$485000.00,$930000.00
COLLEGE POINT            ,02 TWO FAMILY HOMES                        ,192,$195000.00,$638621.00,$650000.00,$1225000.00
COLLEGE POINT            ,03 THREE FAMILY HOMES                      ,15,$527000.00,$687683.00,$640000.00,$1215000.00
CORONA                   ,01 ONE FAMILY HOMES                        ,86,$225000.00,$519546.00,$496500.00,$1290000.00
CORONA                   ,02 TWO FAMILY HOMES                        ,273,$150000.00,$644981.00,$650000.00,$1150000.00
CORONA                   ,03 THREE FAMILY HOMES                      ,204,$150000.00,$725283.00,$742500.00,$1750000.00
DOUGLASTON               ,01 ONE FAMILY HOMES                        ,66,$325000.00,$861461.00,$764000.00,$2350000.00
DOUGLASTON               ,02 TWO FAMILY HOMES                        ,16,$575000.00,$802928.00,$792026.00,$972428.00
EAST ELMHURST            ,01 ONE FAMILY HOMES                        ,113,$168000.00,$476256.00,$480000.00,$1160000.00
EAST ELMHURST            ,02 TWO FAMILY HOMES                        ,139,$150000.00,$625408.00,$635000.00,$975000.00
EAST ELMHURST            ,03 THREE FAMILY HOMES                      ,42,$233333.00,$691492.00,$738500.00,$1200000.00
ELMHURST                 ,01 ONE FAMILY HOMES                        ,151,$162500.00,$516072.00,$510000.00,$970000.00
ELMHURST                 ,02 TWO FAMILY HOMES                        ,194,$160000.00,$619013.00,$625000.00,$1250000.00
ELMHURST                 ,03 THREE FAMILY HOMES                      ,136,$150000.00,$775399.00,$790000.00,$1475000.00
FAR ROCKAWAY             ,01 ONE FAMILY HOMES                        ,149,$150000.00,$435598.00,$410000.00,$1600000.00
FAR ROCKAWAY             ,02 TWO FAMILY HOMES                        ,213,$165000.00,$470331.00,$471293.00,$930000.00
FAR ROCKAWAY             ,03 THREE FAMILY HOMES                      ,57,$250000.00,$542749.00,$549000.00,$1100000.00
FLORAL PARK              ,01 ONE FAMILY HOMES                        ,179,$151500.00,$534086.00,$525000.00,$890000.00
FLORAL PARK              ,02 TWO FAMILY HOMES                        ,9,$150000.00,$559389.00,$600000.00,$675000.00
FLUSHING-NORTH           ,01 ONE FAMILY HOMES                        ,668,$181154.00,$607745.00,$600000.00,$1510000.00
FLUSHING-NORTH           ,02 TWO FAMILY HOMES                        ,267,$160000.00,$700186.00,$720000.00,$1400000.00
FLUSHING-NORTH           ,03 THREE FAMILY HOMES                      ,87,$180000.00,$792644.00,$805000.00,$1390000.00
FLUSHING-SOUTH           ,01 ONE FAMILY HOMES                        ,342,$150000.00,$565353.00,$540000.00,$1300000.00
FLUSHING-SOUTH           ,02 TWO FAMILY HOMES                        ,106,$200000.00,$654702.00,$649500.00,$1160000.00
FLUSHING-SOUTH           ,03 THREE FAMILY HOMES                      ,21,$150000.00,$749416.00,$733000.00,$998980.00
FOREST HILLS             ,01 ONE FAMILY HOMES                        ,196,$175000.00,$864881.00,$722500.00,$2600000.00
FOREST HILLS             ,02 TWO FAMILY HOMES                        ,40,$300000.00,$716312.00,$642240.00,$1960000.00
FOREST HILLS             ,03 THREE FAMILY HOMES                      ,3,$608000.00,$774333.00,$750000.00,$965000.00
FRESH MEADOWS            ,01 ONE FAMILY HOMES                        ,112,$200000.00,$618744.00,$628000.00,$990000.00
FRESH MEADOWS            ,02 TWO FAMILY HOMES                        ,18,$395000.00,$616306.00,$659750.00,$778000.00
GLEN OAKS                ,01 ONE FAMILY HOMES                        ,24,$360000.00,$531813.00,$515000.00,$760000.00
GLEN OAKS                ,02 TWO FAMILY HOMES                        ,4,$370000.00,$482500.00,$512500.00,$535000.00
GLEN OAKS                ,03 THREE FAMILY HOMES                      ,1,$720000.00,$720000.00,$720000.00,$720000.00
GLENDALE                 ,01 ONE FAMILY HOMES                        ,101,$190000.00,$467405.00,$460000.00,$820000.00
GLENDALE                 ,02 TWO FAMILY HOMES                        ,174,$170000.00,$538057.00,$542500.00,$1460000.00
GLENDALE                 ,03 THREE FAMILY HOMES                      ,18,$497760.00,$675978.00,$640000.00,$989000.00
HAMMELS                  ,01 ONE FAMILY HOMES                        ,21,$160000.00,$307476.00,$300000.00,$491790.00
HAMMELS                  ,02 TWO FAMILY HOMES                        ,33,$160000.00,$409392.00,$425000.00,$646588.00
HAMMELS                  ,03 THREE FAMILY HOMES                      ,11,$325000.00,$482922.00,$479000.00,$685000.00
HILLCREST                ,01 ONE FAMILY HOMES                        ,34,$175000.00,$544515.00,$537000.00,$920000.00
HILLCREST                ,02 TWO FAMILY HOMES                        ,10,$350000.00,$510000.00,$511000.00,$670000.00
HILLCREST                ,03 THREE FAMILY HOMES                      ,12,$997000.00,$997917.00,$998000.00,$998000.00
HOLLIS                   ,01 ONE FAMILY HOMES                        ,368,$150000.00,$396505.00,$398450.00,$830000.00
HOLLIS                   ,02 TWO FAMILY HOMES                        ,164,$200000.00,$508511.00,$480000.00,$1650000.00
HOLLIS                   ,03 THREE FAMILY HOMES                      ,7,$375000.00,$571999.00,$605000.00,$750000.00
HOLLIS HILLS             ,01 ONE FAMILY HOMES                        ,37,$280000.00,$738081.00,$753000.00,$990000.00
HOLLISWOOD               ,01 ONE FAMILY HOMES                        ,45,$274999.00,$792459.00,$740000.00,$1625000.00
HOLLISWOOD               ,02 TWO FAMILY HOMES                        ,7,$485000.00,$690943.00,$750000.00,$947600.00
HOLLISWOOD               ,03 THREE FAMILY HOMES                      ,4,$600000.00,$770000.00,$777500.00,$925000.00
HOWARD BEACH             ,01 ONE FAMILY HOMES                        ,128,$161000.00,$581975.00,$632500.00,$1175000.00
HOWARD BEACH             ,02 TWO FAMILY HOMES                        ,64,$185000.00,$622416.00,$647714.00,$885000.00
HOWARD BEACH             ,03 THREE FAMILY HOMES                      ,5,$487500.00,$644500.00,$650000.00,$755000.00
JACKSON HEIGHTS          ,01 ONE FAMILY HOMES                        ,160,$203000.00,$551195.00,$548500.00,$850000.00
JACKSON HEIGHTS          ,02 TWO FAMILY HOMES                        ,217,$165000.00,$654469.00,$650000.00,$975000.00
JACKSON HEIGHTS          ,03 THREE FAMILY HOMES                      ,73,$208333.00,$767736.00,$785000.00,$1060000.00
JAMAICA                  ,01 ONE FAMILY HOMES                        ,105,$150000.00,$450138.00,$409000.00,$999000.00
JAMAICA                  ,02 TWO FAMILY HOMES                        ,132,$278000.00,$577525.00,$573400.00,$1300000.00
JAMAICA                  ,03 THREE FAMILY HOMES                      ,22,$325500.00,$751886.00,$771500.00,$985000.00
