Staten Island,2005,2006,2007,2008,2009,Total
120th Precinct,138,170,163,164,220,855
122nd Precinct,63,72,55,87,72,349
123rd Precinct,21,28,21,27,24,121
Staten Island Total,222,270,239,278,316,1325
Outside City/ Unidentified,109,89,104,112,100,514
