Borough,Age,2000,2005,2010,2015,2020,2025,2030
Staten Island,35-39,36978,34582,32687,32052,34426,37540,40569
Staten Island,40-44,36696,38865,36419,33747,33095,35674,38949
Staten Island,45-49,32446,36601,38854,35645,33019,32546,35138
Staten Island,50-54,30787,33000,37309,38801,35595,33203,32770
Staten Island,55-59,23426,29625,31831,35224,36642,33972,31720
Staten Island,60-64,17255,21780,27617,29002,32094,33964,31532
Staten Island,65-69,14518,15496,19598,24263,25474,28891,30615
Staten Island,70-74,13288,12811,13688,16895,20918,22726,25788
Staten Island,75-79,10397,11355,10977,11418,14054,18298,19877
Staten Island,80-84,7074,7791,8505,8002,8310,11068,14377
Staten Island,85+,6156,7156,8026,8492,8399,9809,12309
Staten Island,Total,443728,468248,491808,504697,517597,536136,551906
