District,Grade,Year,Demographic,Number Tested,Mean Scale Score,Num Level 1,Pct Level 1,Num Level 2,Pct Level 2,Num Level 3,Pct Level 3,Num Level 4,Pct Level 4,Num Level 3 and 4,Pct Level 3 and 4
1,3,2006,Not SWD,655,669,37,5.6,165,25.2,417,63.7,36,5.5,453,69.2
1,3,2006,SWD,152,636,51,33.6,50,32.9,45,29.6,6,3.9,51,33.6
1,3,2007,Not SWD,677,666,41,6.1,192,28.4,384,56.7,60,8.9,444,65.6
1,3,2007,SWD,134,627,50,37.3,42,31.3,40,29.9,2,1.5,42,31.3
1,3,2008,Not SWD,678,669,15,2.2,193,28.5,400,59,70,10.3,470,69.3
1,3,2008,SWD,156,634,39,25,69,44.2,45,28.8,3,1.9,48,30.8
1,3,2009,Not SWD,734,673,10,1.4,146,19.9,497,67.7,81,11,578,78.7
1,3,2009,SWD,146,638,33,22.6,67,45.9,45,30.8,1,0.7,46,31.5
1,3,2010,Not SWD,684,675,57,8.3,221,32.3,251,36.7,155,22.7,406,59.4
1,3,2010,SWD,164,642,80,48.8,55,33.5,21,12.8,8,4.9,29,17.7
1,3,2011,Not SWD,683,669,49,7.2,212,31,348,51,74,10.8,422,61.8
1,3,2011,SWD,130,642,54,41.5,53,40.8,23,17.7,0,0,23,17.7
1,3,2012,Not SWD,677,668,44,6.5,227,33.5,348,51.4,58,8.6,406,60
1,3,2012,SWD,179,643,79,44.1,67,37.4,31,17.3,2,1.1,33,18.4
1,4,2006,Not SWD,626,662,38,6.1,196,31.3,355,56.7,37,5.9,392,62.6
1,4,2006,SWD,190,626,64,33.7,76,40,48,25.3,2,1.1,50,26.3
1,4,2007,Not SWD,678,664,19,2.8,196,28.9,429,63.3,34,5,463,68.3
1,4,2007,SWD,157,621,46,29.3,79,50.3,31,19.7,1,0.6,32,20.4
1,4,2008,Not SWD,651,665,31,4.8,165,25.3,419,64.4,36,5.5,455,69.9
1,4,2008,SWD,165,630,40,24.2,76,46.1,48,29.1,1,0.6,49,29.7
1,4,2009,Not SWD,677,671,10,1.5,134,19.8,482,71.2,51,7.5,533,78.7
1,4,2009,SWD,147,630,30,20.4,72,49,45,30.6,0,0,45,30.6
1,4,2010,Not SWD,705,675,32,4.5,285,40.4,344,48.8,44,6.2,388,55
1,4,2010,SWD,187,646,58,31,101,54,28,15,0,0,28,15
1,4,2011,Not SWD,674,679,26,3.9,216,32,394,58.5,38,5.6,432,64.1
1,4,2011,SWD,179,644,55,30.7,97,54.2,26,14.5,1,0.6,27,15.1
1,4,2012,Not SWD,676,680,27,4,225,33.3,374,55.3,50,7.4,424,62.7
1,4,2012,SWD,136,642,47,34.6,71,52.2,18,13.2,0,0,18,13.2
1,5,2006,Not SWD,566,660,21,3.7,192,33.9,301,53.2,52,9.2,353,62.4
1,5,2006,SWD,184,625,46,25,94,51.1,41,22.3,3,1.6,44,23.9
1,5,2007,Not SWD,645,665,21,3.3,186,28.8,400,62,38,5.9,438,67.9
1,5,2007,SWD,190,632,34,17.9,104,54.7,51,26.8,1,0.5,52,27.4
1,5,2008,Not SWD,649,671,5,0.8,100,15.4,498,76.7,46,7.1,544,83.8
1,5,2008,SWD,175,637,16,9.1,101,57.7,58,33.1,0,0,58,33.1
1,5,2009,Not SWD,626,680,0,0,66,10.5,467,74.6,93,14.9,560,89.5
1,5,2009,SWD,156,653,1,0.6,69,44.2,81,51.9,5,3.2,86,55.1
1,5,2010,Not SWD,619,678,48,7.8,236,38.1,230,37.2,105,17,335,54.1
1,5,2010,SWD,174,650,76,43.7,72,41.4,22,12.6,4,2.3,26,14.9
1,5,2011,Not SWD,662,673,20,3,228,34.4,356,53.8,58,8.8,414,62.5
1,5,2011,SWD,196,651,65,33.2,94,48,37,18.9,0,0,37,18.9
1,5,2012,Not SWD,647,675,24,3.7,185,28.6,384,59.4,54,8.3,438,67.7
1,5,2012,SWD,186,650,71,38.2,92,49.5,22,11.8,1,0.5,23,12.4
1,6,2006,Not SWD,684,661,21,3.1,240,35.1,337,49.3,86,12.6,423,61.8
1,6,2006,SWD,171,621,37,21.6,106,62,26,15.2,2,1.2,28,16.4
1,6,2007,Not SWD,616,661,7,1.1,241,39.1,312,50.6,56,9.1,368,59.7
1,6,2007,SWD,137,628,11,8,100,73,26,19,0,0,26,19
1,6,2008,Not SWD,640,663,6,0.9,218,34.1,380,59.4,36,5.6,416,65
1,6,2008,SWD,202,632,15,7.4,149,73.8,38,18.8,0,0,38,18.8
1,6,2009,Not SWD,698,673,0,0,113,16.2,490,70.2,95,13.6,585,83.8
1,6,2009,SWD,156,645,1,0.6,95,60.9,60,38.5,0,0,60,38.5
1,6,2010,Not SWD,623,669,47,7.5,252,40.4,251,40.3,73,11.7,324,52
