QUEENS CONDOMINIUM PROPERTY Boro-Block-Lot,QUEENS CONDOMINIUM PROPERTY Condo Section,QUEENS CONDOMINIUM PROPERTY Address,QUEENS CONDOMINIUM PROPERTY Neighborhood,QUEENS CONDOMINIUM PROPERTY Building Classification,QUEENS CONDOMINIUM PROPERTY Total Units,QUEENS CONDOMINIUM PROPERTY Year Built,QUEENS CONDOMINIUM PROPERTY Gross SqFt,QUEENS CONDOMINIUM PROPERTY Est. Gross Income,QUEENS CONDOMINIUM PROPERTY Gross Income per SqFt,QUEENS CONDOMINIUM PROPERTY Full Market Value,QUEENS CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
4-01855-7501,454-R1,53-11 90 STREET,ELMHURST,R4-ELEVATOR,77,1964,72000,1080000,15,3940002,55,4-01519-0028,75-06 WOODSIDE AVENUE,ELMHURST,D1-ELEVATOR,74,1962,52553,845361,16.09,3350000,64,1,4-01913-0001,94-30 HOR HARDING EXPWY S,ELMHURST,D1-ELEVATOR,88,1965,79360,1161395,14.63,4240000,53,0.45
4-01857-7501,445-R1,90-20 55 AVENUE,ELMHURST,R4-ELEVATOR,20,2004,22536,383112,17,1519999,67,4-01349-0016,70-06 WOODSIDE AVENUE,ELMHURST,C1-WALK-UP,23,1961,13772,238224,17.3,943000,68,1.25,4-01838-0041,52-08 90 STREET,ELMHURST,C1-WALK-UP,16,1974,10400,115440,11.1,359000,34.5,0.2
4-01910-7501,129-R1,57-10 JUNCTION BOULEVARD,ELMHURST,R9-CONDOPS,66,1961,75780,1023030,13.5,3630000,47.9,4-01491-0021,80-15 41 AVENUE,ELMHURST,D1-ELEVATOR,287,1959,263120,3665073,13.93,13400000,51,1.2,4-01505-0037,40-70 HAMPTON STREET,ELMHURST,D1-ELEVATOR,104,1963,89772,1170471,13.04,4270000,47.6,1.05
4-01910-7501,129-R2,94-31 59 AVENUE,ELMHURST,R9-CONDOPS,132,1961,151162,2040687,13.5,7250000,48,4-01505-0037,40-70 HAMPTON STREET,ELMHURST,D1-ELEVATOR,104,1963,89772,1170471,13.04,4270000,47.6,1.1,4-01491-0021,80-15 41 AVENUE,ELMHURST,D1-ELEVATOR,287,1959,263120,3665073,13.93,13400000,51,1.25
4-01910-7501,129-R3,94-31 60 AVENUE,ELMHURST,R9-CONDOPS,264,1961,302236,4080186,13.5,14500000,48,4-01491-0021,80-15 41 AVENUE,ELMHURST,D1-ELEVATOR,287,1959,263120,3665073,13.93,13400000,51,1.3,4-01505-0037,40-70 HAMPTON STREET,ELMHURST,D1-ELEVATOR,104,1963,89772,1170471,13.04,4270000,47.6,1.15
4-01910-7501,129-R4,94-30 60 AVENUE,ELMHURST,R9-CONDOPS,66,1961,75693,1021855,13.5,3630000,48,4-01491-0021,80-15 41 AVENUE,ELMHURST,D1-ELEVATOR,287,1959,263120,3665073,13.93,13400000,51,1.35,4-01505-0037,40-70 HAMPTON STREET,ELMHURST,D1-ELEVATOR,104,1963,89772,1170471,13.04,4270000,47.6,1.2
4-01941-7501,489-R1,102-14 LEWIS AVENUE,CORONA,R4-ELEVATOR,40,2004,35706,892650,25,3879995,109,4-02011-0036,110-17 CORONA AVENUE,CORONA,D1-ELEVATOR,18,2001,11000,188550,17.14,746000,68,0.35,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,584508,25.8,2540000,112,1.15
4-01955-7501,367-R1,54-09 108 STREET,CORONA,R4-ELEVATOR,29,1992,25040,350560,14,1279998,51,4-02004-0043,48-10 111 STREET,CORONA,D1-ELEVATOR,22,1988,18000,235728,13.1,860000,47.8,0.3,4-02016-0046,111-88 43 AVENUE,CORONA,D7-ELEVATOR,24,1988,15000,223752,14.92,817000,54,0.55
4-01993-7501,502-R1,106-19 50 AVENUE,CORONA,R4-ELEVATOR,24,2004,16136,387264,24,1680002,104,4-04977-0017,136-14 NORTHERN BOULEVARD,FLUSHING-NORTH,D6-ELEVATOR,63,2000,52477,1269490,24.19,5510000,105,1.9,4-00531-0059,14-56 31 DRIVE,ASTORIA,D6-ELEVATOR,63,2001,61700,1362613,22.08,5920000,96,4.25
4-02075-7501,143-R1,92-28 QUEENS BOULEVARD,REGO PARK,R4-ELEVATOR,112,1985,137200,2195200,16,8689988,63,4-02098-0018,63-36 98 PLACE,REGO PARK,D1-ELEVATOR,66,1980,66962,1150479,17.18,4550000,68,0.4,4-04954-0131,32-08 UNION STREET,FLUSHING-NORTH,D1-ELEVATOR,27,1999,35100,459108,13.08,1680000,47.9,3.2
