QUEENS CONDOMINIUM PROPERTY Boro-Block-Lot,QUEENS CONDOMINIUM PROPERTY Condo Section,QUEENS CONDOMINIUM PROPERTY Address,QUEENS CONDOMINIUM PROPERTY Neighborhood,QUEENS CONDOMINIUM PROPERTY Building Classification,QUEENS CONDOMINIUM PROPERTY Total Units,QUEENS CONDOMINIUM PROPERTY Year Built,QUEENS CONDOMINIUM PROPERTY Gross SqFt,QUEENS CONDOMINIUM PROPERTY Est. Gross Income,QUEENS CONDOMINIUM PROPERTY Gross Income per SqFt,QUEENS CONDOMINIUM PROPERTY Full Market Value,QUEENS CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
4-03029-7501,102-R1,71-09 JUNIPER VALLEY ROAD,MIDDLE VILLAGE,R2-WALK-UP,12,1985,13338,180063,13.5,657000,49.3,4-03050-0019,69-16 66 DRIVE,MIDDLE VILLAGE,C1-WALK-UP,16,1971,11209,182670,16.3,723000,65,0.2,4-05293-0045,166-15 DEPOT ROAD,FLUSHING-NORTH,C1-WALK-UP,16,1975,13549,154430,11.4,533000,39.3,5.5
4-03055-7501,142-R1,66-57 71 STREET,MIDDLE VILLAGE,R2-WALK-UP,12,1985,11160,167400,15,610998,55,4-00619-0033,31-20 28 ROAD,ASTORIA,C1-WALK-UP,12,1987,9053,138840,15.34,550000,61,4.2,4-01606-0052,40-37 97 STREET,CORONA,C1-WALK-UP,16,1990,12304,215496,17.51,853000,69,2.6
4-03055-7502,169-R1,71-57 METROPOLITAN AVENUE,MIDDLE VILLAGE,R2-WALK-UP,49,1987,50670,709380,14,2590008,51,4-03156-0092,66-23 AUSTIN STREET,REGO PARK,D1-ELEVATOR,55,1985,51700,697950,13.5,2550000,49.3,1.65,4-02324-0035,44-20 63 STREET,WOODSIDE,D9-ELEVATOR,78,1982,58000,1297398,22.37,3040000,52,2.1
4-03057-7501,204-R1,72-29 METROPOLITAN AVENUE,MIDDLE VILLAGE,R4-ELEVATOR,28,1987,31080,528360,17,2090000,67,4-02098-0018,63-36 98 PLACE,REGO PARK,D1-ELEVATOR,66,1980,66962,1150479,17.18,4550000,68,1.75,4-09260-0011,85-18 118 STREET,KEW GARDENS,D1-ELEVATOR,48,1959,37772,538089,14.25,1960000,52,2.65
4-03068-7501,163-R1,66-70 79 STREET,MIDDLE VILLAGE,R2-WALK-UP,18,1987,18696,336528,18,1330001,71,4-02886-0019,60-16 86 STREET,MIDDLE VILLAGE,C7-WALK-UP,12,1982,7331,130000,17.73,515000,70,1.1,4-03068-0058,66-52 79 STREET,MIDDLE VILLAGE,C1-WALK-UP,19,1973,18480,295000,15.96,1170000,63,0
4-03081-7501,404-R1,63-47 BOOTH STREET,REGO PARK,R4-ELEVATOR,21,2001,40000,880000,22,3819996,95,4-03155-0019,66-02 AUSTIN STREET,REGO PARK,D1-ELEVATOR,66,1998,57600,1281157,22.24,5560000,97,0.5,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,584508,25.8,2540000,112,0.65
4-03096-7501,137-R1,63-80 WETHEROLE STREET,REGO PARK,R4-ELEVATOR,42,1960,26118,398299,15.25,1579995,60,4-03321-0111,83-96 118 STREET,KEW GARDENS,D1-ELEVATOR,44,1960,30900,444138,14.37,1620000,52,2.15,4-03117-0017,89-10 63 DRIVE,REGO PARK,D1-ELEVATOR,36,1957,23100,322659,13.97,1180000,51,0.2
4-03097-7503,236-R1,64-49 WETHEROLE STREET,REGO PARK,R4-ELEVATOR,56,1961,39840,557760,14,2039997,51,4-03087-0021,65-62 SAUNDERS STREET,REGO PARK,D3-ELEVATOR,38,1954,26400,368700,13.97,1350000,51,0.15,4-03117-0017,89-10 63 DRIVE,REGO PARK,D1-ELEVATOR,36,1957,23100,322659,13.97,1180000,51,0.3
4-03097-7504,288-R1,65-04 BOOTH STREET,REGO PARK,R9-CONDOPS,68,1961,23531,364730,15.5,1400000,59,4-03087-0021,65-62 SAUNDERS STREET,REGO PARK,D3-ELEVATOR,38,1954,26400,368700,13.97,1350000,51,0.15,4-03117-0017,89-10 63 DRIVE,REGO PARK,D1-ELEVATOR,36,1957,23100,322659,13.97,1180000,51,0.3
4-03097-7505,337-R1,65-20 BOOTH STREET,REGO PARK,R4-ELEVATOR,67,1941,63693,891702,14,3250000,51,4-03078-0110,93-54 QUEENS BOULEVARD,REGO PARK,D7-ELEVATOR,65,1939,64935,807438,12.43,2790000,43,0.4,4-03086-0002,65-41 SAUNDERS STREET,REGO PARK,D1-ELEVATOR,61,1940,60000,844200,14.07,3080000,51,0.15
4-03097-7506,547-R1,64-48 BOOTH STREET,REGO PARK,R4-ELEVATOR,36,1955,23172,359166,15.5,1420001,61,4-03097-0038,64-85 WETHEROLE STREET,REGO PARK,D1-ELEVATOR,56,1952,50400,671167,13.32,2450000,48.6,0,4-03117-0017,89-10 63 DRIVE,REGO PARK,D1-ELEVATOR,36,1957,23100,322659,13.97,1180000,51,0.3
4-03100-7501,56-R1,65-36 WETHEROLE STREET,REGO PARK,R4-ELEVATOR,64,1941,66324,895374,13.5,3270002,49.3,4-03086-0002,65-41 SAUNDERS STREET,REGO PARK,D1-ELEVATOR,61,1940,60000,844200,14.07,3080000,51,0.15,,,,,,,,,,,,
4-03102-7501,262-R1,87 62 AVENUE,REGO PARK,R4-ELEVATOR,78,1988,67502,1215036,18,4809993,71,4-02098-0018,63-36 98 PLACE,REGO PARK,D1-ELEVATOR,66,1980,66962,1150479,17.18,4550000,68,0.55,4-03104-0108,65-90 AUSTIN STREET,REGO PARK,D1-ELEVATOR,66,1998,57600,1313873,22.81,5700000,99,0.4
4-03115-7501,72-R1,63-85 WOODHAVEN BOULEVARD,REGO PARK,R4-ELEVATOR,164,1952,149558,2243370,15,8190022,55,4-03155-0027,98-01 67 AVENUE,REGO PARK,D3-ELEVATOR,286,1959,275197,4144718,15.06,16400000,60,0.5,4-03085-0008,64-20 SAUNDERS STREET,REGO PARK,D1-ELEVATOR,150,1950,127152,1788405,14.07,6530000,51,0.5
4-03159-7501,259-R1,98-76 QUEENS BOULEVARD,REGO PARK,R4-ELEVATOR,66,1939,63000,856800,13.6,3129998,49.7,4-03080-0001,63-07 SAUNDERS STREET,REGO PARK,D1-ELEVATOR,60,1939,62400,791271,12.68,2730000,43.8,0.5,4-03080-0006,95-08 QUEENS BOULEVARD,REGO PARK,D1-ELEVATOR,60,1941,62400,838819,13.44,3060000,49,0.5
4-03169-7501,356-R1,99-34 67 ROAD,REGO PARK,R4-ELEVATOR,67,1941,63998,959970,15,3500013,55,4-03155-0027,98-01 67 AVENUE,REGO PARK,D3-ELEVATOR,286,1959,275197,4144718,15.06,16400000,60,0.2,4-03080-0006,95-08 QUEENS BOULEVARD,REGO PARK,D1-ELEVATOR,60,1941,62400,838819,13.44,3060000,49,0.65
4-03171-7501,68-R1,100-10 67 ROAD,REGO PARK,R4-ELEVATOR,64,1941,71316,1069740,15,3900034,55,4-02225-0006,109-05 QUEENS BOULEVARD,FOREST HILLS,D1-ELEVATOR,65,1936,72800,989866,13.6,3610000,49.6,0.65,,,,,,,,,,,,
4-03171-7502,419-R1,101-18 QUEENS BOULEVARD,REGO PARK,R9-CONDOPS,31,1964,26930,471275,17.5,1810000,67,4-03117-0017,89-10 63 DRIVE,REGO PARK,D1-ELEVATOR,36,1957,23100,322659,13.97,1180000,51,0.65,4-03083-0079,95-11 64 ROAD,REGO PARK,C1-WALK-UP,32,1993,27907,494807,17.73,1960000,70,0.55
4-03173-7501,330-R1,102-30 QUEENS BOULEVARD,REGO PARK,R9-CONDOPS,98,1991,145717,1967179,13.5,6990000,48,4-03078-0085,93-10 QUEENS BOULEVARD,REGO PARK,D7-ELEVATOR,114,1950,104708,1547151,14.78,5650000,54,0.85,4-03084-0020,97-50 QUEENS BOULEVARD,REGO PARK,D6-ELEVATOR,102,1941,106464,1291438,12.13,4460000,41.9,0.5
4-03239-7501,201-R1,107 QUEENS BOULEVARD,FOREST HILLS,R9-CONDOPS,162,1965,181853,2909648,16,11200000,62,4-03161-0001,66-22 FLEET STREET,FOREST HILLS,D1-ELEVATOR,130,1962,112800,1704408,15.11,6750000,60,0.6,4-03234-0051,68-09 BURNS STREET,FOREST HILLS,D1-ELEVATOR,228,1929,174480,3155815,18.09,12500000,72,0.2
4-03255-7501,118-R1,72-34 AUSTIN STREET,FOREST HILLS,R4-ELEVATOR,58,1932,38582,617312,16,2439991,63,4-03255-0028,71-50 AUSTIN STREET,FOREST HILLS,D7-ELEVATOR,53,1932,40398,888756,22,3860000,96,0,4-03258-0023,72-25 AUSTIN STREET,FOREST HILLS,D7-ELEVATOR,50,1920,48000,783864,16.33,3100000,65,0.1
4-03257-7501,450-R1,108-24 71 ROAD,FOREST HILLS,R4-ELEVATOR,95,2004,108788,2502124,23,10900003,100,4-06809-0001,75-25 153 STREET,FLUSHING-SOUTH,D8-ELEVATOR,388,2004,540846,9060925,16.75,35900000,66,1.65,,,,,,,,,,,,
4-03292-7501,293-R1,110-31 73 ROAD,FOREST HILLS,R9-CONDOPS,69,1938,71210,996940,14,3730000,52,4-02146-0028,63-10 108 STREET,FOREST HILLS,D7-ELEVATOR,76,1955,82730,987593,11.94,3410000,41.2,1.25,4-02225-0006,109-05 QUEENS BOULEVARD,FOREST HILLS,D1-ELEVATOR,65,1936,72800,989866,13.6,3610000,49.6,0.2
4-03293-7501,194-R1,110 73 ROAD,FOREST HILLS,R9-CONDOPS,66,1942,93800,1313200,14,4920000,52,4-02122-0028,102-50 62 ROAD,FOREST HILLS,D1-ELEVATOR,102,1956,99350,1258396,12.67,4340000,43.7,1.45,4-02225-0006,109-05 QUEENS BOULEVARD,FOREST HILLS,D1-ELEVATOR,65,1936,72800,989866,13.6,3610000,49.6,0.25
4-03321-7501,88-R1,83-85 116 STREET,KEW GARDENS,R4-ELEVATOR,75,1956,65990,923860,14,3370003,51,4-03321-0061,83-31 116 STREET,KEW GARDENS,D1-ELEVATOR,180,1950,140196,2009768,14.34,7340000,52,0.15,4-03321-0037,83-46 118 STREET,KEW GARDENS,D1-ELEVATOR,84,1931,70059,900127,12.85,3110000,44.4,0.15
4-03321-7502,455-R1,83-75 117 STREET,KEW GARDENS,R4-ELEVATOR,39,2004,42795,684720,16,2710005,63,4-03329-0057,118-65 METROPOLITAN AVENU,KEW GARDENS,D1-ELEVATOR,55,1927,34500,499896,14.49,1820000,53,0.2,4-03359-0011,123-20 82 AVENUE,KEW GARDENS,D7-ELEVATOR,18,1996,12905,238715,18.5,945000,73,0.65
4-03321-7503,435-R1,83-71 116 STREET,KEW GARDENS,R4-ELEVATOR,30,2001,38000,760000,20,3300004,87,4-03329-0057,118-65 METROPOLITAN AVENU,KEW GARDENS,D1-ELEVATOR,55,1927,34500,499896,14.49,1820000,53,0.2,4-03359-0011,123-20 82 AVENUE,KEW GARDENS,D7-ELEVATOR,18,1996,12905,238715,18.5,945000,73,0.65
4-03321-7504,461-R1,116-24 GROSVENOR LANE,KEW GARDENS,R4-ELEVATOR,59,2005,52033,1300825,25,5650004,109,4-04977-0017,136-14 NORTHERN BOULEVARD,FLUSHING-NORTH,D6-ELEVATOR,63,2000,52477,1269490,24.19,5510000,105,3.9,4-03155-0019,66-02 AUSTIN STREET,REGO PARK,D1-ELEVATOR,66,1998,57600,1281157,22.24,5560000,97,1.7
4-03322-7501,410-R1,118-82 METROPOLITAN AVENU,KEW GARDENS,R4-ELEVATOR,41,2002,35180,773960,22,3359997,96,4-03155-0019,66-02 AUSTIN STREET,REGO PARK,D1-ELEVATOR,66,1998,57600,1281157,22.24,5560000,97,1.8,,,,,,,,,,,,
4-03339-7501,305-R1,111-50 70 AVENUE,FOREST HILLS,R9-CONDOPS,88,1987,115082,1726230,15,6470000,56,4-03083-0079,95-11 64 ROAD,REGO PARK,C1-WALK-UP,32,1993,27907,494807,17.73,1960000,70,1.55,4-03342-0022,111-46 76 DRIVE,FOREST HILLS,D1-ELEVATOR,24,1966,21396,313715,14.66,1150000,54,0.15
4-03340-7501,63-R1,111-14 76 AVENUE,FOREST HILLS,R4-ELEVATOR,95,1938,84954,1231833,14.5,4500016,53,4-02222-0001,70-11 108 STREET,FOREST HILLS,D7-ELEVATOR,78,1939,73020,1253569,17.17,4960000,68,0.55,4-02225-0006,109-05 QUEENS BOULEVARD,FOREST HILLS,D1-ELEVATOR,65,1936,72800,989866,13.6,3610000,49.6,0.45
4-03342-7501,289-R1,111-56 76 DRIVE,FOREST HILLS,R4-ELEVATOR,39,1939,31511,488420,15.5,1929993,61,4-03341-0001,111-10 76 ROAD,FOREST HILLS,D1-ELEVATOR,60,1937,56636,849540,15,3100000,55,0.05,4-03255-0028,71-50 AUSTIN STREET,FOREST HILLS,D7-ELEVATOR,53,1932,40398,888756,22,3860000,96,0.5
4-03347-7501,193-R1,119-45 UNION TURNPIKE,FOREST HILLS,R4-ELEVATOR,59,1971,51376,822016,16,3250005,63,4-03341-0008,111-20 76 ROAD,FOREST HILLS,D1-ELEVATOR,66,1937,57909,868635,15,3170000,55,0.2,4-03322-0043,83-33 118 STREET,KEW GARDENS,D1-ELEVATOR,79,1979,72147,1259233,17.45,4980000,69,0.6
4-03358-7501,202-R1,123-25 82 AVENUE,KEW GARDENS,R9-CONDOPS,108,1951,66880,936320,14,3510000,52,4-03321-0018,83-10 118 STREET,KEW GARDENS,D1-ELEVATOR,79,1954,74118,952416,12.85,3290000,44.4,0.55,4-03321-0111,83-96 118 STREET,KEW GARDENS,D1-ELEVATOR,44,1960,30900,444138,14.37,1620000,52,0.65
4-03360-7501,144-R1,125-10 QUEENS BOULEVARD,KEW GARDENS,R9-CONDOPS,377,1960,419528,6712448,16,25800000,61,4-05137-0005,43-23 COLDEN STREET,FLUSHING-NORTH,D7-ELEVATOR,322,1965,317305,5169402,16.29,20500000,65,2.9,4-05137-0102,43-70 KISSENA BOULEVARD,FLUSHING-NORTH,D7-ELEVATOR,325,1965,317277,5180463,16.33,20500000,65,2.9
4-03371-7501,382-R1,2116 GREENE AVENUE,RIDGEWOOD,R2-WALK-UP,44,0,59400,831600,14,3039995,51,4-03631-0001,62-02 CATALPA AVENUE,RIDGEWOOD,C1-WALK-UP,81,1928,57716,736763,12.77,2540000,44,0.8,4-03545-0001,1605 PUTNAM AVENUE,RIDGEWOOD,C7-WALK-UP,49,1927,49530,529300,10.69,1640000,33.1,0.75
4-03456-7501,411-R1,714 SENECA AVENUE,RIDGEWOOD,R4-ELEVATOR,17,2002,12607,264747,21,1150002,91,4-03359-0011,123-20 82 AVENUE,KEW GARDENS,D7-ELEVATOR,18,1996,12905,238715,18.5,945000,73,4.25,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,584508,25.8,2540000,112,3.25
4-03494-7501,130-R1,5926 BLEECKER STREET,RIDGEWOOD,R2-WALK-UP,12,1987,10021,180378,18,714002,71,4-03359-0011,123-20 82 AVENUE,KEW GARDENS,D7-ELEVATOR,18,1996,12905,238715,18.5,945000,73,4,4-01606-0052,40-37 97 STREET,CORONA,C1-WALK-UP,16,1990,12304,215496,17.51,853000,69,3.2
4-03637-7501,350-R1,71-05 FRESH POND ROAD,GLENDALE,R4-ELEVATOR,64,0,64706,1164708,18,4610000,71,4-03874-0078,89-15 73 AVENUE,GLENDALE,C9-WALK-UP,52,1950,45040,798954,17.74,3160000,70,1.85,4-03873-0028,89-17 72 AVENUE,GLENDALE,C9-WALK-UP,52,1950,44928,829848,18.47,3280000,73,1.85
4-03667-7501,226-R1,72-52 METROPOLITAN AVENUE,GLENDALE,R2-WALK-UP,12,1988,9969,159504,16,631001,63,4-00619-0033,31-20 28 ROAD,ASTORIA,C1-WALK-UP,12,1987,9053,138840,15.34,550000,61,4.45,4-01606-0052,40-37 97 STREET,CORONA,C1-WALK-UP,16,1990,12304,215496,17.51,853000,69,2.9
4-03706-7501,449-R1,76-18 69 PLACE,GLENDALE,R4-ELEVATOR,50,1903,54954,769356,14,2809996,51,4-09712-0146,141-24 84 DRIVE,BRIARWOOD,D1-ELEVATOR,49,2003,53580,967316,18.05,3830000,71,3.6,,,,,,,,,,,,
4-03727-7501,378-R1,56-07 CLOVER PLACE,GLENDALE,R2-WALK-UP,28,0,20320,233680,11.5,806012,39.7,4-03683-0036,71-56 69 STREET,GLENDALE,C1-WALK-UP,12,1928,9300,96348,10.36,299000,32.2,1,4-03683-0041,71-66 69 STREET,GLENDALE,C1-WALK-UP,23,1928,13760,216582,15.74,857000,62,1
4-04044-7501,534-R1,14-34 110 STREET,COLLEGE POINT,R4-ELEVATOR,33,2002,30185,664070,22,2900009,96,4-04977-0017,136-14 NORTHERN BOULEVARD,FLUSHING-NORTH,D6-ELEVATOR,63,2000,52477,1269490,24.19,5510000,105,2.15,4-05182-0009,140-26 FRANKLIN AVENUE,FLUSHING-NORTH,D1-ELEVATOR,54,1999,53860,1013751,18.82,4010000,74,2.7
4-04259-7501,91-R1,122-15 25 ROAD,COLLEGE POINT,R2-WALK-UP,15,1983,11076,155064,14,566001,51,4-04256-0030,25-60 COLLEGE POINT BOULE,COLLEGE POINT,C1-WALK-UP,15,1964,11196,153497,13.71,560000,50,0.1,4-04292-0060,119-58 27 AVENUE,COLLEGE POINT,C1-WALK-UP,30,1966,17493,216414,12.37,747000,42.7,0.2
4-04410-7501,370-R1,137-11 32 AVENUE,FLUSHING-NORTH,R4-ELEVATOR,23,1990,22528,405504,18,1610003,71,4-02098-0018,63-36 98 PLACE,REGO PARK,D1-ELEVATOR,66,1980,66962,1150479,17.18,4550000,68,3,4-04977-0021,137-02 NORTHERN BOULEVARD,FLUSHING-NORTH,D1-ELEVATOR,71,2000,67324,1307992,19.43,5680000,84,0.45
4-04414-7501,476-R1,31-22 UNION STREET,FLUSHING-NORTH,R4-ELEVATOR,20,2006,18668,494702,26.5,2149999,115,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,584508,25.8,2540000,112,3.4,4-09760-0022,90-05 161 STREET,JAMAICA,D6-ELEVATOR,96,2003,54496,1451036,26.6,6300000,116,4.65
4-04414-7502,517-R1,140-24 31 DRIVE,FLUSHING-NORTH,R4-ELEVATOR,20,2005,15422,408683,26.5,1769994,115,4-04977-0017,136-14 NORTHERN BOULEVARD,FLUSHING-NORTH,D6-ELEVATOR,63,2000,52477,1269490,24.19,5510000,105,0.45,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,584508,25.8,2540000,112,3.4
4-04516-7501,563-R1,150-31 12 AVENUE,WHITESTONE,R4-ELEVATOR,49,2006,39140,743660,19,2940040,75,4-03083-0079,95-11 64 ROAD,REGO PARK,C1-WALK-UP,32,1993,27907,494807,17.73,1960000,70,5,4-05285-0010,163-02 CROCHERON AVENUE,FLUSHING-NORTH,C7-WALK-UP,15,1964,11866,202446,17.06,801000,68,2.1
4-04672-7501,74-R1,149-47 22 AVENUE,WHITESTONE,R2-WALK-UP,20,1947,14950,224250,15,819000,55,4-00893-0002,19-09 21 AVENUE,ASTORIA,C9-WALK-UP,27,1949,20763,345970,16.66,1370000,66,5.2,4-00893-0101,20-01 21 AVENUE,ASTORIA,C9-WALK-UP,27,1949,20763,347342,16.73,1370000,66,5.2
4-04952-7501,423-R1,32-05 LINDEN PLACE,FLUSHING-NORTH,R2-WALK-UP,18,2002,16915,321385,19,1270002,75,4-05024-0019,144-20 38 AVENUE,FLUSHING-NORTH,D1-ELEVATOR,70,1969,58411,1074251,18.39,4250000,73,0.65,4-05182-0009,140-26 FRANKLIN AVENUE,FLUSHING-NORTH,D1-ELEVATOR,54,1999,53860,1013751,18.82,4010000,74,0.9
4-04956-7501,222-R1,35-45 LEAVITT STREET,FLUSHING-NORTH,R4-ELEVATOR,24,1987,23100,323400,14,1180001,51,4-04954-0131,32-08 UNION STREET,FLUSHING-NORTH,D1-ELEVATOR,27,1999,35100,459108,13.08,1680000,47.9,0.15,4-04994-0041,140-74 34 AVENUE,FLUSHING-NORTH,D7-ELEVATOR,44,1987,38640,668155,17.29,2640000,68,0.15
4-04958-7501,431-R1,134-38 35 AVENUE,FLUSHING-NORTH,R2-WALK-UP,12,1996,8730,126585,14.5,461998,53,4-03359-0011,123-20 82 AVENUE,KEW GARDENS,D7-ELEVATOR,18,1996,12905,238715,18.5,945000,73,3.55,4-04954-0131,32-08 UNION STREET,FLUSHING-NORTH,D1-ELEVATOR,27,1999,35100,459108,13.08,1680000,47.9,0.4
4-04970-7501,511-R1,59-05 MAIN STREET,FLUSHING-NORTH,R4-ELEVATOR,47,2003,48785,1463550,30,7009991,144,4-04977-0017,136-14 NORTHERN BOULEVARD,FLUSHING-NORTH,D6-ELEVATOR,63,2000,52477,1269490,24.19,5510000,105,0.25,4-09760-0022,90-05 161 STREET,JAMAICA,D6-ELEVATOR,96,2003,54496,1451036,26.6,6300000,116,4.25
4-04971-7501,446-R1,135-37 37 AVENUE,FLUSHING-NORTH,R4-ELEVATOR,20,2004,14250,342000,24,1490002,105,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,584508,25.8,2540000,112,2.8,4-04977-0017,136-14 NORTHERN BOULEVARD,FLUSHING-NORTH,D6-ELEVATOR,63,2000,52477,1269490,24.19,5510000,105,0.15
4-04977-7501,71-R1,136-75 37 AVENUE,FLUSHING-NORTH,R4-ELEVATOR,80,1983,87612,1577016,18,6240010,71,4-05182-0009,140-26 FRANKLIN AVENUE,FLUSHING-NORTH,D1-ELEVATOR,54,1999,53860,1013751,18.82,4010000,74,0.55,4-04977-0090,136-45 37 AVENUE,FLUSHING-NORTH,D6-ELEVATOR,64,1997,71600,1316551,18.39,5210000,73,0
4-04981-7501,10-R1,140-55 34 AVENUE,FLUSHING-NORTH,R4-ELEVATOR,11,1967,12655,177170,14,646998,51,4-04981-0050,33-14 PARSONS BOULEVARD,FLUSHING-NORTH,D1-ELEVATOR,114,1963,99162,1365108,13.77,4980000,50,0,4-05021-0001,142-01 41 AVENUE,FLUSHING-NORTH,D1-ELEVATOR,106,1963,102023,1478626,14.49,5400000,53,0.5
4-04981-7501,10-R4,140-55 34 AVENUE,FLUSHING-NORTH,R4-ELEVATOR,80,1967,97877,1370278,14,4999994,51,4-04981-0050,33-14 PARSONS BOULEVARD,FLUSHING-NORTH,D1-ELEVATOR,114,1963,99162,1365108,13.77,4980000,50,0,4-05021-0001,142-01 41 AVENUE,FLUSHING-NORTH,D1-ELEVATOR,106,1963,102023,1478626,14.49,5400000,53,0.5
4-04994-7501,85-R1,139-35 35 AVENUE,FLUSHING-NORTH,R4-ELEVATOR,36,1984,34314,583338,17,2309996,67,4-05046-0045,142-09 BARCLAY AVENUE,FLUSHING-NORTH,D1-ELEVATOR,42,1970,38657,535482,13.85,1950000,50,0.5,4-05013-0038,37-14 PARSONS BOULEVARD,FLUSHING-NORTH,D1-ELEVATOR,173,1972,113522,2076317,18.29,8220000,72,0.25
4-04994-7502,103-R1,140-44 34 AVENUE,FLUSHING-NORTH,R4-ELEVATOR,15,1985,10668,186690,17.5,738999,69,4-03359-0011,123-20 82 AVENUE,KEW GARDENS,D7-ELEVATOR,18,1996,12905,238715,18.5,945000,73,3.75,4-05046-0045,142-09 BARCLAY AVENUE,FLUSHING-NORTH,D1-ELEVATOR,42,1970,38657,535482,13.85,1950000,50,0.5
4-04994-7503,220-R1,140-40 34 AVENUE,FLUSHING-NORTH,R4-ELEVATOR,16,1988,16140,266310,16.5,1049997,65,4-05046-0045,142-09 BARCLAY AVENUE,FLUSHING-NORTH,D1-ELEVATOR,42,1970,38657,535482,13.85,1950000,50,0.5,4-03359-0011,123-20 82 AVENUE,KEW GARDENS,D7-ELEVATOR,18,1996,12905,238715,18.5,945000,73,3.75
4-04994-7504,398-R1,139-87 35 AVENUE,FLUSHING-NORTH,R4-ELEVATOR,19,1997,16164,323280,20,1399998,87,4-05182-0009,140-26 FRANKLIN AVENUE,FLUSHING-NORTH,D1-ELEVATOR,54,1999,53860,1013751,18.82,4010000,74,0.7,4-04977-0021,137-02 NORTHERN BOULEVARD,FLUSHING-NORTH,D1-ELEVATOR,71,2000,67324,1307992,19.43,5680000,84,0.3
4-05002-7501,213-R1,139-76 35 AVENUE,FLUSHING-NORTH,R4-ELEVATOR,48,1987,31360,517440,16.5,2049995,65,4-05182-0009,140-26 FRANKLIN AVENUE,FLUSHING-NORTH,D1-ELEVATOR,54,1999,53860,1013751,18.82,4010000,74,0.65,4-07117-0189,193-02 HOR HARDING EXPWY,FRESH MEADOWS,D7-ELEVATOR,40,1988,51125,884462,17.3,3500000,68,2.8
4-05004-7501,181-R1,35-20 147 STREET,FLUSHING-NORTH,R4-ELEVATOR,66,1988,76680,1303560,17,5159995,67,4-05182-0009,140-26 FRANKLIN AVENUE,FLUSHING-NORTH,D1-ELEVATOR,54,1999,53860,1013751,18.82,4010000,74,0.7,4-07117-0189,193-02 HOR HARDING EXPWY,FRESH MEADOWS,D7-ELEVATOR,40,1988,51125,884462,17.3,3500000,68,2.6
4-05004-7502,439-R1,146-14 35 AVENUE,FLUSHING-NORTH,R4-ELEVATOR,18,2003,18730,393330,21,1710003,91,4-05182-0009,140-26 FRANKLIN AVENUE,FLUSHING-NORTH,D1-ELEVATOR,54,1999,53860,1013751,18.82,4010000,74,0.7,4-04977-0017,136-14 NORTHERN BOULEVARD,FLUSHING-NORTH,D6-ELEVATOR,63,2000,52477,1269490,24.19,5510000,105,0.55
4-05005-7501,316-R1,147-20 35 AVENUE,FLUSHING-NORTH,R4-ELEVATOR,84,1986,66756,1268364,19,5020000,75,4-05182-0009,140-26 FRANKLIN AVENUE,FLUSHING-NORTH,D1-ELEVATOR,54,1999,53860,1013751,18.82,4010000,74,0.7,,,,,,,,,,,,
4-05010-7501,25-R1,36-41 UNION STREET,FLUSHING-NORTH,R4-ELEVATOR,41,1979,37255,633335,17,2510006,67,4-05182-0009,140-26 FRANKLIN AVENUE,FLUSHING-NORTH,D1-ELEVATOR,54,1999,53860,1013751,18.82,4010000,74,0.55,4-04954-0131,32-08 UNION STREET,FLUSHING-NORTH,D1-ELEVATOR,27,1999,35100,459108,13.08,1680000,47.9,0.35
4-05010-7502,151-R1,36-25 UNION STREET,FLUSHING-NORTH,R4-ELEVATOR,63,1987,66196,1224626,18.5,4849996,73,4-04994-0070,139-81 35 AVENUE,FLUSHING-NORTH,D1-ELEVATOR,103,1971,78474,1497073,19.08,6500000,83,0.2,4-05022-0018,143-18 38 AVENUE,FLUSHING-NORTH,D1-ELEVATOR,109,1971,80241,1318100,16.43,5220000,65,0.2
