DBN,DISTRICT,SCHOOL,PRINCIPAL,2008-09 SCHOOL SUPPORT ORGANIZATION,PROGRESS REPORT TYPE,SCHOOL LEVEL*,PEER INDEX*,OVERALL GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,ENVIRONMENT GRADE,PERFORMANCE CATEGORY SCORE,PERFORMANCE GRADE,PROGRESS CATEGORY SCORE,PROGRESS GRADE,ADDITIONAL CREDIT,2007-08 PROGRESS REPORT GRADE,MOST RECENT QUALITY REVIEW SCORE,2008-09 STATE ACCOUNTABILITY STATUS
07X203,7,M.S. 203,William Hewlett Jr,CLSO,ESMS,Middle,2.72,A,79.7,9.3,B,19.4,A,44.2,A,6.8,B,Proficient (2007-08),Restructuring (year 1) -  Comprehensive
07X221,7,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,Ellen Reddon Flanagan,ESO,ESMS,Middle,2.95,A,99,8.7,B,23.9,A,58.9,A,7.5,C,Well Developed (2008-09),In Good Standing
07X221,7,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,ELLEN REDDON FLANAGAN,ESO,HS,High School,2.2,A,101.7,10.9,A,24.5,A,57.3,A,9,A,Well Developed (2008-09),In Good Standing
07X223,7,M.S. 223 THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY,Ramon Gonzalez,ESO,ESMS,Middle,3.02,A,89.3,12.4,A,24.2,A,45.2,A,7.5,A,Well Developed (2007-08),In Good Standing
07X224,7,P.S. / I.S. 224,Charles Johnson,ESO,ESMS,Middle,2.63,A,87.5,9.4,B,22.9,A,45.4,A,9.8,A,Proficient (2007-08),Restructuring (year 1) -  Comprehensive
07X277,7,P.S. 277,Cheryl Tyler,ICI,ESMS,Elementary,63.16,A,71.1,10.3,A,13.9,B,42.4,A,4.5,D,Proficient (2008-09),Corrective Action (year 1) -  Focused
07X296,7,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,Roshone Ault,CEI-PEA,ESMS,Middle,2.64,A,83.7,11.1,A,21.4,A,45.2,A,6,D,Proficient (2008-09),In Good Standing
07X298,7,ACADEMY OF PUBLIC RELATIONS,Amy Andino,CEI-PEA,ESMS,Middle,2.63,A,82.6,8.6,B,21.1,A,45.4,A,7.5,B,Proficient (2007-08),In Good Standing
07X321,7,CROTONA ACADEMY HIGH SCHOOL,Anthony W. Harris,ESO,HS,Transfer School,2.19,B,56.7,9.4,B,9.8,D,36.2,B,1.3,B,Well Developed (2007-08),Corrective Action (year 1) -  Comprehens
07X334,7,INTERNATIONAL COMMUNITY HIGH SCHOOL,Berena Cabarcas,ESO,HS,High School,1.73,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4,,Underdeveloped with Proficient Features (2008-09),Pending
07X343,7,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,Rose-Marie Mills,ESO,ESMS,Middle,2.79,A,102,13.8,A,24,A,53.7,A,10.5,A,Proficient (2007-08),In Good Standing
07X369,7,YOUNG LEADERS ELEMENTARY SCHOOL,Karen Collins,ICI,ESMS,Elementary,66.08,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,No QR in last two years,In Good Standing
07X379,7,JILL CHAIFETZ TRANSFER HIGH SCHOOL,ANNE FENNELLY,New Visions,HS,Transfer School,2.28,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1.3,,Underdeveloped with Proficient Features (2008-09),In Good Standing
07X385,7,PERFORMANCE SCHOOL,Lourdes Estrella,ESO,ESMS,Elementary,67.09,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,No QR in last two years,In Good Standing
07X427,7,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,Sue-Ann Rosch,ESO,HS,High School,2.08,B,59.7,11.6,A,11.8,C,28.3,C,8,C,Proficient (2008-09),In Good Standing
07X473,7,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,Flavia Puello Perdomo,ESO,HS,High School,1.98,A,78.7,11.9,A,14.8,B,46,A,6,A,Proficient (2008-09),In Good Standing
07X500,7,HOSTOS-LINCOLN ACADEMY OF SCIENCE,Nicholas Paarlberg,CUNY,ESMS,Middle,3.12,A,87.4,8.9,B,18.1,A,48.4,A,12,B,Proficient (2007-08),In Good Standing
07X500,7,HOSTOS-LINCOLN ACADEMY OF SCIENCE,Nicholas Paarlberg,CUNY,HS,High School,2.93,B,60.8,8.7,B,16.4,B,33.7,B,2,B,Proficient (2007-08),In Good Standing
07X520,7,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,Leba Collins Augone,ICI,HS,High School,2.29,B,58.2,10.2,B,13.5,B,30.5,C,4,B,Proficient (2007-08),In Good Standing
07X547,7,NEW EXPLORERS HIGH SCHOOL,Denise Simone,New Visions,HS,High School,2.09,C,45.4,7.3,C,13.4,C,24.7,D,0,B,Proficient (2007-08),Restructuring (year 1) -  Comprehensive
07X548,7,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,Felice Lepore,ESO,HS,High School,2.6,A,85.1,11.2,A,20.4,A,47.5,A,6,A,Proficient (2007-08),In Good Standing
07X551,7,BRONX ACADEMY OF LETTERS,Joan Sullivan,ESO,ESMS,Middle,2.8,A,93,13.1,A,25,A,51.1,A,3.8,,Well Developed (2008-09),In Good Standing
07X551,7,BRONX ACADEMY OF LETTERS,Joan Sullivan,ESO,HS,High School,2.48,A,83.9,12.7,A,22.1,A,46.1,A,3,A,Well Developed (2008-09),In Good Standing
07X600,7,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,Rene Cassanova,ICI,HS,High School,1.84,C,52.4,5.6,D,15.2,B,29.6,C,2,C,Proficient (2008-09),Restructuring (year 2) -  Comprehensive
07X655,7,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,Joyce Mills Kittrell,ICI,HS,High School,1.87,D,43.7,4.7,F,11.3,C,27.7,C,0,B,Proficient (2007-08),Improvement (year 1) -  Comprehensive
07X670,7,HEALTH OPPORTUNITIES HIGH SCHOOL,Carron Staple,ICI,HS,High School,2.32,C,53.1,8,C,10.5,D,32.6,B,2,B,Proficient (2007-08),In Good Standing
08X014,8,P.S. X014 SENATOR JOHN CALANDRA,Jason Kovac,ESO,ESMS,Elementary,39.52,A,72.6,8,C,17.8,A,41.5,A,5.3,B,Well Developed (2008-09),In Good Standing
08X036,8,P.S. 036 UNIONPORT,Nilda Rivera,LLSO,ESMS,Elementary,55.71,A,101.2,11.9,A,24.8,A,55.5,A,9,A,Well Developed (2007-08),In Good Standing
08X048,8,P.S. 048 JOSEPH R. DRAKE,Roxanne Cardona,LLSO,ESMS,Elementary,65.03,A,88.1,7.8,C,20.8,A,50.5,A,9,A,Well Developed (2007-08),In Good Standing
08X062,8,P.S. 062 INOCENSIO CASANOVA,Lisa Manfredonia,ESO,ESMS,Elementary,65.18,A,78.1,10.5,A,18.2,A,38.9,B,10.5,A,Well Developed (2007-08),Improvement (year 1) -  Basic
08X069,8,P.S. 069 THE NEW VISION SCHOOL,Alan Cohen,CEI-PEA,ESMS,Elementary,61.62,A,91.1,13.1,A,24.8,A,50.2,A,3,A,Well Developed (2007-08),In Good Standing
08X071,8,P.S. 071 ROSE E. SCALA,Lance Cooper,ESO,ESMS,K-8,36.52,A,80.8,6,D,16.7,B,49.8,A,8.3,B,Well Developed (2007-08),In Good Standing
08X072,8,P.S. 072 DR. WILLIAM DORNEY,Margarita Colon,LLSO,ESMS,Elementary,57.96,A,96.9,8.3,B,18.6,A,58.7,A,11.3,B,Proficient (2007-08),Improvement (year 2) -  Basic
08X075,8,P.S. 075,Marines Arrieta-Cruz,CEI-PEA,ESMS,Elementary,65.4,A,83.2,8.9,B,20,A,47.5,A,6.8,A,Proficient (2007-08),Restructuring (Advanced) -  Focused
08X093,8,P.S. 093 ALBERT G. OLIVER,Donald Mattson,ESO,ESMS,Elementary,62.17,A,75.1,10.5,A,18.9,A,43.4,A,2.3,A,Proficient (2007-08),Corrective Action (year 2) -  Focused
08X100,8,P.S. 100 ISAAC CLASON,Chad Adam Altman,LLSO,ESMS,Elementary,58.98,B,67.5,8.3,B,20.4,A,35,B,3.8,B,Well Developed (2007-08),In Good Standing
08X101,8,M.S. X101 EDWARD R. BYRNE,Kim Hampton Hewitt,LLSO,ESMS,Middle,3.88,C,48.5,11,A,18,A,19.5,F,0,B,Well Developed (2007-08),In Good Standing
08X107,8,P.S. 107,Melba G. Parks,ESO,ESMS,Elementary,62.16,B,66.9,9,B,15.2,B,40.4,B,2.3,A,Well Developed (2007-08),In Good Standing
08X119,8,P.S. 119,Lydia Tyner,LLSO,ESMS,Elementary,49.8,A,71.2,8.5,B,17.3,A,41.6,A,3.8,A,Well Developed (2007-08),In Good Standing
08X123,8,J.H.S. 123 JAMES M. KIERAN,Virginia Connelly,LLSO,ESMS,Middle,2.85,A,98.7,12.2,A,25,A,54,A,7.5,B,Well Developed (2007-08),In Good Standing
08X125,8,J.H.S. 125 HENRY HUDSON,Hilda Bairan,LLSO,ESMS,Middle,3.14,B,55.1,6.5,C,15.7,B,26.9,C,6,B,Proficient (2007-08),Restructuring (Advanced) -  Focused
08X130,8,P.S. 130 ABRAM STEVENS HEWITT,Lourdes Velazquez,LLSO,ESMS,Elementary,64.74,B,67.8,8.6,B,13.7,B,42.5,A,3,C,Proficient (2008-09),Improvement (year 1) -  Basic
08X131,8,J.H.S. 131 ALBERT EINSTEIN,Edward C. Leotta,LLSO,ESMS,Middle,3.16,B,67.4,7,C,16.6,B,38.5,B,5.3,B,Proficient (2007-08),In Good Standing
08X138,8,P.S. 138 SAMUEL RANDALL,Lorraine Carrol-Dawkins,LLSO,ESMS,Elementary,58.44,A,75.9,10.9,A,19.5,A,39.5,B,6,A,Proficient (2007-08),In Good Standing
08X140,8,P.S. 140 EAGLE,Paul Cannon,ESO,ESMS,Elementary,63.76,A,86.2,9.6,B,19.3,A,47.5,A,9.8,B,Well Developed (2007-08),In Good Standing
08X146,8,P.S. 146 EDWARD COLLINS,Janet Sanderson-Brown,ESO,ESMS,Elementary,63.62,A,78.1,8.1,B,18.5,A,46.2,A,5.3,A,Proficient (2007-08),In Good Standing
08X152,8,P.S. 152 EVERGREEN,Frances Lynch,LLSO,ESMS,Elementary,64.22,A,94,9.3,B,17.9,A,58.5,A,8.3,A,Well Developed (2007-08),Restructuring (Advanced) -  Focused
08X174,8,I.S. 174 EUGENE T. MALESKA,Sharon Delaney,LLSO,ESMS,Middle,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,No QR in last two years,Restructuring (Advanced) -  Comprehensive
08X182,8,P.S. 182,Anne O'Grady,LLSO,ESMS,Elementary,54.43,A,79.3,9.4,B,21.9,A,44.2,A,3.8,A,Well Developed (2007-08),In Good Standing
08X192,8,I.S. 192 PIAGENTINI-JONES,Jeanette Vargas,LLSO,ESMS,Middle,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,No QR in last two years,Restructuring (Advanced) -  Focused
08X282,8,WOMEN'S ACADEMY OF EXCELLENCE,Arnette Crocker,New Visions,ESMS,Middle,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,A,Proficient (2008-09),In Good Standing
08X282,8,WOMEN'S ACADEMY OF EXCELLENCE,Arnette Crocker,New Visions,HS,High School,2.62,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,,Proficient (2008-09),In Good Standing
08X293,8,RENAISSANCE HIGH SCHOOL OF MUSICAL THEATER & TECHNOLOGY,MARIA N HERRERA,ESO,HS,High School,2.26,A,81.3,11,A,14.7,B,45.6,A,10,A,Well Developed (2008-09),In Good Standing
08X295,8,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,Clifford Siegel,LLSO,HS,High School,2,C,51.4,6.1,D,14.7,B,28.6,C,2,B,Proficient (2007-08),Improvement (year 1) -  Comprehensive
08X301,8,M.S. 301 PAUL L. DUNBAR,Benjamin Basile,ESO,ESMS,Middle,2.7,B,65.5,6.5,C,20.2,A,33.5,B,5.3,B,Well Developed (2007-08),In Good Standing
08X302,8,M.S. 302 LUISA DESSUS CRUZ,Angel Rodriguez,LLSO,ESMS,Middle,2.78,A,100,11.7,A,25,A,51.3,A,12,A,Well Developed (2007-08),Corrective Action (year 2) -  Focused
08X304,8,P.S. 304 EARLY CHILDHOOD SCHOOL,Joseph Nobile,LLSO,ESMS,Elementary,40.91,A,90.9,10.4,A,23.4,A,55.6,A,1.5,A,Well Developed (2007-08),In Good Standing
08X305,8,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,IVAN COHEN,ESO,HS,High School,1.95,C,51.6,7.6,C,11,C,31,C,2,B,Proficient (2007-08),In Good Standing
08X312,8,MILLENNIUM ART ACADEMY,Maxine Nodel,LLSO,HS,High School,2.08,A,78.1,12.1,A,18.2,A,39.8,B,8,A,Well Developed (2007-08),Improvement (year 1) -  Basic
08X332,8,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,Sharif Rucker,ESO,HS,High School,2.04,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7,,Proficient (2008-09),Pending
08X335,8,NEW SCHOOL #2 @ P.S. 60,Erik Wright,LLSO,ESMS,Elementary,64.53,A,102.6,11.9,A,18.7,A,60,A,12,C,Proficient (2008-09),In Good Standing
08X337,8,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,Andrea Cyprys,CEI-PEA,ESMS,Middle,2.84,A,103,11.1,A,25,A,58.6,A,8.3,A,Well Developed (2007-08),In Good Standing
08X366,8,URBAN ASSEMBLY ACADEMY OF CIVIC ENGAGEMENT,Cameron Berube,ESO,ESMS,Middle,2.92,A,82.2,11.4,A,25,A,42.8,A,3,,Proficient (2008-09),In Good Standing
08X367,8,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",Miriam Lazar,LLSO,ESMS,Middle,2.94,A,92.8,8,C,25,A,50.8,A,9,,Proficient (2008-09),In Good Standing
08X371,8,URBAN INSTITUTE OF MATHEMATICS,Jennifer Joynt,LLSO,ESMS,Middle,3.02,A,94.1,13.4,A,25,A,52.7,A,3,,Well Developed (2008-09),In Good Standing
08X375,8,THE BRONX MATHEMATICS PREPARATORY SCHOOL,Mark D. Clarke,LLSO,ESMS,Middle,3.04,A,68.1,7.1,C,19,A,36.7,B,5.3,,Proficient (2008-09),In Good Standing
08X376,8,"ANTONIA PANTOJA PREPARATORY ACADEMY, A COLLEGE BOARD SCHOOL",Nancy Jacqueline Diaz,ESO,ESMS,Middle,2.94,A,96,11.4,A,25,A,56.6,A,3,,Proficient (2008-09),In Good Standing
08X377,8,BRONX COMMUNITY HIGH SCHOOL,MATTHEW ROBERTS,New Visions,HS,Transfer School,2.15,B,57,7.4,C,11.1,C,38.5,B,0,,Underdeveloped with Proficient Features (2008-09),In Good Standing
08X381,8,BRONX HAVEN HIGH SCHOOL,Lucinda Mendez,New Visions,HS,Transfer School,2.15,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2.5,,,In Good Standing
08X405,8,HERBERT H. LEHMAN HIGH SCHOOL,Janet Saraceno Test,LLSO,HS,High School,2.18,Pending,,,,,,,,,,,
,,,,,,,,,,,,,,,,,B,Proficient (2008-09),Restructuring (Advanced) -  Comprehensive
08X424,8,THE HUNTS POINT SCHOOL,John Hughes,LLSO,ESMS,Middle,2.87,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,No QR in last two years,In Good Standing
08X450,8,ADLAI E. STEVENSON HIGH SCHOOL,John Tornifolio,LLSO,HS,High School,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,,,Restructuring (Advanced) -  Comprehensive
08X452,8,BRONX GUILD,Sam Decker,ESO,HS,High School,1.95,C,49.5,9.5,B,14.1,B,23.9,D,2,B,Proficient (2008-09),Improvement (year 1) -  Comprehensive
08X519,8,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",Ms. Grismaldy Laboy-Wilson,LLSO,HS,High School,2.05,B,56.6,7.9,C,16.1,B,31.6,C,1,C,Proficient (2008-09),In Good Standing
08X530,8,BANANA KELLY HIGH SCHOOL,Joshua Laub,New Visions,HS,High School,2.04,C,50.6,11.1,A,11.2,C,28.3,C,0,B,Well Developed (2007-08),Improvement (year 2) -  Basic
08X540,8,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,William Mulqueen,New Visions,HS,High School,1.86,C,44.1,8.5,B,9.4,D,26.2,D,0,B,Proficient (2007-08),Improvement (year 1) -  Comprehensive
08X560,8,HIGH SCHOOL X560 - BRONX ACADEMY HIGH SCHOOL,PATRICE ENGLISH-YOUNG,ESO,HS,Transfer School,2.23,F,33.5,4,F,12.1,C,17.4,F,0,C,Proficient (2008-09),In Good Standing
08X650,8,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,SHARRON SMALLS,CEI-PEA,HS,High School,1.95,C,53.1,6.3,D,12.7,C,33.1,B,1,D,Proficient (2008-09),Corrective Action (year 2) -  Comprehensive
08X686,8,NEW SCHOOL FOR ARTS AND SCIENCE,Donald Amaker,LLSO,HS,High School,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,,,Restructuring (year 1) -  Focused
09X002,9,P.S. 002 MORRISANIA,Alexei Nichols,ICI,ESMS,Elementary,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,D,Proficient (2007-08),In Good Standing
09X004,9,P.S./M.S. 004 CROTONA PARK WEST,Vincent Resto,ESO,ESMS,K-8,67.52,A,104.2,9.4,B,23.5,A,60,A,11.3,A,Well Developed (2007-08),Restructuring (Advanced) -  Focused
09X011,9,P.S. 011 HIGHBRIDGE,Elizabeth Hachar,ICI,ESMS,Elementary,63.85,A,71.2,3.6,F,16.2,B,49.9,A,1.5,C,Proficient (2008-09),In Good Standing
09X022,9,J.H.S. 022 JORDAN L. MOTT,Linda Rosenbury,ESO,ESMS,Middle,2.79,A,70.4,10.5,A,17.8,A,40.6,B,1.5,C,Proficient (2008-09),Restructuring (Advanced) -  Comprehensive
09X028,9,P.S. 028 MOUNT HOPE,Marie Barresi,ESO,ESMS,Elementary,68.37,A,103,9,B,23.5,A,60,A,10.5,B,Well Developed (2008-09),In Good Standing
09X035,9,P.S. 035 FRANZ SIEGEL,Graciela Navarro,ESO,ESMS,Elementary,63.28,A,75,10.4,A,20.8,A,39.3,B,4.5,B,Well Developed (2007-08),In Good Standing
09X042,9,P.S. 042 CLAREMONT,Camille Wallin,ESO,ESMS,Elementary,65.79,A,85.8,12.1,A,21.1,A,44.3,A,8.3,A,Well Developed (2007-08),In Good Standing
09X053,9,P.S. 053 BASHEER QUISIM,Collin Wolfe,ICI,ESMS,Elementary,59.53,A,83.6,8.6,B,18.2,A,47,A,9.8,C,Proficient (2008-09),In Good Standing
09X055,9,P.S. 055 BENJAMIN FRANKLIN,Luis Torres,ICI,ESMS,Elementary,67.19,A,85.3,10.7,A,18.1,A,49,A,7.5,B,Proficient (2007-08),Restructuring (Advanced) -  Focused
09X058,9,P.S. 058,Velma Gunn,CEI-PEA,ESMS,Elementary,65.94,C,52.5,4.3,F,14.8,B,31.9,C,1.5,B,Well Developed (2007-08),In Good Standing
09X063,9,P.S. 063 AUTHOR'S ACADEMY,Reinaldo Diaz-Lens,ICI,ESMS,Elementary,65.68,A,87.9,13,A,25,A,45.4,A,4.5,A,Well Developed (2007-08),In Good Standing
09X064,9,P.S. 064 PURA BELPRE,Beverly Harrigan,ICI,ESMS,Elementary,68.51,A,73.2,8.3,B,15.3,B,43.6,A,6,C,Underdeveloped with Proficient Features (2008-09),Restructuring (Advanced) -  Focused
09X070,9,P.S. 070 MAX SCHOENFELD,Kerry Castellano,ICI,ESMS,Elementary,61.41,A,81.5,5.3,D,14.3,B,52.1,A,9.8,B,Proficient (2007-08),Restructuring (Advanced) -  Focused
09X073,9,P.S. 073 BRONX,Jean Mirvil,ICI,ESMS,Elementary,63.34,A,73.7,10.1,B,11.6,C,46,A,6,C,Underdeveloped with Proficient Features (2008-09),Restructuring (Advanced) -  Focused
09X090,9,P.S. 090 GEORGE MEANY,Patricia West,ICI,ESMS,Elementary,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,F,Underdeveloped with Proficient Features (2007-08),In Good Standing
09X109,9,P.S. 109 SEDGWICK,Amanda Blatter,ICI,ESMS,Elementary,65.24,A,98,11.7,A,21.5,A,56.5,A,8.3,B,Well Developed (2007-08),In Good Standing
09X110,9,P.S. 110 THEODORE SCHOENFELD,Daisy Perez,ESO,ESMS,Elementary,69.68,A,88,12.8,A,23.2,A,48.2,A,3.8,A,Well Developed (2007-08),In Good Standing
09X114,9,P.S. X114 - LUIS LLORENS TORRES SCHOOLS,Olivia Francis-Webber,ESO,ESMS,Elementary,64.4,A,80.8,9.7,B,15.2,B,52.9,A,3,D,Proficient (2008-09),Restructuring (year 2) -  Focused
09X117,9,I.S. 117 JOSEPH H. WADE,Delise Jones,Fordham,ESMS,Middle,2.88,A,87.2,7.7,C,21.7,A,48.8,A,9,B,Proficient (2007-08),Restructuring (Advanced) -  Focused
09X126,9,P.S. 126 DR MARJORIE H DUNBAR,Nadine Kee-Foster,ICI,ESMS,Elementary,65.24,A,79.5,7.2,C,15.8,B,45.2,A,11.3,B,Proficient (2007-08),In Good Standing
09X128,9,MOTT HALL III,Jorisis Stupart,CEI-PEA,ESMS,Middle,3.43,A,79.6,8.1,B,19.9,A,43.3,A,8.3,B,Well Developed (2007-08),In Good Standing
09X132,9,P.S. 132 GARRET A. MORGAN,Anissa Chalmers,CEI-PEA,ESMS,Elementary,66.59,B,56.9,6,D,11.4,C,37.2,B,2.3,C,Proficient (2008-09),Restructuring (Advanced) -  Comprehensive
09X145,9,J.H.S. 145 ARTURO TOSCANINNI,Robert Hannibal,ESO,ESMS,Middle,2.79,A,100.9,12.7,A,23.4,A,52.8,A,12,B,Proficient (2007-08),Restructuring (year 2) -  Focused
09X163,9,P.S. 163 ARTHUR A. SCHOMBURG,Dilsia Rivera-Martinez,ESO,ESMS,Elementary,66.79,A,92.2,7,C,23.5,A,57.2,A,4.5,B,Proficient (2007-08),In Good Standing
09X166,9,J.H.S. 166 ROBERTO CLEMENTE,Lauren Reiss,ESO,ESMS,Middle,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,D,Proficient (2007-08),Restructuring (Advanced) -  Focused
09X199,9,P.S. 199X - THE SHAKESPEARE SCHOOL,Lilia Navarrete,CEI-PEA,ESMS,Elementary,65.24,A,97.1,8.4,B,20,A,57.4,A,11.3,C,Proficient (2008-09),Corrective Action (year 2) -  Focused
09X204,9,P.S. 204 MORRIS HEIGHTS,Marcy Glattstein,CEI-PEA,ESMS,Elementary,64.7,A,95.1,12.6,A,25,A,53,A,4.5,A,Well Developed (2007-08),In Good Standing
09X215,9,KAPPA,Sheri Warren,CEI-PEA,ESMS,Middle,3.25,A,90.5,11.7,A,21.7,A,49.6,A,7.5,A,Well Developed (2007-08),In Good Standing
09X218,9,P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,Leticia Rosario,ICI,ESMS,K-8,59.87,A,92.1,12.7,A,23.5,A,49.9,A,6,C,Proficient (2008-09),In Good Standing
09X219,9,I.S. 219 NEW VENTURE SCHOOL,Dominic Cipollone,CEI-PEA,ESMS,Middle,2.73,A,76.5,7.8,C,21.8,A,38.6,B,8.3,D,Proficient (2008-09),Restructuring (year 1) -  Focused
09X227,9,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,Ryan Scallon,ESO,HS,High School,1.87,C,53.3,6.9,C,10.9,D,32.5,B,3,B,Underdeveloped with Proficient Features (2008-09),In Good Standing
09X229,9,I.S. 229 ROLAND PATTERSON,Ezra Matthias,AED,ESMS,Middle,2.77,A,74.6,5.9,D,19.7,A,41.5,A,7.5,B,Proficient (2007-08),Corrective Action (year 2) -  Comprehensive
09X230,9,P.S. 230 DR ROLAND N. PATTERSON,Rowena Penn-Jackson,ESO,ESMS,Elementary,61.76,A,95.7,9.6,B,14.8,B,60,A,11.3,F,Underdeveloped with Proficient Features (2008-09),Restructuring (year 1) -  Comprehensive
09X231,9,EAGLE ACADEMY FOR YOUNG MEN,Osei Owusu-Afriye,New Visions,HS,High School,2.34,A,70.8,10,B,15.4,B,39.4,B,6,B,Proficient (2008-09),In Good Standing
09X232,9,I.S. 232,Neifi Acosta,CEI-PEA,ESMS,Middle,2.82,A,82.9,12.7,A,19.3,A,43.4,A,7.5,C,Proficient (2008-09),Restructuring (year 1) -  Focused
09X239,9,"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",Jonathan Foy,ESO,HS,High School,1.87,C,53.1,5.9,D,13.6,B,32.6,B,1,B,Well Developed (2007-08),In Good Standing
09X241,9,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",Kenneth Baum,ESO,HS,High School,2.87,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,Well Developed (2008-09),In Good Standing
09X250,9,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,Tammy Smith,ESO,ESMS,Middle,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,F,Proficient (2008-09),In Good Standing
09X250,9,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,Tammy Smith,ESO,HS,High School,2.42,A,78.4,7,C,22.7,A,42.7,A,6,,Proficient (2008-09),In Good Standing
09X252,9,MOTT HALL BRONX HIGH SCHOOL,David Tinagero,"Replications, Inc.",HS,High School,2.57,A,87.2,7.8,C,21.8,A,48.6,A,9,,Well Developed (2008-09),In Good Standing
09X260,9,BRONX CENTER FOR SCIENCE AND MATHEMATICS,Edward Tom,New Visions,HS,High School,2.86,B,68,8.9,B,15.2,B,40.9,B,3,,Well Developed (2008-09),In Good Standing
09X263,9,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,Brady Smith,ESO,HS,High School,2.1,B,65.8,10.7,A,16.9,B,32.2,C,6,,Well Developed (2008-09),In Good Standing
09X276,9,LEADERSHIP INSTITUTE,MARTA COLON,New Visions,HS,High School,2,B,59.8,4.8,F,13.4,C,37.6,B,4,,Underdeveloped with Proficient Features (2008-09),In Good Standing
09X297,9,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,Charles Osewalt,ESO,HS,High School,1.77,A,83.4,11.9,A,18.9,A,44.6,A,8,B,Proficient (2007-08),In Good Standing
09X303,9,I.S. X303 LEADERSHIP & COMMUNITY SERVICE,Patricia Bentley,CEI-PEA,ESMS,Middle,3.11,B,58.7,11.2,A,17.2,A,29.5,C,0.8,B,Well Developed (2007-08),In Good Standing
09X313,9,I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,Lauren Wilkins,ESO,ESMS,Middle,2.83,A,84.5,10.5,A,23.1,A,47.1,A,3.8,D,Proficient (2008-09),Restructuring (Advanced) -  Focused
09X323,9,BRONX WRITING ACADEMY,Nick Marinacci,ESO,ESMS,Middle,2.82,B,67.6,9.6,B,22.2,A,32,C,3.8,A,Well Developed (2007-08),In Good Standing
09X325,9,URBAN SCIENCE ACADEMY,Patrick Kelly,ESO,ESMS,Middle,2.68,A,85.5,9.4,B,20.4,A,46.7,A,9,B,Well Developed (2007-08),Corrective Action (year 2) -  Focused
09X327,9,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,Manuel Ramirez,CEI-PEA,ESMS,Middle,3.15,A,81.8,13.2,A,23,A,40.3,B,5.3,A,Well Developed (2007-08),In Good Standing
