DBN,DISTRICT,SCHOOL,PRINCIPAL,2008-09 SCHOOL SUPPORT ORGANIZATION,PROGRESS REPORT TYPE,SCHOOL LEVEL*,PEER INDEX*,OVERALL GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,ENVIRONMENT GRADE,PERFORMANCE CATEGORY SCORE,PERFORMANCE GRADE,PROGRESS CATEGORY SCORE,PROGRESS GRADE,ADDITIONAL CREDIT,2007-08 PROGRESS REPORT GRADE,MOST RECENT QUALITY REVIEW SCORE,2008-09 STATE ACCOUNTABILITY STATUS
01M539,1,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",Dr. Olga Livanis,ICI,ESMS,K-8,11.77,A,80.8,9.1,B,25,A,46.7,A,0,A,Proficient (2007-08),In Good Standing
01M539,1,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",Dr. Olga Livanis,ICI,HS,High School,3.51,A,78.7,10,B,22.1,A,46.6,A,0,A,Proficient (2007-08),In Good Standing
01M650,1,CASCADES HIGH SCHOOL,Paul Rotondo,ESO,HS,Transfer School,2.48,A,82.9,12.2,A,22.4,A,45.8,A,2.5,A,Well Developed (2007-08),In Good Standing
01M696,1,BARD HIGH SCHOOL EARLY COLLEGE,Raymond Peterson,ESO,HS,High School,3.79,B,66.2,11.5,A,17.4,B,37.3,B,0,B,Proficient (2007-08),In Good Standing
01M839,1,TOMPKINS SQUARE MIDDLE SCHOOL,Sonhando Estwick,ESO,ESMS,Middle,3.35,A,96.3,14,A,23.3,A,51.5,A,7.5,A,Proficient (2008-09),In Good Standing
02M001,2,P.S. 001 ALFRED E. SMITH,Amy Hom,ICI,ESMS,Elementary,40.34,B,66,5,D,18.6,A,40.1,B,2.3,B,Proficient (2007-08),In Good Standing
02M002,2,P.S. 002 MEYER LONDON,Brett Gustafson,ICI,ESMS,Elementary,39.62,A,94.1,10.1,B,19.6,A,58.4,A,6,A,Proficient (2007-08),In Good Standing
02M003,2,P.S. 003 CHARRETTE SCHOOL,Lisa Siegman,ICI,ESMS,Elementary,18.64,A,87.8,10.2,A,17.5,A,57.8,A,2.3,B,Well Developed (2007-08),In Good Standing
02M006,2,P.S. 006 LILLIE D. BLAKE,Lauren Fontana,ESO,ESMS,Elementary,11.78,A,76.2,8.4,B,16.8,B,48,A,3,B,Well Developed (2007-08),In Good Standing
02M011,2,P.S. 011 WILLIAM T. HARRIS,Robert Bender,ICI,ESMS,Elementary,43.85,A,99.4,13.6,A,21.4,A,59.9,A,4.5,B,Well Developed (2007-08),In Good Standing
02M033,2,P.S. 033 CHELSEA PREP,Linore Lindy,ICI,ESMS,Elementary,51.88,A,98,15,A,25,A,54.2,A,3.8,A,Well Developed (2007-08),In Good Standing
02M040,2,P.S. 040 AUGUSTUS SAINT-GAUDENS,Susan Felder,ESO,ESMS,Elementary,15.39,A,79.6,10.4,A,19.8,A,49.4,A,0,B,Well Developed (2007-08),In Good Standing
02M041,2,P.S. 041 GREENWICH VILLAGE,Kelly Shannon,ICI,ESMS,Elementary,14.34,A,84.3,11.4,A,18.9,A,54,A,0,A,Well Developed (2007-08),In Good Standing
02M042,2,P.S. 042 BENJAMIN ALTMAN,Rosa Casiello O'Day,ICI,ESMS,Elementary,35.8,A,98.1,12.2,A,23.3,A,58.1,A,4.5,A,Outstanding (2007-08),In Good Standing
02M047,2,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,Watfa A. Shama,ESO,ESMS,Middle,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,B,Underdeveloped with Proficient Features (2008-09),In Good Standing
02M047,2,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,Watfa A. Shama,ESO,HS,High School,1.62,A,71.8,10.2,B,9.7,D,47.9,A,4,B,Underdeveloped with Proficient Features (2008-09),In Good Standing
02M051,2,P.S. 051 ELIAS HOWE,Nancy Sing Bock,ICI,ESMS,Elementary,48.57,A,78.7,13.4,A,20.6,A,44.7,A,0,A,Well Developed (2007-08),In Good Standing
02M059,2,P.S. 059 BEEKMAN HILL INTERNATIONAL,Adele Schroeter,ICI,ESMS,Elementary,19.8,A,80.8,10.6,A,17.1,A,53.1,A,0,C,Well Developed (2008-09),In Good Standing
02M077,2,P.S. 77 LOWER LAB SCHOOL,Mara Ratesic Koetke,ESO,ESMS,Elementary,11.74,A,74.4,9,B,22.6,A,42.8,A,0,A,Proficient (2008-09),In Good Standing
02M089,2,P.S. 89,Veronica Najjar,ESO,ESMS,Elementary,14.1,A,88.1,8.8,B,19.3,A,59.2,A,0.8,B,Proficient (2007-08),In Good Standing
02M104,2,J.H.S. 104 SIMON BARUCH,Rosemarie Gaetani,ESO,ESMS,Middle,3.51,A,80.5,8.1,B,19.2,A,43.4,A,9.8,B,Proficient (2007-08),In Good Standing
02M111,2,P.S. 111 ADOLPH S. OCHS,Irma Medina,ICI,ESMS,K-8,53.64,A,83.8,9,B,17.7,A,51.1,A,6,B,Proficient (2007-08),In Good Standing
02M114,2,EAST SIDE MIDDLE SCHOOL,David Getz,ESO,ESMS,Middle,3.87,A,86.3,12.9,A,23.3,A,50.1,A,0,B,Well Developed (2007-08),In Good Standing
02M116,2,P.S. 116 MARY LINDLEY MURRAY,Jane Hsu,ICI,ESMS,Elementary,19.64,A,89.8,8.6,B,23,A,57.4,A,0.8,C,Proficient (2008-09),In Good Standing
02M124,2,P.S. 124 YUNG WING,Alice Hom,ICI,ESMS,Elementary,25.73,A,90,10.9,A,22.5,A,52.8,A,3.8,A,Well Developed (2007-08),In Good Standing
02M126,2,P.S. 126 JACOB AUGUST RIIS,Kerry Decker,ICI,ESMS,K-8,42.92,A,92.1,5.7,D,22.5,A,54.9,A,9,A,Well Developed (2007-08),In Good Standing
02M130,2,P.S. 130 HERNANDO DE SOTO,Lily Woo,ESO,ESMS,Elementary,26.84,A,101.1,14.1,A,22.5,A,60,A,4.5,A,Outstanding (2007-08),In Good Standing
02M131,2,M.S. 131,Phyllis Tam,ESO,ESMS,Middle,3.33,A,78.9,10.5,A,18.1,A,44.3,A,6,A,Well Developed (2007-08),Restructuring (Advanced) -  Focused
02M150,2,P.S. 150,Maggie Siena,ESO,ESMS,Elementary,14.72,A,76.2,10.9,A,21.7,A,43.6,A,0,A,Proficient (2007-08),In Good Standing
02M158,2,P.S. 158 BAYARD TAYLOR,Darryl Alhadeff,ICI,ESMS,Elementary,20.79,A,78.6,5.4,D,23.5,A,49.7,A,0,B,Well Developed (2007-08),In Good Standing
02M167,2,J.H.S. 167 ROBERT F. WAGNER,Jennifer Rehn,ESO,ESMS,Middle,3.54,A,85.2,8.7,B,19.4,A,46.6,A,10.5,B,Well Developed (2007-08),In Good Standing
02M183,2,P.S. 183 ROBERT L. STEVENSON,Mary Anne Sacco,ESO,ESMS,Elementary,17.54,A,87.5,8.6,B,15.1,B,60,A,3.8,A,Proficient (2007-08),In Good Standing
