Boro/Central Library,Network,Branch,ADULT Program,ADULT Attendance,YOUNG ADULT Program,YOUNG ADULT Attendance,JUVENILE Program,JUVENILE Attendance,OUTREACH SERVICES Program,OUTREACH SERVICES Attendance, TOTAL Program, TOTAL Attendance, REFERENCE TRANSACTIONS Adult, REFERENCE TRANSACTIONS Young Adult, REFERENCE TRANSACTIONS Juvenile, REFERENCE TRANSACTIONS,CIRCULATION Adult,CIRCULATION Young Adult,CIRCULATION Juvenile,CIRCULATION,Weekly Hours of Public Service
Staten Island,Staten Island Network,Dongan Hills,66,1323,82,1005,165,4105,167,8935,480,15368,19396,6318,10764,36478,68168,13544,70811,152523,42
Staten Island,Staten Island Network,Great Kills ,83,1655,60,1412,215,3809,74,3030,432,9906,39403,9074,9126,57603,60629,14004,85539,160172,42
Staten Island,Staten Island Network,Huguenot Park,94,1173,44,400,140,3389,10,278,288,5240,36699,15652,18941,71292,98731,22124,124491,245346,44
Staten Island,Staten Island Network,New Dorp,141,1570,72,873,181,4312,217,5319,611,12074,152763,77844,98735,329342,125685,23400,108050,257135,46
Staten Island,Staten Island Network,Port Richmond,35,543,109,1130,177,5298,138,1957,459,8928,18811,6422,8840,34073,43650,11198,35952,90800,46
Staten Island,Staten Island Network,Richmondtown,47,1170,61,563,182,4701,20,618,310,7052,179179,17732,38844,235755,123762,17813,100290,241865,46
Staten Island,Staten Island Network,South Beach,59,929,44,287,212,5003,57,3392,372,9611,29809,8684,20982,59475,59069,13752,66888,139709,42
Staten Island,Staten Island Network,St. George Library Center,112,1299,365,2862,207,3604,368,3801,1052,11566,63089,18005,19461,100555,167522,25978,75200,268700,62
Staten Island,Staten Island Network,Stapleton*  * Closed for major renovation - effective 4/15/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,32,141,343,0
Staten Island,Staten Island Network,Todt-Hill Westerleigh,57,458,35,507,147,3257,52,1664,291,5886,82589,23517,22516,128622,258937,53328,295016,607281,50
Staten Island,Staten Island Network,Tottenville,50,754,99,1590,207,4580,73,2226,429,9150,18798,8138,10205,37141,42777,11163,69211,123151,43
Staten Island,Staten Island Network,West New Brighton,58,1007,14,117,108,2305,28,303,208,3732,35477,26910,27339,89726,78945,17206,62037,158188,43
Staten Island,Staten Island Network,Subtotal:,802,11881,985,10746,1941,44363,1204,31523,4932,98513,676013,218296,285753,1180062,1128045,223542,1093626,2445213,506
Staten Island,Special Units,Staten Island Borough Office,0,0,0,0,0,0,2,89,2,89,0,0,0,0,0,0,0,0,0
Staten Island,Special Units,Subtotal:,0,0,0,0,0,0,2,89,2,89,0,0,0,0,0,0,0,0,0
Staten Island,,STATEN ISLAND TOTAL:,802,11881,985,10746,1941,44363,1206,31612,4934,98602,676013,218296,285753,1180062,1128045,223542,1093626,2445213,506
