NEIGHBORHOOD,TYPE OF HOME,TOTAL NO. OF PROPERTIES,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
BATH BEACH               ,01 ONE FAMILY HOMES                        ,547,19,$155356.00,$551466.00,$500000.00,$1500000.00
BATH BEACH               ,02 TWO FAMILY HOMES                        ,2031,52,$150000.00,$603588.00,$615000.00,$945000.00
BATH BEACH               ,03 THREE FAMILY HOMES                      ,837,20,$500000.00,$877756.00,$896848.00,$1180000.00
BAY RIDGE                ,01 ONE FAMILY HOMES                        ,3749,99,$349500.00,$752953.00,$645000.00,$2525000.00
BAY RIDGE                ,02 TWO FAMILY HOMES                        ,4548,97,$150000.00,$690439.00,$710000.00,$1300000.00
BAY RIDGE                ,03 THREE FAMILY HOMES                      ,685,7,$375000.00,$762857.00,$730000.00,$1300000.00
BEDFORD STUYVESANT       ,01 ONE FAMILY HOMES                        ,825,23,$150000.00,$402858.00,$310000.00,$890854.00
BEDFORD STUYVESANT       ,02 TWO FAMILY HOMES                        ,5762,186,$165000.00,$457947.00,$449500.00,$1550000.00
BEDFORD STUYVESANT       ,03 THREE FAMILY HOMES                      ,3390,112,$200000.00,$492884.00,$480000.00,$1400000.00
BENSONHURST              ,01 ONE FAMILY HOMES                        ,1394,32,$300000.00,$596578.00,$574500.00,$1318000.00
BENSONHURST              ,02 TWO FAMILY HOMES                        ,4236,103,$150000.00,$684213.00,$675000.00,$1300000.00
BENSONHURST              ,03 THREE FAMILY HOMES                      ,1664,39,$150000.00,$732186.00,$775000.00,$1148586.00
BERGEN BEACH             ,01 ONE FAMILY HOMES                        ,1053,37,$200000.00,$655406.00,$570000.00,$2850000.00
BERGEN BEACH             ,02 TWO FAMILY HOMES                        ,879,33,$366573.00,$695892.00,$710000.00,$1377302.00
BERGEN BEACH             ,03 THREE FAMILY HOMES                      ,455,7,$540000.00,$654143.00,$670000.00,$750000.00
BOERUM HILL              ,01 ONE FAMILY HOMES                        ,166,1,$1715000.00,$1715000.00,$1715000.00,$1715000.00
BOERUM HILL              ,02 TWO FAMILY HOMES                        ,554,20,$164000.00,$917096.00,$1102407.00,$2150000.00
BOERUM HILL              ,03 THREE FAMILY HOMES                      ,287,5,$1075000.00,$1245000.00,$1100000.00,$1550000.00
BOROUGH PARK             ,01 ONE FAMILY HOMES                        ,2019,39,$400000.00,$675615.00,$600000.00,$1750000.00
BOROUGH PARK             ,02 TWO FAMILY HOMES                        ,6663,146,$175000.00,$690043.00,$700000.00,$1300500.00
BOROUGH PARK             ,03 THREE FAMILY HOMES                      ,2840,61,$160000.00,$782172.00,$805000.00,$1500000.00
BRIGHTON BEACH           ,01 ONE FAMILY HOMES                        ,278,3,$305000.00,$380500.00,$350000.00,$486500.00
BRIGHTON BEACH           ,02 TWO FAMILY HOMES                        ,560,12,$178000.00,$450375.00,$408250.00,$700000.00
BRIGHTON BEACH           ,03 THREE FAMILY HOMES                      ,309,4,$487500.00,$659375.00,$700000.00,$750000.00
BROOKLYN HEIGHTS         ,01 ONE FAMILY HOMES                        ,195,2,$3200000.00,$3350000.00,$3350000.00,$3500000.00
BROOKLYN HEIGHTS         ,02 TWO FAMILY HOMES                        ,261,6,$865833.00,$2306972.00,$2000500.00,$5000000.00
BROOKLYN HEIGHTS         ,03 THREE FAMILY HOMES                      ,69,2,$275644.00,$1792822.00,$1792822.00,$3310000.00
BROWNSVILLE              ,01 ONE FAMILY HOMES                        ,1491,14,$168000.00,$304083.00,$296850.00,$430960.00
BROWNSVILLE              ,02 TWO FAMILY HOMES                        ,1003,29,$180500.00,$486276.00,$470000.00,$1630921.00
BROWNSVILLE              ,03 THREE FAMILY HOMES                      ,229,9,$420000.00,$630512.00,$602804.00,$800000.00
BUSH TERMINAL            ,01 ONE FAMILY HOMES                        ,10,1,$290000.00,$290000.00,$290000.00,$290000.00
BUSH TERMINAL            ,02 TWO FAMILY HOMES                        ,208,4,$500000.00,$909500.00,$619000.00,$1900000.00
BUSH TERMINAL            ,03 THREE FAMILY HOMES                      ,65,1,$590000.00,$590000.00,$590000.00,$590000.00
BUSHWICK                 ,01 ONE FAMILY HOMES                        ,279,7,$153114.00,$327258.00,$314320.00,$435000.00
BUSHWICK                 ,02 TWO FAMILY HOMES                        ,3632,106,$150000.00,$397541.00,$393265.00,$750000.00
BUSHWICK                 ,03 THREE FAMILY HOMES                      ,1686,54,$184548.00,$446246.00,$435000.00,$722850.00
CANARSIE                 ,01 ONE FAMILY HOMES                        ,3023,61,$152100.00,$356136.00,$371000.00,$530000.00
CANARSIE                 ,02 TWO FAMILY HOMES                        ,8888,176,$155000.00,$450733.00,$460000.00,$750000.00
CANARSIE                 ,03 THREE FAMILY HOMES                      ,1458,15,$199245.00,$548592.00,$580000.00,$804417.00
CARROLL GARDENS          ,01 ONE FAMILY HOMES                        ,96,3,$640000.00,$988333.00,$1075000.00,$1250000.00
CARROLL GARDENS          ,02 TWO FAMILY HOMES                        ,569,7,$300000.00,$1422429.00,$1250000.00,$2800000.00
CARROLL GARDENS          ,03 THREE FAMILY HOMES                      ,627,5,$333000.00,$750600.00,$710000.00,$1345000.00
CLINTON HILL             ,01 ONE FAMILY HOMES                        ,149,6,$324000.00,$694393.00,$613500.00,$1156358.00
CLINTON HILL             ,02 TWO FAMILY HOMES                        ,656,17,$360000.00,$948343.00,$950000.00,$1655000.00
CLINTON HILL             ,03 THREE FAMILY HOMES                      ,402,9,$695000.00,$950286.00,$925000.00,$1455000.00
COBBLE HILL              ,01 ONE FAMILY HOMES                        ,120,1,$1900000.00,$1900000.00,$1900000.00,$1900000.00
COBBLE HILL              ,02 TWO FAMILY HOMES                        ,244,5,$1300000.00,$2771400.00,$2300000.00,$4900000.00
COBBLE HILL              ,03 THREE FAMILY HOMES                      ,229,3,$800000.00,$1600000.00,$1945000.00,$2055000.00
COBBLE HILL-WEST         ,01 ONE FAMILY HOMES                        ,13,1,$750000.00,$750000.00,$750000.00,$750000.00
COBBLE HILL-WEST         ,02 TWO FAMILY HOMES                        ,92,1,$1050000.00,$1050000.00,$1050000.00,$1050000.00
CONEY ISLAND             ,01 ONE FAMILY HOMES                        ,929,14,$190000.00,$348429.00,$366500.00,$420000.00
CONEY ISLAND             ,02 TWO FAMILY HOMES                        ,100,1,$423657.00,$423657.00,$423657.00,$423657.00
CONEY ISLAND             ,03 THREE FAMILY HOMES                      ,41,1,$215000.00,$215000.00,$215000.00,$215000.00
CROWN HEIGHTS            ,01 ONE FAMILY HOMES                        ,1172,18,$150000.00,$599323.00,$585000.00,$1360000.00
CROWN HEIGHTS            ,02 TWO FAMILY HOMES                        ,3537,74,$155000.00,$480499.00,$497500.00,$1200000.00
CROWN HEIGHTS            ,03 THREE FAMILY HOMES                      ,1031,23,$210000.00,$571880.00,$605952.00,$815000.00
CYPRESS HILLS            ,01 ONE FAMILY HOMES                        ,913,17,$175000.00,$348697.00,$350000.00,$650475.00
CYPRESS HILLS            ,02 TWO FAMILY HOMES                        ,2849,75,$175000.00,$392561.00,$388000.00,$950000.00
CYPRESS HILLS            ,03 THREE FAMILY HOMES                      ,727,13,$200000.00,$339105.00,$325000.00,$600000.00
DOWNTOWN-FULTON FERRY    ,02 TWO FAMILY HOMES                        ,31,1,$712775.00,$712775.00,$712775.00,$712775.00
