BOROUGH,GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE
Bronx,MS Core,CTT,SCIENCE,Living Environment,-,347,13,26.7
Bronx,MS Core,CTT,SCIENCE,Other Science,-,103,4,25.8
Bronx,MS Core,CTT,SOCIAL STUDIES,MS Social Studies Core,-,5056,200,25.3
Bronx,MS Core,CTT,SOCIAL STUDIES,Global History & Geography,-,255,10,25.5
Bronx,MS Core,CTT,SOCIAL STUDIES,US History & Government,-,70,3,23.3
Bronx,MS Core,CTT,SOCIAL STUDIES,Economics,-,27,1,27
Bronx,MS Core,CTT,SOCIAL STUDIES,Other Social Studies,-,187,8,23.4
Bronx,MS Core,SPEC ED,ENGLISH,MS English Core,-,2760,249,11.1
Bronx,MS Core,SPEC ED,MATH,MS Math Core,-,2730,248,11
Bronx,MS Core,SPEC ED,MATH,Integrated Algebra,-,30,3,10
Bronx,MS Core,SPEC ED,MATH,Other Math,-,12,1,12
Bronx,MS Core,SPEC ED,SCIENCE,MS Science Core,-,2492,229,10.9
Bronx,MS Core,SPEC ED,SCIENCE,Earth Science,-,13,1,13
Bronx,MS Core,SPEC ED,SCIENCE,Living Environment,-,123,11,11.2
Bronx,MS Core,SPEC ED,SCIENCE,Other Science,-,34,3,11.3
Bronx,MS Core,SPEC ED,SOCIAL STUDIES,MS Social Studies Core,-,2526,231,10.9
Bronx,MS Core,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,61,5,12.2
Bronx,MS Core,SPEC ED,SOCIAL STUDIES,US History & Government,-,34,3,11.3
Bronx,MS Core,SPEC ED,SOCIAL STUDIES,Other Social Studies,-,37,3,12.3
Bronx,09-12,GEN ED,ENGLISH,English 9,-,11836,503,23.5
Bronx,09-12,GEN ED,ENGLISH,English 10,-,11430,446,25.6
Bronx,09-12,GEN ED,ENGLISH,English 11,-,11056,441,25.1
Bronx,09-12,GEN ED,ENGLISH,English 12,-,9669,396,24.4
Bronx,09-12,GEN ED,ENGLISH,MS English Core,-,2019,90,22.4
Bronx,09-12,GEN ED,ENGLISH,Other English,-,14491,602,24.1
Bronx,09-12,GEN ED,MATH,Integrated Algebra,-,18256,763,23.9
Bronx,09-12,GEN ED,MATH,Geometry,-,11224,436,25.7
Bronx,09-12,GEN ED,MATH,Trigonometry,-,6554,263,24.9
Bronx,09-12,GEN ED,MATH,Math A,-,1586,64,24.8
Bronx,09-12,GEN ED,MATH,Math B,-,507,29,17.5
Bronx,09-12,GEN ED,MATH,Other Math,-,4489,181,24.8
Bronx,09-12,GEN ED,SCIENCE,Earth Science,-,11516,445,25.9
Bronx,09-12,GEN ED,SCIENCE,Living Environment,-,19074,766,24.9
Bronx,09-12,GEN ED,SCIENCE,Chemistry,-,9767,397,24.6
Bronx,09-12,GEN ED,SCIENCE,Physics,-,3805,161,23.6
Bronx,09-12,GEN ED,SCIENCE,Other Science,-,12085,481,25.1
Bronx,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,27463,1082,25.4
Bronx,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,14752,562,26.2
Bronx,09-12,GEN ED,SOCIAL STUDIES,Economics,-,2111,93,22.7
Bronx,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,7284,282,25.8
Bronx,09-12,GEN ED,SOCIAL STUDIES,Other Social Studies,-,4509,201,22.4
Bronx,09-12,CTT,ENGLISH,English 9,-,2215,90,24.6
Bronx,09-12,CTT,ENGLISH,English 10,-,2158,82,26.3
Bronx,09-12,CTT,ENGLISH,English 11,-,1735,65,26.7
Bronx,09-12,CTT,ENGLISH,English 12,-,941,39,24.1
Bronx,09-12,CTT,ENGLISH,MS English Core,-,404,15,26.9
Bronx,09-12,CTT,ENGLISH,Other English,-,2939,122,24.1
Bronx,09-12,CTT,MATH,Integrated Algebra,-,5047,199,25.4
Bronx,09-12,CTT,MATH,Geometry,-,1410,53,26.6
Bronx,09-12,CTT,MATH,Trigonometry,-,491,20,24.6
Bronx,09-12,CTT,MATH,Math A,-,382,15,25.5
Bronx,09-12,CTT,MATH,Math B,-,55,2,27.5
Bronx,09-12,CTT,MATH,Other Math,-,146,6,24.3
Bronx,09-12,CTT,SCIENCE,Earth Science,-,2512,92,27.3
Bronx,09-12,CTT,SCIENCE,Living Environment,-,5027,191,26.3
Bronx,09-12,CTT,SCIENCE,Chemistry,-,627,27,23.2
Bronx,09-12,CTT,SCIENCE,Physics,-,512,19,26.9
Bronx,09-12,CTT,SCIENCE,Other Science,-,2955,108,27.4
Bronx,09-12,CTT,SOCIAL STUDIES,Global History & Geography,-,6099,231,26.4
Bronx,09-12,CTT,SOCIAL STUDIES,US History & Government,-,2138,79,27.1
Bronx,09-12,CTT,SOCIAL STUDIES,Economics,-,148,6,24.7
Bronx,09-12,CTT,SOCIAL STUDIES,Participation in Government,-,825,30,27.5
Bronx,09-12,CTT,SOCIAL STUDIES,Other Social Studies,-,1300,47,27.7
Bronx,09-12,SPEC ED,ENGLISH,English 9,-,977,79,12.4
Bronx,09-12,SPEC ED,ENGLISH,English 10,-,605,49,12.3
Bronx,09-12,SPEC ED,ENGLISH,English 11,-,516,43,12
Bronx,09-12,SPEC ED,ENGLISH,English 12,-,291,25,11.6
Bronx,09-12,SPEC ED,ENGLISH,MS English Core,-,394,35,11.3
Bronx,09-12,SPEC ED,ENGLISH,Other English,-,703,57,12.3
Bronx,09-12,SPEC ED,MATH,Integrated Algebra,-,1484,116,12.8
Bronx,09-12,SPEC ED,MATH,Geometry,-,269,21,12.8
Bronx,09-12,SPEC ED,MATH,Trigonometry,-,120,10,12
Bronx,09-12,SPEC ED,MATH,Math A,-,23,2,11.5
Bronx,09-12,SPEC ED,MATH,Other Math,-,81,8,10.1
Bronx,09-12,SPEC ED,SCIENCE,Earth Science,-,574,44,13
Bronx,09-12,SPEC ED,SCIENCE,Living Environment,-,1122,86,13
Bronx,09-12,SPEC ED,SCIENCE,Chemistry,-,38,3,12.7
Bronx,09-12,SPEC ED,SCIENCE,Other Science,-,770,58,13.3
Bronx,09-12,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,1816,142,12.8
Bronx,09-12,SPEC ED,SOCIAL STUDIES,US History & Government,-,672,50,13.4
Bronx,09-12,SPEC ED,SOCIAL STUDIES,Economics,-,12,1,12
Bronx,09-12,SPEC ED,SOCIAL STUDIES,Participation in Government,-,199,17,11.7
Bronx,09-12,SPEC ED,SOCIAL STUDIES,Other Social Studies,-,59,5,11.8
