Percent Project,Artist,Address,City,Borough,Council District,Community Board
Crossroads Juvenile Detention Center ," Birch, Willie",17 Bristol Street,Brooklyn,Brooklyn,Brooklyn Council District #48,Brooklyn Community Board #16
Crossroads Juvenile Detention Center ," Ingleton, Carlton",17 Bristol Street,Brooklyn,Brooklyn,Brooklyn Council District #48,Brooklyn Community Board #16
Cumberland Neighborhood Family Care Center ,"Champanier, Abram ",39 Auburn Place,Brooklyn,Brooklyn,Brooklyn Council District #35,Brooklyn Community Board #2
Cypress Hills Library ," Briseno, Rolando",1197 Sutter Avenue,Brooklyn,Brooklyn,Brooklyn Council District #37,Brooklyn Community Board #5
Davidson Avenue Daycare Center ," Jemisin, Noah",1810 Davidson Avenue,Bronx,Bronx,Bronx Council District #16,Bronx Community Board #5
Dr. Ronald McNair Park ," Fayomi, Ogundipe",Eastern Parkway and Washington Avenue,Brooklyn,Brooklyn,Brooklyn Council District #35,Brooklyn Community Board #3
ECC 3 (PS11 Annex) ," Mayo, Steven",1399 Ogden Avenue,Bronx,Bronx,Bronx Council District #15,Bronx Community Board #3
ECC/PS 228 ," Hastanan, Skowmon",32-80 93rd Street,Queens,Queens,Queens Council District #21,Queens Community Board #3
ECC@(PS 4 Annex) ," Rupp, Christy",1717 Fulton Avenue,Bronx,Bronx,Bronx Council District #16,Bronx Community Board #4
East 107th Street Recreational Pier ," Blum, Andrea",107th Street and FDR Esplanade,New York,Manhattan,Manhattan Council District #8,Manhattan Community Board #11
East Flatbush Library ," Johnson, M.L.J.",9612 Church Avenue,Brooklyn,Brooklyn,Brooklyn Council District #42,Brooklyn Community Board #17
East Harlem Art Park ," Rodriguez, Jorge Luis",Sylvan Place and East 120th Street,New York,Manhattan,Manhattan Council District #8,Manhattan Community Board #11
East River Promenade ," Segre, Michelle",East 12th Street to Montgomery Street,New York,Manhattan,Manhattan Council District #2,Manhattan Community Board #3
East River Promenade ," Shin, Hyungsub",East 12th Street to Montgomery Street,New York,Manhattan,Manhattan Council District #2,Manhattan Community Board #3
Elmhurst Hospital ," Purchase,",79-01 Broadway,Queens,Queens,Queens Council District #25,Queens Community Board #4
Engine Company 277 ," LaVerdiere, Julian",582 Knickerbocker Avenue,Brooklyn,Brooklyn,Brooklyn Council District #37,Brooklyn Community Board #4
Engine Company 75 Firehouse ," Ukeles, Mierle Laderman",2175 Walton Avenue,Bronx,Bronx,Bronx Council District #14,Bronx Community Board #5
Far Rockaway Fire/EMS Station house ," Greengold, Jane",4806 Rockaway Beach Boulevard,Queens,Queens,Queens Council District #32,Queens Community Board #14
Fire and Emergency Station ," Coron, Beatrice",1100 Rossville Avenue,Staten Island,Staten Island,Staten Island Council Dist #51,Staten Island Community Brd #3
Firehouse for Engine Company 71 ," Saunders, David",720 Melrose Avenue,Bronx,Bronx,Bronx Council District #17,Bronx Community Board #1
Flushing Bay Promenade ," Ferrara, Jackie",Flushing Meadows Corona Park,Queens,Queens,Queens Council District #21,Queens Community Board #7
Flushing Regional Branch Library ," de Bretteville, Sheila Levrant",41-17 Main Street,Queens,Queens,Queens Council District #20,Queens Community Board #7
Flushing Regional Library ," Min, Yong Soon",41-17 Main Street,Queens,Queens,Queens Council District #20,Queens Community Board #7
Flushing Regional Library ," Ruiz, Kathleen",41-17 Main Street,Queens,Queens,Queens Council District #20,Queens Community Board #7
Foley Square ," Pace, Lorenzo","Bound by Worth Street, Lafayette, Duane, Pearl, Park Street",New York,Manhattan,Manhattan Council District #1,Manhattan Community Board #3
Frank Sinatra/Astoria High School for the Arts ," Oursler, Tony",35th Ave./36th Street,Queens,Queens,Queens Council District #26,Queens Community Board #1
Frederick Douglass Memorial ," Koren, Gabriel",Frederick Douglass Circle,New York,Manhattan,Manhattan Council District #9,Manhattan Community Board #10
Frederick Douglass Memorial ," Miller, Algernon",Frederick Douglass Circle,New York,Manhattan,Manhattan Council District #9,Manhattan Community Board #10
Fulton Street Traffic Triangle ," Searles, Charles",Fulton Street and Ralph Avenue,Brooklyn,Brooklyn,Brooklyn Council District #36,Brooklyn Community Board #3
Glen Oaks Campus ," Yoder, Andy",74-30 Commonwealth Boulevard,Queens,Queens,Queens Council District #23,Queens Community Board #13
Hamilton Avenue Bridge ," Conti, Jim",Hamilton Avenue,Brooklyn,Brooklyn,Brooklyn Council District #39,Brooklyn Community Board #6
Harriet Tubman Memorial ," Saar, Alison",122nd St/ Frederick Douglass Boulevard/St Nicholas,New York,Manhattan,Manhattan Council District #9,Manhattan Community Board #10
"High School for Construction Trades, Engineering and Architecture "," Casebere, James",94-06 104th Street,Queens,Queens,Queens Council District #32,Queens Community Board #9
High School for Law Enforcement and Public Safety ," Love, Robyn",116-25 Guy Brewer Boulevard,Queens,Queens,Queens Council District #27,Queens Community Board #12
"High School for Law, Government and Justice "," Mullican, Matt",244 East 163rd Street,Bronx,Bronx,Bronx Council District #16,Bronx Community Board #4
High School for Redirection ," Holder, Robin",226 Bristol Street,Brooklyn,Brooklyn,Brooklyn Council District #42,Brooklyn Community Board #16
"High School for Teaching, Liberal Arts and Sciences "," Doyle, Chris",74-20 Commonwealth Boulevard,Queens,Queens,Queens Council District #23,Queens Community Board #13
Horizon Juvenile Center ," Rollins, Tim",560 Brook Avenue,Bronx,Bronx,Bronx Council District #17,Bronx Community Board #1
Hudson River Park ," Cochran, Malcolm",West 54 Street and West Side Highway,New York,Manhattan,Manhattan Council District #3,Manhattan Community Board #4
Hunts Point Food Distribution Center ," Jimenez, Luis",Food Center Drive,Bronx,Bronx,Bronx Council District #17,Bronx Community Board #1
Hunts Point Recreation Center ," Banks, Monica",765 Manida Street,Bronx,Bronx,Bronx Council District #17,Bronx Community Board #2
IS 125 ," Chunn, Nancy",46-02 47th Avenue,Queens,Queens,Queens Council District #26,Queens Community Board #2
IS 125 ," Oshita, Kazuma",46-02 47 Avenue,Queens,Queens,Queens Council District #26,Queens Community Board #2
IS 137 ," Agee, Ann",109-15 98th Street,Queens,Queens,Queens Council District #32,Queens Community Board #10
IS 145 ," Yankowitz, Nina",33-44 80th Street,Queens,Queens,Queens Council District #25,Queens Community Board #3
IS 2 ," Baron, Ron",655 Parkside Avenue,Brooklyn,Brooklyn,Brooklyn Council District #40,Brooklyn Community Board #9
IS 2 ," Juarez, Roberto",655 Parkside Avenue,Brooklyn,Brooklyn,Brooklyn Council District #40,Brooklyn Community Board #9
IS 218 ," Kozloff, Joyce",4600 Broadway,New York,Manhattan,Manhattan Council District #10,Manhattan Community Board #12
IS 218 ," Steir, Pat",4600 Broadway,New York,Manhattan,Manhattan Council District #10,Manhattan Community Board #12
IS 230 ," Giersbach, Cadence",73-10 34th Avenue,Queens,Queens,Queens Council District #25,Queens Community Board #3
IS 246 ," Silva, Pedro",72 Veronica Place,Brooklyn,Brooklyn,Brooklyn Council District #40,Brooklyn Community Board #17
IS 368 ," Jackson-Jarvis, Martha",Tibbets Garden and 230th Street,Queens,Queens,Bronx Council District #11,Bronx Community Board #8
"IS 368, Modular "," Sky, Alison",Tibbets Garden and 230th Street,Bronx,Bronx,Bronx Council District #11,Bronx Community Board #8
IS 5 ," Choi, Sung-Ho",50-40 Jacobus Street,Queens,Queens,Queens Council District #25,Queens Community Board #4
IS 5 ," Dennis, Donna",50-40 Jacobus Street,Queens,Queens,Queens Council District #25,Queens Community Board #4
IS 90 ," Amos, Emma",21 Jumel Place,New York,Manhattan,Manhattan Council District #7,Manhattan Community Board #12
IS 90 ," Ericson, Kate",21 Jumel Place/167th Street,New York,Manhattan,Manhattan Council District #7,Manhattan Community Board #12
IS 90 ," Wong, Martin",21 Jumel Place,New York,Manhattan,Manhattan Council District #7,Manhattan Community Board #12
IS/HS 362 ," Yoes, Amy",900 East 299th Street,Bronx,Bronx,Bronx Council District #12,Bronx Community Board #12
IS/HS 43R ," Cooper, Diana",100 Essex Drive,Staten Island,Staten Island,Staten Island Council Dist #51,Staten Island Community Brd #2
Jacobi Medical Center ," Huang, Arlan",1400 Pelham Parkway South,Bronx,Bronx,Bronx Council District #13,Bronx Community Board #11
Jane Addams Vocational High School ," Ford, Walton",900 Tinton Avenue,Bronx,Bronx,Bronx Council District #17,Bronx Community Board #3
Julia de Burgos Latino Cultural Center ," Gutierrez, Marina",1689 Lexington Avenue,New York,Manhattan,Manhattan Council District #8,Manhattan Community Board #11
LaGuardia High School ," Lipski, Donald",100 Amsterdam Avenue,New York,Manhattan,Manhattan Council District #6,Manhattan Community Board #7
LaVaughn Robert Moore Childcare Center ," Porter, Liliana",333 Hinsdale Street,Brooklyn,Brooklyn,Brooklyn Council District #42,Brooklyn Community Board #5
Langston Hughes Community Library and Cultural Center ," Gueye, Ousmane",100-01 Northern Boulevard,Queens,Queens,Queens Council District #21,Queens Community Board #3
Leon M. Goldstein High School for the Sciences ," Schechter, Stuart",2001 Oriental Boulevard,Brooklyn,Brooklyn,Brooklyn Council District #48,Brooklyn Community Board #15
Long Island City High School ," Adams, Dennis",14-30 Broadway,Queens,Queens,Queens Council District #22,Queens Community Board #1
Long Island City High School ," Chin, Mel",14-30 Broadway,Queens,Queens,Queens Council District #22,Queens Community Board #1
Long Island City High School ," Sheehan, Maura",14-30 Broadway,Queens,Queens,Queens Council District #22,Queens Community Board #1
Long Island City Library ," Sasaki, Toshio",37-44 21st Street,Queens,Queens,Queens Council District #26,Queens Community Board #1
Louis Armstrong Memorial Multi-Service Center," McCalebb, Howard",107-20 Northern Boulevard,Queens,Queens,Queens Council District #21,Queens Community Board #3
MS 114 ," Temple, Mary",1765 First Avenue,New York,Manhattan,Manhattan Council District #5,Manhattan Community Board #8
MS 254 ," Wexler, Allan",2452 Washington Avenue,Bronx,Bronx,Bronx Council District #15,Bronx Community Board #6
Marshall England Early Learning Center ," Statom, Therman",800 Concourse Village East,Bronx,Bronx,Bronx Council District #16,Bronx Community Board #4
Middle College High School at Medgar Evers College ," Greengold, Jane",1186 Carroll Street,Brooklyn,Brooklyn,Brooklyn Council District #35,Brooklyn Community Board #9
Midwood High School ," Rakowitz, Michael",2839 Bedford Avenue,Brooklyn,Brooklyn,Brooklyn Council District #45,Brooklyn Community Board #14
Monroe High School(Bronx Coalition Community High School) ," Sanchez, Juan",1300 Boynton Avenue,Bronx,Bronx,Bronx Council District #18,Bronx Community Board #9
Municipal Building ," Lawson, Thomas",1 Centre Street,New York,Manhattan,Manhattan Council District #1,Manhattan Community Board #1
Neptune Fountain Restoration and Conservation ,Modern Art Foundry,Snug Harbor Cultural Center,Staten Island,Staten Island,Staten Island Council Dist #49,Staten Island Community Brd #2
New Children's Center ," Arai, Tomie",492 First Avenue,New York,Manhattan,Manhattan Council District #4,Manhattan Community Board #6
New Children's Center ," Cummings, Michael",492 First Avenue,New York,Manhattan,Manhattan Council District #4,Manhattan Community Board #6
New Children's Center ," Sultan, Larry",492 First Avenue,New York,Manhattan,Manhattan Council District #4,Manhattan Community Board #6
New York Aquarium ," Sasaki, Toshio",602 Surf Avenue,Brooklyn,Brooklyn,Brooklyn Council District #47,Brooklyn Community Board #13
New York Hall of Science ," Carpenter, James",47-01 111th Street,Queens,Queens,Queens Council District #21,Queens Community Board #7
New York Hall of Science ," Tomaselli, Fred",47-01 111th Street,Queens,Queens,Queens Council District #21,Queens Community Board #4
Newtown Creek Water Pollution Control Plant ," Acconci, Vito",Greenpoint Avenue and Provost Street,Brooklyn,Brooklyn,Brooklyn Council District #33,Brooklyn Community Board #1
Newtown Creek Water Pollution Control Plant ," Trakas, George",Greenpoint Avenue/Provost Street,Brooklyn,Brooklyn,Brooklyn Council District #33,Brooklyn Community Board #1
North Hills Branch Library ," Gillen, Ann",57-04 Marathon Parkway,Queens,Queens,Queens Council District #23,Queens Community Board #11
North Shore Esplanade ," Armajani, Siah",St. George Ferry Terminal,Staten Island,Staten Island,Staten Island Council Dist #49,Staten Island Community Brd #1
Oberia D. Dempsey Multi-Service Center of Central Harlem ," Searles, Charles",127 West 127th Street,New York,Manhattan,Manhattan Council District #9,Manhattan Community Board #10
Oberia D. Dempsey Multi-Service Center of Central Harlem ," Smith, Vincent D.",127 West 127th Street,New York,Manhattan,Manhattan Council District #9,Manhattan Community Board #10
Occupational Training Center ," Kang, Ik-Joong",57-12 94th Street,Queens,Queens,Queens Council District #25,Queens Community Board #4
Occupational Training Center 721 ," McGowin, Ed",64 Avenue X,Brooklyn,Brooklyn,Brooklyn Council District #38,Brooklyn Community Board #7
Office of Chief Medical Examiner , Various artists,421 East 26th Street,New York,Manhattan,Manhattan Council District #4,Manhattan Community Board #6
Office of Chief Medical Examiner ," Baroff, Jill",421 East 26th Street,New York,Manhattan,Manhattan Council District #4,Manhattan Community Board #6
Office of Chief Medical Examiner ," Bartlett, Jennifer",421 East 26th Street,New York,Manhattan,Manhattan Council District #4,Manhattan Community Board #6
Office of Chief Medical Examiner ," Bremer, Sebastiaan",421 East 26th Street,New York,Manhattan,Manhattan Council District #4,Manhattan Community Board #6
Office of Chief Medical Examiner ," Calame, Ingrid",421 East 26th Street,New York,Manhattan,Manhattan Council District #4,Manhattan Community Board #6
Office of Chief Medical Examiner ," Lutter, Vera",421 East 26th Street,New York,Manhattan,Manhattan Council District #4,Manhattan Community Board #6
Office of Chief Medical Examiner ," Maisel, David",421 East 26th Street,New York,Manhattan,Manhattan Council District #4,Manhattan Community Board #6
Office of Chief Medical Examiner ," Prince, Lily",421 East 26th Street,New York,Manhattan,Manhattan Council District #4,Manhattan Community Board #6
