Percent Project,Artist,Address,City,Borough,Council District,Community Board
PS 270 ," Park, Eung Ho",233-15 Merrick Boulevard,Queens,Queens,Queens Council District #31,Queens Community Board #13
PS 279 ," Rivera, Bob",2100 Walton Avenue,Bronx,Bronx,Bronx Council District #11,Bronx Community Board #8
PS 28 (ECC) ," Spicer, Kathleen",109-10 47th Avenue,Queens,Queens,Queens Council District #24,Queens Community Board #4
PS 3 ," Acconci, Vito",2100 La Fontaine Avenue,Bronx,Bronx,Bronx Council District #15,Bronx Community Board #6
PS 303 ECC ," Tark, Soon Ae",89-15 Woodhaven Boulevard,Queens,Queens,Queens Council District #30,Queens Community Board #9
PS 306 ," Alvarez, Candida",40 West Tremont Avenue,Bronx,Bronx,Bronx Council District #14,Bronx Community Board #5
PS 306 ," Arroyo, Andrea",40 West Tremont Avenue,Bronx,Bronx,Bronx Council District #14,Bronx Community Board #5
PS 306 ," Flores, Ricky",40 West Tremont Avenue,Bronx,Bronx,Bronx Council District #14,Bronx Community Board #5
"PS 340, Modular "," Wexler, Allan",25 West 195th Street,Bronx,Bronx,Bronx Council District #11,Bronx Community Board #7
"PS 360, Modular "," Sky, Alison",2880 Kingsbridge Terrace,Bronx,Bronx,Bronx Council District #14,Bronx Community Board #8
PS 37 ," Rodriguez, Freddy",360 West 230th Street,Bronx,Bronx,Bronx Council District #11,Bronx Community Board #1
PS 370 ," Holup, Wopo",3000 West First Street,Brooklyn,Brooklyn,Brooklyn Council District #47,Brooklyn Community Board #13
PS 376A ," Bursztyn, Dina",194 Harman Street,Brooklyn,Brooklyn,Brooklyn Council District #37,Brooklyn Community Board #4
PS 376A ," de Andino, Agustin",194 Harman Street,Brooklyn,Brooklyn,Brooklyn Council District #37,Brooklyn Community Board #4
PS 4 ," Delano, Pablo",500 West 160th Street,New York,Manhattan,Manhattan Council District #7,Manhattan Community Board #12
PS 43 ," Ceibal, Alfredo",160 Beach 29th Street,Queens,Queens,Queens Council District #31,Queens Community Board #14
PS 43 ," Cole, Willie",160 Beach 29th Street,Queens,Queens,Queens Council District #31,Queens Community Board #14
PS 48 ," Martorell, Antonio",4360 Broadway,New York,Manhattan,Manhattan Council District #7,Manhattan Community Board #9
PS 5 ," Holder, Robin",3703 Tenth Avenue,New York,Manhattan,Manhattan Council District #7,Manhattan Community Board #12
PS 51 ," DeMonte, Claudia",87-45 117th Street,Queens,Queens,Queens Council District #30,Queens Community Board #9
PS 58 ," Cheng, Amy",72-50 Grand Avenue,Queens,Queens,Queens Council District #30,Queens Community Board #5
PS 6 ," Gourfain, Peter",43 Snyder Avenue,Brooklyn,Brooklyn,Brooklyn Council District #40,Brooklyn Community Board #17
PS 66 ," Brozgold, Lee",845 East 96th Street,Brooklyn,Brooklyn,Brooklyn Council District #46,Brooklyn Community Board #17
PS 69 ," Bahc, Mo",77-02 37th Avenue,Queens,Queens,Queens Council District #25,Queens Community Board #3
PS 69 ," Wood, Steve",77-02 37th Avenue,Queens,Queens,Queens Council District #25,Queens Community Board #3
PS 7 ," Fay, Ming",80-55 Cornish Avenue,Queens,Queens,Queens Council District #25,Queens Community Board #4
PS 7 ," Ladda, Justen",3201 Kingsbridge Avenue,Bronx,Bronx,Bronx Council District #11,Bronx Community Board #8
PS 72 ," Ladda, Justen",2951 Dewey Avenue,Bronx,Bronx,Bronx Council District #13,Bronx Community Board #10
PS 75 ," Bigbear, Frank",95 Grove Street,Brooklyn,Brooklyn,Brooklyn Council District #34,Brooklyn Community Board #4
PS 75 ," Cully, Jacqueline",95 Grove Street,Brooklyn,Brooklyn,Brooklyn Council District #34,Brooklyn Community Board #4
PS 8 ," Hassinger, Maren",465 West 167th Street,New York,Manhattan,Manhattan Council District #7,Manhattan Community Board #12
PS 8 ," Muoz, Celia Alvarez",465 West 167th Street,New York,Manhattan,Manhattan Council District #7,Manhattan Community Board #12
PS 82 ," Williams, Michael Kelly",88-02 144th Street,Queens,Queens,Queens Council District #24,Queens Community Board #12
"PS 83, Modular "," Sky, Alison",950 Rhinelander Avenue,Bronx,Bronx,Bronx Council District #13,Bronx Community Board #1
PS 89 ," Harries, Mags",85-28 Britton Avenue,Queens,Queens,Queens Council District #25,Queens Community Board #4
PS 92 ," Grajales, Elizabeth",99-01 34th Avenue,Queens,Queens,Queens Council District #21,Queens Community Board #3
PS 92 ," Holup, Wopo",99-01 34th Avenue,Queens,Queens,Queens Council District #21,Queens Community Board #3
PS 94 ," Gardner, Susan",5010 Sixth Avenue,Brooklyn,Brooklyn,Brooklyn Council District #38,Brooklyn Community Board #7
PS/IS 20 ," Van Dalen, Anton",3020 Webster Avenue,Bronx,Bronx,Bronx Council District #11,Bronx Community Board #7
PS/IS 208 ," Williamson, Philemona",74-30 Commonwealth Boulevard,Queens,Queens,Queens Council District #23,Queens Community Board #13
PS/IS 210 ," Porter, Liliana",501-503 West 152rd Street,New York,Manhattan,Manhattan Council District #7,Manhattan Community Board #9
PS/IS 217 ," Hollis, Doug",645 Main Street,New York,Manhattan,Manhattan Council District #5,Manhattan Community Board #8
PS/IS 237 ," Burckhardt, Tom",Avenue P (Stillwell Ave and West 18th Street),Brooklyn,Brooklyn,Brooklyn Council District #44,Brooklyn Community Board #11
PS/IS 266 ," Belichick, Meg",74-10 Commonwealth Boulevard,Queens,Queens,Queens Council District #23,Queens Community Board #13
PS/IS 499 ," Madigan, Martha",148-20 Reeves Avenue,Queens,Queens,Queens Council District #24,Queens Community Board #8
Passenger Ship Terminals ," LeWitt, Sol","Piers 88 and 90, Hudson River (West 48th St  West 50th St)",New York,Manhattan,Manhattan Council District #3,Manhattan Community Board #4
Port Richmond High School ," Adzema, Robert",85 St. Joseph's Avenue,Staten Island,Staten Island,Staten Island Council Dist #49,Staten Island Community Brd #1
Port Richmond High School ," Dwyer, Nancy",85 St. Joseph's Avenue,Staten Island,Staten Island,Staten Island Council Dist #49,Staten Island Community Brd #1
Prospect Park Zoo ," Harries, Mags",450 Flatbush Avenue,Brooklyn,Brooklyn,Brooklyn Council District #39,
Queens Civil Court ," Carpenter, Ed",89-17 Sutphin Boulevard,Queens,Queens,Queens Council District #24,Queens Community Board #12
Queens Civil Court ," Murch, Anna Valentina",89-17 Sutphin Boulevard,Queens,Queens,Queens Council District #24,Queens Community Board #12
Queens Criminal Court Addition ," Shingu, Susumu",125-01 Queens Boulevard,Queens,Queens,Queens Council District #29,Queens Community Board #9
Queens Family Courthouse ," von Rydingsvard, Ursula",151-20 Jamaica Avenue,Queens,Queens,Queens Council District #27,Queens Community Board #12
Queens Hospital Center ," Chase, Colin",82-70 164th Street,Queens,Queens,Queens Council District #24,Queens Community Board #8
Queens Sanitation Garage 11/13 ," Smyth, Ned",Winchester Boulevard/Grand Central Parkway,Queens,Queens,Queens Council District #23,Queens Community Board #11
Queens Supreme Court ," McGowin, Ed",88-11 Sutphin Boulevard,Queens,Queens,Queens Council District #24,Queens Community Board #12
Riverbank State Park/North River Sewage ," Mottola, Milo",679 Riverside Drive,New York,Manhattan,Manhattan Council District #7,Manhattan Community Board #9
Riverside Health Center ," Artschwager, Richard",160 West 100th Street,New York,Manhattan,Manhattan Council District #8,Manhattan Community Board #7
Schomburg Center for Research in Black Culture ," Conwill, Houston",515 Malcom X Boulevard,New York,Manhattan,Manhattan Council District #9,Manhattan Community Board #10
Seabury Day Care Center ," Cole, Willie",east 170th Street/Stebbins Avenue,Bronx,Bronx,Bronx Council District #16,Bronx Community Board #3
Sheepshead Bay Fishing Piers ," Burton, Scott",Emmons Avenue,Brooklyn,Brooklyn,Brooklyn Council District #48,Brooklyn Community Board #8
St. George Ferry Terminal ," Falco, Mike","St. George Ferry Terminal, 1 Bay Street",Staten Island,Staten Island,Staten Island Council Dist #49,Staten Island Community Brd #1
St. George Library Center ," Wilson, David",5 Central Avenue,Staten Island,Staten Island,Staten Island Council Dist #49,Staten Island Community Brd #1
Staten Island Ferry Boats ," Klotz, Werner",St. George Ferry Terminal,Staten Island,Staten Island,Staten Island Council Dist #49,
Staten Island Zoo ," Jaffe, Amanda",614 Broadway,Staten Island,Staten Island,Staten Island Council Dist #49,Staten Island Community Brd #1
Staten Island Zoo Reptile Wing ," Foust, Steve",614 Broadway,Staten Island,Staten Island,Staten Island Council Dist #49,Staten Island Community Brd #1
Storm & Sanitary Sewer Covers ," Turk, Elizabeth",Seguine Avenue,Staten Island,Staten Island,Staten Island Council Dist #51,Staten Island Community Brd #3
Stuyvesant High School ," Jones, Kristin",345 Chambers Street,New York,Manhattan,Manhattan Council District #1,Manhattan Community Board #1
Stuyvesant High School ," Stuart, Michelle",345 Chambers Street,New York,Manhattan,Manhattan Council District #1,Manhattan Community Board #1
Sunrise Yards Maintenance Facility ," Kunce, Samm",88-02 Pitkin Avenue,Queens,Queens,Queens Council District #32,Queens Community Board #10
Sunset Park High School ," Trenard, Mauricio",153 35th Street,Brooklyn,Brooklyn,Brooklyn Council District #38,Brooklyn Community Board #7
Thomas Jefferson Park ," Hatcher, Brower",2180 First Avenue,New York,Manhattan,Manhattan Council District #8,Manhattan Community Board #11
Thomas Jefferson Park and Pool ," Edwards, Melvin",2180 First Avenue,New York,Manhattan,Manhattan Council District #8,Manhattan Community Board #11
Townsend Harris High School ," Lee, Bing",149-11 Melbourne Avenue,Queens,Queens,Queens Council District #24,Queens Community Board #8
Townsend Harris High School ," Lynds, Clyde",149-11 Melbourne Avenue,Queens,Queens,Queens Council District #24,Queens Community Board #8
Townsend Harris High School ," Wilson, Fred",149-11 Melbourne Avenue,Queens,Queens,Queens Council District #24,Queens Community Board #8
Van Arsdale High School ," Chambers, Robert",259 North 6th Street,Brooklyn,Brooklyn,Brooklyn Council District #33,Brooklyn Community Board #1
Van Arsdale High School ," Crowe, Susan",259 North 6th Street,Brooklyn,Brooklyn,Brooklyn Council District #33,Brooklyn Community Board #1
Van Arsdale High School ," Sanchez, Juan",258 North 6th Street,Brooklyn,Brooklyn,Brooklyn Council District #33,Brooklyn Community Board #1
Van Nest PS/IS ," Oppenheimer, Sarah",900 Van Nest Avenue,Bronx,Bronx,Bronx Council District #13,Bronx Community Board #1
Wall Street Esplanade and Pier 11 ," Cheng, Carl",Maiden Lane and South Street,New York,Manhattan,Manhattan Council District #1,Manhattan Community Board #1
Walton High School ," Fekner, John",2780 Reservoir Avenue,Bronx,Bronx,Bronx Council District #11,Bronx Community Board #7
Walton High School ," Weems, Carrie Mae",2780 Reservoir Avenue,Bronx,Bronx,Bronx Council District #11,Bronx Community Board #7
Walton High School ," Zweig, Janet",2780 Reservoir Avenue,Bronx,Bronx,Bronx Council District #11,Bronx Community Board #7
Weeksville Heritage Center ," Booker, Chakaia",1698-1708 Bergen Street,Brooklyn,Brooklyn,Brooklyn Council District #41,Brooklyn Community Board #8
West Harlem Waterfront ," Ward, Nari",125th Street and the Hudson River,New York,Manhattan,Manhattan Council District #7,Manhattan Community Board #9
West Side High School ," Wexler, Allan",140 West 102nd Street,New York,Manhattan,Manhattan Council District #8,Manhattan Community Board #7
White Street Detention Center ," Haas, Richard",125 White Street,New York,Manhattan,Manhattan Council District #1,Manhattan Community Board #1
White Street Detention Center ," Snyder, Kit Yin",125 White Street,New York,Manhattan,Manhattan Council District #1,Manhattan Community Board #1
Whitehall Ferry Terminal ," Adams, Dennis",Whitehall and South Streets,New York,Manhattan,Manhattan Council District #1,Manhattan Community Board #1
Whitehall Ferry Terminal ," Fay, Ming",Whitehall and South Streets,New York,Manhattan,Manhattan Council District #1,Manhattan Community Board #1
Williamsburg Childcare Center ," Ros, Moses",243 South Second Street,Brooklyn,Brooklyn,Brooklyn Council District #34,Brooklyn Community Board #1
Battery Park City(PS 276),"Shin, Jean",55 Battery Place,New York,Manhattan,Manhattan Council District #1,Manhattan Community Board #1
Eagle Academy for Young Men,"Biggers, Sanford",506 East 176th Street,Bronx,Bronx,Bronx Council District #15,Bronx Community Board
ECC 361 @ 94,"Hassenfeld, Kirsten",3530 Kings College Place,Bronx,Bronx,Bronx Council District #11,Bronx Community Board
Family Intake Center (Emergency Assistance Unit),"Twitchell, Lane",151 East 151st Street,Bronx,Bronx,Bronx Council District #17,Bronx Community Board
Gateway High School for Health Care Professionals,"Morris, Sarah",150-91 87th Road,Queens,Queens,Queens Council District #24,Queens Community Board 
Metropolitan Avenue Campus,"Scher, Paula",91-30 Metropolitan Avenue,Queens,Queens,Queens Council District #29,Queens Community Board 
Mott Haven Schools,"Sze, Sarah",170 Brown Place,Bronx,Bronx,Bronx Council District #8,Bronx Community Board #1
PS 971K,"Tan, Tatfoo",6214 4th Avenue,Brooklyn,Brooklyn,Brooklyn Council District #38,Brooklyn Community Board
PS/IS 665 at 163K,"Opdyke, David",1664 Benson Avenue,Brooklyn,Brooklyn,Brooklyn Council District #43,Brooklyn Community Board
PS/IS 44R Annex,"Simeti, Francesco",80 Maple Parkway ,Staten Island,Staten Island,Staten Island Council District #49,Staten Island Community Board
MEETH 59,"Ahearn, John",213 E 63rd Street,New York,Manhattan,Manhattan Council District #4,Manhattan Community Board
MEETH 59,"Fradkin, Lucy",213 E 63rd Street,New York,Manhattan,Manhattan Council District #4,Manhattan Community Board
PS/IS 263,"Huang, Wennie ",202 Sherman Avenue,New York,Manhattan,Manhattan Council District #10,Manhattan Community Board
IS/HS585 Q,"Benson, Jane",54-40 74th Street,Queens,Queens,Queens Council District #27,Queens Community Board
Weeksville Heritage Center,"Booker, Chakaia",1698 Bergen Street,Brooklyn,Brooklyn,Brooklyn Council District #36,Brooklyn Community Board #8
PS 281 K,"Bransford, Jesse",425 East 25th street,New York,Manhattan,Manhattan Council District,Manhattan Community Board #6
Columbia Street,"Nagasawa, Nobuho",Hamilton Street; DeGraw Street between Columbia Street and Van Brunt; Van Brunt Street betwwen DeGraw and Hamilton,Brooklyn,Brooklyn,Brooklyn Council District #38,Brooklyn Community Board #6
PS 264K,"Gibson, Jeffrey",8814 4th Ave,Brooklyn,Brooklyn,Brooklyn Council District #43,Brooklyn Community Board #10
Kensington Branch Library,"Watkins, Tim and May, Carol",4209-4211 Eighteenth Avenue,Brooklyn,Brooklyn,Brooklyn Council District #39,Brooklyn Community Board #14
PS/IS 277Q,"Putrih, Tobias",153-26 Hillside and Ave 153rd Ave,Queens,Queens,Queens Council District #24,Queens Community Board #12
IS/HS Spring Creek K,"Rostovsky, Peter",Flatlands Avenue,Brooklyn ,Brooklyn,Brooklyn Council District #78,Brooklyn Community Board #4
Public Theater,"Rubin, Ben",425 Lafayette Street,New York,Manhattan,Manhattan Council District #2,Manhattan Community Board #2
PS 310 K,"Simon, Adam",942 62nd Street ,Brooklyn,Brooklyn,Brooklyn Council District #38,Brooklyn Community Board #12
High School of Art and Design,"Spiegelman, Art",1075 Second Avenue,New York,Manhattan,Manhattan Council District #4,Manhattan Community Board #6
New Settlement,"Trimble, Scott",1521-1531 Jerome Ave,Bronx ,Bronx,Bronx Council District #16,Bronx Community Board #4
High School of Art and Design,"Weiner, Lawrence",1075 Second Avenue,New York,Manhattan,Manhattan Council District #4,Brooklyn Community Board #12
Glen Oaks Branch Library,"Zweig, Janet",256-04 Union Turnpike,Queens,Queens,Queens Council District #23,Queens Community Board #13
