DBN,DISTRICT,SCHOOL,SCHOOL SUPPORT ORGANIZATION/NETWORK,PROGRESS REPORT TYPE,SCHOOL LEVEL*, PEER INDEX* ,GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,PERFORMANCE CATEGORY SCORE,PROGRESS CATEGORY SCORE,ADDITIONAL CREDIT,QUALITY REVIEW SCORE
29Q496,29,"BUSINESS, COMPUTER APPLICATIONS AND ENTREPRENEURSH",ICI14,HS,High School, 2.44 ,B,51.18,0.347,0.573,0.523,0,Proficient
29Q498,29,HUMANITIES & ARTS MAGNET HIGH SCHOOL,ICI2,HS,High School, 2.51 ,B,58.7,0.596,0.66,0.545,0,Proficient
30Q002,30,PS 002 ALFRED ZIMBERG,ICI4,ESMS,Elementary School, 46.67 ,C,47.07,0.588,0.613,0.347,0.75,Well-Developed
30Q010,30,IS 010 HORACE GREELEY,ICI13,ESMS,Middle School, 3.22 ,A,71.53,0.634,0.56,0.713,6,Well-Developed
30Q011,30,PS 011 KATHRYN PHELAN,ICI4,ESMS,Elementary School, 48.55 ,A,64.19,0.706,0.685,0.492,6,Well-Developed
30Q017,30,PS 017 HENRY DAVID THOREAU,ICI4,ESMS,Elementary School, 60.59 ,B,59.5,0.649,0.414,0.638,2.25,Proficient
30Q069,30,PS 069 JACKSON HEIGHTS,ICI4,ESMS,Elementary School, 46.77 ,B,50.71,0.588,0.741,0.344,0.75,Proficient
30Q070,30,PS 070 QUEENS,ICI4,ESMS,Elementary School, 49.64 ,B,63.33,0.508,0.677,0.562,4.5,Well-Developed
30Q076,30,PS 076 WILLIAM HALLET,ICI4,ESMS,Elementary School, 67.68 ,A,73.44,0.554,0.604,0.732,6.75,Proficient
30Q078,30,PS 078,ICI4,ESMS,Elementary School, 45.90 ,A,83.93,0.516,0.704,0.974,1.5,Proficient
30Q084,30,PS 084 STEINWAY,ICI4,ESMS,Elementary School, 48.58 ,C,40.12,0.611,0.468,0.307,0,Proficient
30Q085,30,PS 085 JUDGE CHARLES VALLONE,ICI4,ESMS,Elementary School, 46.94 ,C,43.25,0.31,0.598,0.375,0,Proficient
30Q092,30,PS 092 HARRY T STEWART SR.,ICI12,ESMS,Elementary School, 80.09 ,C,48.86,0.792,0.541,0.377,0,Well-Developed
30Q111,30,PS 111 JACOB BLACKWELL,ESO18,ESMS,Elementary School, 75.63 ,B,53.5,0.428,0.209,0.687,3,Proficient
30Q112,30,PS 112 DUTCH KILLS,CLSO1,ESMS,Elementary School, 65.32 ,D,35.31,0.206,0.387,0.361,0.75,Proficient
30Q122,30,PS 122 MAMIE FAY,ESO18,ESMS,K-8 School, 36.62 ,B,55.69,0.627,0.911,0.317,1.5,Well-Developed
30Q126,30,ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING AR,ICI13,ESMS,Middle School, 2.99 ,C,47.66,0.305,0.596,0.431,1.5,Proficient
30Q127,30,PS 127 AEROSPACE SCIENCE MAGNE,ICI4,ESMS,K-8 School, 75.76 ,B,56.88,0.547,0.729,0.419,3.75,Proficient
30Q141,30,IS 141 THE STEINWAY,ICI1,ESMS,Middle School, 3.39 ,A,68.9,0.559,0.641,0.6,8.25,Proficient
30Q145,30,IS 145 JOSEPH PULITZER,ICI13,ESMS,Middle School, 3.17 ,B,58.65,0.519,0.534,0.524,6,Well-Developed
30Q148,30,PS 148 QUEENS,ICI12,ESMS,Elementary School, 64.81 ,B,55.12,0.553,0.671,0.472,0.75,Proficient
30Q149,30,PS 149 CHRISTA MCAULIFFE,ICI12,ESMS,Elementary School, 71.97 ,B,57.29,0.573,0.594,0.548,0.75,Proficient
30Q150,30,PS 150 QUEENS,ICI12,ESMS,Elementary School, 50.76 ,A,69.95,0.362,0.697,0.684,6,Proficient
30Q151,30,PS 151 MARY D. CARTER,ESO18,ESMS,Elementary School, 59.53 ,F,27.95,0.23,0.203,0.321,0.75,Proficient
30Q152,30,PS 152 GWENDOLYN ALLEYNE,ICI4,ESMS,Elementary School, 52.16 ,B,51.5,0.457,0.537,0.492,1.5,Proficient
30Q166,30,PS 166 HENRY GRADSTEIN,ICI4,ESMS,Elementary School, 55.87 ,D,36.9,0.488,0.573,0.225,0,Well-Developed
30Q171,30,PS 171 PETER G VAN ALST,ICI4,ESMS,Elementary School, 67.29 ,C,41.2,0.402,0.384,0.416,0.75,Undeveloped
30Q204,30,IS 204 OLIVER W HOLMES,ESO18,ESMS,Middle School, 3.13 ,B,55.35,0.461,0.526,0.567,1.5,Proficient
30Q212,30,PS 212,ICI4,ESMS,Elementary School, 63.57 ,A,68.24,0.789,0.773,0.55,3,Proficient
30Q227,30,I S 227 LOUIS ARMSTRONG,ICI1,ESMS,Middle School, 3.55 ,A,69.25,0.47,0.783,0.554,8.25,Well-Developed
30Q230,30,INTERMEDIATE SCHOOL 230,ICI13,ESMS,Middle School, 3.34 ,B,60.08,0.524,0.656,0.51,4.5,Proficient
30Q234,30,P.S. 234,ICI4,ESMS,Elementary School, 56.03 ,B,58.13,0.781,0.59,0.509,0.75,Well-Developed
30Q445,30,WILLIAM CULLEN BRYANT HIGH SCHOOL,ICI2,HS,High School, 2.60 ,B,53.19,0.46,0.455,0.594,0,Proficient
30Q450,30,LONG ISLAND CITY HIGH SCHOOL,ICI16,HS,High School, 2.62 ,B,61.64,0.385,0.5,0.634,6,Proficient
30Q501,30,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,ESO5,HS,High School, 3.27 ,B,66.72,0.555,0.693,0.683,0,Well-Developed
30Q502,30,INFORMATION TECHNOLOGY HIGH SCHOOL,ICI16,HS,High School, 2.74 ,B,56.43,0.296,0.628,0.576,1.5,Proficient
30Q555,30,NEWCOMERS HIGH SCHOOL,ICI16,HS,High School, 2.32 ,A,67.86,0.691,0.721,0.652,0,Well-Developed
30Q575,30,ACADEMY OF AMERICAN STUDIES,ICI16,HS,High School, 3.13 ,B,62.4,0.59,0.799,0.538,0,Well-Developed
30Q580,30,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,ESO17,ESMS,Middle School, 3.79 ,C,48.83,0.7,0.735,0.296,0,Proficient
30Q580,30,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,ESO17,HS,High School, 3.43 ,A,75.41,0.797,0.667,0.79,0,Proficient
31R001,31,PS 001 TOTTENVILLE,CEIPEA3,ESMS,Elementary School, 11.90 ,C,41.58,0.431,0.392,0.384,2.25,Well-Developed
31R002,31,I S 002 GEORGE L EGBERT,KNLSO2,ESMS,Middle School, 3.25 ,C,44.37,0.185,0.567,0.365,4.5,Well-Developed
31R003,31,PS 003 THE MARGARET GIOIOSA SCHOOL,ICI17,ESMS,Elementary School, 9.16 ,B,49.95,0.524,0.567,0.429,1.5,Proficient
31R004,31,PS 004 MAURICE WOLLIN,CEIPEA3,ESMS,Elementary School, 18.00 ,C,43.16,0.385,0.373,0.476,0,Well-Developed
31R005,31,PS 005 HUGUENOT,CEIPEA3,ESMS,Elementary School, 9.76 ,C,47.5,0.479,0.675,0.365,0,Well-Developed
31R006,31,PS 6 CPL ALLAN F KIVLEHAN SCHL,ICI17,ESMS,Elementary School, 11.86 ,B,59,0.562,0.347,0.648,4.5,Well-Developed
31R007,31,IS 007 ELIAS BERNSTEIN,ICI7,ESMS,Middle School, 3.52 ,B,53.6,0.404,0.746,0.43,1.5,Well-Developed
31R008,31,PS 8 SHIRLEE SOLOMON,ICI7,ESMS,Elementary School, 16.61 ,D,34.24,0.559,0.44,0.203,1.5,Well-Developed
31R011,31,PS 11 Thomas Dongan School,ICI7,ESMS,Elementary School, 45.82 ,F,30.24,0.287,-0.041,0.494,0,Proficient
31R013,31,PS 013 M L LINDENMEYER,ICI7,ESMS,Elementary School, 50.78 ,B,61.3,0.322,0.535,0.694,2.25,Proficient
31R014,31,PS 014 CORNELIUS VANDERBILT,ICI17,ESMS,Elementary School, 72.58 ,D,36.74,0.041,0.294,0.469,1.5,Proficient
31R016,31,PS 016 JOHN J DRISCOLL,ICI7,ESMS,Elementary School, 66.10 ,C,42.82,0.417,0.19,0.534,1.5,Proficient
31R018,31,PS 018 JOHN G WHITTIER,KNLSO5,ESMS,Elementary School, 75.32 ,B,50.65,0.336,0.323,0.612,2.25,Proficient
31R019,31,PS 019 THE CURTIS SCHOOL,ICI17,ESMS,Elementary School, 62.44 ,B,51.63,0.571,0.553,0.454,1.5,Well-Developed
31R020,31,PS 020 PORT RICHMOND,ICI7,ESMS,Elementary School, 76.07 ,B,56.74,0.671,0.433,0.585,1.5,Well-Developed
31R021,31,PS 21 MARGARET EMERY-ELM PARK,CEIPEA3,ESMS,Elementary School, 68.27 ,B,55.97,0.47,0.57,0.551,1.5,Proficient
31R022,31,PS 022 GRANITEVILLE,CEIPEA3,ESMS,Elementary School, 51.69 ,B,57.48,0.464,0.514,0.542,5.25,Well-Developed
31R023,31,PS 023 RICHMONDTOWN,CEIPEA3,ESMS,Elementary School, 13.93 ,C,40.17,0.506,0.579,0.276,0,Well-Developed
31R024,31,I S 024 MYRA S BARNES,CEIPEA3,ESMS,Middle School, 3.53 ,C,47.5,0.408,0.577,0.424,0.75,Well-Developed
31R026,31,PS 026 THE CARTERET SCHOOL,CEIPEA3,ESMS,Elementary School, 40.44 ,C,42.06,0.309,0.301,0.503,0.75,Proficient
31R027,31,IS 027 ANNING S PRALL,LLSO4,ESMS,Middle School, 3.17 ,C,42.89,0.377,0.511,0.385,0.75,Proficient
31R029,31,PS 029 BARDWELL,ICI7,ESMS,Elementary School, 27.05 ,A,65.31,0.599,0.615,0.634,3,Well-Developed
31R030,31,PS 030 WESTERLEIGH,ESO18,ESMS,Elementary School, 20.70 ,C,49.61,0.436,0.619,0.432,0.75,Proficient
31R031,31,PS 031 WILLIAM T DAVIS,ESO4,ESMS,Elementary School, 69.96 ,D,37.76,0.317,0.353,0.407,0,Proficient
31R032,31,PS 032 THE GIFFORD SCHOOL,ESO22,ESMS,Elementary School, 12.34 ,B,51.55,0.334,0.549,0.492,3,Well-Developed
31R034,31,I S 034 TOTTENVILLE,ICI17,ESMS,Middle School, 3.52 ,D,38.32,0.475,0.6,0.24,0,Well-Developed
31R035,31,PS 35 The Clove Valley School,ESO22,ESMS,Elementary School, 29.78 ,F,21.75,0.678,0.824,-0.239,0,Well-Developed
31R036,31,PS 036 J C DRUMGOOLE,ICI17,ESMS,Elementary School, 10.53 ,F,27.3,0.151,0.363,0.257,0,Proficient
31R038,31,PS 038 GEORGE CROMWELL,ICI17,ESMS,Elementary School, 40.32 ,C,48.98,0.287,0.46,0.561,0,Well-Developed
31R039,31,PS 39 FRANCIS J MURPHY JR.,CEIPEA3,ESMS,Elementary School, 36.61 ,B,55.41,0.642,0.657,0.474,0,Well-Developed
31R041,31,PS 041 NEW DORP,ICI7,ESMS,Elementary School, 30.59 ,D,34.58,0.342,0.299,0.373,0,Well-Developed
31R042,31,PS 042 ELTINGVILLE,ICI7,ESMS,Elementary School, 13.12 ,C,47.18,0.753,0.408,0.389,2.25,Well-Developed
31R044,31,PS 044 THOMAS C BROWN,ICI17,ESMS,Elementary School, 68.61 ,D,38.24,0.114,0.189,0.534,1.5,Proficient
31R045,31,PS 045 JOHN TYLER,ICI17,ESMS,Elementary School, 42.57 ,C,41.02,0.283,0.586,0.308,2.25,Proficient
31R046,31,PS 046 ALBERT V. MANISCALCO,ICI7,ESMS,Elementary School, 42.04 ,F,29.99,0.484,0.447,0.156,0.75,Proficient
31R048,31,PS 048 WILLIAM C WILCOX,ESO22,ESMS,Elementary School, 22.65 ,B,53.33,0.587,0.673,0.443,0,Well-Developed
31R049,31,IS 49 Berta A. Dreyfus,KNLSO2,ESMS,Middle School, 3.07 ,C,43.52,0.25,0.511,0.431,0.75,Proficient
31R050,31,PS 050 FRANK HANKINSON,ICI7,ESMS,Elementary School, 18.38 ,F,30.52,0.41,0.101,0.374,0.75,Proficient
31R051,31,I S 051 EDWIN MARKHAM,KNLSO2,ESMS,Middle School, 3.21 ,C,39.69,0.264,0.451,0.377,1.5,Proficient
31R052,31,PS 052 JOHN C THOMPSON,ICI17,ESMS,Elementary School, 26.26 ,C,40.03,0.448,0.396,0.349,2.25,Well-Developed
31R053,31,PS 053 BAY TERRACE,ESO22,ESMS,Elementary School, 13.69 ,C,48.37,0.453,0.722,0.348,0.75,Well-Developed
31R054,31,PS 054 CHARLES W LENG,ESO6,ESMS,Elementary School, 25.96 ,B,53.35,0.589,0.62,0.444,1.5,Well-Developed
31R055,31,PS 055 HENRY M BOEHM,ICI7,ESMS,Elementary School, 10.44 ,D,37.95,0.571,0.453,0.274,0.75,Well-Developed
31R056,31,PS 56 THE LOUIS DESARIO SCHOOL,ICI7,ESMS,Elementary School, 13.27 ,C,41.01,0.359,0.59,0.326,0,Well-Developed
31R057,31,PS 057 HUBERT H HUMPHREY,ICI17,ESMS,Elementary School, 72.05 ,B,59.32,0.488,0.313,0.625,8.25,Proficient
31R058,31,S.S. COLUMBIA SCHOOL,ICI7,ESMS,Elementary School, 27.80 ,B,50.03,0.519,0.543,0.445,1.5,Well-Developed
31R060,31,PS 060 ALICE AUSTEN,ICI7,ESMS,Elementary School, 35.76 ,C,44.72,0.218,0.343,0.526,2.25,Well-Developed
31R061,31,I S 061 WILLIAM A MORRIS,ICI7,ESMS,Middle School, 3.24 ,C,41.14,0.324,0.518,0.35,1.5,Well-Developed
31R069,31,PS 069 DANIEL D TOMPKINS,CEIPEA3,ESMS,Elementary School, 23.70 ,C,42.67,0.449,0.313,0.483,0,Well-Developed
31R072,31,IS 072 ROCCO LAURIE,CEIPEA3,ESMS,Middle School, 3.33 ,C,43.8,0.36,0.573,0.386,0,Well-Developed
31R075,31,I S 075 FRANK D PAULO,ICI17,ESMS,Middle School, 3.49 ,B,53.2,0.538,0.674,0.398,3,Well-Developed
31R080,31,MICHAEL J. PETRIDES HIGH SCHOOL,ESO22,ESMS,K-8 School, 25.04 ,C,43.24,0.645,0.521,0.285,2.25,Well-Developed
31R080,31,MICHAEL J. PETRIDES HIGH SCHOOL,ESO22,HS,High School, 3.18 ,A,71.9,0.672,0.895,0.554,4.5,Well-Developed
31R440,31,NEW DORP HIGH SCHOOL,New Visions1,HS,High School, 2.67 ,B,51.34,0.395,0.432,0.536,3,Well-Developed
31R445,31,PORT RICHMOND HIGH SCHOOL,New Visions1,HS,High School, 2.63 ,B,52.92,0.445,0.559,0.536,0,Proficient
31R450,31,CURTIS HIGH SCHOOL,CLSO2,HS,High School, 2.66 ,B,64.24,0.537,0.714,0.605,1.5,Well-Developed
31R455,31,TOTTENVILLE HIGH SCHOOL,ESO6,HS,High School, 2.99 ,B,57.18,0.354,0.58,0.463,9,Well-Developed
31R460,31,SUSAN E. WAGNER HIGH SCHOOL,ESO6,HS,High School, 2.85 ,B,66.04,0.387,0.709,0.518,10.5,Well-Developed
31R600,31,RALPH R. MCKEE CAREER AND TECHNICAL HIGH SCHOOL,ESO22,HS,High School, 2.46 ,B,63.81,0.536,0.644,0.581,4.5,Well-Developed
31R605,31,STATEN ISLAND TECHNICAL HIGH SCHOOL,ICI2,HS,High School, 3.93 ,A,77.58,0.577,1,0.689,1,Proficient
32K045,32,PS 045 HORACE E GREENE,CLSO1,ESMS,Elementary School, 78.17 ,A,77.85,0.545,0.69,0.768,6.75,Proficient
32K075,32,PS 075 MAYDA CORTIELLA,CLSO1,ESMS,Elementary School, 73.01 ,A,64.8,0.522,0.432,0.732,3.75,Proficient
32K086,32,PS 086 THE IRVINGTON,CLSO1,ESMS,Elementary School, 76.19 ,B,60.36,0.706,0.611,0.558,0.75,Proficient
32K106,32,PS 106 EDWARD EVERETT HALE,CLSO1,ESMS,Elementary School, 80.75 ,A,74.23,0.516,0.589,0.765,6.75,Proficient
32K116,32,PS 116 ELIZABETH L FARRELL,CLSO1,ESMS,Elementary School, 80.73 ,A,72.52,0.604,0.726,0.703,3,Proficient
32K123,32,PS 123 SUYDAM,CLSO1,ESMS,Elementary School, 79.90 ,D,37.59,0.447,0.561,0.255,0,Undeveloped
32K145,32,PS 145 ANDREW JACKSON,CLSO1,ESMS,Elementary School, 80.94 ,C,49.52,0.48,0.562,0.463,0,Proficient
32K151,32,PS 151 LYNDON B JOHNSON,CLSO1,ESMS,Elementary School, 75.67 ,B,51.3,0.689,0.574,0.418,0.75,Proficient
32K162,32,JHS 162 THE WILLOUGHBY,ICI13,ESMS,Middle School, 3.04 ,C,48.95,0.513,0.403,0.462,3.75,Proficient
32K274,32,PS 274 KOSCIUSKO,CLSO1,ESMS,Elementary School, 81.18 ,C,49.36,0.385,0.583,0.434,2.25,Proficient
32K291,32,JHS 291 ROLAND HAYES,ICI13,ESMS,Middle School, 2.84 ,D,38.74,0.418,0.324,0.414,0,Undeveloped
32K296,32,JHS 296 THE HALSEY,ICI13,ESMS,Middle School, 3.07 ,F,28.54,0.277,0.227,0.319,0,Proficient
32K299,32,PS 299 THOMAS WARREN FIELD,CLSO1,ESMS,Elementary School, 72.96 ,C,39.63,0.227,0.298,0.482,0.75,Proficient
32K347,32,IS 347 SCHOOL OF HUMANITIES,ICI13,ESMS,Middle School, 2.98 ,B,60.9,0.6,0.529,0.532,6.75,Proficient
32K349,32,"IS 349 MATH, SCIENCE & TECH.",CLSO1,ESMS,Middle School, 2.98 ,B,60.44,0.532,0.496,0.561,6.75,Proficient
32K376,32,PS 376,CLSO1,ESMS,Elementary School, 75.61 ,A,68.62,0.772,0.669,0.618,3,Proficient
32K377,32,PS 377 ALEJANDRINA B DEGAUTIER,CLSO1,ESMS,Elementary School, 74.61 ,B,51.37,0.482,0.366,0.589,0.75,Proficient
32K383,32,JHS 383 PHILLIPPA SCHUYLER,CLSO4,ESMS,Middle School, 3.82 ,C,45.96,0.427,0.663,0.33,1.5,Proficient
32K384,32,PS 384 FRANCES E CARTER,ICI13,ESMS,Elementary School, 81.29 ,A,75.01,0.575,0.459,0.848,6,Proficient
32K545,32,EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK,ICI10,HS,High School, 2.61 ,C,46.14,0.448,0.594,0.283,6,Proficient
32K549,32,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,ESO20,HS,High School, 2.40 ,A,68.71,0.626,0.754,0.504,9,Proficient
32K551,32,NEW YORK HARBOR SCHOOL,ESO10,HS,High School, 2.53 ,B,55.76,0.7,0.446,0.498,4.5,Proficient
32K552,32,ACADEMY OF URBAN PLANNING,ICI14,HS,High School, 2.35 ,C,44.71,0.483,0.523,0.396,0,Undeveloped
32K554,32,ALL CITY LEADERSHIP SECONDARY SCHOOL,ICI10,ESMS,Middle School, 3.42 ,C,47.46,0.813,0.52,0.358,0,Well-Developed
32K554,32,ALL CITY LEADERSHIP SECONDARY SCHOOL,ICI10,HS,High School, 2.77 ,B,65.24,0.847,0.891,0.415,3,Well-Developed
32K556,32,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLEN,ICI10,HS,High School, 2.40 ,B,50.32,0.519,0.653,0.335,4.5,Proficient
32K564,32,BUSHWICK COMMUNITY HIGH SCHOOL,New Visions1,HS,Transfer School, NA ,C,41.15,0.697,0.229,0.420,0.75,Undeveloped
33K585,33,BROOKLYN COMPREHENSIVE NIGHT HIGH SCHOOL,ICI2,HS,Transfer School, NA ,F,13.50,0.336,0.370,-0.048,0,Proficient
79K520,79,PACIFIC HIGH SCHOOL,ESO16,HS,Transfer School, NA ,D,31.43,0.244,0.531,0.215,0,Proficient
79K553,79,BROOKLYN ACADEMY HIGH SCHOOL,ESO16,HS,Transfer School, NA ,B,52.72,0.654,0.559,0.462,0.75,Proficient
79K568,79,BROWNSVILLE ACADEMY HIGH SCHOOL,ESO12,HS,Transfer School, NA ,B,44.83,0.312,0.679,0.360,0,Proficient
79K575,79,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,ESO4,HS,Transfer School, NA ,B,54.10,0.205,0.727,0.531,0,Proficient
79M515,79,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,ESO16,HS,Transfer School, NA ,A,91.38,0.333,1.079,0.873,6,Proficient
79M544,79,INDEPENDENCE HIGH SCHOOL,ESO12,HS,Transfer School, NA ,C,41.86,0.527,0.539,0.296,1.5,Proficient
79M550,79,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,ESO16,HS,Transfer School, NA ,B,48.81,0.283,0.164,0.652,3.75,Proficient
79M560,79,CITY-AS-SCHOOL HIGH SCHOOL,ESO12,HS,Transfer School, NA ,A,63.15,0.455,0.856,0.558,0,Proficient
79M650,79,CASCADES HIGH SCHOOL FOR TEACHING AND LEARNING,ESO16,HS,Transfer School, NA ,B,56.68,0.736,0.566,0.521,0,Proficient
79Q540,79,QUEENS ACADEMY HIGH SCHOOL,ESO16,HS,Transfer School, NA ,C,37.97,0.259,0.531,0.303,1.5,Proficient
79R470,79,CONCORD HIGH SCHOOL,ESO16,HS,Transfer School, NA ,B,43.40,0.704,0.440,0.316,2.25,Proficient
79X480,79,BRONX REGIONAL HIGH SCHOOL,ESO16,HS,Transfer School, NA ,C,41.50,0.436,0.444,0.380,0.75,Proficient
79X560,79,BRONX ACADEMY HIGH SCHOOL,ESO16,HS,Transfer School, NA ,D,34.99,-0.019,0.472,0.370,0.75,Proficient
84K355,84,WILLIAMSBURG COLLEGIATE CHARTER SCHOOL,Charter,ESMS,Middle School, 3.34 ,A,117.42,0.952,0.991,1.281,3,NA
84K356,84,ACHIEVEMENT FIRST- CROWN HEIGHTS CHARTER SCHOOL,Charter,ESMS,K-8 School, 63.27 ,B,62.40,1.016,0.570,0.519,1.5,NA
84K357,84,KIPP AMP (ALWAYS MENTALLY PREPARED) CHARTER SCHOOL,Charter,ESMS,Middle School, 3.39 ,A,91.79,1.115,0.829,0.858,3,NA
84K362,84,HELLENIC CLASSICAL CHARTER SCHOOL,Charter,ESMS,Elementary School, 48.15 ,B,54.69,0.256,0.653,0.568,0,NA
84K701,84,BROOKLYN CHARTER SCHOOL,Charter,ESMS,Elementary School, 56.98 ,B,53.52,-0.066,0.421,0.734,1.5,NA
84K703,84,BEGINNING WITH CHILDREN CHARTER SCHOOL,Charter,ESMS,K-8 School, 58.34 ,B,59.95,0.709,0.596,0.490,4.5,NA
84K704,84,EXPLORE CHARTER SCHOOL,Charter,ESMS,K-8 School, 60.80 ,B,59.80,0.609,0.588,0.560,2.25,NA
84M284,84,HARLEM CHILDREN'S ZONE/PROMISE ACAD.CHARTER SCH.,Charter,ESMS,Middle School, 2.97 ,A,80.20,0.841,0.772,0.767,2.25,NA
84M336,84,KIPP INFINITY CHARTER SCHOOL,Charter,ESMS,Middle School, 3.36 ,A,106.63,1.048,0.964,1.046,4.5,NA
84M861,84,FUTURE LEADERS INSTITUTE CHARTER SCHOOL,Charter,ESMS,K-8 School, 64.99 ,B,52.95,0.721,0.507,0.462,1.5,NA
84Q170,84,PENINSULA PREPARATORY ACADEMY CHARTER SCHOOL,Charter,ESMS,Elementary School, 64.05 ,F,29.37,0.324,0.421,0.216,0,NA
84Q705,84,THE RENAISSANCE CHARTER SCHOOL,Charter,ESMS,K-8 School, 41.10 ,C,38.65,0.847,0.623,0.132,0,NA
84X185,84,THE BRONX LIGHTHOUSE CHARTER SCHOOL,Charter,ESMS,Elementary School, 66.40 ,C,42.51,0.497,0.132,0.565,0,NA
84X704,84,KIPP ACADEMY CHARTER SCHOOL,Charter,ESMS,Middle School, 3.45 ,A,82.32,1.133,0.955,0.639,1.5,NA
