DBN,DISTRICT,SCHOOL,SCHOOL SUPPORT ORGANIZATION/NETWORK,PROGRESS REPORT TYPE,SCHOOL LEVEL*, PEER INDEX* ,GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,PERFORMANCE CATEGORY SCORE,PROGRESS CATEGORY SCORE,ADDITIONAL CREDIT,QUALITY REVIEW SCORE
26Q173,26,PS 173 FRESH MEADOWS,ICI20,ESMS,Elementary School, 20.30 ,C,46.91,0.579,0.738,0.292,0,Well-Developed
26Q178,26,PS 178 HOLLISWOOD,ICI20,ESMS,K-8 School, 22.25 ,A,81.22,0.736,0.725,0.799,4.5,Proficient
26Q186,26,PS 186 CASTLEWOOD,ICI20,ESMS,Elementary School, 23.31 ,C,44.99,0.689,0.716,0.24,0,Proficient
26Q188,26,PS 188 KINGSBURY,ICI20,ESMS,Elementary School, 11.17 ,B,55.73,0.866,0.883,0.296,0,Proficient
26Q191,26,PS 191 MAYFLOWER,ICI20,ESMS,Elementary School, 22.80 ,A,65.33,0.882,0.824,0.498,0,Well-Developed
26Q203,26,PS 203 OAKLAND GARDENS,ICI20,ESMS,Elementary School, 13.28 ,B,61.63,0.693,0.901,0.44,0,Well-Developed
26Q205,26,PS 205 ALEXANDER GRAHAM BELL,ICI20,ESMS,Elementary School, 17.07 ,A,67.91,0.943,0.939,0.465,0,Well-Developed
26Q213,26,PS 213 The Carl Ullman School,ICI20,ESMS,Elementary School, 21.52 ,A,75.5,0.746,0.794,0.736,0,Well-Developed
26Q216,26,JHS 216 GEORGE J RYAN,ICI13,ESMS,Middle School, 3.61 ,B,57.74,0.468,0.651,0.499,3.75,Proficient
26Q221,26,PS 221 NORTH HILLS,ICI20,ESMS,Elementary School, 13.22 ,A,69.09,0.701,0.854,0.599,0,Well-Developed
26Q266,26,P.S./I.S. 266,ICI20,ESMS,K-8 School, 18.15 ,A,79.65,0.682,0.803,0.716,6,Well-Developed
26Q415,26,BENJAMIN N. CARDOZO HIGH SCHOOL,ICI14,HS,High School, 3.21 ,B,59.6,0.277,0.618,0.589,4.5,Well-Developed
26Q430,26,FRANCIS LEWIS HIGH SCHOOL,ICI14,HS,High School, 3.05 ,B,57.47,0.383,0.611,0.553,3,Well-Developed
26Q435,26,MARTIN VAN BUREN HIGH SCHOOL,ESO16,HS,High School, 2.67 ,B,55.42,0.206,0.6,0.624,0,Proficient
26Q495,26,BAYSIDE HIGH SCHOOL,ICI14,HS,High School, 3.15 ,B,52.9,0.248,0.452,0.619,1.5,Proficient
26Q566,26,QUEENS HIGH SCHOOL OF TEACHING,ESO20,HS,High School, 3.00 ,B,59.22,0.548,0.674,0.341,12,Well-Developed
27Q042,27,PS 042 R VERNAM,KNLSO4,ESMS,K-8 School, 74.29 ,B,52.36,0.197,0.449,0.626,1.5,Proficient
27Q043,27,PS 043,ESO21,ESMS,K-8 School, 71.39 ,C,49.76,0.399,0.649,0.374,3.75,Well-Developed
27Q045,27,PS 045 CLARENCE WITHERSPOON,KNLSO5,ESMS,Elementary School, 66.35 ,B,55.75,0.369,0.445,0.575,5.25,Proficient
27Q047,27,PS 047 CHRIS GALAS,KNLSO4,ESMS,K-8 School, 27.43 ,A,77.49,0.596,0.687,0.844,1.5,Proficient
27Q053,27,I S 053 BRIAN PICCOLO,ESO16,ESMS,Middle School, 2.85 ,C,40.69,0.315,0.562,0.306,2.25,Proficient
27Q056,27,PS 056 HARRY EICHLER,ESO1,ESMS,Elementary School, 47.23 ,B,57.58,0.679,0.611,0.515,0.75,Well-Developed
27Q060,27,PS 060 WOODHAVEN,KNLSO5,ESMS,Elementary School, 57.63 ,B,54.66,0.338,0.694,0.468,3,Well-Developed
27Q062,27,PS 062 CHESTER PARK,ESO21,ESMS,Elementary School, 42.16 ,A,71.92,0.631,0.67,0.62,8.25,Well-Developed
27Q063,27,PS 063 OLD SOUTH,ESO21,ESMS,Elementary School, 50.51 ,B,52.18,0.686,0.595,0.382,3,Well-Developed
27Q064,27,PS 064 JOSEPH P. ADDABBO,KNLSO5,ESMS,Elementary School, 53.21 ,C,40.74,0.613,0.682,0.201,0,Proficient
27Q065,27,PS 65,ESO21,ESMS,Elementary School, 48.59 ,C,44.63,0.759,0.514,0.31,0.75,Well-Developed
27Q066,27,PS 066 JACQUELINE KENNEDY ONASSIS,KNLSO5,ESMS,Elementary School, 61.67 ,B,62.02,0.708,0.916,0.408,1.5,Well-Developed
