MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
1-00007-7501,735-R1,1 COENTIES SLIP,FINANCIAL,R9-CONDOPS,42,1920,36500,1222750,33.5,5810000,159,1-00097-0024,225 FRONT STREET,SOUTHBRIDGE,C7-WALK-UP,12,1900,15400,654000,42.5,3280000,213,0.55,1-00097-0030,36 PECK SLIP,SOUTHBRIDGE,C7-WALK-UP,12,1900,17475,732000,41.9,3670000,210,0.55
1-00015-7502,1557-R1,20 WEST STREET,FINANCIAL,R4-ELEVATOR,282,1930,249076,9464888,38,47500002,191,1-00042-0022,10 LIBERTY STREET,FINANCIAL,D8-ELEVATOR,288,2002,387000,13579420,35.1,65000000,168,0.45,1-00069-0018,2 GOLD STREET,FINANCIAL,D8-ELEVATOR,650,2003,627330,25002565,39.9,125000000,199,0.5
1-00016-7501,308-R1,377 RECTOR PLACE,TRIBECA,R4-ELEVATOR,239,1985,219495,7682325,35,36800005,168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,1720,1983,1881621,57968000,30.8,278000000,148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,1998,357000,13358015,37.4,67000000,188,0
1-00016-7502,313-R1,320 ALBANY STREET,TRIBECA,R4-ELEVATOR,133,1986,139719,4890165,35,23399997,167,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,1720,1983,1881621,57968000,30.8,278000000,148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,1998,357000,13358015,37.4,67000000,188,0
1-00016-7503,385-R1,250 SOUTH END AVENUE,TRIBECA,R4-ELEVATOR,109,1985,105000,3675000,35,17600009,168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,1720,1983,1881621,57968000,30.8,278000000,148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,1998,357000,13358015,37.4,67000000,188,0
1-00016-7504,360-R1,300 ALBANY STREET,TRIBECA,R4-ELEVATOR,107,1986,87479,3061765,35,14700006,168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,1720,1983,1881621,57968000,30.8,278000000,148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,1998,357000,13358015,37.4,67000000,188,0
1-00016-7505,371-R1,380 RECTOR PLACE,TRIBECA,R4-ELEVATOR,247,1987,255845,8954575,35,42900004,168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,1720,1983,1881621,57968000,30.8,278000000,148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,1998,357000,13358015,37.4,67000000,188,0
1-00016-7506,398-R1,280 RECTOR PLACE,TRIBECA,R4-ELEVATOR,121,1985,106129,3714515,35,17799993,168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,1720,1983,1881621,57968000,30.8,278000000,148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,1998,357000,13358015,37.4,67000000,188,0
1-00016-7507,450-R1,300 RECTOR PLACE,TRIBECA,R4-ELEVATOR,154,1986,126008,4410280,35,21099999,167,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,1720,1983,1881621,57968000,30.8,278000000,148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,1998,357000,13358015,37.4,67000000,188,0
1-00016-7508,498-R1,200 RECTOR PLACE,TRIBECA,R4-ELEVATOR,546,1987,586224,20517840,35,98299985,168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,1720,1983,1881621,57968000,30.8,278000000,148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,1998,357000,13358015,37.4,67000000,188,0
1-00016-7509,621-R1,21 SOUTH END AVENUE,TRIBECA,R4-ELEVATOR,182,1988,208281,7289835,35,34899998,168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,1720,1983,1881621,57968000,30.8,278000000,148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,1998,357000,13358015,37.4,67000000,188,0
1-00016-7510,779-R1,99 BATTERY PLACE,TRIBECA,R4-ELEVATOR,293,1988,341489,11952115,35,57300016,168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,1720,1983,1881621,57968000,30.8,278000000,148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,1998,357000,13358015,37.4,67000000,188,0
1-00016-7511,780-R1,2 SOUTH END AVENUE,TRIBECA,R4-ELEVATOR,163,1990,156260,5469100,35,26200003,168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,1720,1983,1881621,57968000,30.8,278000000,148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,1998,357000,13358015,37.4,67000000,188,0
1-00016-7513,1217-R1,25 BATTERY PLACE,TRIBECA,R4-ELEVATOR,117,2003,267723,9370305,35,44900000,168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,1720,1983,1881621,57968000,30.8,278000000,148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,1998,357000,13358015,37.4,67000000,188,0
1-00016-7514,1623-R1,30 UNKNOWN,TRIBECA,R4-ELEVATOR,234,2006,431824,15761576,36.5,77600002,180,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,1720,1983,1881621,57968000,30.8,278000000,148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,1998,357000,13358015,37.4,67000000,188,0
1-00016-7515,1848-R1,225 RECTOR PLACE,TRIBECA,R4-ELEVATOR,304,1985,257848,9024680,35,43199949,168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,1720,1983,1881621,57968000,30.8,278000000,148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,1998,357000,13358015,37.4,67000000,188,0
1-00017-7502,1192-R1,33 RECTOR STREET,FINANCIAL,R4-ELEVATOR,13,1920,37236,1303260,35,6240000,168,1-00065-0010,9 MAIDEN LANE,FINANCIAL,D5-ELEVATOR,69,1900,58354,1955948,33.5,9370000,161,0.3,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8-ELEVATOR,60,1929,57941,2231133,38.5,11200000,193,0.05
1-00018-7501,1741-R1,13 RECTOR STREET,FINANCIAL,R4-ELEVATOR,452,1956,316810,11088350,35,53099990,168,1-00042-0022,10 LIBERTY STREET,FINANCIAL,D8-ELEVATOR,288,2002,387000,13579420,35.1,65000000,168,0.35,1-00069-0018,2 GOLD STREET,FINANCIAL,D8-ELEVATOR,650,2003,627330,25002565,39.9,125000000,199,0.4
1-00026-7501,1480-R1,15 BROAD STREET,FINANCIAL,R4-ELEVATOR,382,1914,648926,25308114,39,126999981,196,1-00069-0018,2 GOLD STREET,FINANCIAL,D8-ELEVATOR,650,2003,627330,25002565,39.9,125000000,199,0.2,1-00075-0001,127 JOHN STREET,FINANCIAL,D8-ELEVATOR,579,1973,541000,24362905,45,122000000,226,0.3
1-00027-7501,1424-R1,55 WALL STREET,FINANCIAL,R4-ELEVATOR,107,1836,159544,6222216,39,31199996,196,1-00069-0018,2 GOLD STREET,FINANCIAL,D8-ELEVATOR,650,2003,627330,25002565,39.9,125000000,199,0.15,1-00075-0001,127 JOHN STREET,FINANCIAL,D8-ELEVATOR,579,1973,541000,24362905,45,122000000,226,0.25
1-00028-7501,1590-R1,82 BEAVER STREET,FINANCIAL,R4-ELEVATOR,126,1987,81884,3029708,37,15199998,186,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8-ELEVATOR,60,1929,57941,2231133,38.5,11200000,193,0.35,1-00065-0010,9 MAIDEN LANE,FINANCIAL,D5-ELEVATOR,69,1900,58354,1955948,33.5,9370000,161,0.3
1-00029-7501,1002-R1,48 BEAVER STREET,FINANCIAL,R9-CONDOPS,40,1920,65396,2223464,34,10600000,162,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8-ELEVATOR,60,1929,57941,2231133,38.5,11200000,193,0.3,,,,,,,,,,,,
1-00029-7503,1541-R1,21 SOUTH WILLIAM STREET,FINANCIAL,R4-ELEVATOR,31,1900,20308,751396,37,3770002,186,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8-ELEVATOR,60,1929,57941,2231133,38.5,11200000,193,0.35,,,,,,,,,,,,
1-00039-7501,122-R1,164 PEARL STREET,FINANCIAL,R4-ELEVATOR,121,1956,109468,3612444,33,17299999,158,1-00077-0024,82 FULTON STREET,FINANCIAL,D7-ELEVATOR,208,1900,159000,5484019,34.5,26300000,165,0.25,1-00077-0001,87 JOHN STREET,FINANCIAL,D7-ELEVATOR,164,1926,160000,5506000,34.4,26400000,165,0.25
1-00041-7501,1054-R1,50 PINE STREET,FINANCIAL,R4-ELEVATOR,20,1902,39607,1386245,35,6640000,168,1-00065-0006,21 MAIDEN LANE,FINANCIAL,D6-ELEVATOR,25,1900,37800,1241892,32.9,5950000,157,0.2,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8-ELEVATOR,60,1929,57941,2231133,38.5,11200000,193,0.35
1-00041-7503,1186-R1,56 PINE STREET,FINANCIAL,R4-ELEVATOR,90,1893,73507,2572745,35,12300003,167,1-00065-0006,21 MAIDEN LANE,FINANCIAL,D6-ELEVATOR,25,1900,37800,1241892,32.9,5950000,157,0.2,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8-ELEVATOR,60,1929,57941,2231133,38.5,11200000,193,0.35
1-00053-7501,1572-R1,120 GREENWICH STREET,FINANCIAL,R4-ELEVATOR,102,1903,71985,2519475,35,10560787,147,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8-ELEVATOR,60,1929,57941,2231133,38.5,11200000,193,0.04,1-00065-0010,9 MAIDEN LANE,FINANCIAL,D5-ELEVATOR,69,1900,58354,1955948,33.5,9370000,161,0.25
1-00065-7501,21-R1,65 NASSAU STREET,FINANCIAL,R9-CONDOPS,29,1920,28550,750000,26.3,3430000,120,1-00065-0010,9 MAIDEN LANE,FINANCIAL,D5-ELEVATOR,69,1900,58354,1955948,33.5,9370000,161,0,1-00053-0036,106 GREENWICH STREET,FINANCIAL,C7-WALK-UP,19,1900,10950,366000,33.4,1750000,160,0.25
1-00068-7501,1648-R1,80 JOHN STREET,FINANCIAL,R4-ELEVATOR,145,1927,186512,7450000,39.9,37399998,201,1-00068-0016,84 WILLIAM STREET,FINANCIAL,D9-ELEVATOR,124,1907,111184,4867077,43.8,24400000,219,0.04,1-00056-0004,90 WEST STREET,FINANCIAL,D5-ELEVATOR,413,1908,357000,12993000,36.4,65200000,183,0.4
1-00072-7501,65-R1,170 JOHN STREET,FINANCIAL,R4-ELEVATOR,14,1982,24362,850000,34.9,4070000,167,1-00248-0070,80 RUTGERS SLIP,LOWER EAST SIDE,D9-ELEVATOR,109,1987,83904,1893593,22.57,4430000,53,0.8,1-00372-0060,274 EAST 2 STREET,ALPHABET CITY,D7-ELEVATOR,103,1997,80500,2692536,33.4,12900000,160,1.65
1-00078-7503,1023-R1,80 NASSAU STREET,FINANCIAL,R9-CONDOPS,11,1900,31738,1100000,34.7,5260000,166,1-00106-0004,272 WATER STREET,SOUTHBRIDGE,D9-ELEVATOR,14,1900,16424,508656,31,2440000,149,0.3,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8-ELEVATOR,60,1929,57941,2231133,38.5,11200000,193,0.35
1-00078-7505,1310-R1,39 JOHN STREET,FINANCIAL,R9-CONDOPS,14,1930,17122,620000,36.2,2960000,173,1-00078-0001,135 WILLIAM STREET,FINANCIAL,D7-ELEVATOR,31,1905,59488,1607641,27,7700000,129,0.04,1-00106-0004,272 WATER STREET,SOUTHBRIDGE,D9-ELEVATOR,14,1900,16424,508656,31,2440000,149,0.3
