Grade,Year,Demographic,Number Tested,Mean Scale Score,Num Level 1,Pct Level 1,Num Level 2,Pct Level 2,Num Level 3,Pct Level 3,Num Level 4,Pct Level 4,Num Level 3 and 4,Pct Level 3 and 4
8,2010,Male,36322,647,6147,16.9,18544,51.1,10507,28.9,1124,3.1,11631,32
8,2011,Male,36081,647,5304,14.7,20089,55.7,10486,29.1,202,0.6,10688,29.6
8,2012,Male,35306,650,4361,12.4,19035,53.9,11671,33.1,239,0.7,11910,33.7
All Grades,2006,Male,206958,644,29734,14.4,81210,39.2,86392,41.7,9622,4.6,96014,46.4
All Grades,2007,Male,219077,646,24683,11.3,92295,42.1,94063,42.9,8036,3.7,102099,46.6
All Grades,2008,Male,213868,651,16112,7.5,84757,39.6,105952,49.5,7047,3.3,112999,52.8
All Grades,2009,Male,212857,658,7937,3.7,67474,31.7,126995,59.7,10451,4.9,137446,64.6
All Grades,2010,Male,212481,659,38411,18.1,93306,43.9,68305,32.1,12459,5.9,80764,38
All Grades,2011,Male,213910,658,34977,16.4,94974,44.4,79707,37.3,4252,2,83959,39.2
All Grades,2012,Male,213485,660,32823,15.4,90629,42.5,84867,39.8,5166,2.4,90033,42.2
