Program Code,Program Name,DBN,Printed School Name,Interest Area,Selection Method,Selection Method Abbreviated,Directory Page #,Borough,URLS
Q29H,West Queens Center for the Humanities and the Sciences,30Q450,Long Island City High School,Humanities & Interdisciplinary,Screened,S,450,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q450
Q29J,Culinary Institute,30Q450,Long Island City High School,Culinary Arts,Screened,S,450,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q450
Q29K,Opera Institute,30Q450,Long Island City High School,Performing Arts,Screened,S,450,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q450
Q29L,Orchestra Academy,30Q450,Long Island City High School,Performing Arts,Screened,S,450,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q450
Q29Z,Zoned,30Q450,Long Island City High School,Zoned,Zoned,Z,450,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q450
Q38A,School of Business and Computer Studies,26Q435,Martin Van Buren High School,Business,Ed. Opt.,E,452,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q435
Q38J,Center for Natural/Behavioral Sciences,26Q435,Martin Van Buren High School,Science & Math,Screened,S,452,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q435
Q38Z,Zoned,26Q435,Martin Van Buren High School,Zoned,Unscreened,Z,452,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q435
Q47A,Maspeth High School,24Q585,Maspeth High School,Humanities & Interdisciplinary,Limited Unscreened,L,453,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q585
Q55A,Science Research,29Q492,"Mathematics, Science Research and Technology Magnet High School",Science & Math,Ed. Opt.,E,454,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q492
Q49A,Metropolitan Expeditionary Learning School,28Q167,Metropolitan Expeditionary Learning School,Humanities & Interdisciplinary,Limited Unscreened,L,455,Queens,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=Q167
