Program Code,Program Name,DBN,Printed School Name,Interest Area,Selection Method,Selection Method Abbreviated,Directory Page #,Borough,URLS
Y31B,National Academy Foundation Media Communications,09X365,Academy for Language and Technology,Communications,Screened: Language,SL,1,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X365
Y31C,National Academy Foundation Institute for Computer Technology,09X365,Academy for Language and Technology,Computer Science & Technology,Screened: Language,SL,1,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X365
Y31D,National Academy Foundation Computer Networking,09X365,Academy for Language and Technology,Computer Science & Technology,Screened: Language,SL,1,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X365
X02R,Academy for Scholarship and Entrepreneurship: A College Board School,11X270,Academy for Scholarship and Entrepreneurship: A College Board School,Business,Limited Unscreened,L,3,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X270
X69C,NATEF Automotive Technology,07X600,Alfred E. Smith Career and Technical Education High School,Engineering,Screened,S,4,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X600
X69D,Bilingual Spanish NATEF Automotive Technology,07X600,Alfred E. Smith Career and Technical Education High School,Engineering,Screened: Language,SL,4,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X600
Y34A,Antonia Pantoja Preparatory Academy: A College Board School,08X376,Antonia Pantoja Preparatory Academy: A College Board School,Humanities & Interdisciplinary,Limited Unscreened,L,6,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X376
Y37A,"Archimedes Academy for Math, Science and Technology",08X367,"Archimedes Academy for Math, Science and Technology Applications",Science & Math,Limited Unscreened,L,7,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X367
X17B,Science & Technology,11X299,Astor Collegiate Academy,Science & Math,Limited Unscreened,L,8,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X299
X94A,Banana Kelly High School,08X530,Banana Kelly High School,Humanities & Interdisciplinary,Ed. Opt.,E,9,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X530
X42A,Humanities Academy of Research and Technology (HART),10X434,Belmont Preparatory High School,Humanities & Interdisciplinary,Screened,S,10,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X434
X22A,Bronx Academy of Health Careers,11X290,Bronx Academy of Health Careers,Health Professions,Limited Unscreened,L,12,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X290
X27A,Bronx Academy of Letters,07X551,Bronx Academy of Letters,Humanities & Interdisciplinary,Limited Unscreened,L,13,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X551
X30A,Bronx Aerospace High School,11X545,Bronx Aerospace High School,Communications,Limited Unscreened,L,14,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X545
Y47A,Bronx Bridges High School,08X432,Bronx Bridges High School,Humanities & Interdisciplinary,Screened: Language,SL,15,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X432
Y43A,Bronx Career and College Preparatory High School,12X479,Bronx Career and College Preparatory High School,Humanities & Interdisciplinary,Limited Unscreened,L,16,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X479
X05R,Bronx Center for Science and Mathematics,09X260,Bronx Center for Science and Mathematics,Science & Math,Limited Unscreened,L,17,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X260
X58X,Bronx Collegiate Academy,09X227,Bronx Collegiate Academy (formerly Bronx Expeditionary Learning High School),Humanities & Interdisciplinary,Limited Unscreened,L,18,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X227
Y51A,Building Construction and Technology,07X522,Bronx Design and Construction Academy,Engineering,Limited Unscreened,L,19,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X522
Y51B,Architecture and Design,07X522,Bronx Design and Construction Academy,Architecture,Limited Unscreened,L,19,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X522
Y36A,Bronx Early College Academy,09X324,Bronx Early College Academy,Humanities & Interdisciplinary,Screened,S,20,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X324
X61X,Bronx Engineering & Technology Academy (BETA),10X213,Bronx Engineering and Technology Academy,Engineering,Limited Unscreened,L,21,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X213
Y54A,Bronx Envision,12X511,Bronx Envision Academy,Humanities & Interdisciplinary,Limited Unscreened,L,22,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X511
X32A,Bronx Guild,08X452,Bronx Guild,Humanities & Interdisciplinary,Limited Unscreened,L,23,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X452
X88X,Bronx Health Sciences High School,11X249,Bronx Health Sciences High School,Health Professions,Limited Unscreened,L,24,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X249
X53A,Bronx High School for Law and Community Service,10X439,Bronx High School for Law and Community Service,Law & Government,Ed. Opt.,E,25,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X439
X56A,Medical and Health Sciences,09X413,Bronx High School for Medical Science,Health Professions,Screened,S,26,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X413
X35A,Visual Art,11X418,Bronx High School for the Visual Arts,Visual Art & Design,Limited Unscreened,L,27,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X418
X35B,Graphic Design,11X418,Bronx High School for the Visual Arts,Visual Art & Design,Limited Unscreened,L,27,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X418
X76X,Bronx High School for Writing & Communication Arts,11X253,Bronx High School for Writing and Communication Arts,Film/Video,Limited Unscreened,L,28,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X253
X55A,Bronx High School of Business,09X412,Bronx High School of Business,Business,Ed. Opt.,E,29,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X412
NO CODE,The Bronx High School of Science,10X445,The Bronx High School of Science,Science & Math,Test,T,30,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X445
X36A,Bronx International High School,09X403,Bronx International High School,Humanities & Interdisciplinary,Screened: Language,SL,32,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X403
X64X,Bronx Lab School,11X265,Bronx Lab School,Humanities & Interdisciplinary,Limited Unscreened,L,33,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X265
Y35A,Bronx Latin,12X267,Bronx Latin,Humanities & Interdisciplinary,Limited Unscreened,L,34,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X267
X73A,Bronx Leadership Academy,09X525,Bronx Leadership Academy High School,Law & Government,Ed. Opt.,E,35,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X525
Y49A,Bronx Leadership Academy II High School,07X527,Bronx Leadership Academy II High School,Science & Math,Limited Unscreened,L,36,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X527
X95A,"Bronx School for Law, Government and Justice for New Students",09X505,"Bronx School for Law, Government and Justice",Law & Government,Ed. Opt.,E,37,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X505
X95B,"Bronx School for Law, Government and Justice for Current Students",09X505,"Bronx School for Law, Government and Justice",Law & Government,For Continuing 8th Graders,8,37,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X505
X28A,Bronx School of Law and Finance,10X284,Bronx School of Law and Finance,Law & Government,Limited Unscreened,L,38,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X284
X38A,Theatre Design and Technology,10X546,Bronx Theatre High School,Performing Arts,Limited Unscreened,L,39,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X546
X38B,Performance and Production,10X546,Bronx Theatre High School,Performing Arts,Limited Unscreened,L,39,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X546
Y53A,Bronxdale High School,11X508,Bronxdale High School,Humanities & Interdisciplinary,Limited Unscreened,L,41,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X508
X85R,The Bronxwood Preparatory Academy,11X514,The Bronxwood Preparatory Academy,Humanities & Interdisciplinary,Limited Unscreened,L,42,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X514
X33A,Concert Band/Piano,10X442,The Celia Cruz Bronx High School of Music,Performing Arts,Audition,A,43,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X442
X33B,Chorus,10X442,The Celia Cruz Bronx High School of Music,Performing Arts,Audition,A,43,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X442
X33M,Strings,10X442,The Celia Cruz Bronx High School of Music,Performing Arts,Audition,A,43,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X442
Y42A,The Cinema School,12X478,The Cinema School,Film/Video,Screened,S,45,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X478
X29J,Collegiate Institute for Math and Science,11X288,Collegiate Institute for Math and Science,Science & Math,Limited Unscreened,L,46,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X288
X47A,Social Action,07X427,Community School for Social Justice,Law & Government,Limited Unscreened,L,47,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X427
Y56A,Graphic Design,10X524,Crotona International High School,Humanities & Interdisciplinary,Screened: Language,SL,48,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X524
X10A,Health Professions,10X440,DeWitt Clinton High School,Health Professions,Ed. Opt.,E,49,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X440
X10C,Animal Professions,10X440,DeWitt Clinton High School,Animal Science,Ed. Opt.,E,49,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X440
X10D,Public and Community Service/AFJROTC,10X440,DeWitt Clinton High School,Law & Government,Ed. Opt.,E,49,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X440
X10E,Business Enterprise,10X440,DeWitt Clinton High School,Business,Ed. Opt.,E,49,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X440
X10G,Future Teachers,10X440,DeWitt Clinton High School,Teaching,Ed. Opt.,E,49,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X440
X10J,Macy Honors Gifted program in the Sciences and Humanities,10X440,DeWitt Clinton High School,Science & Math,Screened,S,49,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X440
X39A,Discovery High School,10X549,Discovery High School,Humanities & Interdisciplinary,Limited Unscreened,L,51,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X549
Y21A,DreamYard Preparatory School,09X329,DreamYard Preparatory School,Performing Arts,Limited Unscreened,L,52,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X329
X99X,The Eagle Academy for Young Men,09X231,Eagle Academy for Young Men,Humanities & Interdisciplinary,Limited Unscreened,L,53,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X231
X83X,East Bronx Academy for the Future,12X271,East Bronx Academy for the Future,Humanities & Interdisciplinary,Limited Unscreened,L,54,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X271
X03R,Eximius College Preparatory Academy: A College Board School,09X250,Eximius College Preparatory Academy: A College Board School,Humanities & Interdisciplinary,Limited Unscreened,L,55,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X250
X08R,Explorations Academy,12X251,Explorations Academy,Humanities & Interdisciplinary,Limited Unscreened,L,56,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X251
X91A,Fannie Lou Hamer Freedom High School,12X682,Fannie Lou Hamer Freedom High School,Humanities & Interdisciplinary,Limited Unscreened,L,57,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X682
X65R,The Felisa Rincón de Gautier Institute for Law and Public Policy,08X519,The Felisa Rincón de Gautier Institute for Law and Public Policy,Law & Government,Limited Unscreened,L,58,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X519
X51A,Fordham High School for the Arts,10X437,Fordham High School for the Arts,Performing Arts,Audition,A,59,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X437
X52A,Academy of Information Technology and Entrepreneurship,10X438,Fordham Leadership Academy for Business and Technology,Business,Ed. Opt.,E,61,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X438
X70A,Humanities,07X520,Foreign Language Academy of Global Studies,Humanities & Interdisciplinary,Ed. Opt.,E,62,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X520
X70J,Art as Visual Language,07X520,Foreign Language Academy of Global Studies,Visual Art & Design,Ed. Opt.,E,62,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X520
X63X,Frederick Douglass Academy III Secondary School,09X517,Frederick Douglass Academy III Secondary School,Humanities & Interdisciplinary,Limited Unscreened,L,63,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X517
X66A,Gateway School for Environmental Research and Technology,08X295,Gateway School for Environmental Research and Technology,Environmental Science,Limited Unscreened,L,64,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X295
X60A,Computer Repair A+ and Cisco Networking,10X660,Grace Dodge Career and Technical Education High School,Computer Science & Technology,Screened,S,65,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X660
X60F,School of Health Sciences,10X660,Grace Dodge Career and Technical Education High School,Health Professions,Ed. Opt.,E,65,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X660
X25B,Law and Legal Studies/Law Enforcement Academy,11X455,Harry S Truman High School,Law & Government,Ed. Opt.,E,66,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X455
X25C,Computer Technology/Business Program,11X455,Harry S Truman High School,Computer Science & Technology,Ed. Opt.,E,66,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X455
X25D,Culinary Arts,11X455,Harry S Truman High School,Culinary Arts,Ed. Opt.,E,66,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X455
X25E,Television Production,11X455,Harry S Truman High School,Communications,Ed. Opt.,E,66,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X455
X25F,Air Force Junior ROTC,11X455,Harry S Truman High School,JROTC,Screened,S,66,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X455
X25H,Pre-Engineering and Applied Mathematics,11X455,Harry S Truman High School,Engineering,Screened,S,66,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X455
X25Z,Zoned,11X455,Harry S Truman High School,Zoned,Zoned,Z,66,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X455
X71A,Health Opportunities High School,07X670,Health Opportunities High School,Health Professions,Ed. Opt.,E,68,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X670
X16A,Academy for Computer Technology,08X405,Herbert H. Lehman High School,Computer Science & Technology,Ed. Opt.,E,69,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X405
X16Z,Zoned,08X405,Herbert H. Lehman High School,Zoned,Zoned,Z,69,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X405
X48A,Arts Lab Studio Creative Writing & Performing Arts,11X544,High School for Contemporary Arts,Visual Art & Design,Limited Unscreened,L,71,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X544
X48B,"Arts Lab-Studio II Visual, Audio & Media Arts",11X544,High School for Contemporary Arts,Visual Art & Design,Limited Unscreened,L,71,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X544
Y52A,High School for Language and Innovation,11X509,High School for Language and Innovation,Humanities & Interdisciplinary,Screened: Language,SL,72,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X509
X34A,Humanities & Interdisciplinary,10X433,High School for Teaching and the Professions,Teaching,Limited Unscreened,L,73,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X433
X41A,Violin and Dance,09X543,High School for Violin and Dance,Performing Arts,Limited Unscreened,L,74,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X543
NO CODE,High School of American Studies at Lehman College,10X696,High School of American Studies at Lehman College,Humanities & Interdisciplinary,Test,T,75,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X696
X01X,High School of Computers and Technology,11X275,High School of Computers and Technology,Computer Science & Technology,Limited Unscreened,L,77,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X275
Y22A,Holcombe L. Rucker School of Community Research,08X332,Holcombe L. Rucker School of Community Research,Humanities & Interdisciplinary,Limited Unscreened,L,78,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X332
X14J,Hostos-Lincoln Academy of Science,07X500,Hostos-Lincoln Academy of Science,Health Professions,Screened,S,79,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X500
X78A,Information and Network Technology Academy,10X368,IN-Tech Academy (MS/HS 368),Computer Science & Technology,Screened,S,80,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X368
Y23A,International Community High School,07X334,International Community High School,Humanities & Interdisciplinary,Screened: Language,SL,81,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X334
Y24A,International School for Liberal Arts,10X342,International School for Liberal Arts,Humanities & Interdisciplinary,Screened: Language,SL,82,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X342
X68A,Entrepreneurship/Virtual Enterprise,08X650,Jane Addams High School for Academics and Careers,Business,Screened,S,83,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X650
X68B,Legal Studies,08X650,Jane Addams High School for Academics and Careers,Law & Government,Screened,S,83,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X650
X68E,Medical Assistant,08X650,Jane Addams High School for Academics and Careers,Health Professions,Screened,S,83,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X650
X68J,"Cosmetology, Barbering and Salon Management",08X650,Jane Addams High School for Academics and Careers,Cosmetology,Screened,S,83,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X650
X54A,Jonathan Levin High School for Media and Communications,09X414,Jonathan Levin High School for Media and Communications,Film/Video,Ed. Opt.,E,85,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X414
X86R,Kingsbridge International High School,10X268,Kingsbridge International High School,Humanities & Interdisciplinary,Screened: Language,SL,86,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X268
Y32A,Knowledge and Power Preparatory Academy International High School,10X374,Knowledge and Power Preparatory Academy International High School,Humanities & Interdisciplinary,Limited Unscreened,L,87,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X374
X06R,Leadership Institute,09X276,Leadership Institute,Humanities & Interdisciplinary,Limited Unscreened,L,88,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X276
X43A,International Studies,10X477,Marble Hill High School for International Studies,Humanities & Interdisciplinary,Screened,S,89,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X477
X43B,International Academy,10X477,Marble Hill High School for International Studies,Humanities & Interdisciplinary,Screened: Language,SL,89,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X477
X62X,"The Marie Curie High School for Nursing, Medicine, & Allied Health Professions",10X237,"The Marie Curie School for Medicine, Nursing, and Health Professions",Health Professions,Limited Unscreened,L,91,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X237
X77R,The Metropolitan High School,12X248,The Metropolitan High School,Humanities & Interdisciplinary,Limited Unscreened,L,92,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X248
Y55A,The Metropolitan Soundview High School,12X521,The Metropolitan Soundview High School,Humanities & Interdisciplinary,Limited Unscreened,L,93,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X521
X72A,Millennium Art Academy,08X312,Millennium Art Academy,Visual Art & Design,Limited Unscreened,L,94,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X312
X75A,Monroe Academy of Visual Design,12X692,Monroe Academy for Visual Arts & Design,Visual Art & Design,Ed. Opt.,E,95,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X692
X81X,Morris Academy for Collaborative Studies,09X297,Morris Academy for Collaborative Studies,Humanities & Interdisciplinary,Limited Unscreened,L,96,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X297
X04R,Mott Hall Bronx High School,09X252,Mott Hall Bronx High School,Humanities & Interdisciplinary,Limited Unscreened,L,97,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X252
Y45A,Mott Hall V High School,12X242,Mott Hall V High School,Science & Math,Limited Unscreened,L,98,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X242
X44X,Mott Haven Village Preparatory High School,07X473,Mott Haven Village Preparatory High School,Humanities & Interdisciplinary,Limited Unscreened,L,99,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X473
X49B,"Visual Arts, Drama, Dance and Music",07X547,New Explorers High School,Visual Art & Design,Limited Unscreened,L,100,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X547
X87R,New World High School,11X513,New World High School,Humanities & Interdisciplinary,Screened: Language,SL,101,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X513
X97A,Pablo Neruda Academy for Architecture and World Studies,08X305,Pablo Neruda Academy for Architecture and World Studies,Architecture,Limited Unscreened,L,102,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X305
Y26A,Pan American International High School at Monroe,12X388,Pan American International High School at Monroe,Humanities & Interdisciplinary,Screened: Language,SL,103,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X388
X84X,Peace and Diversity Academy,12X278,Peace and Diversity Academy,Humanities & Interdisciplinary,Limited Unscreened,L,104,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X278
X45A,Pelham Preparatory Academy,11X542,Pelham Preparatory Academy,Humanities & Interdisciplinary,Limited Unscreened,L,105,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X542
X98A,Renaissance High School of Musical Theater & Technology,08X293,Renaissance High School for Musical Theater & Technology,Performing Arts,Limited Unscreened,L,106,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X293
X80A,RKA Humanities,10X141,Riverdale/Kingsbridge Academy (MS/HS141),Humanities & Interdisciplinary,Screened,S,107,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X141
X67J,Information Technology,07X655,Samuel Gompers Career and Technical Education High School,Computer Science & Technology,Ed. Opt.,E,108,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X655
X67K,Pre-Engineering,07X655,Samuel Gompers Career and Technical Education High School,Engineering,Screened,S,108,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X655
X67N,Desktop Publishing,07X655,Samuel Gompers Career and Technical Education High School,Visual Art & Design,Screened,S,108,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X655
X67O,Computer Aided Design,07X655,Samuel Gompers Career and Technical Education High School,Visual Art & Design,Screened,S,108,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X655
X46A,School for Excellence,09X404,School for Excellence,Humanities & Interdisciplinary,Limited Unscreened,L,110,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X404
X11X,South Bronx Preparatory: A College Board School,07X221,South Bronx Preparatory: A College Board School,Humanities & Interdisciplinary,Limited Unscreened,L,111,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X221
X20R,Theatre Arts Production Company School,10X225,Theatre Arts Production Company School,Performing Arts,Audition,A,112,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X225
X96A,University Heights Secondary School,07X495,University Heights Secondary School ,Humanities & Interdisciplinary,Screened,S,113,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X495
Y28A,The Urban Assembly Bronx Studio School for Writers and Artists,08X269,The Urban Assembly Bronx Studio School for Writers and Artists,Humanities & Interdisciplinary,Limited Unscreened,L,114,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X269
Y29A,The Urban Assembly School for Applied Math and Science,09X241,The Urban Assembly School for Applied Math and Science,Science & Math,Limited Unscreened,L,115,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X241
X31A,Urban Assembly School for Careers in Sports,07X548,The Urban Assembly School for Careers in Sports,Business,Limited Unscreened,L,116,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X548
Y38A,Urban Assembly School for Wildlife Conservation,12X372,The Urban Assembly School for Wildlife Conservation,Science & Math,Limited Unscreened,L,117,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X372
X07R,Validus Preparatory Academy: An Expeditionary Learning School,09X263,Validus Preparatory Academy: An Expeditionary Learning School,Health Professions,Limited Unscreened,L,118,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X263
X59X,West Bronx Academy for the Future,10X243,West Bronx Academy for the Future,Humanities & Interdisciplinary,Limited Unscreened,L,119,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X243
X93A,Academy For Excellence,12X684,Wings Academy,Humanities & Interdisciplinary,Ed. Opt.,E,120,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X684
X93P,Dance,12X684,Wings Academy,Performing Arts,Audition,A,120,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X684
Y01T,Women’s Academy of Excellence,08X282,Women's Academy of Excellence,Science & Math,Limited Unscreened,L,122,Bronx,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=X282
K24A,Veterinary Sciences And Animal Care,21K410,Abraham Lincoln High School,Animal Science,Ed. Opt.,E,123,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K410
K24J,Institute for Professions in Science,21K410,Abraham Lincoln High School,Science & Math,Screened,S,123,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K410
K24L,Professional Photography,21K410,Abraham Lincoln High School,Visual Art & Design,Audition,A,123,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K410
K24M,Honors Institute for American Studies - Gilder Lehrman,21K410,Abraham Lincoln High School,Humanities & Interdisciplinary,Screened,S,123,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K410
K24Z,Zoned,21K410,Abraham Lincoln High School,Zoned,Zoned,Z,123,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K410
L21A,Academy for College Preparation and Career Exploration,17K382,Academy for College Preparation and Career Exploration: A College Board School,Humanities & Interdisciplinary,Limited Unscreened,L,125,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K382
L44A,Academy for Conservation and the Environment,18K637,Academy for Conservation and the Environment,Environmental Science,Limited Unscreened,L,126,Brooklyn,http://schools.nyc.gov/Redirector.htm?Page=Admissions&loc=K637
