"Return Period
(Years)","Minor
Damage","Moderate
Damage","Severe
Damage","Destruction
Damage",Total
10,0,0,0,0,0
20,2546,84,3,0,2633
50,12473,1729,41,0,14242
100,39111,11119,183,3,50416
200,80043,34514,623,52,115233
500,175907,110079,4966,1672,292623
"1,000",219682,170640,12067,5090,407480
