Energy Type,-,_,FY 2009Jul-2008,Aug-2008,Sep-2008,Oct-2008,Nov-2008,Dec-2008,Jan-2009,Feb-2009,Mar-2009,Apr-2009,May-2009,Jun-2009,FY 2010Jul-2009,Aug-2009,Sep-2009,Oct-2009,Nov-2009,Dec-2009,Jan-2010,Feb-2010,Mar-2010,Apr-2010,May-2010,Jun-2010,FY 2011Jul-2010,Aug-2010,Sep-2010,Oct-2010,Nov-2010,Dec-2010,Jan-2011,Feb-2011,Mar-2011,Apr-2011,May-2011,Jun-2011,FY 2012Jul-2011,Aug-2011,Sep-2011,Oct-2011,Nov-2011,Dec-2011,Jan-2012,Feb-2012,Mar-2012,Apr-2012,May-2012,Jun-2012,Location 1
Electricity Usage (KWH),168800,150400,119200,124000,112000,108000,110800,104800,107600,100000,108000,120400,137600,158000,124800,103200,90800,106000,95600,102800,90400,97200,97600,134400,169600,140400,121600,107600,97600,109200,92800,100000,91200,90800,93200,130800,145200,130000,122000,99600,98000,93200,93200,94400,92000,90000,102400,108000,,,
Gas (Therms),181,151,144,3062,12250,19136,25709,21040,16373,6250,548,153,193,127,162,1688,11396,18600,23419,26151,8126,1710,1149,182,231,168,143,1691,11404,24344,24480,20214,13567,7302,469,376,139,148,169,171,189,13172,19270,17090,6022,3794,500,150,,,
Total Usage (mmBTUs),594.21,528.41,421.23,729.41,1607.25,2282.2,2949.06,2461.68,2004.54,966.3,423.4,426.22,488.92,551.95,442.14,521.02,1449.5,2221.77,2668.18,2965.95,1121.13,502.74,448.01,476.9,601.94,495.98,429.32,536.34,1473.51,2807.1,2764.72,2362.7,1667.96,1040.1,364.99,484.02,509.46,458.49,433.28,357.03,353.37,1635.29,2245.09,2031.18,916.19,686.57,399.49,383.6,,,
Electricity Demand (KW),3728,3712,3608,3440,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Electricity Usage (KWH),1238400,914400,986400,700800,686400,0,686400,636000,511200,162093,266400,180000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Gas (Therms),499,1212,640,333,0,0,247,603,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Total Usage (mmBTUs),4276.52,3242.02,3430.55,2425.11,2342.66,0,2367.36,2230.95,1757.21,553.22,909.22,614.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Electricity Demand (KW),632,632,632,632,632,632,632,632,632,632,632,632,632,640,576,448,440,432,376,368,400,456,496,592,568,463.68,528.96,501.12,444,353.76,366.72,352.32,347.52,435.36,447.36,524.64,583.2,534.24,550.56,551.52,414.72,317.76,335.04,315.84,336,471.84,444.96,563.04,,,
Electricity Usage (KWH),168000,168000,162400,168000,168000,179200,179200,167200,183200,155200,166400,155200,177600,180800,202400,163200,148800,168000,169600,175200,142400,143200,163200,201600,262400,237600,224800,176000,140000,168000,169600,164800,144000,142400,157600,204800,208800,191200,184000,166400,149600,138400,140000,132800,121600,127200,133600,168000,,,
Total Usage (mmBTUs),573.38,573.38,554.27,573.38,573.38,611.6,611.6,570.65,625.26,529.69,567.92,529.69,606.14,617.06,690.79,557,507.85,573.38,578.84,597.95,486.01,488.74,557,688.05,895.56,810.92,767.24,600.68,477.82,573.38,578.84,562.46,491.47,486.01,537.88,698.98,712.63,652.56,627.99,567.92,510.58,472.36,477.82,453.24,415.02,434.13,455.97,573.38,,,
Electricity Demand (KW),1196,1178.4,1192,1067.2,968.8,957.6,970.4,960.8,885.6,1019.2,1029.6,1212.8,1212,1361.6,1296.8,1232.8,1021.6,980.8,822.4,912,912,1059.2,1127.2,1338.4,1389.6,1292.8,1292.8,1162.4,1162.4,1162.4,1162.4,1162.4,910.4,1083.2,1083.2,1188.8,1273.6,1215.2,1118.4,1114.4,1134.4,1046.4,1038.4,927.2,1013.6,978.4,1000.8,1134.4,,,
,FY 2009,,,,,,FY 2009,,,,,,FY 2010,,,,,,,,FY 2010,,,,FY 2011,,,,,,,,,,FY 2011,,FY 2012,,,,,,,,,,,,,,
,Jul-2008,Aug-2008,Sep-2008,Oct-2008,Nov-2008,Dec-2008,Jan-2009,Feb-2009,Mar-2009,Apr-2009,May-2009,Jun-2009,Jul-2009,Aug-2009,Sep-2009,Oct-2009,Nov-2009,Dec-2009,Jan-2010,Feb-2010,Mar-2010,Apr-2010,May-2010,Jun-2010,Jul-2010,Aug-2010,Sep-2010,Oct-2010,Nov-2010,Dec-2010,Jan-2011,Feb-2011,Mar-2011,Apr-2011,May-2011,Jun-2011,Jul-2011,Aug-2011,Sep-2011,Oct-2011,Nov-2011,Dec-2011,Jan-2012,Feb-2012,Mar-2012,Apr-2012,May-2012,Jun-2012,,,
Electricity Usage (KWH),439440,418960,493200,396080,348400,380400,395440,351520,338160,336080,390640,389680,446160,457520,422160,367680,379120,430080,373680,422400,332000,398640,370480,425200,511040,417280,434400,418400,365920,444320,379360,410640,399600,344400,359280,402000,451840,399280,367520,428720,382240,419280,363440,383600,343760,323200,334960,399920,,,
Gas (Therms),0,0,4,888,3236,7994,9648,8499,6164,2850,74,9,0,0,9,1213,2374,7055,7895,8607,4074,598,210,227,24,147,131,1206,2379,8531,8540,7182,4155,603,371,6,5,13,8,38,1182,3182,7108,6708,2485,2800,900,38,,,
Total Usage (mmBTUs),1499.8,1429.9,1683.68,1440.61,1512.68,2097.69,2314.42,2049.63,1770.53,1432.03,1340.64,1330.87,1522.73,1561.5,1441.72,1376.18,1531.33,2173.35,2064.86,2302.34,1540.51,1420.35,1285.44,1473.89,1746.56,1438.86,1495.69,1548.59,1486.77,2369.55,2148.74,2119.7,1779.32,1235.73,1263.31,1372.61,1542.62,1364.03,1255.13,1467.01,1422.77,1749.19,1951.21,1980.02,1421.74,1383.07,1233.21,1368.71,,,
Electricity Demand (KW),952,912,912,696,512,472,456,456,488,752,760,736,880,936,848,592,496,472,456,456,480,528,680,1648,1648,787.68,768.96,619.68,486.24,442.56,730.56,730.56,730.56,730.56,730.56,730.56,820.8,744,632.16,636.48,413.28,389.76,412.8,416.64,468.96,563.04,538.08,767.52,,,
Electricity Usage (KWH),464800,427200,414400,275200,261600,256800,268800,244000,255200,244800,285600,325600,428000,438400,344000,266400,227200,272800,244000,260000,188800,209600,172000,340800,457600,296000,298400,313600,220000,264000,224800,240800,240800,217600,224800,242400,356000,320800,288800,220000,222400,204000,212000,227200,218400,213600,217600,308000,,,
Gas (Therms),17189,13517,19331,35828,89216,139064,127482,126205,99698,86755,29295,19627,15317,14286,14908,44715,65333,127925,128878,135921,95990,72739,39242,12973,13954,8935,8065,20467,61078,113045,157202,124942,76923,102294,15597,10053,15860,8971,9068,17980,66435,90325,130239,87854,84905,73933,52635,15436,,,
Total Usage (mmBTUs),3305.25,2809.72,3347.43,4522.05,9814.43,14782.85,13665.61,13453.26,10840.79,9511,3904.24,3073.96,2992.45,2924.85,2664.86,5380.72,7308.73,13723.56,13720.56,14479.47,10243.37,7989.26,4511.23,2460.44,2957.18,1903.74,1824.93,3117.01,6858.65,12205.52,16487.44,13316.04,8514.14,10972.06,2326.94,1832.6,2801.02,1991.98,1892.47,2548.85,7402.54,9728.75,13747.45,9560.83,9235.89,8122.31,6006.16,2594.79,,,
Electricity Demand (KW),36.3,34.1,33.3,33.8,15.8,0,0,0,0,0,18.22,26.12,35.6,34.1,28.5,21,17.7,0,0.9,2.02,0,17,33.2,33,38,39.7,40,38.4,37,14.82,0,0,0,2.1,23.8,36.4,37.9,38.22,39.3,39,21,13.9,2.3,0,0,17.1,21,36.3,,,
Electricity Usage (KWH),2384,7176,4916,2746,220,86,0,0,0,0,498,3504,7482,7302,3289,309,106,0,10,8,0,70,812,3010,6348,13084,9299,6165,1039,111,0,0,0,1,738,3009,6726,9776,7515,5727,399,164,5,0,0,138,264,2303,,,
Gas (Therms),2102,43,103,4872,20946,27205,29062,23449,20812,13343,206,49,72,0,2280,5298,10862,28784,31074,33426,14113,5530,2759,106,52,533,215,3122,15983,37444,21616,34772,33991,22630,7513,316,203,198,616,3140,20475,24850,33621,25235,16851,8991,4167,23,,,
Total Usage (mmBTUs),218.34,28.79,27.08,496.57,2095.35,2720.79,2906.2,2344.9,2081.2,1334.3,22.3,16.86,32.74,24.92,239.23,530.85,1086.56,2878.4,3107.43,3342.63,1411.3,553.24,278.67,20.87,26.87,97.96,53.24,333.24,1601.85,3744.78,2161.6,3477.2,3399.1,2263,753.82,41.87,43.26,53.17,87.25,333.55,2048.86,2485.56,3362.12,2523.5,1685.1,899.57,417.6,10.16,,,
Electricity Demand (KW),146,146,146,146,146,146,146,146,146,146,146,146,128,142,130,116,96,96,96,96,92,126,114,134,178,170,146,142,132,96,88,90,130,130,130,162,176,152,142,128,102,90,88,90,130,136,130,162,,,
Electricity Usage (KWH),49600,49600,48000,49600,49600,53000,53000,48000,54600,46200,49600,47400,63800,69200,51600,46600,42000,43000,42800,43800,40600,41000,35600,66600,86000,69200,59800,48200,40800,46000,40600,41800,43200,39000,40800,67000,75000,67800,60200,44400,43800,37200,39600,41000,39400,32200,32200,67000,,,
Gas (Therms),0,0,0,0,0,1033,0,2998,0,11359,0,637,0,9,0,0,0,1057,0,6772,0,4214,13,9,0,0,0,2,143,1432,3313,3795,3045,1844,815,0,0,0,0,0,12,962,1393,2918,2398,1156,327,127,,,
Total Usage (mmBTUs),169.28,169.28,163.82,169.28,169.28,284.19,180.89,463.62,186.35,1293.58,169.28,225.47,217.75,237.08,176.11,159.04,143.34,252.46,146.08,826.69,138.57,561.33,122.8,228.2,293.52,236.18,204.1,164.71,153.55,300.2,469.87,522.16,451.94,317.51,220.75,228.67,255.97,231.4,205.46,151.54,150.69,223.16,274.45,431.73,374.27,225.5,142.6,241.37,,,
Electricity Demand (KW),348,312,324,276,120,120,120,120,120,120,264,276,300,312,276,276,108,108,108,120,108,252,276,300,336,312,312,300,180,108,120,108,96,96,216,300,300,300,264,264,108,96,120,108,108,240,240,300,,,
Electricity Usage (KWH),85200,72000,66000,43200,26400,31200,27600,25200,30000,27600,44400,51600,64800,86400,52800,44400,26400,28800,26400,28800,28800,30000,42000,64800,76800,73200,61200,46800,28800,30000,25200,26400,26400,24000,27600,57600,72000,79200,63600,42000,26400,20400,25200,28800,21600,26400,36000,57600,,,
Gas (Therms),182,214,238,681,4074,10083,9676,11061,9343,4599,163,206,121,166,115,1748,3582,10597,9421,11813,5591,2717,990,246,210,209,241,676,3883,10687,13221,12621,5608,8941,267,236,196,226,239,227,5735,6052,11897,6620,5761,3412,1078,213,,,
Total Usage (mmBTUs),308.99,267.13,249.06,215.54,497.5,1114.78,1061.8,1192.11,1036.69,554.1,167.84,196.71,233.26,311.48,191.7,326.34,448.3,1157.99,1032.2,1279.59,657.39,374.09,242.34,245.76,283.12,270.73,232.97,227.33,486.59,1171.09,1408.11,1352.2,650.9,976.01,120.9,220.19,265.33,292.91,240.96,166.04,663.6,674.82,1275.71,760.29,649.82,431.3,230.67,217.89,,,
Electricity Demand (KW),1500,1394,1376,1036,556,562,546,542,550,682,1230,1342,1376,1410,1350,1232,702,556,754,754.08,754.08,1372.32,1372.32,1399.68,1476,1415.04,1378.56,1399.2,880.08,550.32,545.04,531.12,536.4,532.08,1100.4,1529.76,1538.4,1382.88,1193.28,1181.52,671.04,533.04,0,506.64,502.56,750,1226.64,1226.64,,,
Electricity Usage (KWH),571400,463600,450800,321600,224000,262600,261400,237600,229200,220200,345400,375000,465200,497600,366200,295000,220200,230400,263800,248000,203600,244800,245600,406400,510000,478000,411200,322400,238400,232400,228000,252800,226400,208000,233200,385600,450000,397600,375600,289200,196000,210800,227200,218000,196000,205600,255600,255600,,,
Gas (Therms),19594,-162,0,3727,18510,32634,40451,35232,24892,10968,3259,3012,3471,4184,4367,6275,9341,29700,34964,38944,15093,7204,7138,655,113,177,5056,11899,11174,36712,50116,37541,23450,16428,1780,291,537,16524,18269,8919,10262,16664,31496,20591,16893,8406,7770,1095,,,
Total Usage (mmBTUs),3909.57,1566.05,1538.57,1470.31,2615.51,4159.65,4937.25,4334.12,3271.45,1848.34,1504.74,1581.06,1934.81,2116.69,1686.53,1634.33,1685.64,3756.35,4396.74,4740.82,2204.18,1555.9,1552.03,1452.53,1751.91,1649.1,1909.01,2290.24,1931.05,4464.37,5789.76,4616.9,3117.7,2352.7,973.9,1345.14,1589.54,3009.4,3108.81,1878.93,1695.14,2385.85,3925.03,2803.13,2358.24,1542.31,1649.36,981.86,,,
Electricity Demand (KW),1152,1160,1160,992,902,902,902,742,726,988,1054,1040,1198,1226,1116,868,868,733.44,733.44,977.28,977.28,977.28,1049.76,1239.36,1284.48,1283.52,1317.12,1062.72,943.68,740.64,747.36,738.72,709.92,922.56,996.48,1282.08,1305.6,1288.8,1210.08,1041.12,942.72,974.4,765.12,712.8,712.8,981.6,972.48,1275.36,,,
Electricity Usage (KWH),472800,432000,420000,350400,297600,352800,355200,314400,312000,328800,348000,357600,444000,436800,405600,360000,350400,325600,260800,340800,300000,292800,327200,407200,506400,439200,397600,324800,312000,354400,314400,320000,277600,284800,303200,358400,414400,341600,350400,338400,307200,293600,277600,315200,292000,276000,292000,368000,,,
Gas (Therms),0,32,0,1668,10257,17121,19804,18043,13350,8247,2889,222,0,52,0,4627,5609,17812,20166,20936,9678,3553,1781,42,647,0,0,719,5554,16133,22564,18464,12520,10380,1864,341,239,200,200,241,4607,8182,15852,14056,9498,5865,1998,273,,,
,FY 2009,,,,,,FY 2009,,,,,,FY 2010,,,,,,,,FY 2010,,,,FY 2011,,,,,,,,,,FY 2011,,FY 2012,,,,,,,,,,,,,,
,Jul-2008,Aug-2008,Sep-2008,Oct-2008,Nov-2008,Dec-2008,Jan-2009,Feb-2009,Mar-2009,Apr-2009,May-2009,Jun-2009,Jul-2009,Aug-2009,Sep-2009,Oct-2009,Nov-2009,Dec-2009,Jan-2010,Feb-2010,Mar-2010,Apr-2010,May-2010,Jun-2010,Jul-2010,Aug-2010,Sep-2010,Oct-2010,Nov-2010,Dec-2010,Jan-2011,Feb-2011,Mar-2011,Apr-2011,May-2011,Jun-2011,Jul-2011,Aug-2011,Sep-2011,Oct-2011,Nov-2011,Dec-2011,Jan-2012,Feb-2012,Mar-2012,Apr-2012,May-2012,Jun-2012,,,
Total Usage (mmBTUs),1613.65,1477.6,1433.45,1362.7,2041.4,2916.2,3192.69,2877.34,2399.85,1946.88,1476.61,1242.68,1515.36,1495.99,1384.3,1691.37,1756.8,2892.46,2906.7,3256.74,1991.69,1354.62,1294.82,1393.96,1793.03,1498.98,1357,1180.43,1620.25,2822.86,3329.44,2938.55,2199.44,2010.01,1221.21,1257.31,1438.23,1185.87,1215.9,1179.05,1509.16,1820.25,2532.64,2481.37,1946.39,1528.48,1196.39,1283.27,,,
Electricity Demand (KW),384,396,396,360,372,360,360,360,360,360,372,396,408,408,396,396,384,384,372,372,372,384,408,408,396,396,396,396,396,396,396,396,396,396,372,372,396,396,408,396,360,360,372,348,360,360,384,396,,,
Electricity Usage (KWH),219600,222000,213600,195600,207600,212400,212400,193200,219600,189600,207600,213600,248400,218400,216000,211200,216000,230400,219600,224400,202800,194400,213600,222000,247200,216000,224400,212400,184800,225600,192000,205200,205200,189600,199200,213600,218400,205200,238800,184800,222000,199200,205200,210000,188400,177600,181200,224400,,,
Gas (Therms),2118,0,10520,0,10681,0,21331,0,55233,0,10456,0,2115,0,10418,0,40439,0,21015,0,31516,13248,8158,5066,4695,4755,4244,5843,839,1191,20454,11625,11729,8232,6721,6313,10121,4433,4690,5124,1504,4794,4641,21600,21115,5745,4767,6101,,,
Total Usage (mmBTUs),961.29,757.68,1781.01,667.58,1776.63,724.91,2858.01,659.39,6272.79,647.1,1754.13,729.01,1059.28,745.39,1779,720.82,4781.1,786.35,2850.99,765.87,3843.75,1988.28,1544.81,1264.28,1313.19,1212.7,1190.27,1309.21,714.62,889.07,2700.69,1862.84,1873.24,1470.3,1351.96,1360.31,1757.49,1143.64,1284.02,1143.12,908.08,1159.26,1164.44,2876.72,2754.5,1180.64,1095.13,1375.97,,,
Electricity Demand (KW),79.2,72.4,70,46.4,39.2,37.6,36.8,36,36,66.8,66.8,66.8,75.6,80.8,64,44.4,47.2,36.8,44.8,38.4,34.4,83.2,125.6,125.6,125.6,91.2,95.2,95.2,55.2,55.2,55.2,55.2,57.6,51.2,68.8,96.8,100,89.6,74.4,74.4,40.8,36.8,35.2,36,42.4,56.8,60,94.4,,,
Electricity Usage (KWH),23360,21680,18840,13480,15880,15080,15240,13360,13400,15040,16120,15080,21280,22920,18320,14040,12920,16000,15520,14160,13120,15200,26560,27520,30400,31440,20080,22240,12480,25680,21920,23520,19520,14560,18800,26480,30640,26480,24960,16960,13440,11440,12480,12400,13040,12560,14000,26160,,,
Gas (Therms),391,0,360,0,618,0,4548,0,4121,0,1027,0,639,0,254,0,204,0,2045,0,4100,1967,1212,192,176,191,158,162,370,345,307,206,6749,313,338,329,341,112,156,183,232,228,344,343,6058,369,263,77,,,
Total Usage (mmBTUs),118.83,73.99,100.3,46.01,116,51.47,506.81,45.6,457.83,51.33,157.72,51.47,136.53,78.23,87.93,47.92,64.5,54.61,257.47,48.33,454.78,248.58,211.85,113.12,121.35,126.4,84.33,92.1,79.59,122.15,105.51,100.87,741.52,80.99,97.96,123.28,138.67,101.58,100.79,76.18,69.07,61.84,76.99,76.62,650.31,79.77,74.08,96.98,,,
