Energy Type,-,_,FY 2009Jul-2008,Aug-2008,Sep-2008,Oct-2008,Nov-2008,Dec-2008,Jan-2009,Feb-2009,Mar-2009,Apr-2009,May-2009,Jun-2009,FY 2010Jul-2009,Aug-2009,Sep-2009,Oct-2009,Nov-2009,Dec-2009,Jan-2010,Feb-2010,Mar-2010,Apr-2010,May-2010,Jun-2010,FY 2011Jul-2010,Aug-2010,Sep-2010,Oct-2010,Nov-2010,Dec-2010,Jan-2011,Feb-2011,Mar-2011,Apr-2011,May-2011,Jun-2011,FY 2012Jul-2011,Aug-2011,Sep-2011,Oct-2011,Nov-2011,Dec-2011,Jan-2012,Feb-2012,Mar-2012,Apr-2012,May-2012,Jun-2012,Location 1
Electricity Usage (KWH),142400,146800,135200,104000,110000,92400,92400,76800,78400,78400,102800,126000,146400,146400,135200,115200,101200,98400,83600,82800,86800,98400,105200,137200,147600,139600,129600,118400,86800,89600,76400,82400,81200,93200,111200,144000,145600,135200,144400,116000,100800,86800,74800,83200,92400,86000,113200,144000,,,
Gas (Therms),116,107,167,70,96,125,134,142,138,127,149,133,136,120,130,74,169,149,155,165,134,133,125,137,128,118,135,132,124,149,155,176,153,140,151,167,131,122,145,133,132,131,146,157,148,136,145,156,,,
Steam (mlbs),0,0,0,162,470,686,709,618,728,539,77,0,0,0,49,424,406,588,598,606,480,336,96,8,0,0,0,292,492,649,686,527,479,312,100,0,0,0,0,165,474,479,574,521,406,330,138,0,,,
Total Usage (mmBTUs),497.61,511.72,478.13,542.93,910.1,1094.24,1120.84,966.73,1094.68,882.44,451.78,443.33,513.26,511.66,529.18,874.26,815.87,1007.64,968.9,976.1,845.89,724.51,478.79,490.9,516.55,488.25,455.82,743.51,858.3,1045.75,1042.64,887.58,827.56,680.65,506.34,508.17,510.03,473.63,507.33,593.54,886.77,844.48,911.15,881.71,783.73,675.78,555.02,507.07,,,
Electricity Demand (KW),93.6,93.6,93.6,93.6,93.6,52.8,52.8,51.6,50.4,52.8,56.4,64.8,76.8,92.4,74.4,51.6,51.6,51.6,50.4,50.4,50.4,52.8,68.4,88.8,97.2,88.8,85.2,69.6,55.2,49.2,49.2,49.2,50.4,46.8,57.6,91.2,93.6,88.8,74.4,62.4,48,54,51.6,48,49.2,43.2,80.4,86.4,,,
Electricity Usage (KWH),25560,25560,24720,25560,26040,21720,21840,20520,21000,20040,19440,20640,25440,26520,21840,20280,18840,22320,19920,20280,18720,18960,19200,24240,28800,25200,21720,18720,16320,19560,16680,18000,16800,16200,16080,21600,24120,22080,21120,16920,17160,16200,16800,17640,15600,15600,17760,18360,,,
Gas (Therms),46,51,980,1335,2018,5545,6975,3898,3666,2276,179,50,43,33,40,1257,2409,6153,6411,7425,3829,1403,622,50,43,44,47,225,2752,7155,7189,6907,2699,660,65,59,47,45,45,86,3144,3788,1687,4618,2380,1347,475,66,,,
,FY 2009,,,,,,FY 2009,,,,,,FY 2010,,,,,,,,FY 2010,,,,FY 2011,,,,,,,,,,FY 2011,,FY 2012,,,,,,,,,,,,,,
,Jul-2008,Aug-2008,Sep-2008,Oct-2008,Nov-2008,Dec-2008,Jan-2009,Feb-2009,Mar-2009,Apr-2009,May-2009,Jun-2009,Jul-2009,Aug-2009,Sep-2009,Oct-2009,Nov-2009,Dec-2009,Jan-2010,Feb-2010,Mar-2010,Apr-2010,May-2010,Jun-2010,Jul-2010,Aug-2010,Sep-2010,Oct-2010,Nov-2010,Dec-2010,Jan-2011,Feb-2011,Mar-2011,Apr-2011,May-2011,Jun-2011,Jul-2011,Aug-2011,Sep-2011,Oct-2011,Nov-2011,Dec-2011,Jan-2012,Feb-2012,Mar-2012,Apr-2012,May-2012,Jun-2012,,,
Total Usage (mmBTUs),91.84,92.34,182.37,220.74,290.67,628.63,772.04,459.83,438.27,296,84.25,75.44,91.13,93.81,78.54,194.92,305.2,691.48,709.09,811.72,446.79,205.01,127.73,87.73,102.59,90.41,78.83,86.39,330.9,782.26,775.83,752.13,327.24,121.29,61.38,79.62,87.02,79.86,76.58,66.35,372.97,434.09,226.04,522,291.24,187.94,108.11,69.26,,,
Electricity Demand (KW),1733.41,1617.46,1557.46,1177.44,959.44,901.44,867.67,895.56,895.56,1303.48,1393.45,1281.41,1557.45,1669.49,1517.49,1127.51,903.57,835.61,817.71,773.45,821.39,1145.46,1341.65,1568.5,1743.65,1556.37,1546.51,1226.38,1008.97,811.21,755.53,783.25,819.81,774.17,766.01,1170.19,1007.02,1158.27,1013.78,968.19,731.61,629.76,720.48,608.16,691.68,723.84,713.94,1170.19,,,
Electricity Usage (KWH),587054,559472,501862,401060,348268,381876,393930,372281,379490,374658,411861,434645,542679,579860,475468,419090,357873,386729,348308,354278,325442,350654,369450,461870,609117,533887,469050,383472,334653,355496,335461,327455,326645,301039,293839,425866,482655,455456,417081,314664,304913,283200,285600,239200,278400,285600,253799,253866,,,
Steam (mlbs),242,215,249,459,1665,3162,3810,2814,2569,1240,360,489,4,388,377,966,1527,2894,2760,959,959,872,527,345,315,290,29,200,1769,3081,3680,2723,2262,1072,301,83,88,110,122,292,1438,1991,2960,2290,1520,1233,317,149,,,
Total Usage (mmBTUs),2273.96,2149.65,1991.02,1881.59,3048.73,4835.85,5600.93,4414.33,4165.22,2664,1807.85,2029.73,1856.62,2412.51,2043.93,2509.54,2927.34,4553.01,4272.18,2280.52,2182.1,2170.95,1849.68,1961.78,2430.81,2146.12,1633.25,1532.21,3118.45,4655.33,5256.14,4159.68,3641.89,2225.05,1339.13,1546.19,1745.6,1677.35,1559.78,1400.16,2647.16,3190.86,4281.6,3374.72,2648.28,2352.23,1220.35,1032.9,,,
Electricity Demand (KW),1496,1416,1380,1046,794,774,708,770,786,1070,1158,1174,1370,1474,1342,918,703,703,703,703,767.52,767.52,1254.24,1505.28,1645.92,1527.36,1459.68,1207.2,1027.2,763.2,712.32,789.6,761.76,896.64,940.8,1468.32,1509.12,1368.48,1155.84,1116.48,745.44,725.28,679.2,696,826.56,918.72,899.04,1468.32,,,
Electricity Usage (KWH),573600,535200,465600,368400,328800,337200,334800,310800,325200,318000,358800,391200,507600,525600,432000,367200,313200,367200,324000,346800,320000,324000,361600,492000,599200,532800,504800,364000,324000,340000,318400,327200,300000,305600,317600,455200,516800,484800,448800,350400,334400,307200,294400,320000,309600,304800,325600,325600,,,
Steam (mlbs),63,63,53,316,1613,3059,4128,3048,2523,899,18,14,10,8,9,365,857,3194,3390,3621,1892,155,57,6,8,5,13,115,1227,3388,4047,2962,2378,947,8,5,1,2,4,87,1141,2081,3190,2392,1256,672,53,5,,,
Total Usage (mmBTUs),2028.06,1897,1648.29,1610.37,2924.2,4568.31,5754.38,4465.92,3928.54,2089.67,1244.68,1350.79,1743.6,1802.79,1484.46,1661.01,2026.37,4821.52,4893.04,5228.93,3205.85,1278.97,1297.81,1685.88,2053.99,1824.02,1737.39,1370.8,2476.58,4945.42,5607.92,4425.81,3680.55,2100.97,1092.9,1559.17,1764.94,1656.84,1536.21,1293.1,2416,3373.32,4568.58,3764.44,2459.83,1791.02,1170.47,1116.85,,,
Electricity Demand (KW),1616,1561,1542,1310,1062,910,854,881,874,1427,1466,1368,1635,1659,1570,1391,883,887,801,798,798,1427,1466,1368,1635,1659,1534,1371,1279,910,882,882,887,1026,1063,1243,1283,1291,1210,1110,799,719,706,691,701,979,1004,1237,,,
Electricity Usage (KWH),534000,572000,515200,434000,386400,406400,391200,384800,402000,408400,451200,479200,585200,590000,508000,430400,364400,408000,363600,388000,366800,416000,442800,534800,604800,549200,533600,474800,392000,408000,386800,442800,386400,416000,342800,501600,483600,440800,447200,384400,358800,324400,323200,332000,306400,320800,350000,444800,,,
Gas (Therms),564,531,512,617,707,17990,24721,18142,12633,6154,686,761,606,558,573,2274,4649,17022,20632,20967,9042,1488,759,731,674,573,615,909,4992,20987,21012,25781,15698,8380,2093,773,637,606,636,787,9810,15098,21991,19955,7491,4705,1389,779,,,
