JURISDICTION NAME,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,PERCENT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL
Brooklyn CD 006,12,7,0.58,5,0.42,0,0,12,100,0,0,2,0.17,0,0,2,0.17,1,0.08,5,0.42,2,0.17,0,0,12,100,0,0,12,1,0,0,0,0,12,100,2,0.17,10,0.83,0,0,12
Brooklyn CD 007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn CD 008,10,6,0.6,4,0.4,0,0,10,100,0,0,0,0,0,0,0,0,0,0,9,0.9,1,0.1,0,0,10,100,0,0,10,1,0,0,0,0,10,100,4,0.4,6,0.6,0,0,10
Brooklyn CD 009,101,78,0.77,23,0.23,0,0,101,100,0,0,2,0.02,0,0,1,0.01,86,0.85,4,0.04,8,0.08,0,0,101,100,2,0.02,99,0.98,0,0,0,0,101,100,33,0.33,68,0.67,0,0,101
Brooklyn CD 010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn CD 011,21,18,0.86,3,0.14,0,0,21,100,0,0,0,0,0,0,5,0.24,15,0.71,1,0.05,0,0,0,0,21,100,0,0,21,1,0,0,0,0,21,100,10,0.48,11,0.52,0,0,21
Brooklyn CD 012,378,279,0.74,99,0.26,0,0,378,100,0,0,1,0,0,0,3,0.01,355,0.94,0,0,18,0.05,1,0,378,100,10,0.03,367,0.97,1,0,0,0,378,100,186,0.49,192,0.51,0,0,378
Brooklyn CD 013,149,72,0.48,77,0.52,0,0,149,100,0,0,21,0.14,0,0,16,0.11,41,0.28,62,0.42,9,0.06,0,0,149,100,8,0.05,139,0.93,2,0.01,0,0,149,99,34,0.23,115,0.77,0,0,149
Brooklyn CD 014,262,200,0.76,62,0.24,0,0,262,100,0,0,8,0.03,0,0,10,0.04,211,0.81,12,0.05,16,0.06,5,0.02,262,100,5,0.02,257,0.98,0,0,0,0,262,100,42,0.16,220,0.84,0,0,262
Brooklyn CD 015,140,76,0.54,64,0.46,0,0,140,100,0,0,2,0.01,0,0,0,0,128,0.91,2,0.01,7,0.05,1,0.01,140,99,7,0.05,132,0.94,1,0.01,0,0,140,100,22,0.16,118,0.84,0,0,140
Brooklyn CD 016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn CD 017,4,3,0.75,1,0.25,0,0,4,100,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,4,100,0,0,4,1,0,0,0,0,4,100,0,0,4,1,0,0,4
Brooklyn CD 018,60,28,0.47,32,0.53,0,0,60,100,0,0,7,0.12,0,0,0,0,37,0.62,12,0.2,4,0.07,0,0,60,100,2,0.03,58,0.97,0,0,0,0,60,100,2,0.03,58,0.97,0,0,60
