Borough,Block,Lot,BIN,Building,Agency,2010 Rating *,2010 Current Source Energy Intensity (kBtu/Sq. Ft.),2010 Current Total GHG Emissions (MtCO2e) â ,2011 Rating * ,2011 Source Energy Intensity (kBtu/Sq. Ft.) ,2011 Total GHG Emissions (MtCO2e) † ,Address ,City ,State ,Zip ,Gross Sq.Ft. ,Year Built 
1,2014,36,1060189,Citizens Day Care Center # 4,ACS,N/A,379.6,335.6,N/A,345.4,306.3,110 West 146th St,New York,NY,10039,26799,1971
3,184,25,3000937,Colony South Day Care / Senior Center,ACS,N/A,314,289.9,N/A,268.6,240.7,460 Atlantic Ave,Brooklyn,NY,11217,29064,1971
4,10021,1,4214446,Concerned Parent's of Jamaica Child Care,ACS,N/A,155.6,116.5,N/A,148.6,111.3,143-04 101st St,Queens,NY,11435,26635,1972
2,2837,11,2008017,Concourse Day Care Center,ACS,N/A,212.9,119.3,N/A,209.1,117.7,100-118 East Mount Eden Ave,Bronx,NY,10452,16744,1974
3,326,58,3004040,Court Street Child Care Center,ACS,N/A,199.8,119.1,N/A,184.3,109.7,292 Court St,Brooklyn,NY,11231,20981,1973
3,3498,8,3378202,Crossroads Juvenile Center,ACS,N/A,160.6,1083.4,N/A,179.9,1275.4,17 Bristol St,Brooklyn,NY,11212,210444,1998
4,10155,29,4216225,Dual Center ACS Administrative Site,ACS,47,285.8,627.9,50,272.1,608.1,165-15 Archer Ave,Queens,NY,11433,73040,1973
3,2061,100,3058258,Duffield Day Care Center,ACS,N/A,269.8,218.2,N/A,188.2,136.8,101 Fleet Pl,Brooklyn,NY,11201,20073,1952
2,3736,1,2023714,East Bronx NAACP Day Care Center,ACS,N/A,134.5,105,N/A,127.3,99.4,1113 Colgate Ave,Bronx,NY,10472,27770,1972
2,2939,90,2009866,East Tremont-Crotona Day Care Center,ACS,N/A,156.6,174.8,N/A,139.1,153.8,1600 Crotona Park,Bronx,NY,10456,31927,1972
3,1624,1,3044209,Emanuel Progressive - Little Sun Pride,ACS,N/A,230.2,122.4,N/A,223.8,119,265 Marcus Garvey Ave,Brooklyn,NY,11221,18600,1913
2,2383,12,2001505,Embassy IOLA's Jordan Day Care Center,ACS,N/A,191.5,149.8,N/A,165.1,130.3,421 East 161st St,Bronx,NY,10451,26678,1931
2,2877,522,2008966,Ezekiel Rivers Learning Center,ACS,N/A,532.2,394.1,N/A,480.6,355.3,200 West Tremont Ave,Bronx,NY,10453,26067,1973
3,55,34,3000150,Farragut Day Care Center,ACS,N/A,145.8,112.5,N/A,64.5,49.5,104 Gold St,Brooklyn,NY,11201,27286,1972
2,2368,39,2001228,Five Star Day Care Center,ACS,N/A,147.6,117.9,N/A,146.8,117.3,3261 3rd Ave,Bronx,NY,10456,28422,1953
3,5049,1,3115846,Flatbush Action Community Day Care Center,ACS,N/A,225.7,183.9,N/A,202.3,164.8,525 Parkside Ave,Brooklyn,NY,11226,28975,1925
3,1420,51,3038317,Friends of Crown Heights #1,ACS,N/A,188.5,151.3,N/A,232.7,186.7,36 Ford St,Brooklyn,NY,11213,28545,1927
3,1224,45,3030896,Friends of Crown Heights #2,ACS,N/A,225.4,256.8,N/A,211.5,241,671 Prospect Pl,Brooklyn,NY,11216,40533,1973
3,1296,1,3034153,Friends of Crown Heights #3,ACS,N/A,225.6,92,N/A,252.2,104,317 Rogers Ave,Brooklyn,NY,11225,12426,1925
2,2931,15,2009685,Fulton Avenue Day Care Center,ACS,N/A,206,160.8,N/A,214.9,167.7,1332 Fulton Ave,Bronx,NY,10456,27770,1972
3,1361,66,3036100,George C. Conliffe Child Care Center,ACS,N/A,149.8,107.6,N/A,139.5,100.1,1435 Prospect Pl,Brooklyn,NY,11213,25133,1973
3,3803,46,3084621,George-Livonia Child Corner Day Care Center,ACS,N/A,184.1,205.8,N/A,196,219,565 Livonia Ave,Brooklyn,NY,11207,39400,1916
3,3413,6,3078908,Grant Street Settlement CF Center,ACS,N/A,258.2,202.9,N/A,278,219,783-91 Knickerbocker Ave,Brooklyn,NY,11207,24832,1971
2,3732,39,2023653,H.G. Birch Watson Day Care Center,ACS,N/A,139.6,122.8,N/A,125.4,110.5,1880 Watson Ave,Bronx,NY,10472,30740,1975
3,1246,1,3031845,Haitian American #1 Day Care Center,ACS,N/A,189.6,126.5,N/A,175.5,117.2,1491 Bedford Ave,Brooklyn,NY,11216,23340,1915
3,1240,56,3031515,Haitian American #3 Day Care Center,ACS,N/A,152.5,179.8,N/A,118.3,138.1,813 Sterling Pl,Brooklyn,NY,11216,37615,1960
1,1947,23,1059142,Harbor Morningside Children,ACS,N/A,133.7,90.2,N/A,No Energy Use,No Energy Use,311 West 120th St,New York,NY,10027,24000,1921
3,947,54,3019440,Helen O. Carey Child Development Center,ACS,N/A,218.5,158,N/A,205.2,149.7,71 Lincoln Pl,Brooklyn,NY,11217,20400,1972
2,2516,51,2003301,Highbridge Advisory SRCC,ACS,N/A,266.3,210.6,N/A,262.1,206.9,1181 Nelson Ave,Bronx,NY,10452,27734,1973
3,3227,10,3073394,Horace Greene Day Care Center,ACS,N/A,139.3,120.2,N/A,148.8,128.3,600 Hart St,Brooklyn,NY,11221,30686,1971
2,2276,1,2000133,Horizon Juvenile Center,ACS,N/A,162.5,1088.5,N/A,164.3,1120.5,560 Brook Ave,Bronx,NY,10455,210444,1997
3,4315,40,3097095,Hubert A. Morrell Early Development Center,ACS,N/A,223.2,158.6,N/A,202,143.5,921 Hegeman Ave,Brooklyn,NY,11208,25000,1972
4,11946,121,4258254,Jamaica Family Day Care Center,ACS,N/A,235,134.9,N/A,No Energy Use,No Energy Use,108-10 Sutphin Blvd,Queens,NY,11435,20420,1970
4,12599,8,4271346,Jamaica Neap Day Care Center,ACS,N/A,142.8,97.1,N/A,128.6,83,189-26 Linden Blvd,Queens,NY,11412,17053,1955
4,1669,38,4041534,Jerome Hardeman,ACS,N/A,231.6,68,N/A,207.3,61.1,29-49 Gillmore St,Queens,NY,11369,10238,1972
3,3433,5,3079655,John Coker Day Care Center,ACS,N/A,129.7,102.4,N/A,121.9,98.3,1375 Bushwick Ave,Brooklyn,NY,11207,27100,1973
1,2132,47,1063193,La Familia Unida Day Care Center,ACS,N/A,22.4,57,N/A,17.1,43.5,2340 Amsterdam Ave,New York,NY,10033,90506,1911
1,1701,1,1083954,La Hermosa Day Care Center - Dawning Village,ACS,N/A,67,46.6,N/A,85.6,59.6,2090 1st Ave,New York,NY,10029,24760,1974
2,2888,21,2009316,Labor Bathgate Day Care Center,ACS,N/A,251.1,132.7,N/A,179.5,94.9,1638 Anthony Ave,Bronx,NY,10457,18800,1973
3,4810,23,3107217,Learner's Haven Day Care Center,ACS,N/A,133.6,62.6,N/A,81.1,43.4,432 Rutland Rd,Brooklyn,NY,11203,13548,1972
1,479,1,1007156,Lira-Mott Daycare/HDS/Senior Center,ACS,N/A,305,130.3,N/A,312.8,134.2,180 Mott St,New York,NY,10012,13625,1976
1,341,70,1077609,Little Star of Broom Street,ACS,N/A,130.1,43.2,N/A,137.9,45.7,151 Broome St,New York,NY,10002,11520,1972
3,1538,46,3041852,Love In Action #2 Day Care Center,ACS,N/A,172,141.5,N/A,168.1,138.3,33 Somers St,Brooklyn,NY,11233,28860,1973
3,3976,70,3088473,Luis Munoz Marin ECA,ACS,N/A,162.1,158.8,N/A,146.8,144.4,851 Liberty Av,Brooklyn,NY,11208,34670,1971
4,1726,5,4042862,Malcolm X Day Care Center,ACS,N/A,183.3,123.3,N/A,182.3,122.6,111-12 Northern Blvd,Queens,NY,11368,23925,1970
3,4457,1,3098472,Maxine Turner Early Childhood Center,ACS,N/A,191.8,178.2,N/A,236,223.3,668 Logan St,Brooklyn,NY,11208,26070,1973
2,3178,32,2013953,Morris Day Care/Steven Soles Day Care Center,ACS,N/A,265.5,281.3,N/A,248.2,263.3,80 East 181st St,Bronx,NY,10453,37036,1973
3,4089,25,3090717,Morris Eisenstein Learning,ACS,N/A,307.2,111.2,N/A,310.9,113.5,613 New Lots Ave,Brooklyn,NY,11207,10356,1972
3,3568,1,3326658,Morris Koppelman Early Development Center,ACS,N/A,248.2,231.2,N/A,203.1,189.5,774 Saratoga Ave,Brooklyn,NY,11212,32900,1973
3,1331,9,3035444,Mosdoth Day Care Center,ACS,N/A,182.9,117.6,N/A,145.9,94.2,420 Lefferts Ave,Brooklyn,NY,11225,22400,1972
4,12372,239,4268186,National Sorority PHI Delta,ACS,N/A,122.6,98,N/A,108.7,84.4,118-44 Merrick Blvd,Queens,NY,11434,23968,1977
2,2861,129,2109470,New Day Care Davidson Avenue Day Care Center,ACS,N/A,168.3,144.9,N/A,156.8,135.4,1810 Davidson Ave,Bronx,NY,10453,25760,1994
3,3362,55,3076869,New Life Child Care Center,ACS,N/A,322.6,149.2,N/A,382.9,192.1,295 Woodbine St,Brooklyn,NY,11237,14095,1972
2,4829,6,2063070,North Bronx NCNW Community Development Center,ACS,N/A,163.6,135.2,N/A,140.8,116.4,4035 White Plains Rd,Bronx,NY,10466,29400,1971
3,2451,8,3063507,Nuestros Ninos Child Development,ACS,N/A,158.3,126.2,N/A,144.7,114.4,384 South 4th St,Brooklyn,NY,11211,27629,1973
3,552,5,3008517,P.A.L. Miccio Day Care Center,ACS,N/A,207.3,157.4,N/A,201.2,152.7,595 Clinton Ave,Brooklyn,NY,11231,27000,1972
3,1969,30,3056376,Pal Quincy Day Care Center,ACS,N/A,210.4,192.3,N/A,187.4,163.3,5-13 Quincy St,Brooklyn,NY,11238,25882,1930
3,1235,58,3031302,Park Place Day Care Center,ACS,N/A,110.5,78.2,N/A,129.4,95.6,963 Park Pl,Brooklyn,NY,11213,17637,1931
2,2411,41,2001876,Philip Michaels Day Care Center,ACS,N/A,212.9,165.3,N/A,200.8,155.9,629 Courtlandt Ave,Bronx,NY,10451,27629,1972
1,350,8,1004240,Puerto Rican Council,ACS,N/A,181.5,177.1,N/A,156.5,159.9,180 Suffolk St,New York,NY,10002,29575,1926
4,386,7,4004679,Queensbridge Day Care Center,ACS,N/A,125,108.4,N/A,120.5,105.2,38-11 27th St,Queens,NY,11101,25000,1972
3,4214,27,3094691,Ramon Betances Day Care Center,ACS,N/A,146.7,147.5,N/A,126.9,124.8,374 Pine St,Brooklyn,NY,11208,28715,1971
