Borough,Block,Lot,BIN,Building,Agency,2010 Rating *,2010 Current Source Energy Intensity (kBtu/Sq. Ft.),2010 Current Total GHG Emissions (MtCO2e) â ,2011 Rating * ,2011 Source Energy Intensity (kBtu/Sq. Ft.) ,2011 Total GHG Emissions (MtCO2e) † ,Address ,City ,State ,Zip ,Gross Sq.Ft. ,Year Built 
3,148,7,3037571,Medgar Evers College Campus: One Metrotech,CUNY,N/A,156.3,6963.1,N/A,124,5142,1128 Eastern Pkwy,Brooklyn,NY,11213,17795,1980
3,1289,25,3337869,Medgar Evers College Campus: Portable P01 P03,CUNY,N/A,156.3,6963.1,N/A,124,5142,231 Crown St,Brooklyn,NY,11225,1430,1987
3,1289,25,3337869,Medgar Evers College Campus: Portable P02 P04,CUNY,N/A,156.3,6963.1,N/A,124,5142,231 Crown St,Brooklyn,NY,11225,1430,1987
3,1289,25,3337869,Medgar Evers College Campus: Portable P05 P07 P09A,CUNY,N/A,156.3,6963.1,N/A,124,5142,231 Crown St,Brooklyn,NY,11225,1430,1987
3,1289,25,3337869,Medgar Evers College Campus: Portable P06 P08,CUNY,N/A,156.3,6963.1,N/A,124,5142,231 Crown St,Brooklyn,NY,11225,1430,1987
3,1289,25,3337869,Medgar Evers College Campus: Portable P09 P10,CUNY,N/A,156.3,6963.1,N/A,124,5142,231 Crown St,Brooklyn,NY,11225,1430,1987
3,1289,25,3337869,Medgar Evers College Campus: Portable P11 P13,CUNY,N/A,156.3,6963.1,N/A,124,5142,231 Crown St,Brooklyn,NY,11225,1430,1987
3,1289,25,3337869,Medgar Evers College Campus: Portable P12 P14,CUNY,N/A,156.3,6963.1,N/A,124,5142,231 Crown St,Brooklyn,NY,11225,1430,1997
3,1289,25,3337869,Medgar Evers College Campus: Portable P15 P17,CUNY,N/A,156.3,6963.1,N/A,124,5142,231 Crown St,Brooklyn,NY,11225,1430,1997
3,1289,25,3337869,Medgar Evers College Campus: Portable P16 P18,CUNY,N/A,156.3,6963.1,N/A,124,5142,231 Crown St,Brooklyn,NY,11225,1430,1997
3,1289,25,3337869,Medgar Evers College Campus: Portable P19,CUNY,N/A,156.3,6963.1,N/A,124,5142,231 Crown St,Brooklyn,NY,11225,1430,1987
3,1289,25,3337869,Medgar Evers College Campus: Portable P20 P23,CUNY,N/A,156.3,6963.1,N/A,124,5142,231 Crown St,Brooklyn,NY,11225,1430,1987
3,1289,25,3337869,Medgar Evers College Campus: Portable P21,CUNY,N/A,156.3,6963.1,N/A,124,5142,231 Crown St,Brooklyn,NY,11225,720,1987
3,1289,25,3337869,Medgar Evers College Campus: Portable P22,CUNY,N/A,156.3,6963.1,N/A,124,5142,231 Crown St,Brooklyn,NY,11225,672,1987
3,1179,47,3029628,Medgar Evers College Campus: President Residence,CUNY,N/A,156.3,6963.1,N/A,124,5142,135 Eastern Pkwy,Brooklyn,NY,11238,2000,1910
3,1288,1,3033796,Medgar Evers College Campus: School of Business and Student Services,CUNY,N/A,156.3,6963.1,N/A,124,5142,1637 Bedford Ave,Brooklyn,NY,11225,44620,2005
3,1287,48,3033791,"Medgar Evers College Campus: School of Science, Health and Technology",CUNY,N/A,156.3,6963.1,N/A,124,5142,1638 Bedford Ave,Brooklyn,NY,11225,177963,2010
4,6517,1,4467564,Queens College Campus: Alumni Hall Entrepreneurship Center,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,65-56 Kissena Blvd,Flushing,NY,11367,2450,1907
4,6507,100,4141869,Queens College Campus: Athletic Field House,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,65-30 Kissena Blvd,Flushing,NY,11367,725,1966
4,6517,1,4439913,Queens College Campus: Benjamin Rosenthal Library,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,65-76 Kissena Blvd,Flushing,NY,11367,241178,1988
4,6517,1,4439912,Queens College Campus: Campbell Dome,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,65-70 Kissena Blvd,Flushing,NY,11367,8076,2003
4,6517,1,9999999,Queens College Campus: CEP - 1,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,Temporary Building #1,Flushing,NY,11367,7945,1966
4,6517,1,9999999,Queens College Campus: CEP - 2,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,Temporary Building #2,Flushing,NY,11367,7872,1967
4,6517,1,4439917,Queens College Campus: Colden Auditorium,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,64-18 Kissena Blvd,Flushing,NY,11367,42499,1960
4,6517,1,4467560,Queens College Campus: Dining Hall,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,64-36 Kissena Blvd,Flushing,NY,11367,46298,1961
4,6517,1,4467567,Queens College Campus: Dining Hall Addition,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,64-50 Kissena Blvd,Flushing,NY,11367,42726,1971
4,1259,19,1034206,Queens College Campus: Extension Center,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,25 West 43rd St,Flushing,NY,10036,19725,1949
4,6517,1,4439916,Queens College Campus: Fitzgerald Gymnasium,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,64-70 Kissena Blvd,Flushing,NY,11367,174849,1957
4,4976,27,4112321,Queens College Campus: Flushing Center for Higher Education,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,39-07 Prince St,Flushing,NY,11364,10000,1995
4,6517,1,4439915,Queens College Campus: Fuel Oil Pump House,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,64-56 Kissena Blvd,Flushing,NY,11367,451,1954
4,6517,1,4467561,Queens College Campus: G Building,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,64-26 Kissena Blvd,Flushing,NY,11367,12909,1907
4,6517,1,4439920,Queens College Campus: Gertz Speech Clinic,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,64-22 Kissena Blvd,Flushing,NY,11367,7706,1960
4,6517,1,4439918,Queens College Campus: Goldstein Theatre,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,64-10 Kissena Blvd,Flushing,NY,11367,48626,1960
4,6517,1,4467569,Queens College Campus: Gregory Razran Hall,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,66-40 Kissena Blvd,Flushing,NY,11367,55345,1970
4,6517,1,4467565,Queens College Campus: Guard House,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,65-10 Kissena Blvd,Flushing,NY,11367,1225,1960
4,6517,1,4439915,Queens College Campus: Heating Plant,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,64-56 Kissena Blvd,Flushing,NY,11367,15755,1951
4,6517,1,9999999,Queens College Campus: Honors Center,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,Temporary Building #3,Flushing,NY,11367,12891,1967
4,6741,6,4146579,Queens College Campus: Horace Harding Building,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,163-03 Horace Harding Blvd,Flushing,NY,11363,10202,1972
4,6517,1,4439912,Queens College Campus: Hortense Powdermaker Hall,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,65-70 Kissena Blvd,Flushing,NY,11367,216650,2003
4,6517,1,4467562,Queens College Campus: I Building,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,64-60 Kissena Blvd,Flushing,NY,11367,39506,1937
4,6517,1,4439920,Queens College Campus: Irrigation Pump House,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,65-30 Kissena Blvd,Flushing,NY,11367,160,1954
4,6517,1,4439910,Queens College Campus: Jefferson Hall,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,65-90 Kissena Blvd,Flushing,NY,11367,49301,1907
4,6517,1,4439921,Queens College Campus: King Hall,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,64-14 Kissena Blvd,Flushing,NY,11367,34829,1960
4,6743,29,4146646,Queens College Campus: Kissena Hall,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,64-19 Kissena Blvd,Flushing,NY,11367,32941,1971
4,6517,1,4439909,Queens College Campus: L-1 B & G Administration,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,64-66 Kissena Blvd,Flushing,NY,11367,2022,1946
4,6517,1,4439907,Queens College Campus: L-2 B & G Lockers,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,64-64 Kissena Blvd,Flushing,NY,11367,780,1946
4,6517,1,4439908,Queens College Campus: L-3 B & G Laborers & Station Engineers,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,64-64 Kissena Blvd,Flushing,NY,11367,2099,1975
4,6517,1,4439906,Queens College Campus: L-4 B & G Shop & Storage,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,64-64 Kissena Blvd,Flushing,NY,11367,6134,1975
4,6517,1,4439905,Queens College Campus: L-5 B & G Equipment,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,64-64 Kissena Blvd,Flushing,NY,11367,8275,1975
4,6517,1,4442884,Queens College Campus: Laura Arthur Colwin Hall,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,66-30 Kissena Blvd,Flushing,NY,11367,30429,1925
4,6517,1,4442883,Queens College Campus: Lloyd T Delany Hall,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,66-20 Kissena Blvd,Flushing,NY,11367,30409,1925
4,1748,36,4043494,Queens College Campus: Louis Armstrong House,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,34-56 107th St,Flushing,NY,11368,2492,1965
4,6517,1,4141870,Queens College Campus: Margaret Kiely Hall,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,65-30 Kissena Blvd,Flushing,NY,11367,216099,1968
4,6517,1,4439911,Queens College Campus: Paul Klapper Hall,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,65-50 Kissena Blvd,Flushing,NY,11367,177837,1954
4,8013,1,4167997,Queens College Campus: President Residence,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,1008 Shore Rd,Flushing,NY,11363,7440,1946
4,6517,1,4439919,Queens College Campus: Rathaus Hall,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,64-30 Kissena Blvd,Flushing,NY,11367,42301,1960
4,6517,1,4439902,Queens College Campus: Remsen Hall,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,66-50 Kissena Blvd,Flushing,NY,11367,168546,1950
4,6517,1,4467563,Queens College Campus: School of Music,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,64-42 Kissena Blvd,Flushing,NY,11367,118228,1988
4,6517,1,4439904,Queens College Campus: Science Building,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,66-60 Kissena Blvd,Flushing,NY,11367,263196,1985
4,6517,200,4467570,Queens College Campus: Student Union,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,66-10 Kissena Blvd,Flushing,NY,11367,194117,1972
4,6507,100,4141869,Queens College Campus: Tennis Structure,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,Not Required,Flushing,NY,11367,38024,2001
4,6517,1,4439914,Queens College Campus: Virginia Frese Hall,CUNY,N/A,253,21358.7,N/A,251.8,21461.2,65-44 Kissena Blvd,Flushing,NY,11367,20155,1907
4,7490,2,4862628,Queensborough Comm. College Campus: Administration / Business Bldg,CUNY,N/A,313.5,11124.5,N/A,312.3,10958.4,222-11 56th Ave,Queens,NY,11364,75200,1978
4,7490,2,9999999,Queensborough Comm. College Campus: Annex A,CUNY,N/A,313.5,11124.5,N/A,312.3,10958.4,220-09 56th Ave,Queens,NY,11364,1307,2008
4,7490,2,9999999,Queensborough Comm. College Campus: Annex B,CUNY,N/A,313.5,11124.5,N/A,312.3,10958.4,220-09 56th Ave,Queens,NY,11364,1307,2008
4,7490,2,4439435,Queensborough Comm. College Campus: Boiler Room,CUNY,N/A,313.5,11124.5,N/A,312.3,10958.4,221-05 56th Ave,Queens,NY,11364,5215,1967
4,7490,2,4439439,Queensborough Comm. College Campus: C Building,CUNY,N/A,313.5,11124.5,N/A,312.3,10958.4,222-03 56th Ave,Queens,NY,11364,20644,1976
4,7490,2,4862627,Queensborough Comm. College Campus: Cafeteria / Student Union Bldg,CUNY,N/A,313.5,11124.5,N/A,312.3,10958.4,221-35 56th Ave,Queens,NY,11364,42185,1970
4,7490,2,4439431,Queensborough Comm. College Campus: Humanities Building,CUNY,N/A,313.5,11124.5,N/A,312.3,10958.4,222-25 56th Ave,Queens,NY,11364,164624,1970
4,7490,2,4439435,Queensborough Comm. College Campus: Kennedy Hall Gymnasium,CUNY,N/A,313.5,11124.5,N/A,312.3,10958.4,221-05 56th Ave,Queens,NY,11364,79959,1967
4,7490,2,4444187,Queensborough Comm. College Campus: Kurt Schmeller Library,CUNY,N/A,313.5,11124.5,N/A,312.3,10958.4,222-05 56th Ave,Queens,NY,11364,107763,1967
4,7490,2,4439438,Queensborough Comm. College Campus: Medical Arts Building,CUNY,N/A,313.5,11124.5,N/A,312.3,10958.4,222-01 56th Ave,Queens,NY,11364,137899,1978
4,7490,2,4439433,Queensborough Comm. College Campus: Oakland Building,CUNY,N/A,313.5,11124.5,N/A,312.3,10958.4,221-15 56th Ave,Queens,NY,11364,28600,1910
4,7490,2,4439434,Queensborough Comm. College Campus: Science Building,CUNY,N/A,313.5,11124.5,N/A,312.3,10958.4,222-15 56th Ave,Queens,NY,11364,175254,1967
4,7490,2,4845889,Queensborough Comm. College Campus: Service Building,CUNY,N/A,313.5,11124.5,N/A,312.3,10958.4,221-03 56th Ave,Queens,NY,11364,26441,1976
4,7490,2,4439432,Queensborough Comm. College Campus: Technology Building,CUNY,N/A,313.5,11124.5,N/A,312.3,10958.4,221-25 56th Ave,Queens,NY,11364,30549,1963
4,7490,2,4862629,Queensborough Comm. College Campus: Temporary #5 - Garage,CUNY,N/A,313.5,11124.5,N/A,312.3,10958.4,221-01 56th Ave,Queens,NY,11364,2313,1983
4,7490,2,4458074,Queensborough Comm. College Campus: Temporary Y1,CUNY,N/A,313.5,11124.5,N/A,312.3,10958.4,226-11 56th Ave,Queens,NY,11364,10243,1967
4,7490,2,4439437,Queensborough Comm. College Campus: Temporary Y2,CUNY,N/A,313.5,11124.5,N/A,312.3,10958.4,222-09 56th Ave,Queens,NY,11364,12850,1967
4,7490,2,4834375,Queensborough Comm. College Campus: Temporary Z,CUNY,N/A,313.5,11124.5,N/A,312.3,10958.4,220-09 56th Ave,Queens,NY,11364,8660,1965
4,10104,43,4215630,York College Campus: Academic Core,CUNY,N/A,93.5,8407.2,N/A,96.1,8799.4,94-20 Guy R Brewer Blvd,Jamaica,NY,11433,657782,1986
4,10117,36,4215677,York College Campus: Athletic Field Storage,CUNY,N/A,93.5,8407.2,N/A,96.1,8799.4,105-34 160th St,Jamaica,NY,11433,4960,1989
4,10103,16,4448849,York College Campus: Classroom Building,CUNY,N/A,93.5,8407.2,N/A,96.1,8799.4,94-43 159th St,Jamaica,NY,11433,39004,1974
4,10118,34,4858182,York College Campus: Health & Physical Education Complex,CUNY,N/A,93.5,8407.2,N/A,96.1,8799.4,160-30 Liberty Ave,Jamaica,NY,11433,80767,1989
4,10152,66,4462248,York College Campus: Performing Arts Center,CUNY,N/A,93.5,8407.2,N/A,96.1,8799.4,94-45 Guy R Brewer Blvd,Jamaica,NY,11433,76713,1989
4,8050,35,4168369,York College Campus: President's Residence,CUNY,N/A,93.5,8407.2,N/A,96.1,8799.4,265 Park Ln,Jamaica,NY,11363,6176,1955
4,10099,52,4215611,York College Campus: Science Building,CUNY,N/A,93.5,8407.2,N/A,96.1,8799.4,94-50 159th St,Jamaica,NY,11433,61773,1973
4,10103,16,4439752,York College Campus: St. Monicas / Child Care Center,CUNY,N/A,93.5,8407.2,N/A,96.1,8799.4,94-12 Guy R Brewer Blvd,Jamaica,NY,11433,10608,2008
1,94,25,1001289,100 Gold Street Office Building,DCAS,40,306.5,5980.2,40,302.3,6062.7,100 Gold St,New York,NY,10038,655775,1970
1,423,22,1005645,115 Chrystie St,DCAS,N/A,107.3,171,N/A,122.8,211.9,115 Chrystie St,New York,NY,10002,55000,1930
5,8,70,5000085,130 Stuyvesant Place Office,DCAS,46,265.5,1363.8,49,253.5,1301.6,130 Stuyvesant Pl,Staten Island,NY,10301,150300,1995
2,2947,18,2009911,Bronx Bergen Building,DCAS,31,287.6,962.1,39,259.2,857.7,1932 Arthur Ave,Bronx,NY,10457,90000,1916
2,2443,94,2099027,Bronx Concourse Plaza,DCAS,62,257.6,1755.1,65,245.3,1654.3,198 East 161st,Bronx,NY,10451,231190,1996
2,2468,1,2002869,Bronx County Courthouse,DCAS,91,139.5,3254.3,92,133,3116.6,851 Grand Concourse,Bronx,NY,10451,555600,1933
2,2454,1,2002704,Bronx Family & Criminal Court,DCAS,66,269.4,4303.1,66,266.8,4293.8,215 East 161st St,Bronx,NY,10451,490000,1973
2,2462,39,2101266,Bronx Housing Court,DCAS,44,254.2,718.8,50,231.9,650.2,1118 Grand Concourse,Bronx,NY,10456,99000,1997
2,4832,9,2063174,Bronx Neighborhood Building,DCAS,33,219.2,177.5,38,202.8,165.7,4101 White Plains Rd,Bronx,NY,10466,17364,1903
3,237,1,3001881,Brooklyn Appellate Court,DCAS,44,229.1,418.7,45,223.8,406.1,45 Monroe Pl,Brooklyn,NY,11201,49500,1937
3,169,17,3000534,Brooklyn Criminal Court,DCAS,26,422.9,4829.9,28,406.4,4682,120 Schermerhorn St,Brooklyn,NY,11201,264100,1929
3,140,7502,3347736,Brooklyn Supreme & Family Court,DCAS,87,166.3,3898.9,88,161.2,3770.6,330 Jay St,Brooklyn,NY,11201,821950,2005
3,139,1,3000256,Brooklyn Supreme Court Campus: Brooklyn Borough Hall,DCAS,N/A,264.2,11044.3,N/A,231.7,9726.8,209 Joralemon St,Brooklyn,NY,11201,50000,1846
3,266,30,3002558,Brooklyn Supreme Court Campus: Brooklyn Municipal Building,DCAS,N/A,264.2,11044.3,N/A,231.7,9726.8,210 Joralemon St,Brooklyn,NY,11201,468000,1924
3,139,20,3000257,Brooklyn Supreme Court Campus: Brooklyn Supreme Court,DCAS,N/A,264.2,11044.3,N/A,231.7,9726.8,360 Adams St,Brooklyn,NY,11201,585000,1958
1,200,1,1066494,Chinatown Senior Center,DCAS,N/A,49.1,57.1,N/A,40.5,47,92 Bayard St,New York,NY,10013,41358,1900
1,122,1,1079146,City Hall Campus: City Hall,DCAS,N/A,203.6,11319.2,N/A,198.5,10916.8,City Hall Park,New York,NY,10007,54800,1811
1,121,1,1001394,City Hall Campus: Manhattan Municipal Building,DCAS,N/A,203.6,11319.2,N/A,198.5,10916.8,1 Centre St,New York,NY,10007,1070800,1913
1,153,24,1001670,City Hall Campus: Manhattan Surrogate's Court,DCAS,N/A,203.6,11319.2,N/A,198.5,10916.8,31 Chambers St,New York,NY,10007,212500,1901
1,122,1,1079146,City Hall Campus: Tweed Courthouse (DOE Offices),DCAS,N/A,203.6,11319.2,N/A,198.5,10916.8,52 Chambers St,New York,NY,10007,170131,1871
1,154,23,1078613,City Planning Building,DCAS,53,229.9,761.6,60,209.1,690.3,22 Reade St,New York,NY,10007,99000,1875
1,170,6,1001835,Clocktower Building,DCAS,N/A,203.4,2856.4,N/A,191.2,2718.8,346 Broadway,New York,NY,10013,787119,1870
1,155,1,1001672,Court Square Building,DCAS,N/A,201,2205.3,N/A,188.4,2120.6,2-8 Lafayette St,New York,NY,10007,354169,1927
3,2467,1,3063635,Div.of Facilities Management & Construction Shops,DCAS,N/A,34,477.5,N/A,27.3,358.8,390 Kent Ave,Brooklyn,NY,11211,320000,1954
1,153,1,1079216,Emigrant Savings Building,DCAS,91,140.2,1715.7,94,123.5,1523.3,49-51 Chambers St,New York,NY,10007,286000,1920
1,197,17,1002358,Excelsior Building,DCAS,49,224,426.7,53,210.6,415.4,137 Centre St,New York,NY,10013,59000,1911
1,1769,45,1054382,Harlem Courthouse,DCAS,40,235.4,248.1,46,218.2,242.4,170 East 121st St,New York,NY,10035,25700,1891
1,168,32,1001831,Health Building,DCAS,79,180.4,2709.5,81,170.2,2702.3,125 Worth St,New York,NY,10013,406109,1932
1,134,7501,1082757,Home Life Building,DCAS,83,166.9,1776.1,82,169.1,1895.9,253 Broadway,New York,NY,10007,272616,1893
4,83,1,4000698,Long Island City Courthouse,DCAS,66,185,420.6,62,190.1,450.9,25-10 Court Sq,Queens,NY,11101,59300,1874
1,166,27,1001830,Louis J. Lefkowitz Building,DCAS,63,230.5,4946,67,215.6,4588.2,80 Centre St,New York,NY,10013,472500,1928
1,855,1,1016743,Manhattan Appellate Court,DCAS,12,371.8,762.2,12,365.5,734.9,27 Madison Ave,New York,NY,10010,54300,1899
1,169,10,1001833,Manhattan Civil Court,DCAS,86,163.1,2883.8,92,138,2298.3,111 Centre St,New York,NY,10013,467000,1960
1,171,31,1001842,Manhattan Family Court,DCAS,84,184.8,3247.9,84,179.4,3109.9,60 Lafayette St,New York,NY,10013,491000,1975
1,160,21,1085748,Manhattan Supreme Court,DCAS,47,277.5,3534.8,50,265.8,3382.9,60 Centre St,New York,NY,10007,322300,1925
3,140,7503,3392969,Office Building,DCAS,87,188.2,2109.3,88,182.3,2119.1,345 Adams St,Brooklyn,NY,11201,327530,1920
4,2274,2,4052812,Queens Borough Hall Campus: Queens Borough Hall,DCAS,N/A,241.2,7488.3,N/A,245.9,7722.5,120-55 Queens Blvd,Kew Gardens,NY,11415,261000,1940
4,9653,1,4206522,Queens Borough Hall Campus: Queens Criminal Court,DCAS,N/A,241.2,7488.3,N/A,245.9,7722.5,125-01 Queens Blvd,Kew Gardens,NY,11415,648000,1956
4,9680,1,4448759,Queens Civil Court,DCAS,80,177.6,1790.2,83,165.4,1688.1,89-17 Sutphin Blvd,Jamaica,NY,11435,320535,1997
4,93,1,4438731,Queens Family Court,DCAS,38,294.9,2824.7,36,297.6,2819.8,151-20 Jamaica Ave,Jamaica,NY,11432,300000,2001
4,9691,1,4207071,Queens Supreme Court,DCAS,72,199.7,2154,72,196.6,2189.9,88-11 Sutphin Blvd,Queens,NY,11435,308200,1936
5,7,1,5000063,Staten Island Borough Hall Campus: Staten Island Borough Hall,DCAS,N/A,258.2,968.6,N/A,256.6,983.1,10 Richmond Ter,Staten Island,NY,10301,81538,1904
5,7,12,5000064,Staten Island Borough Hall Campus: Staten Island Supreme Court,DCAS,N/A,258.2,968.6,N/A,256.6,983.1,18 Richmond Ter,Staten Island,NY,10301,21500,1919
5,159,65,5004530,Staten Island Civil Court,DCAS,31,224.6,139.6,34,212.7,130.2,927 Castleton Ave,Staten Island,NY,10310,18000,1929
5,9,22,5000090,Staten Island Family Court,DCAS,16,258.4,107.9,22,230.5,91,100 Richmond Ter,Staten Island,NY,10301,12300,1931
1,153,1002,1079215,Sun Building,DCAS,65,217.9,1768.5,68,207.5,1652.8,280 Broadway,New York,NY,10007,242062,1845
1,1130,1,1083846,American Museum of Natural History,DCLA,N/A,371.8,19678,N/A,371.5,19611.1,200 Central Park West,New York,NY,10024,1500000,1877
3,2095,45,3345162,BAM Harvey Theater (Majestic Theater),DCLA,N/A,333.5,338.6,N/A,356.8,385.3,651 Fulton St,Brooklyn,NY,11217,32498,1904
3,2110,3,3059182,BAM Peter Jay Sharp Theater (Opera House),DCLA,N/A,336.3,1239.5,N/A,338.2,1246.1,10 Lafayette Ave,Brooklyn,NY,11217,107229,1908
2,2462,1,2002826,Bronx Museum of the Arts,DCLA,N/A,371.6,582.7,N/A,364.6,548.5,1040 Grand Concourse,Bronx,NY,10456,46600,1961
2,3120,20,9999999,Bronx Zoo Campus: Administration East,DCLA,N/A,635.4,20168.3,N/A,660.5,20938.5,2300 Southern Blvd,Bronx,NY,10460,16176,1905
2,3120,20,9999999,Bronx Zoo Campus: Administration West,DCLA,N/A,635.4,20168.3,N/A,660.5,20938.5,2300 Southern Blvd,Bronx,NY,10460,27720,1905
2,3120,20,9999999,Bronx Zoo Campus: African Labs (in Somba Village),DCLA,N/A,635.4,20168.3,N/A,660.5,20938.5,2300 Southern Blvd,Bronx,NY,10460,1000,
2,3120,20,9999999,Bronx Zoo Campus: African Market Food Stand (in Somba Village),DCLA,N/A,635.4,20168.3,N/A,660.5,20938.5,2300 Southern Blvd,Bronx,NY,10460,1500,
2,3120,20,9999999,Bronx Zoo Campus: African Market Gift Shop (in Somba Village),DCLA,N/A,635.4,20168.3,N/A,660.5,20938.5,2300 Southern Blvd,Bronx,NY,10460,1100,
2,3120,20,9999999,Bronx Zoo Campus: African Plains Lion House,DCLA,N/A,635.4,20168.3,N/A,660.5,20938.5,2300 Southern Blvd,Bronx,NY,10460,2000,
2,3120,20,9999999,Bronx Zoo Campus: African Terrace Food Station,DCLA,N/A,635.4,20168.3,N/A,660.5,20938.5,2300 Southern Blvd,Bronx,NY,10460,600,
2,3120,20,9999999,Bronx Zoo Campus: African Wild Dogs Holding,DCLA,N/A,635.4,20168.3,N/A,660.5,20938.5,2300 Southern Blvd,Bronx,NY,10460,900,
2,3120,20,9999999,Bronx Zoo Campus: Animal Commissary Barn,DCLA,N/A,635.4,20168.3,N/A,660.5,20938.5,2300 Southern Blvd,Bronx,NY,10460,4500,
2,3120,20,9999999,Bronx Zoo Campus: Aquatic Bird House,DCLA,N/A,635.4,20168.3,N/A,660.5,20938.5,2300 Southern Blvd,Bronx,NY,10460,20110,1964
2,3120,20,9999999,Bronx Zoo Campus: Aquatic Bird House,DCLA,N/A,635.4,20168.3,N/A,660.5,20938.5,2300 Southern Blvd,Bronx,NY,10460,1500,
2,3120,20,9999999,Bronx Zoo Campus: Asia Bazaar Gift Shop,DCLA,N/A,635.4,20168.3,N/A,660.5,20938.5,2300 Southern Blvd,Bronx,NY,10460,160,
2,3120,20,9999999,Bronx Zoo Campus: Asia Cart Depot,DCLA,N/A,635.4,20168.3,N/A,660.5,20938.5,2300 Southern Blvd,Bronx,NY,10460,750,
2,3120,20,9999999,Bronx Zoo Campus: Asia Marketplace Gift Shop,DCLA,N/A,635.4,20168.3,N/A,660.5,20938.5,2300 Southern Blvd,Bronx,NY,10460,160,
2,3120,20,9999999,Bronx Zoo Campus: Asia Theater & Holding Area,DCLA,N/A,635.4,20168.3,N/A,660.5,20938.5,2300 Southern Blvd,Bronx,NY,10460,225,
2,3120,20,9999999,Bronx Zoo Campus: Asian Horse Holding (Wild Asia Horse Shelter),DCLA,N/A,635.4,20168.3,N/A,660.5,20938.5,Bronx,Bronx,NY,10460,1000,
2,3120,20,9999999,Bronx Zoo Campus: Babirusa Holding,DCLA,N/A,635.4,20168.3,N/A,660.5,20938.5,2300 Southern Blvd,Bronx,NY,10460,3000,
2,3120,20,9999999,Bronx Zoo Campus: Bear Dens,DCLA,N/A,635.4,20168.3,N/A,660.5,20938.5,2300 Southern Blvd,Bronx,NY,10460,3500,
2,3120,20,9999999,Bronx Zoo Campus: Beebe Lab,DCLA,N/A,635.4,20168.3,N/A,660.5,20938.5,2300 Southern Blvd,Bronx,NY,10460,2100,
2,3120,20,9999999,Bronx Zoo Campus: Bird Department Offices (Former Ostrich House),DCLA,N/A,635.4,20168.3,N/A,660.5,20938.5,2300 Southern Blvd,Bronx,NY,10460,600,
2,3120,20,9999999,Bronx Zoo Campus: Birds of Prey,DCLA,N/A,635.4,20168.3,N/A,660.5,20938.5,2300 Southern Blvd,Bronx,NY,10460,4000,
2,3120,20,9999999,Bronx Zoo Campus: Bison Holding,DCLA,N/A,635.4,20168.3,N/A,660.5,20938.5,2300 Southern Blvd,Bronx,NY,10460,1600,
2,3120,20,9999999,Bronx Zoo Campus: Bronx Zoo Store,DCLA,N/A,635.4,20168.3,N/A,660.5,20938.5,2300 Southern Blvd,Bronx,NY,10460,11000,2000
2,3120,20,9999999,Bronx Zoo Campus: Bug Carousel,DCLA,N/A,635.4,20168.3,N/A,660.5,20938.5,2300 Southern Blvd,Bronx,NY,10460,3500,
