UNIT,EVENT NAME,EVENT DATE,PLACE,TIME,ADDRESS,TYPE OF EVENT,ESTIMATED # OF PARTICIPANTS,OPEN TO THE PUBLIC
Food Program,City Harvest Mobile Markets,July,Melrose,9:00am - 11:00am,"286 East 156th Street, Bronx, NY 10451",Outdoor,50-100,
Creative Arts,Summer Theater Camp,July,Lucille Lortel Theater,1:00pm-   3:00pm,"121 Christopher Street, New York, NY 10001",Indoor,23,No
Creative Arts,Art Camp,July,Brooklyn Museum,"11.30 am-
3.00 pm","200 Eastern Parkway
Brooklyn","Indoor Tour
Outdoor Lunch &
Banner Painting",50-100,No
Food Program,City Harvest Mobile Markets,July,Dyckman,9:00am - 11:00am,"3782 Tenth Avenue, New York, NY 10034",Outdoor,50-100,
Education Through Sports ,Manhattan Track & Field,"Thursday, August 01, 2013",MacCombs Dam Park,10:30am-3:00pm,"Bronx, NY 11354",Outdoor,550,Yes
Creative Arts ,Art Camp (Seniors),August,Brooklyn Museum,"11.30 am-
3.00 pm","200 Eastern Parkway
Brooklyn", ,50-100,No
Creative Arts ,Art Camp,August,Brooklyn Museum,"11.30 am-
3.00 pm","200 Eastern Parkway
Brooklyn", ,50-100,No
Food Program,City Harvest Mobile Markets,August,Sumner,9:00am - 11:00am,"862 Park Avenue, Brooklyn, NY 11206",Outdoor,50-100,
Creative Arts ,Summer Theater Camp,August,Lucille Lortel Theater,1:00pm-   3:00pm,"121 Christopher Street, New York, NY 10001",Indoor,26,No
Creative Arts ,Summer Theater Camp,August,Lucille Lortel Theater,1:00pm-   3:00pm,"121 Christopher Street, New York, NY 10001",Indoor,23,No
Food Program,City Harvest Mobile Markets,August,Stapleton,9:00am - 11:00am,"190 Gordon Street,Staten Island, NY 10304",Outdoor,50-100,
Creative Arts ,"Art Camp
Seniors Grp.",August,Metropolitan Museum of Art,"11.30 am-
3.00 pm","1000 Fifth Avenue
NY NY 10028","Indoor Tour
Outdoor Lunch &
Banner Painting",50-100,No
Food Program,City Harvest Mobile Markets,August,Dyckman,9:00am - 11:00am,"3782 Tenth Avenue, New York, NY 10034",Outdoor,50-100,
Education Through Sports ,Bronx Softball Tournament,August TBD,Forest Playground,10:30am-3:30pm,"Bronx, NY",Outdoor,450,No
Food Program,City Harvest Mobile Markets,August,Melrose,9:00am - 11:00am,"286 East 156th Street, Bronx, NY 10451",Outdoor,50-100,
Education Through Sports ,Kids Walk,"Tuesday, August 13, 2013",Clove Lakes Park,10:00am-3:00pm,"Clove Rd, Staten Island, NY",Outdoor,1500,Yes
Food Program,City Harvest Mobile Markets,August,Sumner,9:00am - 11:00am,"862 Park Avenue, Brooklyn, NY 11206",Outdoor,50-100,Yes
Creative Arts ,Summer Theater Camp,August,Lucille Lortel Theater,10:30am-3:00pm,"121 Christopher Street, New York, NY 10001",Indoor,75,No
Creative Arts,Summer Theater Camp,August,Lucille Lortel Theater,10:30am-3:00pm,"121 Christopher Street, New York, NY 10001",Indoor,88,No
Creative Arts,Summer Theater Camp,August,Lucille Lortel Theater,10:30am-12:30am,"121 Christopher Street, New York, NY 10001",Indoor,44,No
Creative Arts,Summer Theater Camp,August,Lucille Lortel Theater,10:30am-3:00pm,"121 Christopher Street, New York, NY 10001",Indoor,132,No
Creative Arts ,Senior Picnic (Tentative),August,Sunken Meadow,"10.00 am-
4.00 pm","Sunken Meadow State Park, NY",Outdoor,1400,No
Food Program,City Harvest Mobile Markets,August,Stapleton,9:00am - 11:00am,"189 Gordon Street,Staten Island, NY 10304",Outdoor,50-100,Yes
Education Through Sports ,Citywide Softball Championship,August TBD,St. Johns Park,10:30am-3:00pm,"Troy Ave., Bergen St., Prospect Pl., Schenectady Ave., Brooklyn NY",Outdoor,100,Yes
Creative Arts ,Art Camp,August,Metropolitan Museum of Art,"11.30 am-
3.00 pm","1000 Fifth Avenue
NY NY 10028","Indoor Tour
Outdoor Lunch &
Banner Painting",50-100,No
Education Through Sports ,Manhattan/Bronx                  Citywide Carnival,"Wednesday, August 14, 2013",Randall Island,10:00am-3:00pm,Randall Island,Outdoor,900,No
Education Through Sports ,Citywide Track & Field Olympics,"Thursday, August 15, 2013",MacCombs Dam Park,10:00am-3:00pm,"Bronx, NY 11354",Outdoor,500,Yes
Food Program,City Harvest Mobile Markets,August,Melrose,9:00am - 11:00am,"286 East 156th Street, Bronx, NY 10451",Outdoor,50-100,Yes
Food Program,City Harvest Mobile Markets,August,Dyckman,9:00am - 11:00am,"3782 Tenth Avenue, New York, NY 10034",Outdoor,50-100,Yes
Education Through Sports ,Brooklyn/Qns/SI               Citywide Carnival,"Tuesday, August 20, 2013",Prosepect Park,10:00am-3:00pm,Prosepect Park,Outdoor,900,No
Education Through Sports ,NFL Officiating Graduation Ceremony,August TBD,NFL HD,6:30pm - 9:00pm,285 Park ,Indoor,200,No
Food Program,City Harvest Mobile Markets,September,Stapleton,9:30am-11:30am,"189 Gordon Street,Staten Island, NY 10304",Outdoor,240,Yes
Food Program,City Harvest Mobile Markets,September,Melrose,9:30am-11:30am,"286 East 156th Street, Bronx, NY 10451",Outdoor,490,Yes
Food Program,City Harvest Mobile Markets,September,Washington Heights/ Inwood,9:30am-11:30am,Dyckman Houses on 10th Avenue,Outdoor,180,Yes
Food Program,City Harvest Mobile Markets,September,Stapleton,9:30-11:30am,"189 Gordon Street,Staten Island, NY 10304",Outdoor,240,Yes
Food Program,City Harvest Mobile Markets,September,Bed-Stuy,9:30-11:30,Tompkins Houses (Parking Lot on Myrtle & Sumner,Outdoor,220,Yes
Food Program,City Harvest Mobile Markets,September,Queens Kick-off,9:30am-11:30am,Astoria Community Center  4-05 Astoria Blvd.,Outdoor,250,Yes
Creative Arts ,35th Annual Senior Show,September,Symphony Space,2:00pm- 5:00pm,"2537 Broadway              New York, NY  10025",Indoor,500,Yes
Food Program,City Harvest Mobile Markets,September,Washington Heights/ Inwood,9:30am-11:30am,Dyckman Houses on 10th Avenue,Outdoor,180,Yes
Creative Arts ,35th Annual Senior Show,"September 26th, 27th",Symphony Space,2:00pm- 5:00pm,"2537 Broadway              New York, NY  10025",Indoor,500,Yes
Garden & Greening Program,Bulb GiveAway with New Yorkers for Parks,September,TBD,10:00am-2:00pm,TBD,outdoor,500,No
Food Program,City Harvest Mobile Markets,September,Melrose,9:30am-11:30am,"286 East 156th Street, Bronx, NY 10451",Outdoor,490,Yes
Garden & Greening Program,50th Annual Garden and Greening Awards Ceremony,September,TBD,1:00pm-   3:00pm,TBD,Indoor,250,No
Food Program,City Harvest Mobile Markets,October,Stapleton,9:30am-11:30am,"189 Gordon Street,Staten Island, NY 10304",Outdoor,240,Yes
Food Program,City Harvest Mobile Markets,October,Queens  ,9:30am-11:30am,Astoria Community Center  4-05 Astoria Blvd.,Outdoor,250,Yes
Food Program,City Harvest Mobile Markets,October,Bed-Stuy,9:30am-11:30am,Tompkins Houses (Parking Lot on Myrtle & Sumner,Outdoor,220,Yes
Food Program,City Harvest Mobile Markets,October,Washington Heights/ Inwood,9:30am-11:30am,Dyckman Houses on 10th Avenue,Outdoor,180,Yes
Food Program,City Harvest Mobile Markets,October,Melrose,9:30am-11:30am,"286 East 156th Street, Bronx, NY 10451",Outdoor,490,Yes
Food Program,City Harvest Mobile Markets,October,Bed-Stuy,9:30am-11:30am,Tompkins Houses (Parking Lot on Myrtle & Sumner,Outdoor,220,Yes
Food Program,City Harvest Mobile Markets,October,Queens,9:30am-11:30am,Astoria Community Center  4-05 Astoria Blvd.,Outdoor,250,Yes
Food Program,City Harvest Mobile Markets,October,Stapleton,9:30am-11:30am,"189 Gordon Street,Staten Island, NY 10304",Outdoor,240,Yes
Food Program,City Harvest Mobile Markets,October,Bed-Stuy,9:30am-11:30am,Tompkins Houses (Parking Lot on Myrtle & Sumner,Outdoor,220,Yes
Food Program,City Harvest Mobile Markets,October,Washington Heights/ Inwood,9:30am-11:30am,Dyckman Houses on 10th Avenue,Outdoor,180,Yes
Education Through Sports ,Cops & Bowl,October ,TBD,7:00pm-9:00pm,TBD,Indoor,50,No
Food Program,City Harvest Mobile Markets,November ,Queens,9:30am-11:30am,Astoria Community Center  4-05 Astoria Blvd.,Outdoor,250,Yes
Food Program,City Harvest Mobile Markets,November ,Bed-Stuy,9:30am-11:30am,Tompkins Houses (Parking Lot on Myrtle & Sumner,Outdoor,220,Yes
Food Program,City Harvest Mobile Markets,November ,Stapleton,9:30am-11:30am,"189 Gordon Street,Staten Island, NY 10304",Outdoor,240,Yes
Garden & Greening Program,Daffodil Planting ,November ,Various Community Centers throughout Nycha,3:00 pm- 5:00pm,Various CC,outdoor,500,No
Education Through Sports ,Cops & Bowl,October ,TBD,7:00pm-9:00pm,TBD,Indoor,50,No
Education Through Sports ,Cops & Bowl,November ,TBD,7:00pm-9:00pm,TBD,Indoor,50,No
Education Through Sports ,Cops & Bowl,November ,TBD,7:00pm-9:00pm,TBD,Indoor,50,No
Education Through Sports ,Cops & Bowl,November ,TBD,7:00pm-9:00pm,TBD,Indoor,50,No
Education Through Sports ,Flag Football Finals,"Friday, November 01, 2013",Reinaldo Salgado Field ,4:00pm-6:00pm,"Monroe St, Bet. Ralph and Patchen Streets, Brooklyn, NY ",Outdoor,50,Yes
Food Program,City Harvest Mobile Markets,November ,Melrose,9:30am-11:30am,"286 East 156th Street, Bronx, NY 10451",Outdoor,490,Yes
Food Program,City Harvest Mobile Markets,November ,Washington Heights/ Inwood,9:30am-11:30am,Dyckman Houses on 10th Avenue,Outdoor,180,Yes
Food Program,City Harvest Mobile Markets,November ,Queens,9:30am-11:30am,Astoria Community Center  4-05 Astoria Blvd.,Outdoor,250,Yes
Food Program,City Harvest Mobile Markets,November ,Stapleton,9:30am-11:30am,"189 Gordon Street,Staten Island, NY 10304",Outdoor,240,Yes
Food Program,City Harvest Mobile Markets,November ,Melrose,9:30am-11:30am,"286 East 156th Street, Bronx, NY 10451",Outdoor,490,Yes
Food Program,City Harvest Mobile Markets,November ,Bed-Stuy,9:30am-11:30am,Tompkins Houses (Parking Lot on Myrtle & Sumner,Outdoor,220,Yes
Food Program,City Harvest Mobile Markets,November ,Washington Heights/ Inwood,9:30am-11:30am,Dyckman Houses on 10th Avenue,Outdoor,180,Yes
Food Program,City Harvest Mobile Markets,December,Bed-Stuy,9:30am-11:30am,Tompkins Houses (Parking Lot on Myrtle & Sumner,Outdoor,220,Yes
Food Program,City Harvest Mobile Markets,December,Stapleton,9:30am-11:30am,"189 Gordon Street,Staten Island, NY 10304",Outdoor,240,Yes
Food Program,City Harvest Mobile Markets,December,Queens,9:30am-11:30am,Astoria Community Center  4-05 Astoria Blvd.,Outdoor,250,Yes
Education Through Sports ,Citywide Bowling Finals,"Friday, December 06, 2013",Chelsea Piers,6:00pm-9:30pm,"23rd St. & 12th Ave.,
NYC",Indoor,120,No
Food Program,City Harvest Mobile Markets,December,Melrose,9:30am-11:30am,"286 East 156th Street, Bronx, NY 10451",Outdoor,490,Yes
Food Program,City Harvest Mobile Markets,December,Washington Heights/ Inwood,9:30am-11:30am,Dyckman Houses on 10th Avenue,Outdoor,180,Yes
Food Program,City Harvest Mobile Markets,December,Queens,9:30am-11:30am,Astoria Community Center  4-05 Astoria Blvd.,Outdoor,250,Yes
Food Program,City Harvest Mobile Markets,December,Stapleton,9:30am-11:30am,"189 Gordon Street,Staten Island, NY 10304",Outdoor,240,Yes
Food Program,City Harvest Mobile Markets,December,Bed-Stuy,9:30am-11:30am,Tompkins Houses (Parking Lot on Myrtle & Sumner,Outdoor,220,Yes
Food Program,City Harvest Mobile Markets,December,Melrose,9:30am-11:30am,"286 East 156th Street, Bronx, NY 10451",Outdoor,490,Yes
Creative Arts ,23rd Annual Toy Drive,December TBD,Manhattanville Community Center,5:00pm-  9:00pm,"530 West 133 Street, New York, NY",Indoor,500,No
Food Program,Annual Turkey Drive,December,TBD,N/A,N/A,Indoor,250,Yes
Food Program,City Harvest Mobile Markets,December,Washington Heights/ Inwood,9:30am-11:30am,Dyckman Houses on 10th Avenue,Outdoor,180,Yes
