Critical Asset,Number
Airports,2
Bridges and Tunnels,31
Cultural Facilities,6
Educational—Colleges,4
Educational—Private Schools,18
Educational—Public Schools,45
Emergency Services—EMS Stations,2
Emergency Services—Fire Stations,8
Emergency Services—Police Stations,1
Ferry Landings,25
Healthcare—Hospitals,1
Healthcare—Nursing Homes,10
Infrastructure—Power Plants,10
Infrastructure—Wastewater Treatment Plants,1
Major Roads (miles),105
Rail Stations,18
Subway Stations,14
