Region,Name,Phone Number,Locations,Notes,Location 1
1,Bronx Adult Learning Center(BxALC),718-863-4057,"Fordham, Hunts Point, Morrisania, Mott Haven, Norwood, Parkchester, Wakefield, West Bronx, West Farms, ",Room 323,"3450 East Tremont Avenue,
Bronx
"
2,Queens Adult Learning Center(QALC),718-361-9480,"Astoria, Elmhurst, Flushing, Jackson Heights, Long Island City, Sunnyside",7th floor,"42-15 Crescent Street
Queens
"
3,Educational Services,718-557-2567,"Bellerose, Briarwood, Far Rockaway,  Glendale, Hollis, Jamaica, Kew Gardens, Laurelton, Ozone Park, Queens Village, Richmond Hill,  Ridgewood, Rochdale Village, Rockaway, Rosedale, South Jamaica, South Ozone Park, St. Albans",The entrance is on 90th Avenue -Rufus King Avenue,"90-01 Sutphin Boulevard
Queens
"
4,Alternative Education Complex,212-868-1650,"Manhattan, below 119th Street","entrance at 269 West 35th Street, 10th floor","500 8th Avenue
New York
"
5,Mid-Manhattan Adult Learning Center (MMALC),212-666-1919,"Manhattan, 119th Street and above",,"212 West 120th Street
New York
"
6,P.S. 13,718-240-2770,"Bay Ridge, Bensonhurst, Borough Park, Canarsie, Coney Island, Crown Heights, East Flatbush, East New York, Flatbush, Midwood, Ocean Hill- Brownsville, Sheepshead Bay, Sunset Park",718-240-2770,"557&nbsp;Pennsylvania Avenue
Brooklyn
"
7,Brooklyn Adult Learning Center(BALC),718-789-2223,"Bedford-Stuyvesant, Bushwick, Clinton Hill, Crown Heights, East New York,  Flatbush, Fort Greene,  Greenpoint, Prospect Heights,  Ridgewood, Williamsburg",718-789-2223,"850 Kent Avenue
Brooklyn
"
8,Brooklyn Adult Learning Center,718-638-2635,Bedford-Stuyvesant and Staten Island,718-638-2635,"475 Nostrand Avenue
Brooklyn
"
OACE Central Office,Brooklyn Adult Learning Center,718-638-2635,,718-638-2635,"475 Nostrand Avenue
Brooklyn
"
