NEIGHBORHOOD,TYPE OF HOME,TOTAL NO. OF PROPERTIES,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
FLUSHING-NORTH           ,02 TWO FAMILY HOMES                        ,5935,173,$310000.00,$740599.00,$750000.00,$1344090.00
FLUSHING-NORTH           ,03 THREE FAMILY HOMES                      ,1771,35,$245000.00,$810943.00,$850000.00,$1280000.00
FLUSHING-SOUTH           ,01 ONE FAMILY HOMES                        ,6522,198,$175000.00,$535279.00,$499495.00,$1600000.00
FLUSHING-SOUTH           ,02 TWO FAMILY HOMES                        ,1583,52,$250000.00,$574314.00,$537500.00,$987702.00
FLUSHING-SOUTH           ,03 THREE FAMILY HOMES                      ,361,13,$280000.00,$715727.00,$850000.00,$950027.00
FOREST HILLS             ,01 ONE FAMILY HOMES                        ,4306,133,$200000.00,$832035.00,$700000.00,$3775000.00
FOREST HILLS             ,02 TWO FAMILY HOMES                        ,929,16,$429000.00,$702563.00,$671000.00,$960000.00
FOREST HILLS             ,03 THREE FAMILY HOMES                      ,117,1,$1065000.00,$1065000.00,$1065000.00,$1065000.00
FRESH MEADOWS            ,01 ONE FAMILY HOMES                        ,2276,68,$200000.00,$592151.00,$584000.00,$988000.00
FRESH MEADOWS            ,02 TWO FAMILY HOMES                        ,342,7,$498000.00,$671143.00,$682000.00,$790000.00
FRESH MEADOWS            ,03 THREE FAMILY HOMES                      ,10,1,$494000.00,$494000.00,$494000.00,$494000.00
GLEN OAKS                ,01 ONE FAMILY HOMES                        ,610,27,$250000.00,$483846.00,$450000.00,$825000.00
GLEN OAKS                ,02 TWO FAMILY HOMES                        ,89,2,$485000.00,$522500.00,$522500.00,$560000.00
GLENDALE                 ,01 ONE FAMILY HOMES                        ,2262,52,$190000.00,$459588.00,$457500.00,$613000.00
GLENDALE                 ,02 TWO FAMILY HOMES                        ,3277,70,$250000.00,$474756.00,$482500.00,$765000.00
GLENDALE                 ,03 THREE FAMILY HOMES                      ,471,11,$250000.00,$643641.00,$672266.00,$865410.00
HAMMELS                  ,01 ONE FAMILY HOMES                        ,208,5,$150000.00,$273274.00,$315000.00,$325000.00
HAMMELS                  ,02 TWO FAMILY HOMES                        ,281,8,$190000.00,$373778.00,$406660.00,$506908.00
HAMMELS                  ,03 THREE FAMILY HOMES                      ,123,4,$200000.00,$402292.00,$410000.00,$589168.00
