BRONX – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Address,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Total Units,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Year Built,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
2-03251-0420,"3400 PAUL AVENUE
Bronx, NY
(40.877088902777075, -73.88957359897962)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,352,1967,381213,3217437,8.44,9090000,23.84,2-03668-0001,"920 THIERIOT AVENUE
Bronx, NY
(40.82404871944026, -73.86258293845654)",SOUNDVIEW,D3-ELEVATOR,459,1965,490000,4133737,8.44,13600000,27.8,3.95,,,,,,,,,,,,
2-03252-0052,"3975 SEDGWICK AVENUE
Bronx, NY
(40.882746554099654, -73.88940042701635)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,316,1968,393920,3663456,9.3,10300000,26.1,2-02944-0001,"1803 CROTONA PARK
Bronx, NY
(40.84238626802839, -73.89399100320789)",CROTONA PARK,D3-ELEVATOR,281,1962,286346,2946500,10.29,9960000,34.8,2.8,2-04347-0007,"2324 BOSTON ROAD
Bronx, NY
(40.85993248480023, -73.8671915106287)",PELHAM PARKWAY NORTH,D1-ELEVATOR,322,1963,337570,2648744,7.85,8130000,24.08,1.95
2-03252-0117,"3960 SEDGWICK AVENUE
Bronx, NY
(40.88244863077695, -73.89025683102211)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,139,1950,186000,1913940,10.29,5410000,29.1,2-02386-0144,"1011 WASHINGTON AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",MORRISANIA/LONGWOOD,D1-ELEVATOR,136,2004,126284,1262238,10,4270000,33.8,4.05,2-03262-0077,"114 238 STREET
Bronx, NY
(40.883226556210396, -73.89783189488651)",KINGSBRIDGE/JEROME PARK,D1-ELEVATOR,139,1928,115428,1160419,10.05,3920000,34,0.45
2-03252-0135,"4016 HILLMAN AVENUE
Bronx, NY
(40.8837268858965, -73.89055283964228)",KINGSBRIDGE/JEROME PARK,C6-WALK-UP,30,1947,31150,239855,7.7,677000,21.73,2-03636-0001,"1735 LAFAYETTE AVENUE
Bronx, NY
(40.820880681417655, -73.86693224487657)",SOUNDVIEW,C1-WALK-UP,32,1929,31300,228037,7.29,700000,22.36,4.4,2-04248-0026,"2954 196 STREET
Bronx, NY
(40.85414155731376, -73.82966723424137)",SCHUYLERVILLE/PELHAM BAY,C1-WALK-UP,33,1932,31500,250409,7.95,769000,24.41,3.8
2-03252-0143,"74 VAN CORTLANDT PARK
Bronx, NY
(40.884562844842804, -73.8894014459459)",KINGSBRIDGE/JEROME PARK,C6-WALK-UP,55,1928,76320,683064,8.95,1930000,25.3,2-03191-0048,"25 193 STREET
Bronx, NY
(40.86645620606386, -73.89731206853551)",FORDHAM,C1-WALK-UP,56,1921,69000,569006,8.25,1880000,27.2,1.2,2-03258-0177,"3470 CANNON PLACE
Bronx, NY
(40.8816306842248, -73.8980393308039)",KINGSBRIDGE/JEROME PARK,C1-WALK-UP,55,1927,65000,417657,6.43,1280000,19.69,0.4
2-03252-0209,"80 GOUVERNEUR AVENUE
Bronx, NY
(40.829223469784075, -73.90841956094141)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,207,1930,197406,2238584,11.34,6320000,32,2-02420-0120,"280 161 STREET
Bronx, NY
(40.82538565624926, -73.91796375573513)",MELROSE/CONCOURSE,D1-ELEVATOR,204,1980,239712,2552953,10.65,7210000,30.1,4.35,2-03124-0001,"883 180 STREET
Bronx, NY
(40.84521908653462, -73.88281597920675)",EAST TREMONT,D1-ELEVATOR,196,1979,181093,2602478,14.37,10300000,57,2.65
2-03252-0237,"3989 HILLMAN AVENUE
Bronx, NY
(40.88345868857663, -73.8908449683982)",KINGSBRIDGE/JEROME PARK,C6-WALK-UP,48,1941,30552,355319,11.63,1000000,32.7,2-03326-0060,"3310 KOSSUTH AVENUE
Bronx, NY
(40.87934314254119, -73.88198773087251)",BEDFORD PARK/NORWOOD,C1-WALK-UP,48,1928,34620,471153,13.61,1870000,54,0.6,2-04322-0043,"2179 MATTHEWS AVENUE
Bronx, NY
(40.8561337973631, -73.86291209775094)",PELHAM PARKWAY SOUTH,C9-WALK-UP,48,1948,35960,418199,11.63,1470000,40.9,2.4
2-03252-0268,"91 VAN CORTLANDT AVENUE
Bronx, NY
(40.88358753865805, -73.8930599726396)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,50,1963,55800,513360,9.2,1690000,30.3,2-03332-0021,"3070 HULL AVENUE
Bronx, NY
(40.871968860320635, -73.87889801529228)",BEDFORD PARK/NORWOOD,D1-ELEVATOR,50,1939,56000,498265,8.9,1640000,29.3,1.1,2-05834-3001,"6255 BROADWAY
Bronx, NY
(40.82557699997852, -73.91844899972153)",FIELDSTON,D1-ELEVATOR,50,1958,55400,528968,9.55,1790000,32.3,1
2-03252-0276,"3980 ORLOFF AVENUE
Bronx, NY
(40.884378101643314, -73.8922501165942)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,151,1950,155477,1574982,10.13,4450000,28.6,2-02823-0046,"1700 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MOUNT HOPE/MOUNT EDEN,D3-ELEVATOR,158,1963,154656,1540059,9.96,5200000,33.6,2.9,2-05760-0112,"3424 KINGSBRIDGE AVENUE
Bronx, NY
(40.88299528302095, -73.90344028354679)",KINGSBRIDGE/JEROME PARK,D3-ELEVATOR,138,1962,128500,1424321,11.08,5020000,39.1,0.6
2-03252-0287,"92 VAN CORTLANDT PARK
Bronx, NY
(40.88489370791388, -73.89106845267483)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,145,1949,150500,1556170,10.34,4390000,29.2,2-03778-0010,"1240 MORRISON AVENUE
Bronx, NY
(40.83045969135139, -73.87479529036672)",SOUNDVIEW,D3-ELEVATOR,154,1968,147727,1527502,10.34,5160000,34.9,3.75,2-04178-0010,"3555 BRUCKNER BOULEVARD
Bronx, NY
(40.82557699997852, -73.91844899972153)",SCHUYLERVILLE/PELHAM BAY,D3-ELEVATOR,142,1960,112000,1216063,10.86,4290000,38.3,4.15
2-03252-0340,"120 GALE PLACE
Bronx, NY
(40.88461077073308, -73.89247192325327)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,282,1949,351827,2899991,8.24,8190000,23.28,2-02822-0019,"1749 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MOUNT HOPE/MOUNT EDEN,D7-ELEVATOR,279,1924,423500,3756652,8.87,12400000,29.3,2.8,2-03642-0001,"880 THIERIOT AVENUE
Bronx, NY
(40.82327888267286, -73.86241277558031)",SOUNDVIEW,D3-ELEVATOR,317,1968,352866,3282980,9.3,9270000,26.3,4.55
2-03252-0361,"100 VAN CORTLANDT PARK
Bronx, NY
(40.88503267530283, -73.89183544417268)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,115,1932,120000,1038000,8.65,2930000,24.42,2-03211-0009,"2170 DR
Bronx, NY
(40.82557699997852, -73.91844899972153)",KINGSBRIDGE HTS/UNIV HTS,D1-ELEVATOR,111,1959,130000,1124270,8.65,3710000,28.5,2,2-03212-0005,"2260 DR
Bronx, NY
(40.82557699997852, -73.91844899972153)",KINGSBRIDGE HTS/UNIV HTS,D1-ELEVATOR,110,1959,122883,1043164,8.49,3440000,28,1.8
2-03253-0221,"3065 SEDGWICK AVENUE
Bronx, NY
(40.87644588736795, -73.8998241929719)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,73,1960,75390,763700,10.13,2580000,34.2,2-03343-0126,"3320 RESERVOIR OVAL
Bronx, NY
(40.87700018345689, -73.87604777133227)",BEDFORD PARK/NORWOOD,D1-ELEVATOR,73,1959,75821,767814,10.13,2590000,34.2,1.35,2-04319-0045,"2157 HOLLAND AVENUE
Bronx, NY
(40.855109870470436, -73.86577640620291)",PELHAM PARKWAY SOUTH,D1-ELEVATOR,73,1930,73842,722189,9.78,2440000,33,2.3
2-03253-0255,"2875 SEDGWICK AVENUE
Bronx, NY
(40.873984218342684, -73.90169444092597)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,85,1927,107220,1086138,10.13,3670000,34.2,2-03250-0102,"117 197 STREET
Bronx, NY
(40.869983743243615, -73.8924963692023)",KINGSBRIDGE/JEROME PARK,D1-ELEVATOR,85,1926,108500,882370,8.13,2710000,24.98,0.2,2-04320-0005,"2160 HOLLAND AVENUE
Bronx, NY
(40.855252698748316, -73.86569985948204)",PELHAM PARKWAY SOUTH,D1-ELEVATOR,85,1930,82548,865340,10.48,2920000,35.4,2.35
2-03255-0065,"3355 SEDGWICK AVENUE
Bronx, NY
(40.88046401736889, -73.8967187156889)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,135,1963,117045,1095540,9.36,3610000,30.8,2-03262-0077,"114 238 STREET
Bronx, NY
(40.883226556210396, -73.89783189488651)",KINGSBRIDGE/JEROME PARK,D1-ELEVATOR,139,1928,115428,1160419,10.05,3920000,34,0.2,2-04323-0018,"2160 MATTHEWS AVENUE
Bronx, NY
(40.85558496059116, -73.86285939151604)",PELHAM PARKWAY SOUTH,D1-ELEVATOR,133,1964,136122,1586254,11.65,5590000,41.1,2.5
2-03256-0156,"2865 KINGSBRIDGE TERRACE
Bronx, NY
(40.87415136082897, -73.9027259420624)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,106,1965,111300,1222074,10.98,3450000,31,2-02483-0059,"831 GERARD AVENUE
Bronx, NY
(40.82637858141131, -73.92564612803596)",MELROSE/CONCOURSE,D3-ELEVATOR,100,1938,107250,901517,8.41,2970000,27.7,3.5,2-04222-0093,"1545 RHINELANDER AVENUE
Bronx, NY
(40.85582386413676, -73.84149069361773)",PELHAM PARKWAY SOUTH,D1-ELEVATOR,106,1962,112339,1233499,10.98,4350000,38.7,3.45
