Zip Code,Building type (service class, Consumption (therms) , Consumption (GJ) ,Utility/Data Source
"11434
(40.6769452621142, -73.77530690169215)",Residential, -   , -   ,ConEd
"11435
(40.70119264912154, -73.80979665579099)",Residential,6659,703,ConEd
"10001
(40.75025902143676, -73.99688630375988)",Commercial,4628579,488341,ConEd
"10002
(40.71612146793143, -73.98583147024613)",Commercial,4230121,446301,ConEd
"10003
(40.73194394755518, -73.98887214913032)",Commercial,5073198,535251,ConEd
"10004
(40.688827825343935, -74.01911250583743)",Commercial,1726800,182187,ConEd
"10005
(40.7061257920717, -74.00858468583453)",Commercial,382037,40307,ConEd
"10006
(40.70825614030866, -74.01355356964149)",Commercial,235511,24848,ConEd
"10007
(40.71363051943297, -74.00913138370635)",Commercial,981522,103556,ConEd
"10009
(40.72664935898081, -73.97911148500697)",Commercial,2008255,211882,ConEd
"10010
(40.73914078212147, -73.98289845639863)",Commercial,2096300,221171,ConEd
"10011
(40.74471526669623, -74.00460000028977)",Commercial,4672054,492928,ConEd
"10012
(40.72553802086304, -73.99789641059084)",Commercial,2987748,315224,ConEd
"10013
(40.721242188776046, -74.00888900022716)",Commercial,6067132,640116,ConEd
"10014
(40.73358645135369, -74.01019960472792)",Commercial,3569148,376565,ConEd
"10016
(40.745242969987146, -73.97823298586354)",Commercial,3446607,363636,ConEd
"10017
(40.75245652744684, -73.97297648087982)",Commercial,2506308,264430,ConEd
"10018
(40.756840774582145, -73.99669149981281)",Commercial,2082396,219704,ConEd
"10019
(40.76761164715987, -73.99180550022362)",Commercial,5022063,529856,ConEd
"10020
(40.7594985131459, -73.98007439721562)",Commercial,263276,27777,ConEd
"10021
(40.76920532766377, -73.959183941086)",Commercial,3187154,336263,ConEd
"10022
(40.758630224005685, -73.96809182217982)",Commercial,2849019,300587,ConEd
"10023
(40.774536138232236, -73.97994335610099)",Commercial,1543305,162827,ConEd
"10024
(40.78362556816552, -73.96653900057436)",Commercial,1822842,192320,ConEd
"10025
(40.79685012763133, -73.96372581059762)",Commercial,2954498,311716,ConEd
"10026
(40.80305812163505, -73.95334277604826)",Commercial,1153347,121685,ConEd
"10027
(40.811549564460904, -73.95290033568193)",Commercial,2931338,309273,ConEd
"10028
(40.776344978837756, -73.95296667956859)",Commercial,1684068,177679,ConEd
"10029
(40.79161072055837, -73.94403228106489)",Commercial,2344076,247313,ConEd
"10030
(40.81843517604261, -73.94276530357587)",Commercial,879734,92817,ConEd
"10031
(40.82495420507257, -73.9501244360938)",Commercial,1901756,200646,ConEd
"10032
(40.83693034905639, -73.94917852197119)",Commercial,1952524,206002,ConEd
"10033
(40.85621992920642, -73.94585900019268)",Commercial,1599674,168775,ConEd
"10034
(40.8706171092922, -73.9242232587963)",Commercial,1521876,160566,ConEd
"10035
(40.79381703542788, -73.91931750020245)",Commercial,2154540,227316,ConEd
"10036
(40.75934682719435, -73.989860554421)",Commercial,7837223,826871,ConEd
"10037
(40.81329776108288, -73.93728252556804)",Commercial,590552,62307,ConEd
"10038
(40.70935929189784, -74.00307186237649)",Commercial,1452146,153210,ConEd
"10039
(40.82668192862815, -73.93777090780111)",Commercial,430554,45426,ConEd
"10040
(40.85809553188335, -73.92925548994884)",Commercial,717611,75712,ConEd
"10044
(40.76197648622593, -73.94999967494499)",Commercial,234470,24738,ConEd
"10045
(40.70786499996984, -74.00814400004555)",Commercial,16246,1714,ConEd
"10065
(40.76430121303059, -73.96303993544461)",Commercial,2130613,224792,ConEd
"10069
(40.77825400032191, -73.98854199991331)",Commercial,791481,83506,ConEd
"10075
(40.77293949176419, -73.95609016263086)",Commercial,1145955,120905,ConEd
"10080
(40.71445199976006, -74.01547499997122)",Commercial,359,38,ConEd
"10128
(40.781770000585084, -73.95062814906976)",Commercial,2051345,216428,ConEd
"10280
(40.709594512276965, -74.02022453553383)",Commercial,103950,10967,ConEd
"10281
(40.71433000042924, -74.0151969997417)",Commercial,34332,3622,ConEd
"10282
(40.71961455706622, -74.01464928293802)",Commercial,508119,53609,ConEd
"10451
(40.82069640711353, -73.92384136798472)",Commercial,2168883,228829,ConEd
"10452
(40.83772426336412, -73.9233322114124)",Commercial,1823135,192351,ConEd
"10453
(40.852786838341956, -73.91342678431863)",Commercial,1766420,186367,ConEd
"10454
(40.805846930091775, -73.91628504651766)",Commercial,2249303,237314,ConEd
"10455
(40.813535754971156, -73.9053552520432)",Commercial,1642415,173284,ConEd
"10456
(40.8304366800088, -73.9077651995043)",Commercial,2957732,312057,ConEd
"10457
(40.84579837129786, -73.89832418681175)",Commercial,3139507,331236,ConEd
"10458
(40.86260132868841, -73.88479001504714)",Commercial,2860723,301822,ConEd
"10459
(40.82552621616202, -73.89313106784448)",Commercial,1859762,196215,ConEd
"10460
(40.84309034804119, -73.87860282506028)",Commercial,7936792,837376,ConEd
"10461
(40.846960590359004, -73.840632836736)",Commercial,3065943,323474,ConEd
"10462
(40.84225833665295, -73.85799663293824)",Commercial,2619354,276356,ConEd
"10463
(40.88187196282087, -73.91120748054078)",Commercial,2174885,229463,ConEd
"10464
(40.875709096797436, -73.81229725041771)",Commercial,312764,32998,ConEd
"10465
(40.827628067581315, -73.82241314135337)",Commercial,1220820,128803,ConEd
"10466
(40.89080973018497, -73.84600906306775)",Commercial,2343491,247251,ConEd
"10467
(40.8770479121315, -73.87153250082423)",Commercial,3067369,323625,ConEd
"10468
(40.869693003729196, -73.89892699248668)",Commercial,4380584,462176,ConEd
"10469
(40.86818180274804, -73.84656868779467)",Commercial,2237093,236026,ConEd
"10470
(40.90012797192844, -73.8712277502604)",Commercial,841945,88830,ConEd
"10471
(40.90199442310421, -73.9036265005625)",Commercial,1183226,124837,ConEd
"10472
(40.829730432513486, -73.87013213139272)",Commercial,1887751,199168,ConEd
"10473
(40.81773147093071, -73.86053700008245)",Commercial,1408773,148633,ConEd
"10474
(40.810882923108466, -73.88235636235618)",Commercial,2094768,221010,ConEd
"10475
(40.874142343794176, -73.82706856556183)",Commercial,755111,79668,ConEd
"11001
(40.72139000494485, -73.70739692842545)",Commercial,79704,8409,ConEd
"11004
(40.74323783435864, -73.71201500019208)",Commercial,280325,29576,ConEd
"11040
(40.74529996182383, -73.6796319322678)",Commercial,42315,4464,ConEd
"11101
(40.74570244980828, -73.93866902925225)",Commercial,7992026,843203,ConEd
"11102
(40.77152402451418, -73.92643545073543)",Commercial,1778170,187607,ConEd
"11103
(40.76286893025696, -73.91327185810974)",Commercial,2788104,294161,ConEd
"11104
(40.74489336663561, -73.92054134530679)",Commercial,1399157,147619,ConEd
"11105
(40.780092072491186, -73.90960650023976)",Commercial,2763314,291545,ConEd
"11106
(40.761699790013324, -73.9316632529567)",Commercial,2708112,285721,ConEd
"11109
(40.744414792408804, -73.95770234668589)",Commercial,45899,4843,ConEd
"11354
(40.76862022064671, -73.82719028070687)",Commercial,7628542,804854,ConEd
"11355
(40.7512997969481, -73.82147854789662)",Commercial,4323496,456153,ConEd
"11356
(40.7849280967543, -73.84181070040347)",Commercial,2415327,254831,ConEd
"11357
(40.78628404147537, -73.81123206101074)",Commercial,1271449,134145,ConEd
"11358
(40.760350968822195, -73.79632645819947)",Commercial,1898565,200309,ConEd
"11359
(40.79159246611948, -73.77693836811113)",Commercial,128,13,ConEd
"11360
(40.78070133439911, -73.78226733686807)",Commercial,486382,51316,ConEd
"11361
(40.76418884813688, -73.77232552860022)",Commercial,1616689,170570,ConEd
"11362
(40.759074216601846, -73.73430017711144)",Commercial,647115,68274,ConEd
"11363
(40.772398418252465, -73.74679788741253)",Commercial,151243,15957,ConEd
"11364
(40.745924680379744, -73.75790275560763)",Commercial,768785,81111,ConEd
"11365
(40.73987184371066, -73.79462153515567)",Commercial,1336553,141014,ConEd
"11366
(40.72816440726166, -73.79226817393703)",Commercial,636236,67126,ConEd
"11367
(40.730323085042414, -73.82610630716033)",Commercial,970445,102387,ConEd
"11368
(40.749678220373596, -73.85304068857687)",Commercial,978,103,ConEd
"11370
(40.75935377085989, -73.89184400040028)",Commercial,84349,8899,ConEd
"11373
(40.73871040256307, -73.87835115518163)",Commercial, -   , -   ,ConEd
"11377
(40.74519376448069, -73.9048471440804)",Commercial,311084,32821,ConEd
"11415
(40.708286075142325, -73.82855612156771)",Commercial,462,49,ConEd
"11422
(40.66161349396765, -73.736051726406)",Commercial,295,31,ConEd
"11423
(40.71722229567246, -73.7671414999802)",Commercial,23,2,ConEd
"11426
(40.73704138495202, -73.72415699894628)",Commercial,529932,55911,ConEd
"11427
(40.72931057432362, -73.75067602128132)",Commercial,661448,69786,ConEd
"11428
(40.721396964798146, -73.74193729726841)",Commercial,19477,2055,ConEd
"11432
(40.71311535449007, -73.79282099978928)",Commercial,1433501,151242,ConEd
"11433
(40.698104881734935, -73.7875740339145)",Commercial,26725,2820,ConEd
"11434
(40.6769452621142, -73.77530690169215)",Commercial, -   , -   ,ConEd
"11435
(40.70119264912154, -73.80979665579099)",Commercial,160509,16935,ConEd
"11439
(40.721924799390024, -73.79455513281312)",Commercial,3739,395,ConEd
"10001
(40.75025902143676, -73.99688630375988)",Residential,1476126,155740,ConEd
"10002
(40.71612146793143, -73.98583147024613)",Residential,4509087,475734,ConEd
"10003
(40.73194394755518, -73.98887214913032)",Residential,3229606,340742,ConEd
"10004
(40.688827825343935, -74.01911250583743)",Residential,54549,5755,ConEd
"10005
(40.7061257920717, -74.00858468583453)",Residential,27868,2940,ConEd
"10006
(40.70825614030866, -74.01355356964149)",Residential,15601,1646,ConEd
"10007
(40.71363051943297, -74.00913138370635)",Residential,605082,63840,ConEd
"10009
(40.72664935898081, -73.97911148500697)",Residential,2516364,265491,ConEd
"10010
(40.73914078212147, -73.98289845639863)",Residential,1026844,108338,ConEd
"10011
(40.74471526669623, -74.00460000028977)",Residential,4029369,425121,ConEd
"10012
(40.72553802086304, -73.99789641059084)",Residential,2706972,285601,ConEd
"10013
(40.721242188776046, -74.00888900022716)",Residential,4372985,461374,ConEd
"10014
(40.73358645135369, -74.01019960472792)",Residential,3950218,416770,ConEd
"10016
(40.745242969987146, -73.97823298586354)",Residential,1501042,158368,ConEd
"10017
(40.75245652744684, -73.97297648087982)",Residential,168035,17729,ConEd
"10018
(40.756840774582145, -73.99669149981281)",Residential,476865,50312,ConEd
"10019
(40.76761164715987, -73.99180550022362)",Residential,1511255,159446,ConEd
"10021
(40.76920532766377, -73.959183941086)",Residential,2002900,211317,ConEd
"10022
(40.758630224005685, -73.96809182217982)",Residential,981692,103574,ConEd
"10023
(40.774536138232236, -73.97994335610099)",Residential,3911782,412715,ConEd
"10024
(40.78362556816552, -73.96653900057436)",Residential,3988908,420852,ConEd
"10025
(40.79685012763133, -73.96372581059762)",Residential,3408769,359644,ConEd
"10026
(40.80305812163505, -73.95334277604826)",Residential,2349135,247847,ConEd
"10027
(40.811549564460904, -73.95290033568193)",Residential,2542279,268225,ConEd
"10028
(40.776344978837756, -73.95296667956859)",Residential,1619890,170908,ConEd
"10029
(40.79161072055837, -73.94403228106489)",Residential,1856481,195869,ConEd
"10030
(40.81843517604261, -73.94276530357587)",Residential,2016283,212729,ConEd
"10031
(40.82495420507257, -73.9501244360938)",Residential,1748720,184500,ConEd
"10032
(40.83693034905639, -73.94917852197119)",Residential,910692,96083,ConEd
"10033
(40.85621992920642, -73.94585900019268)",Residential,628133,66272,ConEd
"10034
(40.8706171092922, -73.9242232587963)",Residential,226754,23924,ConEd
"10035
(40.79381703542788, -73.91931750020245)",Residential,1478698,156011,ConEd
"10036
(40.75934682719435, -73.989860554421)",Residential,1350797,142517,ConEd
"10037
(40.81329776108288, -73.93728252556804)",Residential,611811,64549,ConEd
"10038
(40.70935929189784, -74.00307186237649)",Residential,430776,45449,ConEd
"10039
(40.82668192862815, -73.93777090780111)",Residential,471926,49791,ConEd
"10040
(40.85809553188335, -73.92925548994884)",Residential,445116,46962,ConEd
"10044
(40.76197648622593, -73.94999967494499)",Residential,93171,9830,ConEd
"10065
(40.76430121303059, -73.96303993544461)",Residential,1795744,189461,ConEd
"10069
(40.77825400032191, -73.98854199991331)",Residential,44780,4725,ConEd
"10075
(40.77293949176419, -73.95609016263086)",Residential,1035531,109254,ConEd
"10128
(40.781770000585084, -73.95062814906976)",Residential,2367827,249819,ConEd
"10282
(40.71961455706622, -74.01464928293802)",Residential,33268,3510,ConEd
"10451
(40.82069640711353, -73.92384136798472)",Residential,697652,73606,ConEd
"10452
(40.83772426336412, -73.9233322114124)",Residential,986430,104074,ConEd
"10453
(40.852786838341956, -73.91342678431863)",Residential,1591607,167923,ConEd
"10454
(40.805846930091775, -73.91628504651766)",Residential,1001876,105704,ConEd
"10455
(40.813535754971156, -73.9053552520432)",Residential,1650436,174130,ConEd
"10456
(40.8304366800088, -73.9077651995043)",Residential,1999484,210957,ConEd
"10457
(40.84579837129786, -73.89832418681175)",Residential,1697773,179125,ConEd
"10458
(40.86260132868841, -73.88479001504714)",Residential,1321890,139467,ConEd
"10459
(40.82552621616202, -73.89313106784448)",Residential,2246422,237010,ConEd
"10460
(40.84309034804119, -73.87860282506028)",Residential,1686599,177946,ConEd
"10461
(40.846960590359004, -73.840632836736)",Residential,4848889,511585,ConEd
"10462
(40.84225833665295, -73.85799663293824)",Residential,2849924,300683,ConEd
"10463
(40.88187196282087, -73.91120748054078)",Residential,1918613,202424,ConEd
"10464
(40.875709096797436, -73.81229725041771)",Residential,1094782,115506,ConEd
"10465
(40.827628067581315, -73.82241314135337)",Residential,6724287,709450,ConEd
"10466
(40.89080973018497, -73.84600906306775)",Residential,6056272,638971,ConEd
"10467
(40.8770479121315, -73.87153250082423)",Residential,2670008,281701,ConEd
"10468
(40.869693003729196, -73.89892699248668)",Residential,907812,95779,ConEd
"10469
(40.86818180274804, -73.84656868779467)",Residential,7945664,838312,ConEd
"10470
(40.90012797192844, -73.8712277502604)",Residential,1431048,150984,ConEd
"10471
(40.90199442310421, -73.9036265005625)",Residential,2226655,234925,ConEd
"10472
(40.829730432513486, -73.87013213139272)",Residential,2650312,279623,ConEd
"10473
(40.81773147093071, -73.86053700008245)",Residential,3609517,380824,ConEd
"10474
(40.810882923108466, -73.88235636235618)",Residential,558002,58872,ConEd
"10475
(40.874142343794176, -73.82706856556183)",Residential,359517,37931,ConEd
"11001
(40.72139000494485, -73.70739692842545)",Residential,703063,74177,ConEd
"11004
(40.74323783435864, -73.71201500019208)",Residential,1358168,143294,ConEd
"11040
(40.74529996182383, -73.6796319322678)",Residential,378066,39888,ConEd
"11101
(40.74570244980828, -73.93866902925225)",Residential,1144993,120803,ConEd
"11102
(40.77152402451418, -73.92643545073543)",Residential,1941012,204788,ConEd
"11103
(40.76286893025696, -73.91327185810974)",Residential,2853904,301103,ConEd
"11104
(40.74489336663561, -73.92054134530679)",Residential,1153072,121656,ConEd
"11105
(40.780092072491186, -73.90960650023976)",Residential,3098073,326864,ConEd
"11106
(40.761699790013324, -73.9316632529567)",Residential,1827237,192784,ConEd
"11109
(40.744414792408804, -73.95770234668589)",Residential,175063,18470,ConEd
"11354
(40.76862022064671, -73.82719028070687)",Residential,4101823,432765,ConEd
"11355
(40.7512997969481, -73.82147854789662)",Residential,5458878,575942,ConEd
"11356
(40.7849280967543, -73.84181070040347)",Residential,2618017,276215,ConEd
"11357
(40.78628404147537, -73.81123206101074)",Residential,6962862,734621,ConEd
"11358
(40.760350968822195, -73.79632645819947)",Residential,5983515,631294,ConEd
"11360
(40.78070133439911, -73.78226733686807)",Residential,2617396,276150,ConEd
"11361
(40.76418884813688, -73.77232552860022)",Residential,4283479,451931,ConEd
"11362
(40.759074216601846, -73.73430017711144)",Residential,2911498,307179,ConEd
"11363
(40.772398418252465, -73.74679788741253)",Residential,1706804,180077,ConEd
"11364
(40.745924680379744, -73.75790275560763)",Residential,4453633,469883,ConEd
"11365
(40.73987184371066, -73.79462153515567)",Residential,4511563,475995,ConEd
"11366
(40.72816440726166, -73.79226817393703)",Residential,2205608,232704,ConEd
"11367
(40.730323085042414, -73.82610630716033)",Residential,2905831,306581,ConEd
"11370
(40.75935377085989, -73.89184400040028)",Residential,24585,2594,ConEd
"11373
(40.73871040256307, -73.87835115518163)",Residential,5089,537,ConEd
"11377
(40.74519376448069, -73.9048471440804)",Residential,366911,38711,ConEd
"11415
(40.708286075142325, -73.82855612156771)",Residential,1303,137,ConEd
"11423
(40.71722229567246, -73.7671414999802)",Residential,261189,27557,ConEd
"11426
(40.73704138495202, -73.72415699894628)",Residential,2508430,264653,ConEd
"11427
(40.72931057432362, -73.75067602128132)",Residential,1373653,144928,ConEd
"11428
(40.721396964798146, -73.74193729726841)",Residential,69640,7347,ConEd
"11429
(40.70991312049415, -73.73864031609764)",Residential,796,84,ConEd
"11432
(40.71311535449007, -73.79282099978928)",Residential,1830443,193122,ConEd
"11435
(40.70119264912154, -73.80979665579099)",Residential,427854,45141,ConEd
"10001
(40.75025902143676, -73.99688630375988)",Commercial,7191956,758792,ConEd
"10002
(40.71612146793143, -73.98583147024613)",Commercial,12107072,1277364,ConEd
"10003
(40.73194394755518, -73.98887214913032)",Commercial,8855716,934328,ConEd
"10004
(40.688827825343935, -74.01911250583743)",Commercial,1326154,139917,ConEd
"10005
(40.7061257920717, -74.00858468583453)",Commercial,1419854,149803,ConEd
"10006
(40.70825614030866, -74.01355356964149)",Commercial,1361410,143636,ConEd
"10007
(40.71363051943297, -74.00913138370635)",Commercial,1220273,128746,ConEd
"10009
(40.72664935898081, -73.97911148500697)",Commercial,8554651,902564,ConEd
"10010
(40.73914078212147, -73.98289845639863)",Commercial,3814933,402497,ConEd
"10011
(40.74471526669623, -74.00460000028977)",Commercial,9456458,997709,ConEd
"10012
(40.72553802086304, -73.99789641059084)",Commercial,3676344,387875,ConEd
"10013
(40.721242188776046, -74.00888900022716)",Commercial,7261765,766157,ConEd
"10014
(40.73358645135369, -74.01019960472792)",Commercial,6034243,636646,ConEd
"10016
(40.745242969987146, -73.97823298586354)",Commercial,7176247,757134,ConEd
"10017
(40.75245652744684, -73.97297648087982)",Commercial,3708661,391284,ConEd
"10018
(40.756840774582145, -73.99669149981281)",Commercial,3808435,401811,ConEd
"10019
(40.76761164715987, -73.99180550022362)",Commercial,12204102,1287601,ConEd
"10020
(40.7594985131459, -73.98007439721562)",Commercial,194595,20531,ConEd
"10021
(40.76920532766377, -73.959183941086)",Commercial,5344734,563899,ConEd
"10022
(40.758630224005685, -73.96809182217982)",Commercial,7987371,842712,ConEd
"10023
(40.774536138232236, -73.97994335610099)",Commercial,10588895,1117188,ConEd
"10024
(40.78362556816552, -73.96653900057436)",Commercial,5356180,565107,ConEd
"10025
(40.79685012763133, -73.96372581059762)",Commercial,8752223,923409,ConEd
"10026
(40.80305812163505, -73.95334277604826)",Commercial,5647551,595848,ConEd
"10027
(40.811549564460904, -73.95290033568193)",Commercial,11932340,1258929,ConEd
"10028
(40.776344978837756, -73.95296667956859)",Commercial,4496346,474390,ConEd
"10029
(40.79161072055837, -73.94403228106489)",Commercial,14817079,1563285,ConEd
"10030
(40.81843517604261, -73.94276530357587)",Commercial,4456113,470145,ConEd
"10031
(40.82495420507257, -73.9501244360938)",Commercial,3819653,402995,ConEd
"10032
(40.83693034905639, -73.94917852197119)",Commercial,4152807,438144,ConEd
"10033
(40.85621992920642, -73.94585900019268)",Commercial,1766048,186328,ConEd
"10034
(40.8706171092922, -73.9242232587963)",Commercial,1961050,206902,ConEd
"10035
(40.79381703542788, -73.91931750020245)",Commercial,6691182,705957,ConEd
"10036
(40.75934682719435, -73.989860554421)",Commercial,10571859,1115390,ConEd
"10037
(40.81329776108288, -73.93728252556804)",Commercial,2164822,228401,ConEd
"10038
(40.70935929189784, -74.00307186237649)",Commercial,4135128,436279,ConEd
"10039
(40.82668192862815, -73.93777090780111)",Commercial,7605045,802375,ConEd
"10040
(40.85809553188335, -73.92925548994884)",Commercial,1511169,159437,ConEd
"10044
(40.76197648622593, -73.94999967494499)",Commercial,1496982,157940,ConEd
"10065
(40.76430121303059, -73.96303993544461)",Commercial,13811460,1457186,ConEd
"10069
(40.77825400032191, -73.98854199991331)",Commercial,2123051,223994,ConEd
"10075
(40.77293949176419, -73.95609016263086)",Commercial,3374658,356045,ConEd
"10128
(40.781770000585084, -73.95062814906976)",Commercial,8661160,913801,ConEd
"10280
(40.709594512276965, -74.02022453553383)",Commercial,1396819,147372,ConEd
"10281
(40.71433000042924, -74.0151969997417)",Commercial,37094,3914,ConEd
"10282
(40.71961455706622, -74.01464928293802)",Commercial,1704836,179870,ConEd
