Borough Name,Community Board,BIN,House Number,Street Name,Complaint Number,Date Complaint Received,DOBRunDate
Staten Island,501,5158042,659         ,RICHMOND ROAD                   ,5088069,2010-10-23 00:00:00,2013-02-27 00:00:00
Staten Island,501,5151396,47          ,BROAD STREET                    ,5080891,2009-09-16 00:00:00,2013-02-27 00:00:00
Staten Island,501,5827894,43          ,BROAD STREET                    ,5080889,2009-09-16 00:00:00,2013-02-27 00:00:00
Staten Island,503,5861241,19          ,BEDELL STREET                   ,5080364,2009-08-17 00:00:00,2013-02-27 00:00:00
Staten Island,503,5067405,28          ,DAVID STREET                    ,5102723,2013-02-21 00:00:00,2013-02-27 00:00:00
Staten Island,501,5148248,802         ,VAN DUZER STREET                ,5082939,2010-01-19 00:00:00,2013-02-27 00:00:00
Staten Island,501,5816167,178         ,RICHMOND TERRACE                ,5082329,2009-12-07 00:00:00,2013-02-27 00:00:00
Staten Island,503,5062662,3803        ,AMBOY ROAD                      ,5084391,2010-04-09 00:00:00,2013-02-27 00:00:00
Staten Island,501,5151396,45          ,BROAD STREET                    ,5100302,2012-10-10 00:00:00,2013-02-27 00:00:00
Staten Island,502,5858698,263         ,BUEL AVENUE                     ,5084602,2010-04-20 00:00:00,2013-02-27 00:00:00
Staten Island,502,5863683,255         ,BUEL AVENUE                     ,5084601,2010-04-20 00:00:00,2013-02-27 00:00:00
Staten Island,501,5151396,45          ,BROAD STREET                    ,5080890,2009-09-16 00:00:00,2013-02-27 00:00:00
Staten Island,501,5000045,451         ,ST MARKS PLACE                  ,5078577,2009-05-20 00:00:00,2013-02-27 00:00:00
Staten Island,503,5059007,3196        ,RICHMOND ROAD                   ,5082461,2009-12-15 00:00:00,2013-02-27 00:00:00
Staten Island,501,5151691,1100        ,CASTLETON AVENUE                ,5082004,2009-11-17 00:00:00,2013-02-27 00:00:00
Staten Island,501,5023780,11          ,AVENUE B                        ,5078586,2009-05-21 00:00:00,2013-02-27 00:00:00
Staten Island,503,5860218,177         ,ELLIS STREET                    ,5085788,2010-06-16 00:00:00,2013-02-27 00:00:00
Staten Island,501,5152029,364         ,BAY STREET                      ,5083079,2010-01-27 00:00:00,2013-02-27 00:00:00
Staten Island,501,5858480,57          ,WILLIS AVENUE                   ,5097509,2012-04-27 00:00:00,2013-02-27 00:00:00
Staten Island,503,5862158,67          ,BELFAST AVENUE                  ,5097266,2012-04-12 00:00:00,2013-02-27 00:00:00
Staten Island,503,5084775,400         ,BRADFORD AVENUE                 ,5084603,2010-04-20 00:00:00,2013-02-27 00:00:00
Staten Island,501,5818483,24          ,STUYVESANT PLACE                ,5082330,2009-12-07 00:00:00,2013-02-27 00:00:00
Staten Island,502,5159314,20          ,HETT AVENUE                     ,5097576,2012-05-01 00:00:00,2013-02-27 00:00:00
Staten Island,501,5148249,810         ,VAN DUZER STREET                ,5082941,2010-01-19 00:00:00,2013-02-27 00:00:00
Staten Island,501,5148250,806         ,VAN DUZER STREET                ,5082940,2010-01-19 00:00:00,2013-02-27 00:00:00
Staten Island,503,5087281,15          ,BEDELL STREET                   ,5079886,2009-07-27 00:00:00,2013-02-27 00:00:00
Staten Island,501,5857932,365         ,BAY STREET                      ,5083077,2010-01-27 00:00:00,2013-02-27 00:00:00
Staten Island,503,5082137,319         ,POILLON AVENUE                  ,5083932,2010-03-19 00:00:00,2013-02-27 00:00:00
Staten Island,502,5817096,375         ,SAND LANE                       ,5081378,2009-10-15 00:00:00,2013-02-27 00:00:00
Staten Island,501,5859465,53          ,BROAD STREET                    ,5100306,2012-10-10 00:00:00,2013-02-27 00:00:00
Staten Island,502,5158297,2895        ,RICHMOND AVENUE                 ,5092052,2011-06-27 00:00:00,2013-02-27 00:00:00
