Neighborhood,Total Sq Ft,Address 1,Address 2,Zip,Location
East Harlem,11863,2 E 120th St,,10035,"2 E 120th St
NY 10035
(40.80318382775885, -73.94462715167538)"
East Harlem,13020,26 E 120th St,,10035,"26 E 120th St
NY 10035
(40.80281234746791, -73.94377367915955)"
Bowery,10697,227 Bowery,Bowery Mission,10002,"227 Bowery
NY 10002
(40.72210441434942, -73.99330922960996)"
Long Island City,10406,10-27 46th Ave,Bridgeview School of Fine Arts,11101,"10-27 46th Ave
NY 11101
(40.74668288541022, -73.95158068745047)"
Greenpoint,15392,211 Meserole Avenue/ 120 Jewel Street,,11222,"211 Meserole Avenue/ 120 Jewel Street
NY 11222
(40.72732478700261, -73.95181845691981)"
Bronx,18900,990 Pelham Parkway South,,10462,"990 Pelham Parkway South
NY 10462
(40.85674053001608, -73.86100920270339)"
Fleetwood Concourse Village,1541,380 E 166th St,,10456,"380 E 166th St
NY 10456
(40.829312593462305, -73.91203749782215)"
Fleetwood-Concourse Village,3219,320 E 166th st,,10456,"320 E 166th st
NY 10456
(40.82986117990015, -73.91371023679665)"
Fleetwood-Concourse Village,9882,1109 Clay Ave,,10456,"1109 Clay Ave
NY 10456
(40.82978024091756, -73.91210045036416)"
Fleetwood-Concourse Village,2697,275 E 168th st,,10456,"275 E 168th st
NY 10456
(40.833593366321736, -73.91348540628928)"
Fleetwood-Concourse Village,1794,391 E 168th St,,10456,"391 E 168th St
NY 10456
(40.83249619344599, -73.91020288088237)"
Fleetwood-Concourse Village,2392,393 E 168th St,,10456,"393 E 168th St
NY 10456
(40.832400095110536, -73.90983140777514)"
University Heights,4368,1605 University Ave,,10453,"1605 University Ave
NY 10453
(40.84715908220047, -73.92040762084653)"
University Heights,8772,1472 Montgomery Ave,,10453,"1472 Montgomery Ave
NY 10453
(40.8474519187933, -73.92110266387749)"
University Heights,9756,1601 University Ave,,10453,"1601 University Ave
NY 10453
(40.846995645416584, -73.92066310823283)"
University Heights,6900,1615 University Ave,,10453,"1615 University Ave
NY 10453
(40.847567674188234, -73.9197689023369)"
University Heights,5676,1611 University Ave,,10453,"1611 University Ave
NY 10453
(40.84740423740435, -73.92002438972321)"
University Heights,10821,1491 Montgomery Ave,,10453,"1491 Montgomery Ave
NY 10453
(40.847714316170524, -73.92101712085892)"
University Heights,20694,1669-75 University Ave,,10453,"1669-75 University Ave
NY 10453
(40.85228999978381, -73.91097999972703)"
University Heights,9790,1665 Andrews Ave,,10453,"1665 Andrews Ave
NY 10453
(40.848590994824136, -73.91919593852913)"
University Heights,6986,120 West 176th St,,10453,"120 West 176th St
NY 10453
(40.8493916234227, -73.91845982991576)"
High Bridge,5447,1655 Macombs Road,,10453,"1655 Macombs Road
NY 10453
(40.84779589045582, -73.91627770891206)"
High Bridge,5933,1647 Macombs Road,,10453,"1647 Macombs Road
NY 10453
(40.8475704214973, -73.91629283617011)"
High Bridge,4658,1665 Macombs Road,,10453,"1665 Macombs Road
NY 10453
(40.84788359336733, -73.91623733169894)"
High Bridge,3842,1669 Macombs Road,,10453,"1669 Macombs Road
NY 10453
(40.84808144421379, -73.91621934525836)"
Morris Heights,13861,2001 University Ave,,10453,"2001 University Ave
NY 10453
(40.855801720659706, -73.91040642419154)"
Coney Island,7080,1901 Mermaid Ave,Coney Island Library,11224,"1901 Mermaid Ave
NY 11224
(40.57650417780576, -73.98602472117267)"
Prospect Heights,32160,415 Flatbush Ave,,11238,"415 Flatbush Ave
NY 11238
(40.67180533325069, -73.96850592804185)"
Long Island City,8000,43-10 11th Street,CEC Headquarters,11101,"43-10 11th Street
NY 11101
(40.751413319284325, -73.94846903322906)"
Washington Heights,5530,500 West 159th Street,,10032,"500 West 159th Street
NY 10032
(40.83409285621048, -73.94123958043424)"
Washington Heights,2290,540 West 159th Street,,10032,"540 West 159th Street
NY 10032
(40.834843423942516, -73.94292920952859)"
Washington Heights,2290,542 West 159th Street,,10032,"542 West 159th Street
NY 10032
(40.83489738326426, -73.94305511461266)"
East Village,7221,220 East 4th Street,Middle School of the Holy Child,10009,"220 East 4th Street
NY 10009
(40.723678227900734, -73.98353359915149)"
Carroll Gardens,4405,509-515 Court Street,,11231,"509-515 Court Street
NY 11231
(40.680220000352904, -74.0006699998205)"
Upper West Side,6270,207 W 133rd St,Democracy Preparatory school,10030,"207 W 133rd St
NY 10030
(40.81427592913241, -73.9451955010424)"
Long Island City,3000,46-01 5th Street,LIC Community Boathouse/ Recycle-A-Bicycle,11101,"46-01 5th Street
NY 11101
(40.747114559984254, -73.9550880433647)"
Brownsville,15320,1381 East New York Avenue,DHS Building,11233,"1381 East New York Avenue
NY 11233
(40.67833999999118, -73.91981999999285)"
Harlem,16112,2960 Fredrick Douglass Blvd,,10039,"2960 Fredrick Douglass Blvd
NY 10039
(40.83008363896424, -73.93649088260807)"
South Bronx,10046,1122 Franklin Ave,Franklin Women's Center,10456,"1122 Franklin Ave
NY 10456
(40.82833750612728, -73.90563137887985)"
Bowery,5027,333 Bowery,Kenton Hall,10003,"333 Bowery
NY 10003
(40.725958325156626, -73.99186335899856)"
East New York,39000,515 Blake Ave,Gensis,11207,"515 Blake Ave
NY 11207
(40.66706590615627, -73.90011248771361)"
Long Island City,59000,21-10 Borden Avenue,Borden Ave Veteran’s Residence,11101,"21-10 Borden Avenue
NY 11101
(40.740405617645706, -73.94990794847592)"
Upper East Side,1526,331 E. 86th St,,10028,"331 E. 86th St
NY 10028
(40.77739473271083, -73.95052848067616)"
Bushwick,15120,89-111 Porter Ave,,11237,"89-111 Porter Ave
NY 11237
(40.700589999928695, -73.9175000000248)"
Chelsea,14260,540 21st Street,Eyebeam Art and Tech Center,10011,"540 21st Street
NY 10011
(40.746901948437404, -74.00644941184844)"
Chelsea,5015,227 West 27th St,Building D,10001,"227 West 27th St
NY 10001
(40.746937371028984, -73.99440680412845)"
West Farms,21250,999 E 178th Street,,10460,"999 E 178th Street
NY 10460
(40.84159956575862, -73.88071901205879)"
Norwood,10412,2751 Grand Concourse,,10468,"2751 Grand Concourse
NY 10468
(40.86828921021214, -73.89291791147923)"
Fordham Heights,3000,2698 Briggs Avenue,,10458,"2698 Briggs Avenue
NY 10458
(40.86627957392477, -73.89165483846726)"
Fordham Heights,3000,2690 Briggs Avenue,,10458,"2690 Briggs Avenue
NY 10458
(40.86634667462886, -73.89163188097729)"
Fordham Heights,3000,2694 Briggs Avenue,,10458,"2694 Briggs Avenue
NY 10458
(40.8661957891195, -73.89172434604114)"
University Heights,6026,2285 Davidson Avenue,Fordham Bedford Housing Corporation,10468,"2285 Davidson Avenue
NY 10468
(40.85911612551331, -73.90464507074131)"
Fordham Heights,5292,2240 Walton Avenue,,10453,"2240 Walton Avenue
NY 10453
(40.85730848823442, -73.90339501312053)"
Fordham Heights,8880,2270 Walton Avenue,,10453,"2270 Walton Avenue
NY 10453
(40.85800096619698, -73.90297233176676)"
Bronx,1380,3058 Bailey Ave,,10463,"3058 Bailey Ave
NY 10463
(40.87756122033426, -73.90276548770004)"
Bronx,1428,3060 Bailey Ave,,10463,"3060 Bailey Ave
NY 10463
(40.87764215931685, -73.90269354193771)"
Bronx,1925,2690 Valentine Avenue,,10458,"2690 Valentine Avenue
NY 10458
(40.86639164073034, -73.89269308097187)"
Bronx,1925,2674 Valentine Avenue,,10458,"2674 Valentine Avenue
NY 10458
(40.865959966156254, -73.89290891825891)"
Bronx,1925,2666 Valentine Avenue,,10458,"2666 Valentine Avenue
NY 10458
(40.86574412886921, -73.89299885046182)"
Bronx,1925,2670 Valentine Avenue,,10458,"2670 Valentine Avenue
NY 10458
(40.86584305429244, -73.89296287758066)"
Midtown,2488,441 West 47th Street',,10036,"441 West 47th Street'
NY 10036
(40.762277129398285, -73.99182534826161)"
