STATEN ISLAND CONDOMINIUM PROPERTY Boro-Block-Lot,STATEN ISLAND CONDOMINIUM PROPERTY Condo Section,STATEN ISLAND CONDOMINIUM PROPERTY Address,STATEN ISLAND CONDOMINIUM PROPERTY Neighborhood,STATEN ISLAND CONDOMINIUM PROPERTY Building Classification,STATEN ISLAND CONDOMINIUM PROPERTY Total Units,STATEN ISLAND CONDOMINIUM PROPERTY Year Built,STATEN ISLAND CONDOMINIUM PROPERTY Gross SqFt,STATEN ISLAND CONDOMINIUM PROPERTY Est. Gross Income,STATEN ISLAND CONDOMINIUM PROPERTY Gross Income per SqFt,STATEN ISLAND CONDOMINIUM PROPERTY Full Market Value,STATEN ISLAND CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
5-00251-7501,48-R1,200 HART BOULEVARD,SILVER LAKE,R4-ELEVATOR,47,1937,51552,0,0,1678006,32.5,5-03168-0161,1000 TARGEE STREET,GRASMERE,D5-ELEVATOR,98,1972,74260,1011411,13.62,3150000,42.4,1.85,,,,,,,,,,,,
5-00579-7501,45-R1,55 AUSTIN PLACE,TOMPKINSVILLE,R4-ELEVATOR,147,1965,159096,0,0,5180010,32.6,5-00593-0001,800 VICTORY BOULEVARD,GRYMES HILL,D1-ELEVATOR,150,1961,143419,1869577,13.04,5820000,40.6,0.85,,,,,,,,,,,,
5-00610-7501,25-R1,830 HOWARD AVENUE,SUNNYSIDE,R4-ELEVATOR,66,1981,65392,0,0,2127997,32.5,5-03168-0161,1000 TARGEE STREET,GRASMERE,D5-ELEVATOR,98,1972,74260,1011411,13.62,3150000,42.4,0.75,,,,,,,,,,,,
5-00610-7502,34-R1,850 HOWARD AVENUE,SUNNYSIDE,R4-ELEVATOR,67,1981,65392,0,0,2127997,32.5,5-03168-0161,1000 TARGEE STREET,GRASMERE,D5-ELEVATOR,98,1972,74260,1011411,13.62,3150000,42.4,0.75,,,,,,,,,,,,
5-00631-7501,94-R1,755 NARROWS ROAD NORTH,GRYMES HILL,R4-ELEVATOR,93,1987,72970,0,0,3687996,51,5-00589-0053,610 VICTORY BOULEVARD,GRYMES HILL,D1-ELEVATOR,72,1940,72600,927226,12.77,2890000,39.8,1.15,5-00589-0035,650 VICTORY BOULEVARD,GRYMES HILL,D1-ELEVATOR,61,1940,72860,893628,12.27,2510000,34.4,1.15
5-02400-7501,115-R1,80 RICHMOND HILL ROAD,NEW SPRINGVILLE,R4-ELEVATOR,243,1990,208726,0,0,9174995,44,5-01248-0200,110 CONTINENTAL PLACE,MARINERS HARBOR,D3-ELEVATOR,224,1953,222300,2389039,10.75,5060000,22.76,3.35,5-01245-0001,311 GRANDVIEW AVENUE,MARINERS HARBOR,D1-ELEVATOR,381,1953,312400,3357337,10.75,7120000,22.79,3.45
5-02450-7506,39-R1,2 ELMWOOD PARK DRIVE,NEW SPRINGVILLE,R4-ELEVATOR,177,1983,195678,0,0,6030003,30.8,5-03157-0001,1950 CLOVE ROAD,GRASMERE,D1-ELEVATOR,177,1973,180495,1890996,10.48,4010000,22.22,4.1,,,,,,,,,,,,
5-02450-7509,4-R1,5 WINDHAM LOOP,NEW SPRINGVILLE,R4-ELEVATOR,163,0,176455,0,0,4774011,27.1,5-02877-0025,55 BOWEN STREET,CONCORD-FOX HILLS,D1-ELEVATOR,156,1973,154860,2387297,15.42,5060000,32.7,4.6,,,,,,,,,,,,
5-02451-7501,113-R1,95 ESSEX DRIVE,NEW SPRINGVILLE,R4-ELEVATOR,31,1989,35212,0,0,1312002,37.3,5-02102-0028,121 FREEDOM AVENUE,NEW SPRINGVILLE,C9-WALK-UP,56,1971,43200,593325,13.73,1850000,42.8,1.1,5-02102-0045,105 FREEDOM AVENUE,NEW SPRINGVILLE,C9-WALK-UP,36,1971,29200,379338,12.99,1180000,40.4,1.1
5-02451-7501,113-R2,75 ESSEX DRIVE,NEW SPRINGVILLE,R4-ELEVATOR,31,1989,35212,0,0,1312007,37.3,5-02102-0045,105 FREEDOM AVENUE,NEW SPRINGVILLE,C9-WALK-UP,36,1971,29200,379338,12.99,1180000,40.4,1.1,5-02102-0028,121 FREEDOM AVENUE,NEW SPRINGVILLE,C9-WALK-UP,56,1971,43200,593325,13.73,1850000,42.8,1.1
5-02451-7501,113-R3,40 WELLINGTON COURT,NEW SPRINGVILLE,R4-ELEVATOR,31,1989,35212,0,0,1312002,37.3,5-02102-0028,121 FREEDOM AVENUE,NEW SPRINGVILLE,C9-WALK-UP,56,1971,43200,593325,13.73,1850000,42.8,1.1,,,,,,,,,,,,
5-02451-7501,113-R4,120 WELLINGTON COURT,NEW SPRINGVILLE,R4-ELEVATOR,31,1989,35212,0,0,1312004,37.3,5-02102-0028,121 FREEDOM AVENUE,NEW SPRINGVILLE,C9-WALK-UP,56,1971,43200,593325,13.73,1850000,42.8,1.1,,,,,,,,,,,,
5-02452-7501,107-R1,41 WELLINGTON COURT,NEW SPRINGVILLE,R4-ELEVATOR,37,1989,47880,0,0,1755986,36.7,5-03168-0161,1000 TARGEE STREET,GRASMERE,D5-ELEVATOR,98,1972,74260,1011411,13.62,3150000,42.4,3.85,,,,,,,,,,,,
5-02452-7501,107-R2,121 WELLINGTON COURT,NEW SPRINGVILLE,R4-ELEVATOR,52,1987,64512,0,0,2098995,32.5,5-03168-0161,1000 TARGEE STREET,GRASMERE,D5-ELEVATOR,98,1972,74260,1011411,13.62,3150000,42.4,3.85,,,,,,,,,,,,
5-02452-7503,122-R1,145 WELLINGTON COURT,NEW SPRINGVILLE,R4-ELEVATOR,37,1988,47880,0,0,1922996,40.2,5-02102-0028,121 FREEDOM AVENUE,NEW SPRINGVILLE,C9-WALK-UP,56,1971,43200,593325,13.73,1850000,42.8,1.25,,,,,,,,,,,,
5-02452-7503,122-R2,171 WELLINGTON COURT,NEW SPRINGVILLE,R4-ELEVATOR,37,0,47880,0,0,1922985,40.2,5-02102-0028,121 FREEDOM AVENUE,NEW SPRINGVILLE,C9-WALK-UP,56,1971,43200,593325,13.73,1850000,42.8,1.25,,,,,,,,,,,,
5-02452-7503,122-R3,195 WELLINGTON COURT,NEW SPRINGVILLE,R4-ELEVATOR,37,0,47880,0,0,1922996,40.2,5-02102-0028,121 FREEDOM AVENUE,NEW SPRINGVILLE,C9-WALK-UP,56,1971,43200,593325,13.73,1850000,42.8,1.25,,,,,,,,,,,,
5-02829-7501,100-R1,31 HYLAN BOULEVARD,ROSEBANK,R4-ELEVATOR,52,0,62391,0,0,3439999,55,5-03003-0082,20 MERLE PLACE,ROSEBANK,D1-ELEVATOR,64,1964,61130,890037,14.56,3010000,49.2,0.55,5-03168-0161,1000 TARGEE STREET,GRASMERE,D5-ELEVATOR,98,1972,74260,1011411,13.62,3150000,42.4,1.6
5-02832-7501,118-R1,6 NEW LANE,ARROCHAR-SHORE ACRES,R4-ELEVATOR,102,1987,90618,0,0,5232993,58,5-00240-0003,937 VICTORY BOULEVARD,CLOVE LAKES,D1-ELEVATOR,111,1965,107960,1432814,13.27,4460000,41.3,2.15,5-00240-0016,961 VICTORY BOULEVARD,CLOVE LAKES,D1-ELEVATOR,111,1965,107960,1441897,13.36,4490000,41.6,2.15
5-02862-7501,86-R1,50 BELAIR ROAD,ROSEBANK,R2-WALK-UP,48,1985,51425,0,0,1870001,36.4,5-03168-0161,1000 TARGEE STREET,GRASMERE,D5-ELEVATOR,98,1972,74260,1011411,13.62,3150000,42.4,1.4,,,,,,,,,,,,
5-03019-7501,117-R1,81 NARROWS ROAD NORTH,ROSEBANK,R2-WALK-UP,40,0,38700,0,0,1471000,38,5-03003-0082,20 MERLE PLACE,ROSEBANK,D1-ELEVATOR,64,1964,61130,890037,14.56,3010000,49.2,0.15,5-03168-0161,1000 TARGEE STREET,GRASMERE,D5-ELEVATOR,98,1972,74260,1011411,13.62,3150000,42.4,1.15
5-03318-7501,97-R1,163 CROMWELL AVENUE,DONGAN HILLS,R2-WALK-UP,48,0,38424,0,0,1397002,36.4,5-03168-0161,1000 TARGEE STREET,GRASMERE,D5-ELEVATOR,98,1972,74260,1011411,13.62,3150000,42.4,0.9,,,,,,,,,,,,
5-03543-7501,89-R1,175 ZOE STREET,GRANT CITY,R4-ELEVATOR,100,1986,78903,0,0,3696014,46.8,5-03168-0161,1000 TARGEE STREET,GRASMERE,D5-ELEVATOR,98,1972,74260,1011411,13.62,3150000,42.4,1.35,,,,,,,,,,,,
5-03585-7501,110-R1,100 COLFAX AVENUE,GRANT CITY,R4-ELEVATOR,159,0,166712,0,0,5424992,32.5,5-03243-0100,150 PARKINSON AVENUE,SOUTH BEACH,D1-ELEVATOR,422,1950,382560,4111340,10.75,8720000,22.79,1.85,5-03157-0001,1950 CLOVE ROAD,GRASMERE,D1-ELEVATOR,177,1973,180495,1890996,10.48,4010000,22.22,2.05
