QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Address,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Total Units,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Year Built,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Estimated Gross Income,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Estimated Expense,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Expense per SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Net Operating Income,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 – Boro-Block-Lot,COMPARABLE RENTAL – 1 – Address,COMPARABLE RENTAL – 1 – Neighborhood,COMPARABLE RENTAL – 1 – Building Classification,COMPARABLE RENTAL – 1 – Total Units,COMPARABLE RENTAL – 1 – Year Built,COMPARABLE RENTAL – 1 – Gross SqFt,COMPARABLE RENTAL – 1 – Estimated Gross Income,COMPARABLE RENTAL – 1 – Gross Income per SqFt,COMPARABLE RENTAL – 1 – Estimated Expense,COMPARABLE RENTAL – 1 – Expense per SqFt,COMPARABLE RENTAL – 1 – Net Operating Income,COMPARABLE RENTAL – 1 – Full Market Value,COMPARABLE RENTAL – 1 – Market Value per SqFt,COMPARABLE RENTAL – 1 – Distance from Coop in miles,COMPARABLE RENTAL – 2 – Boro-Block-Lot,COMPARABLE RENTAL – 2 – Address,COMPARABLE RENTAL – 2 – Neighborhood,COMPARABLE RENTAL – 2 – Building Classification,COMPARABLE RENTAL – 2 – Total Units,COMPARABLE RENTAL – 2 – Year Built,COMPARABLE RENTAL – 2 – Gross SqFt,COMPARABLE RENTAL – 2 – Estimated Gross Income,COMPARABLE RENTAL – 2 – Gross Income per SqFt,COMPARABLE RENTAL – 2 – Estimated Expense,COMPARABLE RENTAL – 2 – Expense per SqFt,COMPARABLE RENTAL – 2 – Net Operating Income,COMPARABLE RENTAL – 2 – Full Market Value,COMPARABLE RENTAL – 2 – Market Value per SqFt,COMPARABLE RENTAL – 2 – Distance from Coop in miles,COMPARABLE RENTAL – 3 – Boro-Block-Lot,COMPARABLE RENTAL – 3 – Address,COMPARABLE RENTAL – 3 – Neighborhood,COMPARABLE RENTAL – 3 – Building Classification,COMPARABLE RENTAL – 3 – Total Units,COMPARABLE RENTAL – 3 – Year Built,COMPARABLE RENTAL – 3 – Gross SqFt,COMPARABLE RENTAL – 3 – Estimated Gross Income,COMPARABLE RENTAL – 3 – Gross Income per SqFt,COMPARABLE RENTAL – 3 – Estimated Expense,COMPARABLE RENTAL – 3 – Expense per SqFt,COMPARABLE RENTAL – 3 – Net Operating Income,COMPARABLE RENTAL – 3 – Full Market Value,COMPARABLE RENTAL – 3 – Market Value per SqFt,COMPARABLE RENTAL – 3 – Distance from Coop in miles
4-01458-0001,"84 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,84,1937,109476,1263353,11.54,585697,5.35,677656,3905000,35.67,4-01445-0001,"84 34 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,72,1951,59778,651788,10.9,284387,4.76,367401,1815000,30.36,0.14,4-01268-0051,"34 81 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,84,1937,93936,1143574,12.17,557800,5.94,585774,3542000,37.71,0.2,, , , , , , , , , , , , , , 
4-01459-0001,"35 86 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,348,1953,306990,4316279,14.06,2158140,7.03,2158139,10956000,35.69,4-01491-0021,"80 41 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,287,1959,263120,4073098,15.48,2036549,7.74,2036549,13957000,53.04,0.37,4-01458-0046,"35 84 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,108,1940,117294,1394121,11.89,578148,4.93,815973,3795000,32.35,0.05,4-01461-0035,87 37 AVENUE,JACKSON HEIGHTS,D7-ELEVATOR,112,1955,"104,887","1,473,628",14.05,"658,430",6.28,"815,198","5,361,000",51.11,0.10
4-01461-0006,"35 88 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,42,1938,53268,694082,13.03,305226,5.73,388856,2376000,44.6,4-01461-0001,"87 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,48,1937,50700,649146,12.8,245841,4.85,403305,1881000,37.1,0,4-01460-0040,"35 86 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,48,1953,46354,614029,13.25,305809,6.6,308220,2047000,44.16,0.05,, , , , , , , , , , , , , , 
4-01462-0001,"88 35 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,96,1953,81900,940212,11.48,452907,5.53,487305,2926000,35.73,4-01476-0058,"37 88 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,60,1928,50968,614164,12.05,331802,6.51,282362,1797000,35.26,0.14,4-01445-0001,"84 34 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,72,1951,59778,651788,10.9,284387,4.76,367401,1815000,30.36,0.24,, , , , , , , , , , , , , , 
4-01472-0068,"37 84 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,C6-WALK-UP,12,1921,14305,195549,13.67,107144,7.49,88405,584000,40.82,4-01471-0012,"37 84 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,C1-WALK-UP,204,1926,180804,2472383,13.67,1354827,7.49,1117556,7386000,40.85,0.05,,, , , , , , , , , , , , , ,, , , , , , , , , , , , , , 
4-01474-0047,"37 86 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D4-ELEVATOR,79,1955,69654,780821,11.21,346180,4.97,434641,2497000,35.85,4-01512-0026,"88 ELMHURST AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,84,1938,99383,1114203,11.21,493985,4.97,620218,3047000,30.66,0.18,,, , , , , , , , , , , , , ,, , , , , , , , , , , , , , 
4-01488-0042,"40 77 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,55,1941,57272,664355,11.6,378568,6.61,285787,1831000,31.97,4-01486-0052,"75 41 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D7-ELEVATOR,44,1927,31860,629899,19.77,300587,9.43,329312,2357000,73.98,0.1,4-01492-0049,"40 81 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,106,1932,68194,1086330,15.93,521684,7.65,564646,3854000,56.52,0.2,4-01496-0056,41 76 STREET,ELMHURST,D1-ELEVATOR,52,1963,"33,901","611,690",18.04,"272,349",8.03,"339,341","2,445,000",72.12,0.13
4-01497-0023,"41 78 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,168,1951,148956,2247746,15.09,1021838,6.86,1225908,5346000,35.89,4-01489-0018,"40 79 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,192,1956,176480,2534233,14.36,1113909,6.31,1420324,8503000,48.18,0.14,4-01525-0030,"42 80 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,136,1955,111500,1770448,15.88,861690,7.73,908758,6209000,55.69,0.17,4-01509-0017,81 PETTIT AVENUE,ELMHURST,D7-ELEVATOR,109,1957,"106,541","1,607,466",15.09,"747,835",7.02,"859,631","5,115,000",48.01,0.18
4-01507-0005,"81 BAXTER AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,51,1963,32947,365053,11.08,195046,5.92,170007,1096000,33.27,4-01507-0054,"41 JUDGE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,66,1941,74000,819989,11.08,438034,5.92,381955,2310000,31.22,0.08,,, , , , , , , , , , , , , ,, , , , , , , , , , , , , , 
4-01509-0006,"42 LAYTON STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,89,1926,77358,857127,11.08,457959,5.92,399168,2465000,31.86,4-01507-0054,"41 JUDGE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,66,1941,74000,819989,11.08,438034,5.92,381955,2310000,31.22,0.12,,, , , , , , , , , , , , , ,, , , , , , , , , , , , , , 
4-01509-0052,"42 LAYTON STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,48,1939,43122,512721,11.89,259594,6.02,253127,1551000,35.97,4-01507-0054,"41 JUDGE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,66,1941,74000,819989,11.08,438034,5.92,381955,2310000,31.22,0.09,4-01518-0047,"85 ELMHURST AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,21,1992,19101,242449,12.69,116788,6.11,125661,841000,44.03,0.13,, , , , , , , , , , , , , , 
4-01513-0028,"88 ELMHURST AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,82,1937,92244,1045125,11.33,519334,5.63,525791,3311000,35.89,4-01512-0026,"88 ELMHURST AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,84,1938,99383,1114203,11.21,493985,4.97,620218,3047000,30.66,0.05,4-01511-0001,"40 ELBERTSON STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D3-ELEVATOR,235,1950,217000,2482167,11.44,1365108,6.29,1117059,6908000,31.83,0.09,, , , , , , , , , , , , , , 
4-01531-0021,"78 46 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,56,1966,35700,409479,11.47,209202,5.86,200277,1276000,35.74,4-01544-0001,"83 CORNISH AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,65,1940,68326,783829,11.47,400433,5.86,383396,2461000,36.02,0.34,,, , , , , , , , , , , , , ,, , , , , , , , , , , , , , 
4-01545-0033,"83 ST JAMES AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,122,1957,115861,1346305,11.62,697483,6.02,648822,4157000,35.88,4-01544-0001,"83 CORNISH AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,65,1940,68326,783829,11.47,400433,5.86,383396,2461000,36.02,0.05,4-01559-0007,"85 ELMHURST AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D7-ELEVATOR,53,1940,47846,563272,11.77,295761,6.18,267511,1710000,35.74,0.24,, , , , , , , , , , , , , , 
4-01547-0001,"84 51 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,91,1953,87780,1192930,13.59,640794,7.3,552136,3146000,35.84,4-01581-0028,"86 ST JAMES AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,125,1963,116538,1583776,13.59,851306,7.3,732470,4845000,41.57,0.13,4-01581-0014,"86 DONGAN AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,83,1932,64509,1088957,16.88,494450,7.66,594507,4300000,66.66,0.13,4-01544-0001,83 CORNISH AVENUE,ELMHURST,D1-ELEVATOR,65,1940,"68,326","783,829",11.47,"400,433",5.86,"383,396","2,461,000",36.02,0.14
4-01555-0001,"88 ELMHURST AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,90,1941,88426,1008056,11.4,497838,5.63,510218,3168000,35.83,4-01554-0023,"41 ELBERTSON STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D7-ELEVATOR,74,1954,85360,1069312,12.53,551476,6.46,517836,3470000,40.65,0.05,4-01569-0001,"89 WHITNEY AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,96,1941,89293,915846,10.26,428934,4.8,486912,3032000,33.96,0.12,, , , , , , , , , , , , , , 
4-01560-0006,"44 KETCHAM STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,65,1940,71196,967554,13.59,519731,7.3,447823,2552000,35.84,4-01517-0021,"83 BRITTON AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D7-ELEVATOR,70,1963,59596,824030,13.83,392288,6.58,431742,2728000,45.77,0.14,4-01581-0028,"86 ST JAMES AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,125,1963,116538,1583776,13.59,851306,7.3,732470,4845000,41.57,0.13,4-01544-0001,83 CORNISH AVENUE,ELMHURST,D1-ELEVATOR,65,1940,"68,326","783,829",11.47,"400,433",5.86,"383,396","2,461,000",36.02,0.16
4-01566-0039,"92 LAMONT AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,78,1963,61500,850545,13.83,452640,7.36,397905,2200000,35.77,4-01554-0001,"88 ELMHURST AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,60,1940,55526,783829,14.12,398684,7.18,385145,2672000,48.12,0.12,4-01554-0051,"41 FORLEY STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,76,1962,55526,767907,13.83,408803,7.36,359104,2368000,42.65,0.12,4-01566-0001,42 WHITNEY AVENUE,ELMHURST,D1-ELEVATOR,74,1959,"69,000","935,531",13.56,"413,470",5.99,"522,061","3,047,000",44.16,0.00
4-01580-0037,"86 DONGAN AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,31,1937,24444,291372,11.92,128087,5.24,163285,877000,35.88,4-01582-0029,"47 88 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,C1-WALK-UP,28,1931,22200,295345,13.3,175860,7.92,119485,440000,19.82,0.1,4-01526-0057,"42 80 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,C1-WALK-UP,32,1927,23310,320279,13.74,160140,6.87,160139,1057000,45.35,0.31,4-01508-0071,42 LAYTON STREET,ELMHURST,C1-WALK-UP,28,1938,"22,752","301,285",13.24,"175,150",7.70,"126,135","838,000",36.83,0.28
4-01679-0001,"108 ASTORIA BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",EAST ELMHURST,D4-ELEVATOR,42,1965,39267,491230,12.51,238351,6.07,252879,1695000,43.17,4-01455-0065,"94 34 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,43,1928,41712,542563,13.01,251590,6.03,290973,1939000,46.49,0.82,4-01564-0034,"93 LAMONT AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,90,1961,68500,822000,12,443880,6.48,378120,2189000,31.96,1.16,, , , , , , , , , , , , , , 
4-01837-0012,"87 51 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,152,1962,141954,1929155,13.59,1122856,7.91,806299,5333000,37.57,4-01842-0031,"87 JUSTICE AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,109,1962,107010,1443059,13.49,593171,5.54,849888,4884000,45.64,0.13,4-01581-0028,"86 ST JAMES AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,125,1963,116538,1583776,13.59,851306,7.3,732470,4845000,41.57,0.2,4-01581-0001,83 BROADWAY,ELMHURST,D7-ELEVATOR,194,1956,"179,494","2,629,810",14.65,"1,212,456",6.75,"1,417,354","8,514,000",47.43,0.20
4-01837-0104,"86 BROADWAY
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,155,1964,192640,2617978,13.59,1523782,7.91,1094196,7238000,37.57,4-01581-0001,"83 BROADWAY
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D7-ELEVATOR,194,1956,179494,2629810,14.65,1212456,6.75,1417354,8514000,47.43,0.2,4-01842-0031,"87 JUSTICE AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,109,1962,107010,1443059,13.49,593171,5.54,849888,4884000,45.64,0.13,4-01581-0028,86 ST JAMES AVENUE,ELMHURST,D1-ELEVATOR,125,1963,"116,538","1,583,776",13.59,"851,306",7.30,"732,470","4,845,000",41.57,0.20
4-01841-0001,"89 55 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,120,1957,109796,1481148,13.49,608270,5.54,872878,3971000,36.17,4-01842-0031,"87 JUSTICE AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,109,1962,107010,1443059,13.49,593171,5.54,849888,4884000,45.64,0.14,4-01872-0025,"56 94 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,112,1964,107390,1356599,12.63,521037,4.85,835562,5594000,52.09,0.24,4-01902-0039,56 56 AVENUE,ELMHURST,D7-ELEVATOR,113,1964,"108,120","1,590,806",14.71,"662,238",6.13,"928,568","6,409,000",59.28,0.35
4-01857-0038,"90 56 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,109,1962,114642,1546521,13.49,635117,5.54,911404,4114000,35.89,4-01872-0025,"56 94 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,112,1964,107390,1356599,12.63,521037,4.85,835562,5594000,52.09,0.15,4-01842-0031,"87 JUSTICE AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,109,1962,107010,1443059,13.49,593171,5.54,849888,4884000,45.64,0.23,4-01902-0039,56 56 AVENUE,ELMHURST,D7-ELEVATOR,113,1964,"108,120","1,590,806",14.71,"662,238",6.13,"928,568","6,409,000",59.28,0.25
4-01872-0011,"92 56 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,82,1962,100796,1359738,13.49,558410,5.54,801328,3619000,35.9,4-01872-0025,"56 94 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,112,1964,107390,1356599,12.63,521037,4.85,835562,5594000,52.09,0,4-01902-0039,"56 56 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D7-ELEVATOR,113,1964,108120,1590806,14.71,662238,6.13,928568,6409000,59.28,0.11,4-01842-0031,87 JUSTICE AVENUE,ELMHURST,D1-ELEVATOR,109,1962,"107,010","1,443,059",13.49,"593,171",5.54,"849,888","4,884,000",45.64,0.38
4-01872-0045,"92 57 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,78,1965,100308,1353155,13.49,555706,5.54,797449,3718000,37.07,4-01872-0025,"56 94 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,112,1964,107390,1356599,12.63,521037,4.85,835562,5594000,52.09,0,4-01902-0039,"56 56 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D7-ELEVATOR,113,1964,108120,1590806,14.71,662238,6.13,928568,6409000,59.28,0.11,4-01842-0031,87 JUSTICE AVENUE,ELMHURST,D1-ELEVATOR,109,1962,"107,010","1,443,059",13.49,"593,171",5.54,"849,888","4,884,000",45.64,0.38
4-01907-0001,"55 98 PLACE
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,D4-ELEVATOR,138,1964,149548,2018898,13.5,1067773,7.14,951125,6297000,42.11,4-01918-0105,"97 HOR
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,D3-ELEVATOR,233,1963,220000,3025800,13.75,1473865,6.7,1551935,10242000,46.55,0.16,4-01918-0080,"98 57 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,D1-ELEVATOR,224,1965,233000,3144939,13.5,1664777,7.14,1480162,9800000,42.06,0.16,4-01918-0085,98 HOR HARDING EXPWY SR N,CORONA,D1-ELEVATOR,233,1966,"232,000","2,986,479",12.87,"1,696,281",7.31,"1,290,198","8,610,000",37.11,0.16
4-01908-0001,"55 98 PLACE
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,D4-ELEVATOR,208,1965,225240,2950644,13.1,1610466,7.15,1340178,8916000,39.58,4-01918-0080,"98 57 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,D1-ELEVATOR,224,1965,233000,3144939,13.5,1664777,7.14,1480162,9800000,42.06,0.17,4-01918-0097,"98 HOR
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,D7-ELEVATOR,229,1966,235000,2985804,12.71,1554385,6.61,1431419,9574000,40.74,0.17,4-01918-0095,98 HOR HARDING EXPWY SR N,CORONA,D1-ELEVATOR,232,1966,"235,000","3,078,636",13.10,"1,680,991",7.15,"1,397,645","9,298,000",39.57,0.17
4-01911-0001,"94 59 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,185,1964,161130,2215538,13.75,1079571,6.7,1135967,7150000,44.37,4-01902-0039,"56 56 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D7-ELEVATOR,113,1964,108120,1590806,14.71,662238,6.13,928568,6409000,59.28,0.1,4-01872-0025,"56 94 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,112,1964,107390,1356599,12.63,521037,4.85,835562,5594000,52.09,0.15,4-01918-0105,97 HOR HARDING EXPWY SR N,CORONA,D3-ELEVATOR,233,1963,"220,000","3,025,800",13.75,"1,473,865",6.70,"1,551,935","10,242,000",46.55,0.21
4-01945-0001,"99 57 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,D4-ELEVATOR,149,1962,156960,2122099,13.52,1103429,7.03,1018670,6698000,42.67,4-01958-0026,"58 GRANGER STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,D1-ELEVATOR,102,1962,86400,1204591,13.94,475143,5.5,729448,3982000,46.09,0.25,4-01918-0095,"98 HOR
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,D1-ELEVATOR,232,1966,235000,3078636,13.1,1680991,7.15,1397645,9298000,39.57,0.21,, , , , , , , , , , , , , , 
4-01946-0001,"99 58 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,D4-ELEVATOR,225,1962,235440,3006569,12.77,1452665,6.17,1553904,10381000,44.09,4-01918-0070,"98 57 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,D1-ELEVATOR,237,1962,235000,2929673,12.47,1565425,6.66,1364248,9149000,38.93,0.22,4-01918-0075,"98 57 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,D1-ELEVATOR,231,1962,234000,2924628,12.5,1597308,6.83,1327320,8898000,38.03,0.22,4-01918-0110,97 HOR HARDING EXPWY SR N,CORONA,D3-ELEVATOR,238,1963,"235,000","3,062,227",13.03,"1,713,014",7.29,"1,349,213","8,988,000",38.25,0.22
4-01947-0001,"99 60 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,D4-ELEVATOR,136,1961,149804,2106244,14.06,1053122,7.03,1053122,5555000,37.08,4-02121-0051,"102 62 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D1-ELEVATOR,122,1956,103400,1602790,15.5,778405,7.53,824385,5648000,54.62,0.18,4-02122-0028,"102 62 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D1-ELEVATOR,102,1956,99350,1480121,14.9,760460,7.65,719661,4960000,49.92,0.22,4-01958-0026,58 GRANGER STREET,CORONA,D1-ELEVATOR,102,1962,"86,400","1,204,591",13.94,"475,143",5.50,"729,448","3,982,000",46.09,0.20
4-01947-0018,"99 59 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,D4-ELEVATOR,225,1962,235440,3006569,12.77,1452665,6.17,1553904,10381000,44.09,4-01918-0070,"98 57 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,D1-ELEVATOR,237,1962,235000,2929673,12.47,1565425,6.66,1364248,9149000,38.93,0.25,4-01918-0075,"98 57 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,D1-ELEVATOR,231,1962,234000,2924628,12.5,1597308,6.83,1327320,8898000,38.03,0.25,4-01918-0110,97 HOR HARDING EXPWY SR N,CORONA,D3-ELEVATOR,238,1963,"235,000","3,062,227",13.03,"1,713,014",7.29,"1,349,213","8,988,000",38.25,0.25
4-01948-0001,"99 60 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,D4-ELEVATOR,67,1961,74300,1044658,14.06,522329,7.03,522329,3434000,46.22,4-02107-0024,"99 62 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",REGO PARK,D1-ELEVATOR,62,1964,55300,1047654,18.94,409286,7.4,638368,2673000,48.34,0.11,4-02093-0133,"62 99 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",REGO PARK,D1-ELEVATOR,85,1968,81570,1150705,14.11,477428,5.85,673277,4323000,53,0.19,4-02121-0051,102 62 ROAD,FOREST HILLS,D1-ELEVATOR,122,1956,"103,400","1,602,790",15.50,"778,405",7.53,"824,385","5,648,000",54.62,0.16
4-01949-0090,"59 CALLOWAY STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,D4-ELEVATOR,111,1968,101858,1432123,14.06,716062,7.03,716061,4708000,46.22,4-01958-0026,"58 GRANGER STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",CORONA,D1-ELEVATOR,102,1962,86400,1204591,13.94,475143,5.5,729448,3982000,46.09,0.16,4-02121-0051,"102 62 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D1-ELEVATOR,122,1956,103400,1602790,15.5,778405,7.53,824385,5648000,54.62,0.22,4-02122-0028,102 62 ROAD,FOREST HILLS,D1-ELEVATOR,102,1956,"99,350","1,480,121",14.90,"760,460",7.65,"719,661","4,960,000",49.92,0.26
