BRONX – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Address,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Total Units,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Year Built,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Estimated Gross Income,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Estimated Expense,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Expense per SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Net Operating Income,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 – Boro-Block-Lot,COMPARABLE RENTAL – 1 – Address,COMPARABLE RENTAL – 1 – Neighborhood,COMPARABLE RENTAL – 1 – Building Classification,COMPARABLE RENTAL – 1 – Total Units,COMPARABLE RENTAL – 1 – Year Built,COMPARABLE RENTAL – 1 – Gross SqFt,COMPARABLE RENTAL – 1 – Estimated Gross Income,COMPARABLE RENTAL – 1 – Gross Income per SqFt,COMPARABLE RENTAL – 1 – Estimated Expense,COMPARABLE RENTAL – 1 – Expense per SqFt,COMPARABLE RENTAL – 1 – Net Operating Income,COMPARABLE RENTAL – 1 – Full Market Value,COMPARABLE RENTAL – 1 – Market Value per SqFt,COMPARABLE RENTAL – 1 – Distance from Coop in miles,COMPARABLE RENTAL – 2 – Boro-Block-Lot,COMPARABLE RENTAL – 2 – Address,COMPARABLE RENTAL – 2 – Neighborhood,COMPARABLE RENTAL – 2 – Building Classification,COMPARABLE RENTAL – 2 – Total Units,COMPARABLE RENTAL – 2 – Year Built,COMPARABLE RENTAL – 2 – Gross SqFt,COMPARABLE RENTAL – 2 – Estimated Gross Income,COMPARABLE RENTAL – 2 – Gross Income per SqFt,COMPARABLE RENTAL – 2 – Estimated Expense,COMPARABLE RENTAL – 2 – Expense per SqFt,COMPARABLE RENTAL – 2 – Net Operating Income,COMPARABLE RENTAL – 2 – Full Market Value,COMPARABLE RENTAL – 2 – Market Value per SqFt,COMPARABLE RENTAL – 2 – Distance from Coop in miles,COMPARABLE RENTAL – 3 – Boro-Block-Lot,COMPARABLE RENTAL – 3 – Address,COMPARABLE RENTAL – 3 – Neighborhood,COMPARABLE RENTAL – 3 – Building Classification,COMPARABLE RENTAL – 3 – Total Units,COMPARABLE RENTAL – 3 – Year Built,COMPARABLE RENTAL – 3 – Gross SqFt,COMPARABLE RENTAL – 3 – Estimated Gross Income,COMPARABLE RENTAL – 3 – Gross Income per SqFt,COMPARABLE RENTAL – 3 – Estimated Expense,COMPARABLE RENTAL – 3 – Expense per SqFt,COMPARABLE RENTAL – 3 – Net Operating Income,COMPARABLE RENTAL – 3 – Full Market Value,COMPARABLE RENTAL – 3 – Market Value per SqFt,COMPARABLE RENTAL – 3 – Distance from Coop in miles
2-03794-0013,"1966 NEWBOLD AVENUE
Bronx, NY
(40.83226497409279, -73.85937937998489)",CASTLE HILL/UNIONPORT,D4-ELEVATOR,139,1967,144460,1581837,10.95,850869,5.89,730968,4520000,31.29,2-03805-0043,"1265 OLMSTEAD AVENUE
Bronx, NY
(40.83306934070128, -73.85449155308005)",WESTCHESTER,D1-ELEVATOR,88,1930,92666,1060627,11.45,553709,5.98,506918,3255000,35.13,0.19,2-03670-0001,"950 UNDERHILL AVENUE
Bronx, NY
(40.824713393806256, -73.86083804888827)",SOUNDVIEW,D3-ELEVATOR,209,1966,216650,2257592,10.42,1318695,6.09,938897,5654000,26.1,0.51,, , , , , , , , , , , , , , 
2-03900-0039,"1475 THIERIOT AVENUE
Bronx, NY
(40.83706663690138, -73.86541021478455)",PARKCHESTER,D4-ELEVATOR,338,1954,216000,2116800,9.8,1239840,5.74,876960,5192000,24.04,2-03749-0001,"1220 WESTCHESTER AVENUE
Bronx, NY
(40.82610266496021, -73.8890733627321)",SOUNDVIEW,D3-ELEVATOR,159,1964,198104,1854909,9.36,1115886,5.63,739023,4391000,22.17,0.5,2-03925-0018,"1565 THIERIOT AVENUE
Bronx, NY
(40.83962442171181, -73.86590116580125)",PARKCHESTER,D1-ELEVATOR,120,1930,130500,1455886,11.16,596640,4.57,859246,4004000,30.68,0.24,2-03784-0021,1742 EAST 172 STREET,SOUNDVIEW,D7-ELEVATOR,97,1930,"111,500","1,093,143",9.80,"640,344",5.74,"452,799","2,629,000",23.58,0.35
2-03901-0031,"1430 THIERIOT AVENUE
Bronx, NY
(40.836090745978765, -73.86516757361966)",PARKCHESTER,D4-ELEVATOR,340,1960,217800,2430648,11.16,995346,4.57,1435302,9255000,42.49,2-03749-0001,"1220 WESTCHESTER AVENUE
Bronx, NY
(40.82610266496021, -73.8890733627321)",SOUNDVIEW,D3-ELEVATOR,159,1964,198104,1854909,9.36,1115886,5.63,739023,4391000,22.17,0.53,2-03925-0018,"1565 THIERIOT AVENUE
Bronx, NY
(40.83962442171181, -73.86590116580125)",PARKCHESTER,D1-ELEVATOR,120,1930,130500,1455886,11.16,596640,4.57,859246,4004000,30.68,0.24,2-03936-0001,1366 WHITE PLAINS ROAD,PARKCHESTER,D1-ELEVATOR,61,1929,"56,178","659,820",11.75,"286,553",5.10,"373,267","1,661,000",29.57,0.16
2-03931-0001,"1332 METROPOLITAN AVENUE
Bronx, NY
(40.83409052972558, -73.86078570516344)",PARKCHESTER,D4-ELEVATOR,69,1962,67800,796650,11.75,345780,5.1,450870,2882000,42.51,2-03936-0001,"1366 WHITE PLAINS ROAD
Bronx, NY
(40.83478705308192, -73.86298981693727)",PARKCHESTER,D1-ELEVATOR,61,1929,56178,659820,11.75,286553,5.1,373267,1661000,29.57,0.16,2-03793-0039,"1990 ELLIS AVENUE
Bronx, NY
(40.83174319950962, -73.85769729713346)",CASTLE HILL/UNIONPORT,D7-ELEVATOR,85,1929,76000,916326,12.06,500946,6.59,415380,2387000,31.41,0.23,2-03805-0043,1265 OLMSTEAD AVENUE,WESTCHESTER,D1-ELEVATOR,88,1930,"92,666","1,060,627",11.45,"553,709",5.98,"506,918","3,255,000",35.13,0.20
2-03931-0006,"1910 MC GRAW AVENUE
Bronx, NY
(40.834532887061734, -73.8614602032064)",PARKCHESTER,D4-ELEVATOR,54,1929,57000,652650,11.45,340860,5.98,311790,839000,14.72,2-03936-0001,"1366 WHITE PLAINS ROAD
Bronx, NY
(40.83478705308192, -73.86298981693727)",PARKCHESTER,D1-ELEVATOR,61,1929,56178,659820,11.75,286553,5.1,373267,1661000,29.57,0.16,2-03794-0001,"1236 VIRGINIA AVENUE
Bronx, NY
(40.831512027890035, -73.86092950232403)",CASTLE HILL/UNIONPORT,D7-ELEVATOR,96,1928,91656,923525,10.08,543784,5.93,379741,2369000,25.85,0.17,2-03793-0039,1990 ELLIS AVENUE,CASTLE HILL/UNIONPORT,D7-ELEVATOR,85,1929,"76,000","916,326",12.06,"500,946",6.59,"415,380","2,387,000",31.41,0.23
2-03948-0047,"2181 STARLING AVENUE
Bronx, NY
(40.836339133713764, -73.85270261096049)",PARKCHESTER,D4-ELEVATOR,42,1962,30927,375145,12.13,210304,6.8,164841,1048000,33.89,2-03947-0001,"2141 STARLING AVENUE
Bronx, NY
(40.83621936150287, -73.85384027517729)",PARKCHESTER,D6-ELEVATOR,102,1928,93000,1148540,12.35,632698,6.8,515842,3268000,35.14,0.06,2-03947-0040,"2145 STARLING AVENUE
Bronx, NY
(40.83623272118373, -73.8537123675444)",PARKCHESTER,D6-ELEVATOR,103,1928,93000,1128296,12.13,632698,6.8,495598,3003000,32.29,0.06,2-03977-0035,2435 FRISBY AVENUE,WESTCHESTER,D1-ELEVATOR,42,1929,"41,400","471,441",11.39,"189,633",4.58,"281,808","1,298,000",31.35,0.27
2-03987-0058,"1500 OVERING STREET
Bronx, NY
(40.840732086930444, -73.84542831518446)",WESTCHESTER,C6-WALK-UP,31,1926,27150,302180,11.13,147696,5.44,154484,910000,33.52,2-03974-0004,"1410 ROWLAND STREET
Bronx, NY
(40.83789699744085, -73.84576155801867)",WESTCHESTER,C1-WALK-UP,39,1928,32000,352320,11.01,193600,6.05,158720,981000,30.66,0.21,2-04075-0031,"2617 HALPERIN AVENUE
Bronx, NY
(40.84295972575407, -73.84444284933667)",WESTCHESTER,C1-WALK-UP,44,1928,34816,387600,11.13,189282,5.44,198318,1224000,35.16,0.16,2-03997-0030,2446 LYVERE STREET,WESTCHESTER,C1-WALK-UP,38,1923,"32,100","442,170",13.77,"204,854",6.38,"237,316","1,566,000",48.79,0.31
2-04174-0024,"3121 MIDDLETOWN ROAD
Bronx, NY
(40.84523742771046, -73.8264543417798)",SCHUYLERVILLE/PELHAM BAY,D4-ELEVATOR,157,1963,135250,1503980,11.12,743875,5.5,760105,4691000,34.68,2-04178-0010,"3555 BRUCKNER BOULEVARD
Bronx, NY
(40.82557699997852, -73.91844899972153)",SCHUYLERVILLE/PELHAM BAY,D3-ELEVATOR,142,1960,112000,1480347,13.22,642987,5.74,837360,4411000,39.38,0.12,2-04177-0007,"3120 BUHRE AVENUE
Bronx, NY
(40.84821398397604, -73.82898119795571)",SCHUYLERVILLE/PELHAM BAY,D1-ELEVATOR,80,1929,75600,840441,11.12,415858,5.5,424583,2376000,31.43,0.12,2-04172-0007,3070 ROBERTS AVENUE,SCHUYLERVILLE/PELHAM BAY,D1-ELEVATOR,43,1929,"46,494","453,917",9.76,"235,580",5.07,"218,337","1,221,000",26.26,0.09
2-04230-0015,"1950 HUTCH RIVER PARKWAY
Bronx, NY
(40.82557699997852, -73.91844899972153)",SCHUYLERVILLE/PELHAM BAY,D4-ELEVATOR,158,1961,179920,2364149,13.14,1383585,7.69,980564,6521000,36.24,2-03867-0023,"1340 STRATFORD AVENUE
Bronx, NY
(40.83257285948328, -73.87624996730352)",SOUNDVIEW,D1-ELEVATOR,129,1966,95370,1253162,13.14,664729,6.97,588433,3913000,41.03,2.44,2-03134-0001,"2134 VYSE AVENUE
Bronx, NY
(40.84472116198588, -73.87967377668541)",EAST TREMONT,D1-ELEVATOR,38,1923,43700,573848,13.13,301315,6.9,272533,1813000,41.49,2.3,2-03094-0003,730 OAKLAND PLACE,EAST TREMONT,D1-ELEVATOR,152,1975,"145,330","2,123,271",14.61,"1,310,877",9.02,"812,394","5,611,000",38.61,2.75
2-04247-0057,"2015 ST PAUL AVENUE
Bronx, NY
(40.85254726976069, -73.82879385866468)",SCHUYLERVILLE/PELHAM BAY,D4-ELEVATOR,66,1964,58600,768246,13.11,315854,5.39,452392,3010000,51.37,2-04196-0030,"3073 BUHRE AVENUE
Bronx, NY
(40.847749993227104, -73.83036496100702)",SCHUYLERVILLE/PELHAM BAY,D1-ELEVATOR,46,1935,42000,545580,12.99,294420,7.01,251160,1408000,33.52,0.34,2-04178-0010,"3555 BRUCKNER BOULEVARD
Bronx, NY
(40.82557699997852, -73.91844899972153)",SCHUYLERVILLE/PELHAM BAY,D3-ELEVATOR,142,1960,112000,1480347,13.22,642987,5.74,837360,4411000,39.38,0.39,, , , , , , , , , , , , , , 
