Date,H.S. of E.F (100 Trinity Place),P.S. 234 (282 Grennwich St.),Stuyvesant H.S. (345 Chambers St.),I.S./P.S. 89 (201 Warren St.)
11/7/01,< 13.33 s/sqmm,< 13.33 s/sqmm,40 s/sqmm,< 13.33 s/sqmm
11/6/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
11/5/01,13.33 s/sqmm,13.33 s/sqmm, 26.67 s/sqmm,13.33 s/sqmm
11/4/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
11/3/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm, 13.33 s/sqmm
11/2/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
11/1/01,13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
10/31/01,13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,13.33 s/sqmm
10/30/01,13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
10/29/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
10/28/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
10/27/01,40 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
10/26/01,< 13.33 s/sqmm,13.33 s/sqmm,< 13.33 s/sqmm,13.33 s/sqmm
10/25/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
10/24/01,13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
10/23/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
10/22/01,13.33 s/sqmm,*< 13.33 s/sqmm,13.33 s/sqmm,< 13.33 s/sqmm
10/21/01,< 13.33 s/sqmm,< 13.33 s/sqmm,13.33 sq/mm,< 13.33 s/sqmm
10/20/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
10/19/01,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm,< 13.33 s/sqmm
10/18/01,0.004 f/cc,< 0.002 f/cc,< 0.002 f/cc,< 0.002 f/cc
10/17/01,0.003 f/cc,0.003 f/cc,0.002 f/cc,0.004 f/cc
10/16/01,0.004 f/cc,0.002 f/cc,0.003 f/cc,< 0.002 f/cc
10/15/01,0.005 f/cc,0.003 f/cc,< 0.002 f/cc,< 0.002 f/cc
10/14/01,< 0.002 f/cc,< 0.002 f/cc,0.004 f/cc,0.005 f/cc
10/13/01,< 0.002 f/cc,< 0.002 f/cc,< 0.002 f/cc,< 0.002 f/cc
10/12/01,< 0.002 f/cc,< 0.002 f/cc,0.007 f/cc,0.003 f/cc
10/11/01,0.003 f/cc,0.003 f/cc,< 0.002 f/cc,0.003 f/cc
10/10/01,0.003 f/cc,0.003 f/cc,0.003 f/cc,0.004 f/cc
10/9/01,< 0.002 f/cc,0.004 f/cc,< 0.002 f/cc,0.003 f/cc
10/8/01,0.005 f/cc,< 0.002 f/cc,< 0.002 f/cc,0.007 f/cc
10/7/01,< 0.002 f/cc,< 0.002 f/cc,< 0.002 f/cc,.018 f/cc (40 s/sqmm)
10/6/01,< 0.002 f/cc,< 0.002 f/cc,< 0.002 f/cc,< 0.002 f/cc
10/5/01,0.004 f/cc,0.003 f/cc,< 0.002 f/cc,< 0.002 f/cc
10/4/01,< 0.002 f/cc,< 0.002 f/cc,< 0.002 f/cc,0.003 f/cc
