Date,H.S. of E.F (100 Trinity Place),P.S. 234 (282 Grennwich St.),Stuyvesant H.S. (345 Chambers St.),I.S./P.S. 89 (201 Warren St.)
5/7/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/6/02,< 12.5 s/sqmm,< 12.5 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/5/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/4/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/3/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,14.3 s/sqmm
5/2/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
5/1/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/30/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/29/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/28/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/27/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/26/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/25/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/24/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/23/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/22/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/21/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/20/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/19/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/18/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/17/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/16/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/15/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/14/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,14.3 s/sqmm
4/13/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/12/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/11/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/10/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/9/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/8/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/7/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/6/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
4/5/02,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm,< 14.3 s/sqmm
