District,Material,Primary Disposal Facility,Location,X Coordinate,Y Coordinate
BX12,Refuse,WM-Harlem River,"98 Lincoln Ave Bronx, NY",1003791.4,233389.4
BK01,Refuse,WM - Varick,"215 Varick Ave Brooklyn, NY",1003760.9,198902.3
BK02,Refuse,IESI - Court,"577 Court St Brooklyn, NY",984101.6,184309.5
BK03,Refuse,WM - Varick,"215 Varick Ave Brooklyn, NY",1003760.9,198902.3
BK04,Refuse,WM - Varick,"215 Varick Ave Brooklyn, NY",1003760.9,198902.3
BK05,Refuse,WM - Varick,"215 Varick Ave Brooklyn, NY",1003760.9,198902.3
BK08,Refuse,WM - Varick,"215 Varick Ave Brooklyn, NY",1003760.9,198902.3
BK06,Refuse,IESI - Court,"577 Court St Brooklyn, NY",984101.6,184309.5
BK07,Refuse,IESI - 50 st,"110 50th St Brooklyn, NY",978914.6,175996.6
BK09,Refuse,BFI - Thames,"105-115 Thames St Brooklyn, NY",1004064,196322.8
BK10,Refuse,IESI - 50 St,"110 50th St Brooklyn, NY",978914.6,175996.6
BK11,Refuse,IESI - 50 St,"110 50th St Brooklyn, NY",978914.6,175996.6
BK12,Refuse,IESI - 50 St,"110 50th St Brooklyn, NY",978914.6,175996.6
BK13,Refuse,IESI - Court,"577 Court St Brooklyn, NY",984101.6,184309.5
BK14,Refuse,WM - Varick,"215 Varick Ave Brooklyn, NY",1003760.9,198902.3
BK15,Refuse,WM - Varick,"215 Varick Ave Brooklyn, NY",1003760.9,198902.3
BK16,Refuse,WS: Stanley,"941 Stanley Ave Brooklyn, NY",1018846.6,180925.3
BK17,Refuse,BFI - Thames,"105-115 Thames St Brooklyn, NY",1004064,196322.8
BK18,Refuse,WM - Varick,"215 Varick Ave Brooklyn, NY",1003760.9,198902.3
QN01,Refuse,WM: Review,"38-50 Review Ave Queens, NY",1001888.4,205233.5
QN02,Refuse,WM: Review,"38-50 Review Ave Queens, NY",1001888.4,205233.5
QN03,Refuse,WM: Review,"38-50 Review Ave Queens, NY",1001888.4,205233.5
QN04,Refuse,Veoila - Paterson,"30-35 Fulton St Patterson, NJ",938097.2,275827.7
QN05,Refuse,WM: Review,"38-50 Review Ave Queens, NY",1001888.4,205233.5
QN06,Refuse,Veolia - Eastern,"264 Broadway Jersey City, NJ",962199.5,207293.9
QN09,Refuse,Veolia - Eastern,"264 Broadway Jersey City, NJ",962199.5,207293.9
QN07,Refuse,Tully,"127-20 34th Ave Queens, NY",1028062.3,216368.6
QN08,Refuse,Veoila - Paterson,"30-35 Fulton St Patterson, NJ",938097.2,275827.7
QN10,Refuse,IESI Seneca,"172-33 Douglas Avenue Jamaica, NY",1043542.6,196076.3
QN11,Refuse,Tully,"127-20 34th Ave Queens, NY",1028062.3,216368.6
QN12,Refuse,IESI Seneca,"172-33 Douglas Avenue Jamaica, NY",1043542.6,196076.3
QN13,Refuse,Tully,"127-20 34th Ave Queens, NY",1028062.3,216368.6
QN13A,Refuse,Covanta - Hempstead,"600 Merchants Concourse Hempstead, LI",1097466.2,208568.3
QN14,Refuse,Covanta - Hempstead,"600 Merchants Concourse Hempstead, LI",1097466.2,208568.3
SI01,Refuse,SITS,"600 West Service Rd Staten Island, NY",930584.1,150593.9
SI02,Refuse,SITS,"600 West Service Rd Staten Island, NY",930584.1,150593.9
