BORO,CSD,SCHOOL CODE,SCHOOL NAME,GRADE,PROGRAM TYPE,CORE SUBJECT(9-12 ONLY),CORE COURSE(9-12 ONLY),SERVICE CATEGORY(K-9 ONLY),NUMBER OF CLASSES,TOTAL REGISTER(as of 1-23-08),AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS(as of 1-23-08),SIZE OF LARGEST CLASS(as of 1-23-08)
M,1,M015,P.S. 015 ROBERTO CLEMENTE,0K,GEN ED,-,-,-,1,21,21,21,21
M,1,M015,P.S. 015 ROBERTO CLEMENTE,0K,CTT,-,-,-,1,24,24,24,24
M,1,M015,P.S. 015 ROBERTO CLEMENTE,01,GEN ED,-,-,-,2,37,18.5,18,19
M,1,M015,P.S. 015 ROBERTO CLEMENTE,02,GEN ED,-,-,-,2,36,18,17,19
M,1,M015,P.S. 015 ROBERTO CLEMENTE,03,GEN ED,-,-,-,2,38,19,19,19
M,1,M015,P.S. 015 ROBERTO CLEMENTE,04,GEN ED,-,-,-,2,40,20,19,21
M,1,M015,P.S. 015 ROBERTO CLEMENTE,05,GEN ED,-,-,-,1,12,12,12,12
M,1,M015,P.S. 015 ROBERTO CLEMENTE,05,CTT,-,-,-,1,23,23,23,23
M,1,M015,P.S. 015 ROBERTO CLEMENTE,0K-09,SPEC ED,-,-,12:1:1,1,12,12,12,12
M,1,M019,P.S. 019 ASHER LEVY,0K,GEN ED,-,-,-,2,39,19.5,17,22
M,1,M019,P.S. 019 ASHER LEVY,01,GEN ED,-,-,-,1,22,22,22,22
M,1,M019,P.S. 019 ASHER LEVY,01,CTT,-,-,-,1,23,23,23,23
M,1,M019,P.S. 019 ASHER LEVY,02,GEN ED,-,-,-,1,25,25,25,25
M,1,M019,P.S. 019 ASHER LEVY,02,CTT,-,-,-,1,21,21,21,21
M,1,M019,P.S. 019 ASHER LEVY,03,GEN ED,-,-,-,3,51,17,14,20
M,1,M019,P.S. 019 ASHER LEVY,04,GEN ED,-,-,-,2,48,24,24,24
M,1,M019,P.S. 019 ASHER LEVY,05,GEN ED,-,-,-,2,59,29.5,29,30
M,1,M019,P.S. 019 ASHER LEVY,0K-09,SPEC ED,-,-,12:1,1,12,12,12,12
M,1,M019,P.S. 019 ASHER LEVY,0K-09,SPEC ED,-,-,12:1:1,1,8,8,8,8
M,1,M020,P.S. 020 ANNA SILVER,0K,GEN ED,-,-,-,3,56,18.7,16,20
M,1,M020,P.S. 020 ANNA SILVER,0K,CTT,-,-,-,1,19,19,19,19
M,1,M020,P.S. 020 ANNA SILVER,01,GEN ED,-,-,-,5,97,19.4,17,24
M,1,M020,P.S. 020 ANNA SILVER,02,GEN ED,-,-,-,4,94,23.5,23,24
M,1,M020,P.S. 020 ANNA SILVER,03,GEN ED,-,-,-,3,65,21.7,19,26
M,1,M020,P.S. 020 ANNA SILVER,03,CTT,-,-,-,1,23,23,23,23
M,1,M020,P.S. 020 ANNA SILVER,04,GEN ED,-,-,-,5,102,20.4,18,25
M,1,M020,P.S. 020 ANNA SILVER,05,GEN ED,-,-,-,3,77,25.7,25,26
M,1,M020,P.S. 020 ANNA SILVER,05,CTT,-,-,-,1,24,24,24,24
M,1,M020,P.S. 020 ANNA SILVER,0K-09,SPEC ED,-,-,12:1:1,1,9,9,9,9
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,0K,GEN ED,-,-,-,2,31,15.5,11,20
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,01,GEN ED,-,-,-,2,33,16.5,16,17
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,02,GEN ED,-,-,-,2,32,16,16,16
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,03,GEN ED,-,-,-,2,37,18.5,18,19
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,04,GEN ED,-,-,-,2,44,22,21,23
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,05,GEN ED,-,-,-,2,30,15,15,15
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,06,GEN ED,-,-,-,2,49,24.5,23,26
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,07,GEN ED,-,-,-,2,61,30.5,30,31
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,08,GEN ED,-,-,-,2,53,26.5,26,27
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,0K-09,SPEC ED,-,-,12:1,3,36,12,12,12
M,1,M063,P.S. 063 WILLIAM MCKINLEY,0K,GEN ED,-,-,-,2,24,12,11,13
M,1,M063,P.S. 063 WILLIAM MCKINLEY,01,GEN ED,-,-,-,1,14,14,14,14
M,1,M063,P.S. 063 WILLIAM MCKINLEY,01,CTT,-,-,-,1,19,19,19,19
M,1,M063,P.S. 063 WILLIAM MCKINLEY,02,GEN ED,-,-,-,1,22,22,22,22
M,1,M063,P.S. 063 WILLIAM MCKINLEY,02,CTT,-,-,-,1,20,20,20,20
M,1,M063,P.S. 063 WILLIAM MCKINLEY,03,GEN ED,-,-,-,2,31,15.5,15,16
M,1,M063,P.S. 063 WILLIAM MCKINLEY,04,GEN ED,-,-,-,2,28,14,13,15
M,1,M063,P.S. 063 WILLIAM MCKINLEY,05,GEN ED,-,-,-,1,20,20,20,20
M,1,M063,P.S. 063 WILLIAM MCKINLEY,0K-09,SPEC ED,-,-,12:1:1,2,16,8,7,9
M,1,M064,P.S. 064 ROBERT SIMON,0K,GEN ED,-,-,-,1,24,24,24,24
M,1,M064,P.S. 064 ROBERT SIMON,0K,CTT,-,-,-,1,22,22,22,22
M,1,M064,P.S. 064 ROBERT SIMON,01,GEN ED,-,-,-,2,42,21,21,21
M,1,M064,P.S. 064 ROBERT SIMON,02,GEN ED,-,-,-,1,20,20,20,20
M,1,M064,P.S. 064 ROBERT SIMON,02,CTT,-,-,-,1,24,24,24,24
M,1,M064,P.S. 064 ROBERT SIMON,03,GEN ED,-,-,-,2,34,17,17,17
M,1,M064,P.S. 064 ROBERT SIMON,04,GEN ED,-,-,-,1,23,23,23,23
M,1,M064,P.S. 064 ROBERT SIMON,04,CTT,-,-,-,1,23,23,23,23
M,1,M064,P.S. 064 ROBERT SIMON,05,GEN ED,-,-,-,1,20,20,20,20
M,1,M064,P.S. 064 ROBERT SIMON,05,CTT,-,-,-,1,22,22,22,22
M,1,M064,P.S. 064 ROBERT SIMON,0K-09,SPEC ED,-,-,12:1,1,11,11,11,11
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,0K,GEN ED,-,-,-,1,26,26,26,26
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,0K,CTT,-,-,-,1,26,26,26,26
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,0K,G&T,-,-,-,1,27,27,27,27
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,01,GEN ED,-,-,-,1,24,24,24,24
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,01,CTT,-,-,-,1,25,25,25,25
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,01,G&T,-,-,-,1,25,25,25,25
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,02,GEN ED,-,-,-,1,24,24,24,24
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,02,CTT,-,-,-,1,19,19,19,19
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,02,G&T,-,-,-,1,22,22,22,22
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,03,GEN ED,-,-,-,1,27,27,27,27
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,03,CTT,-,-,-,1,29,29,29,29
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,03,G&T,-,-,-,1,29,29,29,29
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,04,CTT,-,-,-,1,29,29,29,29
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,04,G&T,-,-,-,1,28,28,28,28
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,05,GEN ED,-,-,-,1,22,22,22,22
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,05,CTT,-,-,-,1,25,25,25,25
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,05,G&T,-,-,-,1,25,25,25,25
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,0K-09,SPEC ED,-,-,12:1:1,1,11,11,11,11
M,1,M134,P.S. 134 HENRIETTA SZOLD,0K,GEN ED,-,-,-,3,64,21.3,20,22
M,1,M134,P.S. 134 HENRIETTA SZOLD,01,GEN ED,-,-,-,3,46,15.3,15,16
M,1,M134,P.S. 134 HENRIETTA SZOLD,02,GEN ED,-,-,-,3,51,17,16,18
M,1,M134,P.S. 134 HENRIETTA SZOLD,03,GEN ED,-,-,-,3,57,19,17,20
M,1,M134,P.S. 134 HENRIETTA SZOLD,04,GEN ED,-,-,-,2,47,23.5,23,24
M,1,M134,P.S. 134 HENRIETTA SZOLD,05,GEN ED,-,-,-,2,47,23.5,20,27
M,1,M134,P.S. 134 HENRIETTA SZOLD,0K-09,SPEC ED,-,-,12:1,2,20,10,7,13
M,1,M137,P.S. 137 JOHN L. BERNSTEIN,0K,GEN ED,-,-,-,2,32,16,15,17
M,1,M137,P.S. 137 JOHN L. BERNSTEIN,01,GEN ED,-,-,-,2,35,17.5,17,18
M,1,M137,P.S. 137 JOHN L. BERNSTEIN,02,GEN ED,-,-,-,1,25,25,25,25
M,1,M137,P.S. 137 JOHN L. BERNSTEIN,03,GEN ED,-,-,-,2,34,17,16,18
M,1,M137,P.S. 137 JOHN L. BERNSTEIN,04,GEN ED,-,-,-,1,20,20,20,20
M,1,M137,P.S. 137 JOHN L. BERNSTEIN,05,GEN ED,-,-,-,2,33,16.5,15,18
M,1,M137,P.S. 137 JOHN L. BERNSTEIN,0K-09,SPEC ED,-,-,12:1:1,4,45,11.3,9,12
M,1,M140,P.S. 140 NATHAN STRAUS,0K,GEN ED,-,-,-,2,31,15.5,15,16
M,1,M140,P.S. 140 NATHAN STRAUS,01,GEN ED,-,-,-,2,35,17.5,16,19
M,1,M140,P.S. 140 NATHAN STRAUS,02,GEN ED,-,-,-,2,37,18.5,18,19
M,1,M140,P.S. 140 NATHAN STRAUS,03,GEN ED,-,-,-,2,36,18,18,18
M,1,M140,P.S. 140 NATHAN STRAUS,04,GEN ED,-,-,-,2,34,17,16,18
M,1,M140,P.S. 140 NATHAN STRAUS,05,GEN ED,-,-,-,2,39,19.5,18,21
M,1,M140,P.S. 140 NATHAN STRAUS,06,GEN ED,-,-,-,1,29,29,29,29
M,1,M140,P.S. 140 NATHAN STRAUS,06,CTT,-,-,-,1,27,27,27,27
M,1,M140,P.S. 140 NATHAN STRAUS,07,GEN ED,-,-,-,2,60,30,30,30
M,1,M140,P.S. 140 NATHAN STRAUS,08,GEN ED,-,-,-,2,66,33,32,34
M,1,M140,P.S. 140 NATHAN STRAUS,0K-09,SPEC ED,-,-,12:1,2,25,12.5,12,13
M,1,M140,P.S. 140 NATHAN STRAUS,0K-09,SPEC ED,-,-,12:1:1,1,13,13,13,13
M,1,M142,P.S. 142 AMALIA CASTRO,0K,GEN ED,-,-,-,2,46,23,22,24
M,1,M142,P.S. 142 AMALIA CASTRO,0K,CTT,-,-,-,1,22,22,22,22
M,1,M142,P.S. 142 AMALIA CASTRO,01,GEN ED,-,-,-,3,56,18.7,18,19
M,1,M142,P.S. 142 AMALIA CASTRO,01,CTT,-,-,-,1,19,19,19,19
M,1,M142,P.S. 142 AMALIA CASTRO,02,GEN ED,-,-,-,3,57,19,18,20
M,1,M142,P.S. 142 AMALIA CASTRO,03,GEN ED,-,-,-,2,42,21,20,22
M,1,M142,P.S. 142 AMALIA CASTRO,03,CTT,-,-,-,1,23,23,23,23
M,1,M142,P.S. 142 AMALIA CASTRO,04,GEN ED,-,-,-,1,25,25,25,25
M,1,M142,P.S. 142 AMALIA CASTRO,04,CTT,-,-,-,1,27,27,27,27
M,1,M142,P.S. 142 AMALIA CASTRO,05,GEN ED,-,-,-,1,17,17,17,17
M,1,M142,P.S. 142 AMALIA CASTRO,05,CTT,-,-,-,2,41,20.5,19,22
M,1,M142,P.S. 142 AMALIA CASTRO,0K-09,SPEC ED,-,-,12:1,2,26,13,13,13
M,1,M142,P.S. 142 AMALIA CASTRO,0K-09,SPEC ED,-,-,12:1:1,1,13,13,13,13
M,1,M184,P.S. 184M SHUANG WEN,0K,GEN ED,-,-,-,3,61,20.3,20,21
M,1,M184,P.S. 184M SHUANG WEN,01,GEN ED,-,-,-,4,81,20.3,19,21
M,1,M184,P.S. 184M SHUANG WEN,02,GEN ED,-,-,-,3,69,23,23,23
M,1,M184,P.S. 184M SHUANG WEN,03,GEN ED,-,-,-,3,60,20,20,20
M,1,M184,P.S. 184M SHUANG WEN,04,GEN ED,-,-,-,2,57,28.5,28,29
M,1,M184,P.S. 184M SHUANG WEN,05,GEN ED,-,-,-,2,54,27,27,27
M,1,M184,P.S. 184M SHUANG WEN,06,GEN ED,-,-,-,2,54,27,27,27
M,1,M184,P.S. 184M SHUANG WEN,07,GEN ED,-,-,-,2,47,23.5,23,24
M,1,M184,P.S. 184M SHUANG WEN,08,GEN ED,-,-,-,2,57,28.5,28,29
M,1,M188,P.S. 188 THE ISLAND SCHOOL,0K,CTT,-,-,-,2,33,16.5,16,17
M,1,M188,P.S. 188 THE ISLAND SCHOOL,01,GEN ED,-,-,-,1,17,17,17,17
M,1,M188,P.S. 188 THE ISLAND SCHOOL,01,CTT,-,-,-,1,17,17,17,17
M,1,M188,P.S. 188 THE ISLAND SCHOOL,02,GEN ED,-,-,-,1,17,17,17,17
M,1,M188,P.S. 188 THE ISLAND SCHOOL,02,CTT,-,-,-,1,17,17,17,17
M,1,M188,P.S. 188 THE ISLAND SCHOOL,03,CTT,-,-,-,1,22,22,22,22
M,1,M188,P.S. 188 THE ISLAND SCHOOL,04,CTT,-,-,-,1,30,30,30,30
M,1,M188,P.S. 188 THE ISLAND SCHOOL,05,CTT,-,-,-,1,37,37,37,37
M,1,M188,P.S. 188 THE ISLAND SCHOOL,06,CTT,-,-,-,2,67,33.5,33,34
M,1,M188,P.S. 188 THE ISLAND SCHOOL,07,CTT,-,-,-,2,57,28.5,27,30
M,1,M188,P.S. 188 THE ISLAND SCHOOL,08,CTT,-,-,-,2,58,29,29,29
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,06,GEN ED,-,-,-,2,46,23,22,24
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,07,GEN ED,-,-,-,3,48,16,14,18
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,08,GEN ED,-,-,-,3,73,24.3,24,25
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,0K-09,SPEC ED,-,-,12:1,1,11,11,11,11
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,0K-09,SPEC ED,-,-,12:1:1,1,11,11,11,11
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,ENGLISH,ENGLISH 9,,4,103,25.8,22,28
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,ENGLISH,ENGLISH 10,,3,78,26,24,27
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,ENGLISH,ENGLISH 11,,3,63,21,19,24
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,ENGLISH,ENGLISH 12,,3,51,17,13,21
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,ENGLISH,OTHER,,5,98,19.6,11,28
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,SOCIAL STUDIES,GLOBAL HISTORY 9,,4,103,25.8,22,28
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,SOCIAL STUDIES,GLOBAL HISTORY 10,,3,78,26,24,27
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,SOCIAL STUDIES,US HISTORY,,3,63,21,19,24
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,SOCIAL STUDIES,US GOVERNMENT,,3,51,17,13,21
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,SCIENCE,LIVING ENVIRONMENT,,5,115,23,12,28
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,SCIENCE,CHEMISTRY,,9,215,23.9,12,30
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,SCIENCE,OTHER,,7,147,21,12,28
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,MATH,MATH A,,4,85,21.3,12,27
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,MATH,MATH B,,2,44,22,20,24
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,MATH,ALGEBRA,,4,103,25.8,22,28
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,MATH,OTHER,,3,63,21,13,29
M,1,M301,TECHNOLOGY ARTS AND SCIENCES STUDIO,06,GEN ED,-,-,-,4,80,20,18,21
M,1,M301,TECHNOLOGY ARTS AND SCIENCES STUDIO,07,GEN ED,-,-,-,2,50,25,23,27
M,1,M301,TECHNOLOGY ARTS AND SCIENCES STUDIO,08,GEN ED,-,-,-,2,59,29.5,28,31
M,1,M301,TECHNOLOGY ARTS AND SCIENCES STUDIO,0K-09,SPEC ED,-,-,12:1,1,10,10,10,10
M,1,M315,THE EAST VILLAGE COMMUNITY SCHOOL,0K,GEN ED,-,-,-,1,15,15,15,15
M,1,M315,THE EAST VILLAGE COMMUNITY SCHOOL,0K,CTT,-,-,-,1,15,15,15,15
M,1,M315,THE EAST VILLAGE COMMUNITY SCHOOL,01,GEN ED,-,-,-,2,28,14,14,14
M,1,M315,THE EAST VILLAGE COMMUNITY SCHOOL,02,GEN ED,-,-,-,2,14,7,6,8
M,1,M315,THE EAST VILLAGE COMMUNITY SCHOOL,03,GEN ED,-,-,-,1,21,21,21,21
M,1,M315,THE EAST VILLAGE COMMUNITY SCHOOL,04,GEN ED,-,-,-,2,18,9,8,10
M,1,M315,THE EAST VILLAGE COMMUNITY SCHOOL,05,GEN ED,-,-,-,2,31,15.5,14,17
M,1,M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,06,GEN ED,-,-,-,3,73,24.3,22,27
M,1,M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,07,GEN ED,-,-,-,3,82,27.3,23,30
M,1,M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,08,GEN ED,-,-,-,3,100,33.3,29,36
M,1,M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,0K-09,SPEC ED,-,-,12:1,1,12,12,12,12
M,1,M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,0K-09,SPEC ED,-,-,12:1:1,1,12,12,12,12
M,1,M345,COLLABORATIVE ACADEMY OF SCIENCE TECHNOL,06,GEN ED,-,-,-,2,53,26.5,25,28
M,1,M345,COLLABORATIVE ACADEMY OF SCIENCE TECHNOL,06,CTT,-,-,-,1,32,32,32,32
M,1,M345,COLLABORATIVE ACADEMY OF SCIENCE TECHNOL,07,GEN ED,-,-,-,2,58,29,29,29
M,1,M345,COLLABORATIVE ACADEMY OF SCIENCE TECHNOL,07,CTT,-,-,-,1,31,31,31,31
M,1,M345,COLLABORATIVE ACADEMY OF SCIENCE TECHNOL,08,GEN ED,-,-,-,2,61,30.5,30,31
M,1,M345,COLLABORATIVE ACADEMY OF SCIENCE TECHNOL,08,CTT,-,-,-,1,31,31,31,31
M,1,M345,COLLABORATIVE ACADEMY OF SCIENCE TECHNOL,0K-09,SPEC ED,-,-,12:1:1,1,13,13,13,13
M,1,M361,CHILDREN'S WORKSHOP SCHOOL,0K,GEN ED,-,-,-,2,33,16.5,15,18
M,1,M361,CHILDREN'S WORKSHOP SCHOOL,01,GEN ED,-,-,-,3,31,10.3,8,12
M,1,M361,CHILDREN'S WORKSHOP SCHOOL,02,GEN ED,-,-,-,3,39,13,12,15
M,1,M361,CHILDREN'S WORKSHOP SCHOOL,03,GEN ED,-,-,-,3,31,10.3,9,12
M,1,M361,CHILDREN'S WORKSHOP SCHOOL,04,GEN ED,-,-,-,3,32,10.7,9,13
M,1,M361,CHILDREN'S WORKSHOP SCHOOL,05,GEN ED,-,-,-,2,35,17.5,17,18
M,1,M361,CHILDREN'S WORKSHOP SCHOOL,0K-09,SPEC ED,-,-,12:1,1,13,13,13,13
M,1,M361,CHILDREN'S WORKSHOP SCHOOL,0K-09,SPEC ED,-,-,12:1:1,1,11,11,11,11
M,1,M363,NEIGHBORHOOD SCHOOL,0K,GEN ED,-,-,-,3,34,11.3,8,18
M,1,M363,NEIGHBORHOOD SCHOOL,01,GEN ED,-,-,-,4,38,9.5,8,11
M,1,M363,NEIGHBORHOOD SCHOOL,02,GEN ED,-,-,-,4,53,13.3,12,14
M,1,M363,NEIGHBORHOOD SCHOOL,03,GEN ED,-,-,-,2,46,23,23,23
M,1,M363,NEIGHBORHOOD SCHOOL,04,GEN ED,-,-,-,3,35,11.7,9,15
M,1,M363,NEIGHBORHOOD SCHOOL,05,GEN ED,-,-,-,3,36,12,8,15
M,1,M363,NEIGHBORHOOD SCHOOL,0K-09,SPEC ED,-,-,12:1,1,12,12,12,12
M,1,M364,EARTH SCHOOL,0K,GEN ED,-,-,-,3,53,17.7,17,19
M,1,M364,EARTH SCHOOL,03,GEN ED,-,-,-,2,50,25,22,28
M,1,M364,EARTH SCHOOL,0K-09,SPEC ED,-,-,12:1:1,2,24,12,12,12
M,1,M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,09-12,GEN ED,ENGLISH,ENGLISH 9,,8,181,22.6,12,31
M,1,M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,09-12,GEN ED,ENGLISH,ENGLISH 10,,7,129,18.4,10,27
M,1,M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,09-12,GEN ED,ENGLISH,ENGLISH 11,,5,85,17,10,23
M,1,M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,09-12,GEN ED,ENGLISH,ENGLISH 12,,4,80,20,15,32
M,1,M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,09-12,GEN ED,ENGLISH,OTHER,,2,23,11.5,11,12
M,1,M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,GLOBAL HISTORY 9,,1,12,12,12,12
M,1,M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,GLOBAL HISTORY 10,,2,24,12,10,14
M,1,M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,US HISTORY,,1,10,10,10,10
M,1,M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,US GOVERNMENT,,4,80,20,15,32
M,1,M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,09-12,GEN ED,SCIENCE,EARTH SCIENCE,,3,38,12.7,10,15
M,1,M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,09-12,GEN ED,SCIENCE,CHEMISTRY,,5,126,25.2,17,35
M,1,M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,09-12,GEN ED,SCIENCE,PHYSICS,,2,50,25,25,25
M,1,M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,09-12,GEN ED,MATH,ALGEBRA,,13,281,21.6,15,27
M,1,M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,09-12,GEN ED,MATH,OTHER,,3,54,18,12,22
M,1,M450,EAST SIDE COMMUNITY HIGH SCHOOL,06,GEN ED,-,-,-,5,50,10,6,13
M,1,M450,EAST SIDE COMMUNITY HIGH SCHOOL,06,CTT,-,-,-,1,7,7,7,7
M,1,M450,EAST SIDE COMMUNITY HIGH SCHOOL,07,GEN ED,-,-,-,6,58,9.7,8,11
M,1,M450,EAST SIDE COMMUNITY HIGH SCHOOL,07,CTT,-,-,-,2,16,8,7,9
M,1,M450,EAST SIDE COMMUNITY HIGH SCHOOL,08,GEN ED,-,-,-,6,64,10.7,9,14
M,1,M450,EAST SIDE COMMUNITY HIGH SCHOOL,08,CTT,-,-,-,2,12,6,6,6
M,1,M450,EAST SIDE COMMUNITY HIGH SCHOOL,0K-09,SPEC ED,-,-,15:1,1,2,2,2,2
M,1,M450,EAST SIDE COMMUNITY HIGH SCHOOL,09-12,GEN ED,ENGLISH,ENGLISH 9,,4,90,22.5,21,24
M,1,M450,EAST SIDE COMMUNITY HIGH SCHOOL,09-12,GEN ED,ENGLISH,ENGLISH 10,,4,88,22,18,24
M,1,M450,EAST SIDE COMMUNITY HIGH SCHOOL,09-12,GEN ED,ENGLISH,ENGLISH 11,,3,72,24,23,26
M,1,M450,EAST SIDE COMMUNITY HIGH SCHOOL,09-12,GEN ED,ENGLISH,ENGLISH 12,,4,71,17.8,14,22
M,1,M450,EAST SIDE COMMUNITY HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,GLOBAL HISTORY 9,,4,87,21.8,20,24
M,1,M450,EAST SIDE COMMUNITY HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,GLOBAL HISTORY 10,,4,88,22,20,24
M,1,M450,EAST SIDE COMMUNITY HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,US HISTORY,,4,73,18.3,15,21
M,1,M450,EAST SIDE COMMUNITY HIGH SCHOOL,09-12,GEN ED,SOCIAL STUDIES,US GOVERNMENT,,3,73,24.3,23,26
M,1,M450,EAST SIDE COMMUNITY HIGH SCHOOL,09-12,GEN ED,SCIENCE,LIVING ENVIRONMENT,,4,90,22.5,19,24
M,1,M450,EAST SIDE COMMUNITY HIGH SCHOOL,09-12,GEN ED,SCIENCE,CHEMISTRY,,4,73,18.3,14,24
M,1,M450,EAST SIDE COMMUNITY HIGH SCHOOL,09-12,GEN ED,SCIENCE,PHYSICS,,4,89,22.3,19,24
M,1,M450,EAST SIDE COMMUNITY HIGH SCHOOL,09-12,GEN ED,SCIENCE,OTHER,,4,77,19.3,12,25
M,1,M450,EAST SIDE COMMUNITY HIGH SCHOOL,09-12,GEN ED,MATH,ALGEBRA,,4,79,19.8,17,23
M,1,M450,EAST SIDE COMMUNITY HIGH SCHOOL,09-12,GEN ED,MATH,GEOMETRY,,4,95,23.8,22,25
M,1,M450,EAST SIDE COMMUNITY HIGH SCHOOL,09-12,GEN ED,MATH,OTHER,,4,77,19.3,17,21
M,1,M509,MARTA VALLE SECONDARY SCHOOL,07,GEN ED,-,-,-,1,12,12,12,12
M,1,M509,MARTA VALLE SECONDARY SCHOOL,07,CTT,-,-,-,1,24,24,24,24
M,1,M509,MARTA VALLE SECONDARY SCHOOL,08,GEN ED,-,-,-,1,28,28,28,28
M,1,M509,MARTA VALLE SECONDARY SCHOOL,08,CTT,-,-,-,1,31,31,31,31
M,1,M509,MARTA VALLE SECONDARY SCHOOL,0K-09,SPEC ED,-,-,12:1,3,15,5,2,7
M,1,M509,MARTA VALLE SECONDARY SCHOOL,0K-09,SPEC ED,-,-,12:1:1,2,10,5,4,6
M,1,M509,MARTA VALLE SECONDARY SCHOOL,09-12,GEN ED,ENGLISH,ENGLISH 9,,6,98,16.3,10,21
