BROOKLYN CONDOMINIUM PROPERTY Boro-Block-Lot,BROOKLYN CONDOMINIUM PROPERTY Condo Section,BROOKLYN CONDOMINIUM PROPERTY Address,BROOKLYN CONDOMINIUM PROPERTY Neighborhood,BROOKLYN CONDOMINIUM PROPERTY Building Classification,BROOKLYN CONDOMINIUM PROPERTY Total Units,BROOKLYN CONDOMINIUM PROPERTY Year Built,BROOKLYN CONDOMINIUM PROPERTY Gross SqFt,BROOKLYN CONDOMINIUM PROPERTY Est. Gross Income,BROOKLYN CONDOMINIUM PROPERTY Gross Income per SqFt,BROOKLYN CONDOMINIUM PROPERTY Full Market Value,BROOKLYN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
3-02101-7501,226-R1,69 SOUTH OXFORD STREET,FORT GREENE,R4-ELEVATOR,22,1931,21120,355236,16.82,1330002,63,3-02101-0062,260 CUMBERLAND STREET,FORT GREENE,D9-ELEVATOR,26,1930,23547,352155,14.96,1190000,51,0,3-02045-0053,62 CLERMONT AVENUE,FORT GREENE,D9-ELEVATOR,26,2005,35176,564028,16.03,1910000,54,0.45
3-02101-7503,2242-R1,264 CUMBERLAND STREET,FORT GREENE,R2-WALK-UP,13,1925,17910,277605,15.5,1100000,61,3-02098-0011,63 FT GREENE PLACE,FORT GREENE,C1-WALK-UP,21,1930,17080,353863,20.72,1320000,77,0.15,3-02073-0035,162 ADELPHI STREET,FORT GREENE,C1-WALK-UP,16,1915,14604,252841,17.31,945000,65,0.3
3-02111-7501,1777-R1,1 HANSON PLACE,FORT GREENE,R4-ELEVATOR,179,1927,206022,6229200,30.2,28999978,141,3-00250-0030,182 MONTAGUE STREET,BROOKLYN HEIGHTS,D6-ELEVATOR,187,1999,182000,8212471,45.1,40300000,221,0.9,3-00056-0003,99 GOLD STREET,DOWNTOWN-FULTON FERRY,D5-ELEVATOR,88,1919,109875,3496083,31.8,16300000,148,1.1
3-02120-7501,1366-R1,381 CARLTON AVENUE,FORT GREENE,R4-ELEVATOR,27,2003,38798,1029698,26.5,4269998,110,3-02102-0008,249 CUMBERLAND STREET,FORT GREENE,D1-ELEVATOR,70,1928,38742,1028230,26.5,4260000,110,0.15,3-02119-0010,301 CUMBERLAND STREET,FORT GREENE,D9-ELEVATOR,40,1928,19350,518271,26.8,2150000,111,0.05
3-02129-7501,795-R1,53 61 SOUTH 8 STREET,WILLIAMSBURG-SOUTH,R2-WALK-UP,24,1999,47988,720000,15,2629998,55,3-02322-0023,28 HAVEMEYER STREET,WILLIAMSBURG-NORTH,C1-WALK-UP,30,1910,32625,494741,15.16,1670000,51,0.8,3-02450-0029,373 SOUTH 5 STREET,WILLIAMSBURG-SOUTH,C1-WALK-UP,30,1912,24543,328308,13.38,1020000,41.6,0.7
3-02129-7502,867-R1,42 BROADWAY,WILLIAMSBURG-SOUTH,R2-WALK-UP,31,2000,60569,945148,15.6,3740004,62,3-02147-0021,142 SOUTH 9 STREET,WILLIAMSBURG-SOUTH,C1-WALK-UP,41,1915,29340,391102,13.33,1220000,41.6,0.25,3-02334-0005,169 WYTHE AVENUE,WILLIAMSBURG-NORTH,C7-WALK-UP,13,1920,28300,552502,19.52,2070000,73,0.65
3-02129-7503,1009-R1,45 SOUTH 8 STREET,WILLIAMSBURG-SOUTH,R4-ELEVATOR,14,0,14820,301883,20.37,1310001,88,3-02409-0015,276 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1911,14470,304835,21.07,646000,44.6,0.6,3-02424-0012,362 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,30,1915,21197,470568,22.2,998000,47.1,0.75
3-02129-7504,1010-R1,41 SOUTH 8 STREET,WILLIAMSBURG-SOUTH,R4-ELEVATOR,14,0,14820,301883,20.37,1310001,88,3-02409-0015,276 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1911,14470,304835,21.07,646000,44.6,0.6,3-02424-0012,362 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,30,1915,21197,470568,22.2,998000,47.1,0.75
3-02129-7505,1195-R1,34 BROADWAY,WILLIAMSBURG-SOUTH,R4-ELEVATOR,14,2003,20160,422150,20.94,1830002,91,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,591705,22.22,2450000,92,0.1,3-02421-0035,247 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1915,21744,454364,20.9,963000,44.3,0.55
3-02129-7506,1333-R1,30 32 BROADWAY,WILLIAMSBURG-SOUTH,R4-ELEVATOR,14,2005,17639,320500,18.17,1270003,72,3-02424-0006,354 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1920,24126,450656,18.68,955000,39.6,0.75,3-02396-0027,279 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1910,16250,278262,17.12,590000,36.3,0.6
