BROOKLYN CONDOMINIUM PROPERTY Boro-Block-Lot,BROOKLYN CONDOMINIUM PROPERTY Condo Section,BROOKLYN CONDOMINIUM PROPERTY Address,BROOKLYN CONDOMINIUM PROPERTY Neighborhood,BROOKLYN CONDOMINIUM PROPERTY Building Classification,BROOKLYN CONDOMINIUM PROPERTY Total Units,BROOKLYN CONDOMINIUM PROPERTY Year Built,BROOKLYN CONDOMINIUM PROPERTY Gross SqFt,BROOKLYN CONDOMINIUM PROPERTY Est. Gross Income,BROOKLYN CONDOMINIUM PROPERTY Gross Income per SqFt,BROOKLYN CONDOMINIUM PROPERTY Full Market Value,BROOKLYN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
3-02165-7501,881-R1,525 KENT AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,66,2001,85046,1813180,21.32,7869978,93,3-02396-0001,318 GRAND STREET,WILLIAMSBURG-SOUTH,D7-ELEVATOR,33,1920,45000,1282472,28.5,5310000,118,0.75,3-02305-0018,193 NORTH 9 STREET,WILLIAMSBURG-NORTH,D9-ELEVATOR,68,1930,105718,3527222,33.4,16400000,155,1.1
3-02165-7502,872-R1,580 WYTHE AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,68,0,83403,1778151,21.32,7720008,93,3-02305-0018,193 NORTH 9 STREET,WILLIAMSBURG-NORTH,D9-ELEVATOR,68,1930,105718,3527222,33.4,16400000,155,1.1,3-02396-0001,318 GRAND STREET,WILLIAMSBURG-SOUTH,D7-ELEVATOR,33,1920,45000,1282472,28.5,5310000,118,0.75
3-02165-7503,901-R1,570 WYTHE AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,48,0,67712,1512000,22.33,6570003,97,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,591705,22.22,2450000,92,0.3,3-02396-0001,318 GRAND STREET,WILLIAMSBURG-SOUTH,D7-ELEVATOR,33,1920,45000,1282472,28.5,5310000,118,0.75
3-02173-7501,143-R1,149 TAYLOR STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,13,1900,25704,327600,12.75,1200001,46.7,3-02188-0016,200 ROSS STREET,WILLIAMSBURG-CENTRAL,D9-ELEVATOR,30,1916,25000,290670,11.63,817000,32.7,0.2,3-02188-0013,190 ROSS STREET,WILLIAMSBURG-CENTRAL,D9-ELEVATOR,30,1920,27498,314894,11.45,885000,32.2,0.2
3-02173-7504,1411-R1,177 TAYLOR STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,14,2004,14884,264488,17.77,1049994,71,3-02433-0018,228 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,D1-ELEVATOR,30,1920,19422,348814,17.96,1300000,67,0.35,3-02409-0011,264 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,15836,304835,19.25,646000,40.8,0.45
3-02183-7501,1132-R1,202 DIVISION AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,12,1998,18159,380794,20.97,1899999,105,3-02412-0033,355 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1919,19104,400572,20.97,849000,44.4,0.45,3-02421-0035,247 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1915,21744,454364,20.9,963000,44.3,0.35
3-02186-7501,178-R1,562 BEDFORD AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,66,1920,92218,1663200,18.04,6580001,71,3-02305-0018,193 NORTH 9 STREET,WILLIAMSBURG-NORTH,D9-ELEVATOR,68,1930,105718,3527222,33.4,16400000,155,1.15,3-02789-0011,740 GRAND STREET,WILLIAMSBURG-EAST,D5-ELEVATOR,27,1920,48000,866384,18.05,3240000,68,1.15
3-02200-7501,993-R1,234 KEAP STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,12,1999,19680,349713,17.77,1519998,77,3-02433-0018,228 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,D1-ELEVATOR,30,1920,19422,348814,17.96,1300000,67,0.4,3-02409-0011,264 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,15836,304835,19.25,646000,40.8,0.45
3-02201-7502,892-R1,266 KEAP STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,13,1915,25980,363720,14,1329999,51,3-02132-0016,158 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,13,2002,24949,369671,14.82,1250000,50,0.45,3-02183-0058,189 ROSS STREET,WILLIAMSBURG-CENTRAL,D9-ELEVATOR,35,1925,25800,434132,16.83,1130000,43.8,0.2
3-02204-7502,1431-R1,616 BEDFORD AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,14,2004,20000,351400,17.57,1390001,70,3-02413-0031,385 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1915,20295,367193,18.09,778000,38.3,0.65,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,400572,17.42,849000,36.9,0.6
3-02223-7502,1449-R1,790 WYTHE AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,12,0,16950,328830,19.4,1429998,84,3-02409-0008,260 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,15836,328416,20.74,696000,44,0.85,3-02409-0015,276 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1911,14470,304835,21.07,646000,44.6,0.85
3-02223-7503,1450-R1,796 WYTHE AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,12,2005,16950,328830,19.4,1429998,84,3-02409-0008,260 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,15836,328416,20.74,696000,44,0.85,3-02409-0015,276 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1911,14470,304835,21.07,646000,44.6,0.85
3-02224-7502,718-R1,29 HEYWARD STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,12,1999,22844,387205,16.95,1529998,67,3-02413-0031,385 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1915,20295,367193,18.09,778000,38.3,0.75,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,400572,17.42,849000,36.9,0.7
3-02224-7504,733-R1,35 HEYWARD STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,12,0,22704,384832,16.95,1519998,67,3-02413-0031,385 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1915,20295,367193,18.09,778000,38.3,0.75,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,400572,17.42,849000,36.9,0.7
3-02224-7505,882-R1,23 HEYWARD STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,19,2000,53792,839396,15.6,3320001,62,3-02396-0001,318 GRAND STREET,WILLIAMSBURG-SOUTH,D7-ELEVATOR,33,1920,45000,1282472,28.5,5310000,118,0.8,3-02789-0011,740 GRAND STREET,WILLIAMSBURG-EAST,D5-ELEVATOR,27,1920,48000,866384,18.05,3240000,68,1.1
3-02230-7504,1113-R1,15 LYNCH STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,12,2003,26762,545141,20.37,1470002,55,3-02409-0015,276 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1911,14470,304835,21.07,646000,44.6,0.8,3-02424-0012,362 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,30,1915,21197,470568,22.2,998000,47.1,0.7
3-02230-7505,1196-R1,5 LYNCH STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,11,2004,32400,541728,16.72,2139998,66,3-02413-0031,385 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1915,20295,367193,18.09,778000,38.3,0.75,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,400572,17.42,849000,36.9,0.7
3-02234-7501,378-R2,210 LYNCH STREET,WILLIAMSBURG-CENTRAL,R2-WALK-UP,21,1990,38358,630000,16.42,2490003,65,3-02147-0021,142 SOUTH 9 STREET,WILLIAMSBURG-SOUTH,C1-WALK-UP,41,1915,29340,391102,13.33,1220000,41.6,0.75,3-02157-0037,77 DIVISION AVENUE,WILLIAMSBURG-SOUTH,C1-WALK-UP,35,1915,25500,451003,17.69,1690000,66,0.85
3-02234-7502,885-R1,262 HEYWARD STREET,WILLIAMSBURG-CENTRAL,R2-WALK-UP,12,1999,25904,404102,15.6,1600002,62,3-02183-0058,189 ROSS STREET,WILLIAMSBURG-CENTRAL,D9-ELEVATOR,35,1925,25800,434132,16.83,1130000,43.8,0.45,3-02412-0030,359 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1916,22050,373341,16.93,792000,35.9,0.4
3-02235-7504,2012-R1,24 LYNCH STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,14,2006,19540,428400,21.92,1860006,95,3-02409-0015,276 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1911,14470,304835,21.07,646000,44.6,0.8,3-02421-0035,247 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1915,21744,454364,20.9,963000,44.3,0.75
3-02235-7505,2013-R1,28 LYNCH STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,14,2006,21528,471893,21.92,2050004,95,3-02409-0015,276 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1911,14470,304835,21.07,646000,44.6,0.8,3-02421-0035,247 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1915,21744,454364,20.9,963000,44.3,0.75
3-02235-7506,2072-R1,18 LYNCH STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,14,2006,21338,467728,21.92,2030002,95,3-02409-0015,276 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1911,14470,304835,21.07,646000,44.6,0.8,3-02421-0035,247 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1915,21744,454364,20.9,963000,44.3,0.75
3-02235-7507,2083-R1,14 LYNCH STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,14,2006,22253,487785,21.92,2119998,95,3-02409-0015,276 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1911,14470,304835,21.07,646000,44.6,0.8,3-02421-0035,247 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1915,21744,454364,20.9,963000,44.3,0.75
3-02235-7508,2167-R1,232 LEE AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,13,2007,19400,425248,21.92,1849998,95,3-02409-0015,276 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1911,14470,304835,21.07,646000,44.6,0.8,3-02421-0035,247 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1915,21744,454364,20.9,963000,44.3,0.75
3-02235-7509,2356-R1,8 LYNCH STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,14,2007,29200,640064,21.92,2780000,95,3-02409-0015,276 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1911,14470,304835,21.07,646000,44.6,0.8,3-02421-0035,247 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1915,21744,454364,20.9,963000,44.3,0.75
3-02235-7510,2355-R1,4 LYNCH STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,13,2006,21570,472814,21.92,2050000,95,3-02409-0015,276 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1911,14470,304835,21.07,646000,44.6,0.8,3-02421-0035,247 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1915,21744,454364,20.9,963000,44.3,0.75
3-02237-7511,893-R1,118 HARRISON AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,14,2001,26819,403200,15.03,1600001,60,3-02132-0016,158 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,13,2002,24949,369671,14.82,1250000,50,0.75,3-02183-0058,189 ROSS STREET,WILLIAMSBURG-CENTRAL,D9-ELEVATOR,35,1925,25800,434132,16.83,1130000,43.8,0.5
3-02238-7504,1376-R1,532 BROADWAY,WILLIAMSBURG-EAST,R4-ELEVATOR,35,0,61764,1326073,21.47,5759991,93,3-02396-0001,318 GRAND STREET,WILLIAMSBURG-SOUTH,D7-ELEVATOR,33,1920,45000,1282472,28.5,5310000,118,0.65,3-02732-0005,68 RICHARDSON STREET,WILLIAMSBURG-EAST,D2-ELEVATOR,25,1920,32532,951370,29.2,4430000,136,0.95
3-02240-7507,1019-R1,51 LORIMER STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,16,2003,24787,450379,18.17,1780005,72,3-02424-0006,354 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1920,24126,450656,18.68,955000,39.6,0.6,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,400572,17.42,849000,36.9,0.6
3-02240-7509,1018-R1,57 LORIMER STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,16,0,24787,450379,18.17,1779999,72,3-02424-0006,354 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1920,24126,450656,18.68,955000,39.6,0.6,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,400572,17.42,849000,36.9,0.6
3-02240-7511,1182-R1,40 MIDDLETON STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,12,2002,27648,502364,18.17,1990000,72,3-02424-0006,354 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1920,24126,450656,18.68,955000,39.6,0.6,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,400572,17.42,849000,36.9,0.6
3-02240-7512,1075-R1,82 MIDDLETON STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,17,2002,17772,322917,18.17,1279999,72,3-02424-0006,354 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1920,24126,450656,18.68,955000,39.6,0.6,3-02396-0027,279 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1910,16250,278262,17.12,590000,36.3,0.8
3-02240-7513,1076-R1,86 MIDDLETON STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,16,2002,15052,273494,18.17,1080004,72,3-02424-0006,354 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1920,24126,450656,18.68,955000,39.6,0.6,3-02396-0027,279 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1910,16250,278262,17.12,590000,36.3,0.8
3-02240-7514,1077-R1,90 MIDDLETON STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,17,2002,16059,291792,18.17,1150006,72,3-02424-0006,354 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1920,24126,450656,18.68,955000,39.6,0.6,3-02396-0027,279 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1910,16250,278262,17.12,590000,36.3,0.8
3-02240-7516,1137-R1,5 UNKNOWN,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,12,2002,28727,521969,18.17,2070000,72,3-02424-0006,354 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1920,24126,450656,18.68,955000,39.6,0.6,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,400572,17.42,849000,36.9,0.6
3-02240-7518,1104-R1,13 LORIMER STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,12,2003,21510,390836,18.17,1550004,72,3-02424-0006,354 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1920,24126,450656,18.68,955000,39.6,0.6,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,400572,17.42,849000,36.9,0.6
3-02241-7528,1235-R1,115 LORIMER STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,14,2004,25452,462462,18.17,1830000,72,3-02421-0018,286 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,36,1910,26532,531148,20.02,1990000,75,0.65,3-02424-0006,354 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1920,24126,450656,18.68,955000,39.6,0.5
3-02241-7529,1237-R1,119 LORIMER STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,14,2004,26950,489681,18.17,1940000,72,3-02421-0018,286 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,36,1910,26532,531148,20.02,1990000,75,0.65,3-02424-0006,354 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1920,24126,450656,18.68,955000,39.6,0.5
3-02241-7530,1242-R1,146 MIDDLETON STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,14,2004,23692,430483,18.17,1699999,72,3-02421-0018,286 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,36,1910,26532,531148,20.02,1990000,75,0.65,3-02424-0006,354 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1920,24126,450656,18.68,955000,39.6,0.5
3-02241-7531,1246-R1,150 MIDDLETON STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,14,2004,25452,462462,18.17,1830000,72,3-02421-0018,286 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,36,1910,26532,531148,20.02,1990000,75,0.65,3-02424-0006,354 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1920,24126,450656,18.68,955000,39.6,0.5
3-02242-7503,1815-R1,218 MIDDLETON STREET,WILLIAMSBURG-EAST,R4-ELEVATOR,18,2005,32189,584874,18.17,2310001,72,3-02421-0018,286 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,36,1910,26532,531148,20.02,1990000,75,0.65,3-02412-0027,367 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,25,1920,28800,547883,19.02,1160000,40.3,0.5
3-02242-7504,2057-R1,210 MIDDLETON STREET,WILLIAMSBURG-EAST,R4-ELEVATOR,16,0,27224,494660,18.17,1960000,72,3-02421-0018,286 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,36,1910,26532,531148,20.02,1990000,75,0.65,3-02412-0027,367 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,25,1920,28800,547883,19.02,1160000,40.3,0.5
3-02244-7501,663-R1,2 LEE AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,115,1998,200632,3410744,17,13433708,67,3-02305-0018,193 NORTH 9 STREET,WILLIAMSBURG-NORTH,D9-ELEVATOR,68,1930,105718,3527222,33.4,16400000,155,1.25,3-03303-0001,415 BLEECKER STREET,WYCKOFF HEIGHTS,D9-ELEVATOR,150,1986,107000,1839904,17.2,3900000,36.4,2.05
3-02250-7501,873-R1,165 HARRISON AVENUE,WILLIAMSBURG-EAST,R4-ELEVATOR,32,2000,39000,837330,21.47,3640000,93,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,591705,22.22,2450000,92,1.1,3-02424-0012,362 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,30,1915,21197,470568,22.2,998000,47.1,0.55
3-02251-7501,1025-R1,341 WALLABOUT STREET,WILLIAMSBURG-EAST,R4-ELEVATOR,12,2001,29866,566558,18.97,2240004,75,3-02421-0018,286 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,36,1910,26532,531148,20.02,1990000,75,0.75,3-02412-0027,367 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,25,1920,28800,547883,19.02,1160000,40.3,0.6
3-02251-7502,1699-R1,37 THROOP AVENUE,WILLIAMSBURG-EAST,R4-ELEVATOR,18,2006,23938,526636,22,2290008,96,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,591705,22.22,2450000,92,1.1,3-02421-0035,247 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1915,21744,454364,20.9,963000,44.3,0.75
3-02251-7503,1705-R1,41 THROOP AVENUE,WILLIAMSBURG-EAST,R4-ELEVATOR,17,2006,22389,492558,22,2139993,96,3-02130-0017,84 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,25,1920,26631,591705,22.22,2450000,92,1.1,3-02421-0035,247 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1915,21744,454364,20.9,963000,44.3,0.75
3-02251-7504,1704-R1,33 THROOP AVENUE,WILLIAMSBURG-EAST,R4-ELEVATOR,13,2006,20004,440088,22,1910004,95,3-02421-0035,247 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1915,21744,454364,20.9,963000,44.3,0.75,3-02421-0035,247 SOUTH 3 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,29,1915,21744,454364,20.9,963000,44.3,0.75
3-02260-7501,1099-R1,760 KENT AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,33,2004,40200,683400,17,2700003,67,3-02183-0058,189 ROSS STREET,WILLIAMSBURG-CENTRAL,D9-ELEVATOR,35,1925,25800,434132,16.83,1130000,43.8,0.55,3-02412-0027,367 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,25,1920,28800,547883,19.02,1160000,40.3,0.9
3-02262-7503,1355-R1,132 WALLABOUT STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,16,2003,24331,427495,17.57,1690002,69,3-02413-0031,385 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1915,20295,367193,18.09,778000,38.3,0.8,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,400572,17.42,849000,36.9,0.75
3-02262-7504,1354-R1,136 WALLABOUT STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,16,2003,24331,427495,17.57,1690002,69,3-02413-0031,385 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1915,20295,367193,18.09,778000,38.3,0.8,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,400572,17.42,849000,36.9,0.75
3-02262-7505,1356-R1,429 FLUSHING AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,16,2003,24635,432836,17.57,1710000,69,3-02413-0031,385 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1915,20295,367193,18.09,778000,38.3,0.8,3-02424-0016,370 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,23000,400572,17.42,849000,36.9,0.75
3-02262-7506,1350-R1,417 FLUSHING AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,16,2004,16303,332092,20.37,1439999,88,3-02409-0015,276 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1911,14470,304835,21.07,646000,44.6,0.85,3-02424-0012,362 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,30,1915,21197,470568,22.2,998000,47.1,0.75
3-02262-7507,1352-R1,730 BEDFORD AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,13,2004,14998,306709,20.45,1330000,89,3-02409-0015,276 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1911,14470,304835,21.07,646000,44.6,0.85,3-02409-0008,260 SOUTH 1 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,15836,328416,20.74,696000,44,0.85
3-02262-7508,1567-R1,405 FLUSHING AVENUE,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,27,2006,39038,737818,18.9,2919999,75,3-02396-0001,318 GRAND STREET,WILLIAMSBURG-SOUTH,D7-ELEVATOR,33,1920,45000,1282472,28.5,5310000,118,0.9,3-02412-0027,367 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,D9-ELEVATOR,25,1920,28800,547883,19.02,1160000,40.3,0.8
3-02263-7502,1201-R1,713 BEDFORD AVENUE,WILLIAMSBURG-CENTRAL,R2-WALK-UP,12,2004,20148,311891,15.48,1230000,61,3-02147-0021,142 SOUTH 9 STREET,WILLIAMSBURG-SOUTH,C1-WALK-UP,41,1915,29340,391102,13.33,1220000,41.6,0.75,3-02157-0037,77 DIVISION AVENUE,WILLIAMSBURG-SOUTH,C1-WALK-UP,35,1915,25500,451003,17.69,1690000,66,0.75
3-02263-7503,1202-R1,717 BEDFORD AVENUE,WILLIAMSBURG-CENTRAL,R2-WALK-UP,12,2002,20931,324000,15.48,1280003,61,3-02147-0021,142 SOUTH 9 STREET,WILLIAMSBURG-SOUTH,C1-WALK-UP,41,1915,29340,391102,13.33,1220000,41.6,0.75,3-02132-0016,158 BROADWAY,WILLIAMSBURG-SOUTH,D7-ELEVATOR,13,2002,24949,369671,14.82,1250000,50,0.8
3-02263-7504,1203-R1,721 BEDFORD AVENUE,WILLIAMSBURG-CENTRAL,R2-WALK-UP,12,2002,15840,265043,16.73,1050001,66,3-02147-0021,142 SOUTH 9 STREET,WILLIAMSBURG-SOUTH,C1-WALK-UP,41,1915,29340,391102,13.33,1220000,41.6,0.75,3-02406-0038,155 SOUTH 2 STREET,WILLIAMSBURG-SOUTH,C1-WALK-UP,22,1907,17916,317377,17.71,1190000,66,1
