BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Address,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Total Units,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Year Built,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Estimated Gross Income,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Estimated Expense,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Expense per SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Net Operating Income,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 – Boro-Block-Lot,COMPARABLE RENTAL – 1 – Address,COMPARABLE RENTAL – 1 – Neighborhood,COMPARABLE RENTAL – 1 – Building Classification,COMPARABLE RENTAL – 1 – Total Units,COMPARABLE RENTAL – 1 – Year Built,COMPARABLE RENTAL – 1 – Gross SqFt,COMPARABLE RENTAL – 1 – Estimated Gross Income,COMPARABLE RENTAL – 1 – Gross Income per SqFt,COMPARABLE RENTAL – 1 – Estimated Expense,COMPARABLE RENTAL – 1 – Expense per SqFt,COMPARABLE RENTAL – 1 – Net Operating Income,COMPARABLE RENTAL – 1 – Full Market Value,COMPARABLE RENTAL – 1 – Market Value per SqFt,COMPARABLE RENTAL – 1 – Distance from Coop in miles,COMPARABLE RENTAL – 2 – Boro-Block-Lot,COMPARABLE RENTAL – 2 – Address,COMPARABLE RENTAL – 2 – Neighborhood,COMPARABLE RENTAL – 2 – Building Classification,COMPARABLE RENTAL – 2 – Total Units,COMPARABLE RENTAL – 2 – Year Built,COMPARABLE RENTAL – 2 – Gross SqFt,COMPARABLE RENTAL – 2 – Estimated Gross Income,COMPARABLE RENTAL – 2 – Gross Income per SqFt,COMPARABLE RENTAL – 2 – Estimated Expense,COMPARABLE RENTAL – 2 – Expense per SqFt,COMPARABLE RENTAL – 2 – Net Operating Income,COMPARABLE RENTAL – 2 – Full Market Value,COMPARABLE RENTAL – 2 – Market Value per SqFt,COMPARABLE RENTAL – 2 – Distance from Coop in miles,COMPARABLE RENTAL – 3 – Boro-Block-Lot,COMPARABLE RENTAL – 3 – Address,COMPARABLE RENTAL – 3 – Neighborhood,COMPARABLE RENTAL – 3 – Building Classification,COMPARABLE RENTAL – 3 – Total Units,COMPARABLE RENTAL – 3 – Year Built,COMPARABLE RENTAL – 3 – Gross SqFt,COMPARABLE RENTAL – 3 – Estimated Gross Income,COMPARABLE RENTAL – 3 – Gross Income per SqFt,COMPARABLE RENTAL – 3 – Estimated Expense,COMPARABLE RENTAL – 3 – Expense per SqFt,COMPARABLE RENTAL – 3 – Net Operating Income,COMPARABLE RENTAL – 3 – Full Market Value,COMPARABLE RENTAL – 3 – Market Value per SqFt,COMPARABLE RENTAL – 3 – Distance from Coop in miles
3-00086-0011,"175 ADAMS STREET
Brooklyn, NY
(40.698440568502264, -73.98840268842595)",DOWNTOWN-METROTECH,D4-ELEVATOR,1026,1950,883265,10547480,11.94,5596074,6.34,4951406,31560000,35.73,3-00271-0001,"205 STATE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON MALL,D1-ELEVATOR,364,2003,242752,6397996,26.36,2762431,11.38,3635565,26305000,108.36,0.56,3-00056-0003,"99 GOLD STREET
Brooklyn, NY
(40.70195829412366, -73.98278545967486)",DOWNTOWN-FULTON FERRY,D5-ELEVATOR,88,1919,109875,3305618,30.09,1533558,13.96,1772060,13272000,120.79,0.4,3-00237-0054,"25 MONROE PLACE
Brooklyn, NY
(40.69671424766309, -73.9924042025854)",BROOKLYN HEIGHTS,D3-ELEVATOR,67,1938,"60,720","1,755,986",28.92,"642,481",10.58,"1,113,505","8,360,000",137.68,0.30
3-00178-0054,"423 ATLANTIC AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BOERUM HILL,D4-ELEVATOR,61,1900,107000,1550430,14.49,577800,5.4,972630,6728000,62.88,3-00164-0030,"179 SCHERMERHORN STREET
Brooklyn, NY
(40.68928296656964, -73.98675996153841)",DOWNTOWN-FULTON MALL,D5-ELEVATOR,215,2007,277798,6886612,24.79,3333576,12,3553036,25818000,92.94,0.27,3-00178-0016,"404 STATE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BOERUM HILL,D1-ELEVATOR,60,1928,29214,878686,30.08,334700,11.46,543986,4074000,139.45,0,3-00221-0020,"80 CRANBERRY STREET
Brooklyn, NY
(40.69950947330707, -73.99261917815464)",BROOKLYN HEIGHTS,D6-ELEVATOR,137,1900,"108,780","2,458,853",22.60,"985,722",9.06,"1,473,131","10,766,000",98.97,1.00
3-00181-0039,"251 PACIFIC STREET
Brooklyn, NY
(40.688382660564464, -73.99053329201776)",BOERUM HILL,C6-WALK-UP,25,1914,18530,304633,16.44,126004,6.8,178629,1293000,69.78,3-00187-0014,"256 PACIFIC STREET
Brooklyn, NY
(40.68826942539649, -73.99039870775698)",BOERUM HILL,C1-WALK-UP,25,1920,17215,298860,17.36,110027,6.39,188833,1363000,79.18,0.05,3-00187-0012,"250 PACIFIC STREET
Brooklyn, NY
(40.6883659389602, -73.99064964302265)",BOERUM HILL,C1-WALK-UP,25,1920,17215,266946,15.51,124042,7.21,142904,950000,55.18,0.05,,, , , , , , , , , , , , , 
3-00185-0048,"467 PACIFIC STREET
Brooklyn, NY
(40.685261395976674, -73.98251514739725)",BOERUM HILL,C6-WALK-UP,25,1912,17855,348887,19.54,121771,6.82,227116,1628000,91.18,3-00185-0039,"485 PACIFIC STREET
Brooklyn, NY
(40.685015031490124, -73.9818536463438)",BOERUM HILL,C1-WALK-UP,20,1913,13516,205838,15.23,109018,8.07,96820,509000,37.66,0,3-00198-0065,"303 BERGEN STREET
Brooklyn, NY
(40.68330580778409, -73.98156798278976)",BOERUM HILL,C1-WALK-UP,11,1915,11000,262297,23.85,125789,11.44,136508,994000,90.36,0.16,,, , , , , , , , , , , , , 
3-00200-0005,"8 OLD FULTON STREET
Brooklyn, NY
(40.7028931599898, -73.99478736108922)",DOWNTOWN-FULTON FERRY,D4-ELEVATOR,11,1915,17400,469974,27.01,228114,13.11,241860,1746000,100.34,3-00226-0004,"89 HICKS STREET
Brooklyn, NY
(40.69885230956681, -73.99410251314995)",BROOKLYN HEIGHTS,D3-ELEVATOR,48,1940,21000,738137,35.15,276428,13.16,461709,3415000,162.62,0.28,3-00235-0042,"36 CLARK STREET
Brooklyn, NY
(40.69791574707, -73.99482062564938)",BROOKLYN HEIGHTS,D1-ELEVATOR,33,1910,24570,663708,27.01,322003,13.11,341705,2467000,100.41,0.39,,, , , , , , , , , , , , , 
3-00202-0001,"28 OLD FULTON STREET
Brooklyn, NY
(40.7025949415051, -73.99387216671259)",DOWNTOWN-FULTON FERRY,D4-ELEVATOR,86,1906,171000,2700090,15.79,1424430,8.33,1275660,8721000,51,3-00220-0016,"35 ORANGE STREET
Brooklyn, NY
(40.69926512445069, -73.99416551586926)",BROOKLYN HEIGHTS,D1-ELEVATOR,48,1924,47136,744258,15.79,392493,8.33,351765,2405000,51.02,0.18,3-00208-0310,"204 COLUMBIA HEIGHTS
Brooklyn, NY
(40.6969475039558, -73.99702618868176)",BROOKLYN HEIGHTS,D1-ELEVATOR,16,1925,14120,245070,17.36,126336,8.95,118734,857000,60.69,0.29,3-00241-0011,"63 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D1-ELEVATOR,12,1923,"9,972","185,778",18.63,"78,480",7.87,"107,298","771,000",77.32,0.47
3-00208-0331,"160 COLUMBIA HEIGHTS
Brooklyn, NY
(40.698201367782126, -73.99642025448821)",BROOKLYN HEIGHTS,D4-ELEVATOR,84,1937,84445,2119570,25.1,664582,7.87,1454988,9174000,108.64,3-00208-0310,"204 COLUMBIA HEIGHTS
Brooklyn, NY
(40.6969475039558, -73.99702618868176)",BROOKLYN HEIGHTS,D1-ELEVATOR,16,1925,14120,245070,17.36,126336,8.95,118734,857000,60.69,0,3-00234-0024,"169 COLUMBIA HEIGHTS
Brooklyn, NY
(40.69735419756088, -73.99675264198801)",BROOKLYN HEIGHTS,D9-ELEVATOR,122,1903,78096,1961181,25.11,941262,12.05,1019919,7406000,94.83,0.1,3-00234-0039,"8 CLARK STREET
Brooklyn, NY
(40.698253312215094, -73.99602654013022)",BROOKLYN HEIGHTS,D1-ELEVATOR,42,1931,"19,392","734,725",37.89,"502,427",25.91,"232,298","1,199,000",61.83,0.10
3-00208-0501,"10 MONTAGUE TERRACE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D4-ELEVATOR,20,1900,15197,373998,24.61,145131,9.55,228867,1584000,104.23,3-00242-0008,"111 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D7-ELEVATOR,33,1902,32000,793249,24.79,348516,10.89,444733,3232000,101,0.25,3-00242-0006,"115 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D7-ELEVATOR,30,1902,32000,787491,24.61,324049,10.13,463442,3369000,105.28,0.25,3-00247-0028,"74 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D3-ELEVATOR,59,1912,"54,640","1,261,698",23.09,"662,715",12.13,"598,983","4,356,000",79.72,0.25
3-00208-0508,"2 MONTAGUE TERRACE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D4-ELEVATOR,25,1917,54966,1310939,23.85,622765,11.33,688174,5011000,91.17,3-00247-0028,"74 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D3-ELEVATOR,59,1912,54640,1261698,23.09,662715,12.13,598983,4356000,79.72,0.25,3-00242-0008,"111 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D7-ELEVATOR,33,1902,32000,793249,24.79,348516,10.89,444733,3232000,101,0.25,,, , , , , , , , , , , , , 
3-00212-0001,"140 CADMAN PLAZA
Brooklyn, NY
(40.69970465811028, -73.9898230728249)",BROOKLYN HEIGHTS,D4-ELEVATOR,250,1967,352698,4958934,14.06,2479467,7.03,2479467,15450000,43.81,3-00451-0025,"344 CARROLL STREET
Brooklyn, NY
(40.679007648242596, -73.99132563778237)",GOWANUS,D9-ELEVATOR,101,1985,72552,1601357,22.07,645639,8.9,955718,4995000,68.85,1.49,3-02148-0013,"166 9 STREET
Brooklyn, NY
(40.671881330410294, -73.99196695888297)",WILLIAMSBURG-SOUTH,D5-ELEVATOR,60,1926,61650,811931,13.17,430317,6.98,381614,2537000,41.15,1.63,3-02186-0001,"555 WYTHE AVENUE
Brooklyn, NY
(40.70503585779556, -73.96646089380278)",WILLIAMSBURG-CENTRAL,D3-ELEVATOR,647,1975,"748,308","10,098,934",13.50,"5,514,178",7.37,"4,584,756","30,355,000",40.56,1.53
