DBN,Grade,Year,Demographic,Number Tested,Mean Scale Score,Num Level 1,Pct Level 1,Num Level 2,Pct Level 2,Num Level 3,Pct Level 3,Num Level 4,Pct Level 4,Num Level 3 and 4,Pct Level 3 and 4
01M019,4,2007,ELL,6,633,1,16.7,3,50,2,33.3,0,0,2,33.3
01M019,4,2007,EP,42,653,5,11.9,10,23.8,27,64.3,0,0,27,64.3
01M019,4,2008,ELL,5,s,s,s,s,s,s,s,s,s,s,s
01M019,4,2008,EP,44,647,5,11.4,15,34.1,24,54.5,0,0,24,54.5
01M019,4,2009,ELL,6,643,1,16.7,3,50,2,33.3,0,0,2,33.3
01M019,4,2009,EP,36,668,1,2.8,4,11.1,30,83.3,1,2.8,31,86.1
01M019,4,2010,EP,40,664,1,2.5,24,60,15,37.5,0,0,15,37.5
01M019,4,2011,ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M019,4,2011,EP,38,665,2,5.3,21,55.3,15,39.5,0,0,15,39.5
01M019,4,2012,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M019,4,2012,EP,34,672,0,0,14,41.2,20,58.8,0,0,20,58.8
01M019,5,2006,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M019,5,2006,EP,59,654,5,8.5,18,30.5,34,57.6,2,3.4,36,61
01M019,5,2007,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M019,5,2007,EP,48,656,3,6.3,15,31.3,29,60.4,1,2.1,30,62.5
01M019,5,2008,ELL,8,635,1,12.5,5,62.5,2,25,0,0,2,25
01M019,5,2008,EP,55,659,2,3.6,18,32.7,34,61.8,1,1.8,35,63.6
01M019,5,2009,ELL,5,s,s,s,s,s,s,s,s,s,s,s
01M019,5,2009,EP,36,677,0,0,4,11.1,28,77.8,4,11.1,32,88.9
01M019,5,2010,ELL,5,s,s,s,s,s,s,s,s,s,s,s
01M019,5,2010,EP,33,673,1,3,14,42.4,14,42.4,4,12.1,18,54.5
01M019,5,2011,EP,39,668,2,5.1,14,35.9,23,59,0,0,23,59
01M019,5,2012,ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M019,5,2012,EP,35,668,2,5.7,16,45.7,16,45.7,1,2.9,17,48.6
01M019,6,2006,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M019,6,2006,EP,42,651,1,2.4,20,47.6,20,47.6,1,2.4,21,50
01M019,7,2006,EP,1,s,s,s,s,s,s,s,s,s,s,s
01M019,All Grades,2006,ELL,10,,5,50,3,30,2,20,0,0,2,20
01M019,All Grades,2006,EP,207,,18,8.7,76,36.7,109,52.7,4,1.9,113,54.6
01M019,All Grades,2007,ELL,14,,1,7.1,10,71.4,3,21.4,0,0,3,21.4
01M019,All Grades,2007,EP,129,,11,8.5,37,28.7,80,62,1,0.8,81,62.8
01M019,All Grades,2008,ELL,20,,2,10,12,60,6,30,0,0,6,30
01M019,All Grades,2008,EP,140,,8,5.7,47,33.6,83,59.3,2,1.4,85,60.7
01M019,All Grades,2009,ELL,14,,1,7.1,7,50,5,35.7,1,7.1,6,42.9
01M019,All Grades,2009,EP,115,,3,2.6,14,12.2,91,79.1,7,6.1,98,85.2
01M019,All Grades,2010,ELL,8,,3,37.5,3,37.5,2,25,0,0,2,25
01M019,All Grades,2010,EP,105,,10,9.5,54,51.4,36,34.3,5,4.8,41,39
01M019,All Grades,2011,ELL,5,s,s,s,s,s,s,s,s,s,s,s
01M019,All Grades,2011,EP,107,664,7,6.5,53,49.5,47,43.9,0,0,47,43.9
01M019,All Grades,2012,ELL,11,651,3,27.3,7,63.6,1,9.1,0,0,1,9.1
01M019,All Grades,2012,EP,109,664,9,8.3,46,42.2,52,47.7,2,1.8,54,49.5
01M020,3,2006,ELL,39,684,0,0,5,12.8,30,76.9,4,10.3,34,87.2
01M020,3,2006,EP,35,649,5,14.3,13,37.1,17,48.6,0,0,17,48.6
01M020,3,2007,ELL,54,647,6,11.1,23,42.6,25,46.3,0,0,25,46.3
01M020,3,2007,EP,51,667,1,2,15,29.4,34,66.7,1,2,35,68.6
01M020,3,2008,ELL,38,652,3,7.9,11,28.9,24,63.2,0,0,24,63.2
01M020,3,2008,EP,43,672,1,2.3,10,23.3,28,65.1,4,9.3,32,74.4
01M020,3,2009,ELL,25,655,2,8,9,36,14,56,0,0,14,56
01M020,3,2009,EP,73,662,1,1.4,18,24.7,53,72.6,1,1.4,54,74
01M020,3,2010,ELL,24,642,9,37.5,12,50,3,12.5,0,0,3,12.5
01M020,3,2010,EP,64,662,10,15.6,28,43.8,18,28.1,8,12.5,26,40.6
01M020,3,2011,ELL,16,637,5,31.3,10,62.5,1,6.3,0,0,1,6.3
01M020,3,2011,EP,64,662,3,4.7,27,42.2,33,51.6,1,1.6,34,53.1
01M020,3,2012,ELL,19,645,3,15.8,12,63.2,4,21.1,0,0,4,21.1
01M020,3,2012,EP,65,657,7,10.8,36,55.4,22,33.8,0,0,22,33.8
01M020,4,2006,ELL,40,676,1,2.5,6,15,31,77.5,2,5,33,82.5
01M020,4,2006,EP,34,655,0,0,17,50,16,47.1,1,2.9,17,50
01M020,4,2007,ELL,39,652,1,2.6,20,51.3,17,43.6,1,2.6,18,46.2
01M020,4,2007,EP,63,660,1,1.6,20,31.7,41,65.1,1,1.6,42,66.7
01M020,4,2008,ELL,35,651,1,2.9,15,42.9,18,51.4,1,2.9,19,54.3
01M020,4,2008,EP,60,669,1,1.7,9,15,48,80,2,3.3,50,83.3
01M020,4,2009,ELL,24,654,2,8.3,4,16.7,18,75,0,0,18,75
01M020,4,2009,EP,53,671,1,1.9,6,11.3,43,81.1,3,5.7,46,86.8
01M020,4,2010,ELL,22,657,4,18.2,11,50,7,31.8,0,0,7,31.8
01M020,4,2010,EP,69,670,4,5.8,34,49.3,30,43.5,1,1.4,31,44.9
01M020,4,2011,ELL,27,644,9,33.3,12,44.4,6,22.2,0,0,6,22.2
01M020,4,2011,EP,67,663,5,7.5,37,55.2,25,37.3,0,0,25,37.3
01M020,4,2012,ELL,15,658,2,13.3,10,66.7,3,20,0,0,3,20
01M020,4,2012,EP,66,661,5,7.6,36,54.5,25,37.9,0,0,25,37.9
01M020,5,2006,ELL,40,656,1,2.5,20,50,15,37.5,4,10,19,47.5
01M020,5,2006,EP,42,658,2,4.8,13,31,25,59.5,2,4.8,27,64.3
01M020,5,2007,ELL,29,646,4,13.8,11,37.9,14,48.3,0,0,14,48.3
01M020,5,2007,EP,61,670,0,0,18,29.5,39,63.9,4,6.6,43,70.5
01M020,5,2008,ELL,16,649,0,0,5,31.3,11,68.8,0,0,11,68.8
01M020,5,2008,EP,80,670,0,0,11,13.8,66,82.5,3,3.8,69,86.3
01M020,5,2009,ELL,24,656,0,0,9,37.5,15,62.5,0,0,15,62.5
01M020,5,2009,EP,58,675,0,0,5,8.6,47,81,6,10.3,53,91.4
01M020,5,2010,ELL,18,661,1,5.6,11,61.1,6,33.3,0,0,6,33.3
01M020,5,2010,EP,55,685,2,3.6,22,40,21,38.2,10,18.2,31,56.4
01M020,5,2011,ELL,9,643,6,66.7,3,33.3,0,0,0,0,0,0
01M020,5,2011,EP,71,670,1,1.4,31,43.7,37,52.1,2,2.8,39,54.9
01M020,5,2012,ELL,15,644,9,60,4,26.7,2,13.3,0,0,2,13.3
01M020,5,2012,EP,68,662,5,7.4,42,61.8,21,30.9,0,0,21,30.9
01M020,6,2006,ELL,32,655,0,0,12,37.5,17,53.1,3,9.4,20,62.5
01M020,6,2006,EP,69,658,2,2.9,23,33.3,39,56.5,5,7.2,44,63.8
01M020,All Grades,2006,ELL,151,,2,1.3,43,28.5,93,61.6,13,8.6,106,70.2
01M020,All Grades,2006,EP,180,,9,5,66,36.7,97,53.9,8,4.4,105,58.3
01M020,All Grades,2007,ELL,122,,11,9,54,44.3,56,45.9,1,0.8,57,46.7
01M020,All Grades,2007,EP,175,,2,1.1,53,30.3,114,65.1,6,3.4,120,68.6
01M020,All Grades,2008,ELL,89,,4,4.5,31,34.8,53,59.6,1,1.1,54,60.7
01M020,All Grades,2008,EP,183,,2,1.1,30,16.4,142,77.6,9,4.9,151,82.5
01M020,All Grades,2009,ELL,73,,4,5.5,22,30.1,47,64.4,0,0,47,64.4
01M020,All Grades,2009,EP,184,,2,1.1,29,15.8,143,77.7,10,5.4,153,83.2
01M020,All Grades,2010,ELL,64,,14,21.9,34,53.1,16,25,0,0,16,25
01M020,All Grades,2010,EP,188,,16,8.5,84,44.7,69,36.7,19,10.1,88,46.8
01M020,All Grades,2011,ELL,52,642,20,38.5,25,48.1,7,13.5,0,0,7,13.5
01M020,All Grades,2011,EP,202,665,9,4.5,95,47,95,47,3,1.5,98,48.5
01M020,All Grades,2012,ELL,49,648,14,28.6,26,53.1,9,18.4,0,0,9,18.4
01M020,All Grades,2012,EP,199,660,17,8.5,114,57.3,68,34.2,0,0,68,34.2
01M034,3,2006,EP,31,657,3,9.7,11,35.5,17,54.8,0,0,17,54.8
01M034,3,2007,ELL,7,634,2,28.6,4,57.1,1,14.3,0,0,1,14.3
01M034,3,2007,EP,37,646,3,8.1,21,56.8,13,35.1,0,0,13,35.1
01M034,3,2008,ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M034,3,2008,EP,32,658,3,9.4,11,34.4,16,50,2,6.3,18,56.3
01M034,3,2009,ELL,5,s,s,s,s,s,s,s,s,s,s,s
01M034,3,2009,EP,31,665,2,6.5,7,22.6,20,64.5,2,6.5,22,71
01M034,3,2010,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M034,3,2010,EP,30,668,0,0,11,36.7,15,50,4,13.3,19,63.3
01M034,3,2011,ELL,5,s,s,s,s,s,s,s,s,s,s,s
01M034,3,2011,EP,22,675,0,0,1,4.5,19,86.4,2,9.1,21,95.5
01M034,3,2012,ELL,4,s,s,s,s,s,s,s,s,s,s,s
01M034,3,2012,EP,41,656,7,17.1,22,53.7,10,24.4,2,4.9,12,29.3
01M034,4,2006,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M034,4,2006,EP,35,633,11,31.4,14,40,9,25.7,1,2.9,10,28.6
01M034,4,2007,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M034,4,2007,EP,29,645,4,13.8,10,34.5,14,48.3,1,3.4,15,51.7
01M034,4,2008,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M034,4,2008,EP,41,642,2,4.9,25,61,14,34.1,0,0,14,34.1
01M034,4,2009,EP,36,664,0,0,8,22.2,28,77.8,0,0,28,77.8
01M034,4,2010,ELL,5,s,s,s,s,s,s,s,s,s,s,s
01M034,4,2010,EP,34,656,5,14.7,17,50,12,35.3,0,0,12,35.3
01M034,4,2011,ELL,4,s,s,s,s,s,s,s,s,s,s,s
01M034,4,2011,EP,31,671,0,0,15,48.4,16,51.6,0,0,16,51.6
01M034,4,2012,ELL,6,649,2,33.3,2,33.3,2,33.3,0,0,2,33.3
01M034,4,2012,EP,24,677,1,4.2,6,25,17,70.8,0,0,17,70.8
01M034,5,2006,ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M034,5,2006,EP,55,646,3,5.5,27,49.1,24,43.6,1,1.8,25,45.5
01M034,5,2007,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M034,5,2007,EP,32,635,5,15.6,18,56.3,8,25,1,3.1,9,28.1
01M034,5,2008,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M034,5,2008,EP,27,654,0,0,12,44.4,15,55.6,0,0,15,55.6
01M034,5,2009,ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M034,5,2009,EP,43,666,0,0,8,18.6,31,72.1,4,9.3,35,81.4
01M034,5,2010,EP,34,664,3,8.8,17,50,14,41.2,0,0,14,41.2
01M034,5,2011,ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M034,5,2011,EP,36,663,2,5.6,18,50,16,44.4,0,0,16,44.4
01M034,5,2012,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M034,5,2012,EP,37,667,4,10.8,13,35.1,20,54.1,0,0,20,54.1
01M034,6,2006,ELL,2,s,s,s,s,s,s,s,s,s,s,s
