Grade,Family Guide Name,Link,Language
10,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/2B1E3AE8-B01C-4EF2-8543-46FB0687D769/0/NYC_912_HaitianCreole.pdf,Haitian-Creole
11,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/2B1E3AE8-B01C-4EF2-8543-46FB0687D769/0/NYC_912_HaitianCreole.pdf,Haitian-Creole
12,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/2B1E3AE8-B01C-4EF2-8543-46FB0687D769/0/NYC_912_HaitianCreole.pdf,Haitian-Creole
PK,2011-2012 NYC Family Guide for Pre-Kindergarten,http://schools.nyc.gov/NR/rdonlyres/E96F6242-D2CB-41AE-AC67-C77E80156DCB/0/NYC_PreK_Korean.pdf,Korean
0K,2011-2012 NYC Family Guide for Kindergarten,http://schools.nyc.gov/NR/rdonlyres/61DD6937-D603-4CEE-A691-CB99C010FB47/0/NYC_K_Korean.pdf,Korean
1,2011-2012 NYC Family Guide for First Grade,http://schools.nyc.gov/NR/rdonlyres/B57A6774-B614-4C07-9F9C-FC695BBF701E/0/NYC_1_Korean.pdf,Korean
2,2011-2012 NYC Family Guide for Second Grade,http://schools.nyc.gov/NR/rdonlyres/8E8C75EC-591E-471C-AC0C-B376170BC44B/0/NYC_2_Korean.pdf,Korean
3,2011-2012 NYC Family Guide for Third Grade,http://schools.nyc.gov/NR/rdonlyres/A98B2D69-4A66-4C9F-A661-EEFB5E2F5033/0/NYC_3_Korean.pdf,Korean
4,2011-2012 NYC Family Guide for Fourth Grade,http://schools.nyc.gov/NR/rdonlyres/96E71F01-6F1D-48B2-AD06-B115FEA38FF8/0/NYC_4_Korean.pdf,Korean
5,2011-2012 NYC Family Guide for Fifth Grade,http://schools.nyc.gov/NR/rdonlyres/86BC83B1-8866-49FC-AAA9-43DFE6EBE87C/0/NYC_5_Korean.pdf,Korean
6,2011-2012 NYC Family Guide for Sixth Grade,http://schools.nyc.gov/NR/rdonlyres/0EA0E38A-AD82-4FDE-BA80-99C6040A9AA3/0/NYC_6_Korean.pdf,Korean
7,2011-2012 NYC Family Guide for Seventh Grade,http://schools.nyc.gov/NR/rdonlyres/E05A0F3C-E0E4-4381-86EC-E890B1E1698F/0/NYC_7_Korean.pdf,Korean
8,2011-2012 NYC Family Guide for Eighth Grade,http://schools.nyc.gov/NR/rdonlyres/952FB6E8-1184-4D85-B7A4-BF4070CA54AD/0/NYC_8_Korean.pdf,Korean
9,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/8479C1D8-59B6-48FA-B1B0-F47C8D98B49A/0/NYC_912_Korean.pdf,Korean
10,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/8479C1D8-59B6-48FA-B1B0-F47C8D98B49A/0/NYC_912_Korean.pdf,Korean
11,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/8479C1D8-59B6-48FA-B1B0-F47C8D98B49A/0/NYC_912_Korean.pdf,Korean
12,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/8479C1D8-59B6-48FA-B1B0-F47C8D98B49A/0/NYC_912_Korean.pdf,Korean
PK,2011-2012 NYC Family Guide for Pre-Kindergarten,http://schools.nyc.gov/NR/rdonlyres/55CF25F8-3075-4C0E-9725-7E37CAF94D99/0/NYCGuidetoPublicSchools_PreK_Russian_lowres.pdf,Russian
0K,2011-2012 NYC Family Guide for Kindergarten,http://schools.nyc.gov/NR/rdonlyres/B4294A89-1DEB-4E75-9931-1E4311331F87/0/NYCGuidetoPublicSchools_K_Russian_lowres.pdf,Russian
1,2011-2012 NYC Family Guide for First Grade,http://schools.nyc.gov/NR/rdonlyres/FDDD3020-C42A-4FB8-9118-36264986A81A/0/NYCGuidetoPublicSchools_1_Russian_lowres.pdf,Russian
2,2011-2012 NYC Family Guide for Second Grade,http://schools.nyc.gov/NR/rdonlyres/44C4D277-C4F2-4B05-A61D-E7BEEA2E2005/0/NYCGuidetoPublicSchools_2_Russian_lowres.pdf,Russian
3,2011-2012 NYC Family Guide for Third Grade,http://schools.nyc.gov/NR/rdonlyres/504A8ED2-34E0-494A-A77D-5EF01871E4E8/0/NYCGuidetoPublicSchools_3_Russian_lowres.pdf,Russian
4,2011-2012 NYC Family Guide for Fourth Grade,http://schools.nyc.gov/NR/rdonlyres/194F298E-FCB3-4947-9899-810206B11E9E/0/NYCGuidetoPublicSchools_4_Russian_lowres.pdf,Russian
5,2011-2012 NYC Family Guide for Fifth Grade,http://schools.nyc.gov/NR/rdonlyres/A2B614F5-767A-433B-93F8-98B2F5CFDA98/0/NYCGuidetoPublicSchools_5_Russian_lowres.pdf,Russian
6,2011-2012 NYC Family Guide for Sixth Grade,http://schools.nyc.gov/NR/rdonlyres/B097351F-5DEB-4AB5-B8C8-5E0AFC452B0A/0/NYCGuidetoPublicSchools_6_Russian_lowres.pdf,Russian
7,2011-2012 NYC Family Guide for Seventh Grade,http://schools.nyc.gov/NR/rdonlyres/1552C6AD-8A8B-4F09-B346-F7CB8D0FD3A3/0/NYCGuidetoPublicSchools_7_Russian_lowres.pdf,Russian
8,2011-2012 NYC Family Guide for Eighth Grade,http://schools.nyc.gov/NR/rdonlyres/890E6658-D6E8-4BF5-A60C-160063A6D3CA/0/NYCGuidetoPublicSchools_8_Russian_lowres.pdf,Russian
9,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/E1632FFF-BC44-4ECF-9E70-D814BD3233F9/0/NYCGuidetoPublicSchools_912_Russian_lowres.pdf,Russian
10,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/E1632FFF-BC44-4ECF-9E70-D814BD3233F9/0/NYCGuidetoPublicSchools_912_Russian_lowres.pdf,Russian
11,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/E1632FFF-BC44-4ECF-9E70-D814BD3233F9/0/NYCGuidetoPublicSchools_912_Russian_lowres.pdf,Russian
12,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/E1632FFF-BC44-4ECF-9E70-D814BD3233F9/0/NYCGuidetoPublicSchools_912_Russian_lowres.pdf,Russian
PK,2011-2012 NYC Family Guide for Pre-Kindergarten,http://schools.nyc.gov/NR/rdonlyres/A02BB798-0075-4A96-B447-D2BDCF9EA9CC/0/NYCGuidetoPublicSchools_PreK_Spanish.pdf,Spanish
0K,2011-2012 NYC Family Guide for Kindergarten,http://schools.nyc.gov/NR/rdonlyres/18C411B1-1E21-4586-8F5B-07F6F248CA72/0/NYCGuidetoPublicSchools_K_Spanish.pdf,Spanish
1,2011-2012 NYC Family Guide for First Grade,http://schools.nyc.gov/NR/rdonlyres/2B306DC0-FE41-4ACC-95EB-1070F58705BC/0/NYCGuidetoPublicSchools_1_Spanish.pdf,Spanish
2,2011-2012 NYC Family Guide for Second Grade,http://schools.nyc.gov/NR/rdonlyres/1FE72B0E-2D89-4704-9FC7-51B3604224E1/0/NYCGuidetoPublicSchools_2_Spanish.pdf,Spanish
3,2011-2012 NYC Family Guide for Third Grade,http://schools.nyc.gov/NR/rdonlyres/51A36EDC-6C0C-442F-A5EE-CBEBF4727814/0/NYCGuidetoPublicSchools_3_Spanish.pdf,Spanish
4,2011-2012 NYC Family Guide for Fourth Grade,http://schools.nyc.gov/NR/rdonlyres/543FC9AD-5FBE-4569-878B-4EACEB87064F/0/NYCGuidetoPublicSchools_4_Spanish.pdf,Spanish
5,2011-2012 NYC Family Guide for Fifth Grade,http://schools.nyc.gov/NR/rdonlyres/82C70842-DB52-4F7B-8BFC-ECF5132B2F23/0/NYCGuidetoPublicSchools_5_Spanish.pdf,Spanish
6,2011-2012 NYC Family Guide for Sixth Grade,http://schools.nyc.gov/NR/rdonlyres/54D3CF20-122C-4F27-B48C-7B29E6DEE649/0/NYCGuidetoPublicSchools_6_Spanish.pdf,Spanish
7,2011-2012 NYC Family Guide for Seventh Grade,http://schools.nyc.gov/NR/rdonlyres/8DDA562E-99B4-4F90-9AE2-39EC3D4F6FD8/0/NYCGuidetoPublicSchools_7_Spanish.pdf,Spanish
8,2011-2012 NYC Family Guide for Eighth Grade,http://schools.nyc.gov/NR/rdonlyres/576A0833-F058-4CCB-8C3B-08297D2EC613/0/NYCGuidetoPublicSchools_8_Spanish.pdf,Spanish
9,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/8CC1BCBA-B2CB-424A-9681-B1BE1D6B49B7/0/NYCGuidetoPublicSchools_912_Spanish.pdf,Spanish
10,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/8CC1BCBA-B2CB-424A-9681-B1BE1D6B49B7/0/NYCGuidetoPublicSchools_912_Spanish.pdf,Spanish
11,2011-2012 NYC Family Guide for Grades 9-12,http://schools.nyc.gov/NR/rdonlyres/8CC1BCBA-B2CB-424A-9681-B1BE1D6B49B7/0/NYCGuidetoPublicSchools_912_Spanish.pdf,Spanish
