Boro,District,CCU,Block,Lot,OwnerType,Status_Date,Address
BROOKLYN,5,12-05191,3820,123,City,01/31/2012,ADJ. 491 ALABAMA AVENUE betw RIVERDALE AVENUE & NYCTA SUBWAY
BROOKLYN,5,12-05067,3865,24,City,01/19/2012,ADJ. 719 VAN SINDEREN AVENUE betw LINDEN BOULEVARD & NEW LOTS AVENUE
BROOKLYN,5,12-05067,3865,25,City,01/19/2012,ADJ. 719 VAN SINDEREN AVENUE betw LINDEN BOULEVARD & NEW LOTS AVENUE
BROOKLYN,5,12-05067,3865,26,City,01/19/2012,ADJ. 719 VAN SINDEREN AVENUE betw LINDEN BOULEVARD & NEW LOTS AVENUE
BROOKLYN,5,12-05067,3865,27,City,01/19/2012,ADJ. 719 VAN SINDEREN AVENUE betw LINDEN BOULEVARD & NEW LOTS AVENUE
BROOKLYN,5,12-05041,3866,41,City,01/24/2012,BETWEEN 644 & 638 HINSDALE STREET
BROOKLYN,5,12-05042,3866,68,City,01/11/2012,ADJ. 1747 LINDEN BOULEVARD betw HINSDALE STREET & SNEDIKER AVENUE
BROOKLYN,5,12-05043,3992,45,City,01/11/2012,OPPOSITE OF 868A GLENMORE AVENUE betw MILFORD STREET & MONTAUK AVENUE
BROOKLYN,5,12-05044,4000,3,City,01/11/2012,ADJ. 335 ASHFORD STREET betw PITKIN AVENUE & GLENMORE AVENUE
BROOKLYN,5,11-11958,4050,22,City,01/10/2012,ADJ. 582 LINWOOD STREET betw BLAKE AVENUE & SUTTER AVENUE
BROOKLYN,5,12-05092,4067,12,City,01/18/2012,ADJ. 661 LINWOOD STREET betw DUMONT AVENUE & BLAKE AVENUE
BROOKLYN,5,11-11968,4074,39,City,01/10/2012,ADJ. 779 LIVONIA AVENUE betw HENDRIX STREET & VAN SICLEN AVENUE
BROOKLYN,5,11-11950,4078,11,City,01/06/2012,BETWEEN 577 & 583 JEROME STREET
BROOKLYN,5,11-11969,4081,23,City,01/10/2012,BETWEEN 982 & 976 DUMONT AVENUE
BROOKLYN,5,11-11970,4083,29,Private,01/24/2012,ADJ. 823 NEW LOTS AVENUE betw ESSEX STREET & LINWOOD STREET
BROOKLYN,5,12-05046,4092,1,Private,01/25/2012,ADJ. 607 JEROME STREET betw NEW LOTS AVENUE & NYCTA SUBWAY
BROOKLYN,5,12-05046,4092,2,Private,01/25/2012,ADJ. 607 JEROME STREET betw NEW LOTS AVENUE & NYCTA SUBWAY
BROOKLYN,5,12-05046,4092,3,Private,01/25/2012,ADJ. 607 JEROME STREET betw NEW LOTS AVENUE & NYCTA SUBWAY
BROOKLYN,5,12-05162,4142,32,City,01/25/2012,OPPOSITE OF 85 DINSMORE PLACE betw CHESTNUT STREET & RICHMOND STREET
BROOKLYN,5,11-11922,4223,6,City,01/10/2012,NEAR 553 GRANT AVENUE betw PITKIN AVENUE & GLENMORE AVENUE
BROOKLYN,5,11-11923,4258,1,City,01/06/2012,REAR OF 338 FORBELL STREET betw SUTTER AVENUE & CONDUIT BOULEVARD
BROOKLYN,5,11-11924,4259,6,City,01/09/2012,REAR OF 1483 SUTTER AVENUE betw DREW STREET & FORBELL STREET
BROOKLYN,5,11-11926,4276,35,Private,01/25/2012,REAR OF 673 DREW STREET betw BLAKE AVENUE & SUTTER AVENUE
BROOKLYN,5,11-11926,4276,40,Private,01/25/2012,REAR OF 673 DREW STREET betw BLAKE AVENUE & SUTTER AVENUE
BROOKLYN,5,11-11926,4276,43,Private,01/25/2012,REAR OF 673 DREW STREET betw BLAKE AVENUE & SUTTER AVENUE
BROOKLYN,5,11-11926,4276,44,Private,01/25/2012,REAR OF 673 DREW STREET betw BLAKE AVENUE & SUTTER AVENUE
BROOKLYN,5,11-11787,4290,30,Private,01/09/2012,OPPOSITE OF 1469 BLAKE AVENUE betw DREW STREET & FORBELL STREET
BROOKLYN,5,11-11955,4309,1,City,01/09/2012,ADJ. 745 BARBEY STREET betw HEGEMAN AVENUE & MC CLANCY PLACE
BROOKLYN,5,11-11956,4309,19,Private,01/20/2012,ADJ. 682 JEROME STREET betw HEGEMAN AVENUE & MC CLANCY PLACE
BROOKLYN,5,11-11955,4309,46,City,01/09/2012,ADJ. 745 BARBEY STREET betw HEGEMAN AVENUE & MC CLANCY PLACE
BROOKLYN,5,11-11954,4313,6,City,01/09/2012,OPPOSITE OF 767 NEW LOTS AVENUE betw ELTON STREET & NYCTA SUBWAY
BROOKLYN,5,11-11951,4348,48,City,01/06/2012,ADJ. 879 NEW JERSEY AVENUE betw STANLEY AVENUE & LINDEN BOULEVARD
BROOKLYN,5,11-11951,4348,50,City,01/06/2012,ADJ. 879 NEW JERSEY AVENUE betw STANLEY AVENUE & LINDEN BOULEVARD
BROOKLYN,5,12-05195,4448,1,City,01/27/2012,OPPOSITE OF 12441 FLATLANDS AVENUE betw ELTON STREET & ASHFORD STREET
BROOKLYN,5,11-11788,4472,52,Private,01/10/2012,ADJ. 479 RUBY STREET betw LINDEN BOULEVARD & 135 AVENUE
BROOKLYN,5,12-05237,4548,112,City,01/26/2012,OPPOSITE OF 1013 HEMLOCK STREET betw AUTUMN LANE & WORTMAN AVENUE
BROOKLYN,5,12-05234,4551,1,City,01/27/2012,NEAR 987 LINCOLN AVENUE betw WORTMAN AVENUE & STANLEY AVENUE
BROOKLYN,5,12-05236,4569,1,City,01/26/2012,OPPOSITE OF 1145 GRANT AVENUE betw FLATLANDS AVENUE & COZINE AVENUE
BROOKLYN,6,11-11559,357,36,City,01/06/2012,ADJ. 296 COLUMBIA STREET betw WOODHULL STREET & SUMMIT STREET
BROOKLYN,8,11-11929,1126,7,Private,01/26/2012,ADJ. 619 CLASSON AVENUE betw PACIFIC STREET & ATLANTIC AVENUE
BROOKLYN,8,12-05056,1343,3,Private,01/30/2012,85 UTICA AVENUE betw PACIFIC STREET & DEAN STREET
BROOKLYN,8,12-05286,1363,7,City,01/30/2012,ADJ. 177 BUFFALO AVENUE betw PROSPECT PLACE & ST MARK'S AVENUE
BROOKLYN,11,11-11844,6253,28,Private,01/12/2012,NEAR 96 KINGS HIGHWAY betw STILLWELL AVENUE & 78 STREET
BROOKLYN,11,11-11844,6253,29,Private,01/12/2012,NEAR 96 KINGS HIGHWAY betw STILLWELL AVENUE & 78 STREET
BROOKLYN,11,11-11844,6253,30,Private,01/12/2012,NEAR 96 KINGS HIGHWAY betw STILLWELL AVENUE & 78 STREET
BROOKLYN,11,11-11844,6253,32,Private,01/12/2012,NEAR 96 KINGS HIGHWAY betw STILLWELL AVENUE & 78 STREET
BROOKLYN,11,11-11844,6253,33,Private,01/12/2012,NEAR 96 KINGS HIGHWAY betw STILLWELL AVENUE & 78 STREET
BROOKLYN,16,11-11804,1432,48,City,01/04/2012,BETWEEN 2093 & 2099 PACIFIC STREET
BROOKLYN,16,11-11804,1432,49,City,01/04/2012,BETWEEN 2093 & 2099 PACIFIC STREET
BROOKLYN,16,11-11839,1446,1,City,01/04/2012,ADJ. 1881 BERGEN STREET betw SARATOGA AVENUE & HOWARD AVENUE
BROOKLYN,16,12-05267,1447,14,City,01/26/2012,ADJ. 2160 DEAN STREET betw THOMAS S BOYLAND STREET & SARATOGA AVENUE
BROOKLYN,16,12-05259,1447,20,City,01/27/2012,ADJ. 2180 DEAN STREET betw THOMAS S BOYLAND STREET & SARATOGA AVENUE
BROOKLYN,16,12-05204,1450,8,City,01/25/2012,ADJ. 2402 DEAN STREET betw SACKMAN STREET & MOTHER GASTON BOULEVARD
BROOKLYN,16,12-05204,1450,9,City,01/25/2012,ADJ. 2402 DEAN STREET betw SACKMAN STREET & MOTHER GASTON BOULEVARD
BROOKLYN,16,12-05204,1450,10,City,01/25/2012,ADJ. 2402 DEAN STREET betw SACKMAN STREET & MOTHER GASTON BOULEVARD
BROOKLYN,16,12-05204,1450,11,City,01/25/2012,ADJ. 2402 DEAN STREET betw SACKMAN STREET & MOTHER GASTON BOULEVARD
BROOKLYN,16,12-05257,1451,48,City,01/26/2012,ADJ. 1445 ST MARKS AVENUE betw HOWARD AVENUE & RALPH AVENUE
BROOKLYN,16,12-05015,1458,52,City,01/12/2012,OPPOSITE OF 1750 PROSPECT PLACE betw SARATOGA AVENUE & HOWARD AVENUE
BROOKLYN,16,11-11778,1475,39,City,01/05/2012,ADJ. 1430 EASTERN PARKWAY betw LINCOLN PLACE & PITKIN AVENUE
BROOKLYN,16,11-11778,1475,40,City,01/05/2012,ADJ. 1430 EASTERN PARKWAY betw LINCOLN PLACE & PITKIN AVENUE
BROOKLYN,16,11-11778,1475,41,City,01/05/2012,ADJ. 1430 EASTERN PARKWAY betw LINCOLN PLACE & PITKIN AVENUE
BROOKLYN,16,11-11778,1475,44,City,01/05/2012,ADJ. 1430 EASTERN PARKWAY betw LINCOLN PLACE & PITKIN AVENUE
BROOKLYN,16,11-11778,1475,45,City,01/05/2012,ADJ. 1430 EASTERN PARKWAY betw LINCOLN PLACE & PITKIN AVENUE
BROOKLYN,16,11-11761,1476,34,City,01/03/2012,ADJ. 1301 EAST NEW YORK AVENUE betw LINCOLN PLACE & GRAFTON STREET
BROOKLYN,16,12-05256,1537,1,City,01/27/2012,ADJ. 2017 FULTON STREET betw THOMAS S BOYLAND STREET & SARATOGA AVENUE
BROOKLYN,16,11-11593,3493,18,Private,01/06/2012,OPPOSITE OF 1841 STRAUSS STREET betw PITKIN AVENUE & ST JOHN'S PLACE
BROOKLYN,16,12-05016,3602,44,City,01/13/2012,OPPOSITE OF 785 ROCKAWAY AVENUE betw NEWPORT STREET & RIVERDALE AVENUE
BROOKLYN,16,11-11668,3612,5,Private,01/05/2012,BETWEEN 97 & 101 LOTT AVENUE
