Boro,District,CCU,Block,Lot,OwnerType,Status_Date,Address
QUEENS,14,11-11902,15851,42,City,01/12/2012,OPPOSITE OF 42-16 ROCKAWAY BEACH BOULEVARD betw BEACH 43 STREET & BEACH 42 STREET
QUEENS,14,11-11879,15864,1,City,01/09/2012,N/S SPRAYVIEW AVENUE betw BEACH 38TH ST. & BEACH 37TH ST.
QUEENS,14,11-11961,15870,60,City,01/11/2012,AT 42-00 BEACH 38 STREET
QUEENS,14,12-05039,15891,1,City,01/13/2012,SOUTH SIDE OF ARVERNE BLVD betw BEACH 54 STREET & BEACH 56 STREET
QUEENS,14,12-05038,15919,1,City,01/27/2012,AT 1-35 BEACH 52 STREET
QUEENS,14,12-05164,15965,104,City,01/30/2012,BETWEEN 429 & 433 BEACH 43 STREET
QUEENS,14,11-11859,16100,31,City,01/05/2012,OPPOSITE OF 2-52 BEACH CHANNEL DRIVE
QUEENS,14,11-11858,16100,38,City,01/05/2012,OPPOSITE OF 245 BEACH CHANNEL DRIVE
QUEENS,14,11-11790,16103,60,City,01/06/2012,AT 83-00 BEACH 83 STREET
QUEENS,14,12-05049,16106,1,City,01/25/2012,OPPOSITE OF 82-03 BEACH CHANNEL DRIVE betw ROCKAWAY FREEWAY & BEACH 82 STREET
STATEN ISLAND,1,12-05113,6,12,Private,01/27/2012,ADJ. 100 CENTRAL AVENUE betw VICTORY BOULEVARD & SLOSSON TERRACE
STATEN ISLAND,1,12-05113,6,129,Private,01/27/2012,ADJ. 100 CENTRAL AVENUE betw VICTORY BOULEVARD & SLOSSON TERRACE
STATEN ISLAND,1,12-05113,6,131,Private,01/27/2012,ADJ. 100 CENTRAL AVENUE betw VICTORY BOULEVARD & SLOSSON TERRACE
