DBN,School Name,Cohort Year,Demographic,Total Cohort Num,Total Grads Num,Num achieving APM ,Pct of cohort achieving APM,Pct of graduates achieving APM
02M308,LOWER MANHATTAN ARTS ACADEMY,2007,English Language Proficient,59,43,4,6.80%,9.30%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2006,English Language Learner,5,1,s,s,s
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2007,English Language Learner,2,0,s,s,s
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2006,English Language Proficient,67,52,5,7.50%,9.60%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2007,English Language Proficient,59,37,2,3.40%,5.40%
02M374,GRAMERCY ARTS HIGH SCHOOL,2006,English Language Learner,2,2,s,s,s
02M374,GRAMERCY ARTS HIGH SCHOOL,2006,English Language Proficient,91,66,3,3.30%,4.50%
02M374,GRAMERCY ARTS HIGH SCHOOL,2007,English Language Proficient,72,53,1,1.40%,1.90%
02M394,EMMA LAZARUS HIGH SCHOOL,2006,English Language Learner,10,0,s,s,s
02M394,EMMA LAZARUS HIGH SCHOOL,2007,English Language Learner,13,1,s,s,s
02M394,EMMA LAZARUS HIGH SCHOOL,2007,English Language Proficient,1,0,s,s,s
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2006,English Language Learner,14,7,s,s,s
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2007,English Language Learner,14,4,s,s,s
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2006,English Language Proficient,338,255,121,35.80%,47.50%
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2007,English Language Proficient,326,269,123,37.70%,45.70%
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2007,English Language Learner,2,1,s,s,s
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2006,English Language Proficient,80,74,25,31.30%,33.80%
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2007,English Language Proficient,98,89,30,30.60%,33.70%
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2006,English Language Proficient,105,103,74,70.50%,71.80%
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2007,English Language Proficient,106,105,86,81.10%,81.90%
02M412,NYC LAB HIGH SCHOOL FOR COLLABORATIVE STUDIES,2006,English Language Learner,2,1,s,s,s
02M412,NYC LAB HIGH SCHOOL FOR COLLABORATIVE STUDIES,2006,English Language Proficient,122,112,70,57.40%,62.50%
02M412,NYC LAB HIGH SCHOOL FOR COLLABORATIVE STUDIES,2007,English Language Proficient,137,124,96,70.10%,77.40%
02M414,NYC MUSEUM SCHOOL,2006,English Language Learner,1,1,s,s,s
02M414,NYC MUSEUM SCHOOL,2007,English Language Learner,2,1,s,s,s
02M414,NYC MUSEUM SCHOOL,2006,English Language Proficient,105,99,22,21.00%,22.20%
02M414,NYC MUSEUM SCHOOL,2007,English Language Proficient,96,93,40,41.70%,43.00%
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2006,English Language Proficient,127,127,103,81.10%,81.10%
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2007,English Language Proficient,114,114,100,87.70%,87.70%
02M418,MILLENNIUM HIGH SCHOOL,2006,English Language Learner,1,1,s,s,s
02M418,MILLENNIUM HIGH SCHOOL,2006,English Language Proficient,149,144,96,64.40%,66.70%
02M418,MILLENNIUM HIGH SCHOOL,2007,English Language Proficient,146,134,96,65.80%,71.60%
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS & HUMAN SERVICE,2006,English Language Learner,5,2,s,s,s
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS & HUMAN SERVICE,2007,English Language Learner,8,2,s,s,s
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS & HUMAN SERVICE,2006,English Language Proficient,336,278,90,26.80%,32.40%
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS & HUMAN SERVICE,2007,English Language Proficient,350,281,85,24.30%,30.20%
02M425,LEADERSHIP & PUBLIC SERVICE HIGH SCHOOL,2006,English Language Learner,6,1,s,s,s
02M425,LEADERSHIP & PUBLIC SERVICE HIGH SCHOOL,2007,English Language Learner,7,1,s,s,s
02M425,LEADERSHIP & PUBLIC SERVICE HIGH SCHOOL,2006,English Language Proficient,138,77,18,13.00%,23.40%
02M425,LEADERSHIP & PUBLIC SERVICE HIGH SCHOOL,2007,English Language Proficient,144,105,20,13.90%,19.00%
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2006,English Language Learner,106,28,4,3.80%,14.30%
