DBN,School Name,Cohort Year,Demographic,Total Cohort Num,Total Grads Num,Num achieving APM ,Pct of cohort achieving APM,Pct of graduates achieving APM
04M680,HERITAGE SCHOOL (THE),2007,English Language Learner,3,0,s,s,s
04M680,HERITAGE SCHOOL (THE),2006,English Language Proficient,69,41,7,10.10%,17.10%
04M680,HERITAGE SCHOOL (THE),2007,English Language Proficient,74,1,s,s,s
04M695,URBAN PEACE ACADEMY,2006,English Language Learner,3,3,s,s,s
04M695,URBAN PEACE ACADEMY,2006,English Language Proficient,42,32,4,9.50%,12.50%
05M172,POWELL MIDDLE SCHOOL FOR LAW AND SOCIAL JUST,2007,English Language Proficient,1,0,s,s,s
05M285,HARLEM RENAISSENCE HIGH SCHOOL,2007,English Language Learner,3,0,s,s,s
05M285,HARLEM RENAISSENCE HIGH SCHOOL,2006,English Language Proficient,81,10,s,s,s
05M285,HARLEM RENAISSENCE HIGH SCHOOL,2007,English Language Proficient,86,16,s,s,s
05M304,MOTT HALL HIGH SCHOOL,2006,English Language Learner,2,1,s,s,s
05M304,MOTT HALL HIGH SCHOOL,2007,English Language Learner,6,1,s,s,s
05M304,MOTT HALL HIGH SCHOOL,2006,English Language Proficient,94,66,14,14.90%,21.20%
05M304,MOTT HALL HIGH SCHOOL,2007,English Language Proficient,87,61,4,4.60%,6.60%
05M367,ACADEMY FOR SOCIAL ACTION-A COLLEGE BOARD SCHOOL,2007,English Language Learner,2,1,s,s,s
05M367,ACADEMY FOR SOCIAL ACTION-A COLLEGE BOARD SCHOOL,2007,English Language Proficient,51,41,4,7.80%,9.80%
05M369,URBAN ASSEMBLY FOR THE PERFORMING ARTS,2006,English Language Learner,1,1,s,s,s
05M369,URBAN ASSEMBLY FOR THE PERFORMING ARTS,2007,English Language Learner,1,0,s,s,s
05M369,URBAN ASSEMBLY FOR THE PERFORMING ARTS,2006,English Language Proficient,61,42,6,9.80%,14.30%
05M369,URBAN ASSEMBLY FOR THE PERFORMING ARTS,2007,English Language Proficient,69,47,2,2.90%,4.30%
05M469,CHOIR ACADEMY OF HARLEM,2007,English Language Learner,2,1,s,s,s
05M469,CHOIR ACADEMY OF HARLEM,2006,English Language Proficient,39,22,0,0.00%,0.00%
05M469,CHOIR ACADEMY OF HARLEM,2007,English Language Proficient,43,29,0,0.00%,0.00%
05M499,FREDERICK DOUGLASS ACADEMY,2006,English Language Learner,2,0,s,s,s
05M499,FREDERICK DOUGLASS ACADEMY,2007,English Language Learner,1,0,s,s,s
05M499,FREDERICK DOUGLASS ACADEMY,2006,English Language Proficient,257,214,119,46.30%,55.60%
05M499,FREDERICK DOUGLASS ACADEMY,2007,English Language Proficient,203,182,86,42.40%,47.30%
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING & SOCIAL CH,2007,English Language Learner,3,1,s,s,s
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING & SOCIAL CH,2006,English Language Proficient,95,65,17,17.90%,26.20%
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING & SOCIAL CH,2007,English Language Proficient,92,70,27,29.30%,38.60%
05M692,HIGH SCHOOL MATH SCIENCE AND ENGINEERING AT CCNY,2006,English Language Proficient,106,101,100,94.30%,99.00%
05M692,HIGH SCHOOL MATH SCIENCE AND ENGINEERING AT CCNY,2007,English Language Proficient,111,103,102,91.90%,99.00%
06M293,CITY COLLEGE ACADEMY OF THE ARTS,2007,English Language Learner,1,0,s,s,s
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,2007,English Language Learner,1,0,s,s,s
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,2007,English Language Proficient,1,0,s,s,s
06M462,HIGH SCHOOL FOR INTERNATIONAL-BUSINESS & FINANCE,2006,English Language Learner,51,31,4,7.80%,12.90%
06M462,HIGH SCHOOL FOR INTERNATIONAL-BUSINESS & FINANCE,2007,English Language Learner,50,14,s,s,s
06M462,HIGH SCHOOL FOR INTERNATIONAL-BUSINESS & FINANCE,2006,English Language Proficient,134,106,14,10.40%,13.20%
06M462,HIGH SCHOOL FOR INTERNATIONAL-BUSINESS & FINANCE,2007,English Language Proficient,119,91,27,22.70%,29.70%
06M463,HIGH SCHOOL FOR MEDIA & COMMUNICATIONS,2006,English Language Learner,38,16,s,s,s
06M463,HIGH SCHOOL FOR MEDIA & COMMUNICATIONS,2007,English Language Learner,47,19,s,s,s
06M463,HIGH SCHOOL FOR MEDIA & COMMUNICATIONS,2006,English Language Proficient,123,85,10,8.10%,11.80%
06M463,HIGH SCHOOL FOR MEDIA & COMMUNICATIONS,2007,English Language Proficient,102,53,8,7.80%,15.10%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,2006,English Language Learner,43,23,1,2.30%,4.30%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,2007,English Language Learner,39,19,s,s,s
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,2006,English Language Proficient,128,99,15,11.70%,15.20%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,2007,English Language Proficient,135,106,12,8.90%,11.30%
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,2006,English Language Learner,42,10,s,s,s
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,2007,English Language Learner,36,6,s,s,s
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,2006,English Language Proficient,116,78,21,18.10%,26.90%
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,2007,English Language Proficient,139,75,21,15.10%,28.00%
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,2006,English Language Learner,3,0,s,s,s
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,2007,English Language Learner,7,0,s,s,s
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,2006,English Language Proficient,264,190,62,23.50%,32.60%
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,2007,English Language Proficient,320,265,81,25.30%,30.60%
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,2006,English Language Learner,76,59,4,5.30%,6.80%
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,2007,English Language Learner,78,44,6,7.70%,13.60%
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,2006,English Language Proficient,15,15,s,s,s
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,2007,English Language Proficient,11,10,s,s,s
07X221,SOUTH BRONX PREPARATORY - A COLLEGE BOARD SCHOOL,2006,English Language Learner,4,1,s,s,s
07X221,SOUTH BRONX PREPARATORY - A COLLEGE BOARD SCHOOL,2007,English Language Learner,1,1,s,s,s
07X221,SOUTH BRONX PREPARATORY - A COLLEGE BOARD SCHOOL,2006,English Language Proficient,76,63,10,13.20%,15.90%
07X221,SOUTH BRONX PREPARATORY - A COLLEGE BOARD SCHOOL,2007,English Language Proficient,65,54,7,10.80%,13.00%
07X222,DR. MARIO SALVADORI SCHOOL,2006,English Language Learner,1,0,s,s,s
07X321,CROTONA ACADEMY HIGH SCHOOL,2006,English Language Learner,5,0,s,s,s
07X321,CROTONA ACADEMY HIGH SCHOOL,2006,English Language Proficient,51,8,s,s,s
07X321,CROTONA ACADEMY HIGH SCHOOL,2007,English Language Proficient,49,3,s,s,s
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,2006,English Language Learner,8,1,s,s,s
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,2007,English Language Learner,5,2,s,s,s
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,2006,English Language Proficient,2,0,s,s,s
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,2006,English Language Learner,2,1,s,s,s
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,2007,English Language Learner,4,0,s,s,s
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,2006,English Language Proficient,48,4,s,s,s
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,2007,English Language Proficient,88,10,s,s,s
07X381,BRONX HAVEN HIGH SCHOOL,2006,English Language Learner,1,1,s,s,s
07X381,BRONX HAVEN HIGH SCHOOL,2007,English Language Learner,6,0,s,s,s
07X381,BRONX HAVEN HIGH SCHOOL,2006,English Language Proficient,10,7,s,s,s
07X381,BRONX HAVEN HIGH SCHOOL,2007,English Language Proficient,65,3,s,s,s
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,2006,English Language Learner,11,5,s,s,s
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,2007,English Language Learner,7,1,s,s,s
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,2006,English Language Proficient,58,39,0,0.00%,0.00%
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,2007,English Language Proficient,78,42,2,2.60%,4.80%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,2006,English Language Learner,1,1,s,s,s
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,2007,English Language Learner,2,0,s,s,s
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,2006,English Language Proficient,60,50,25,41.70%,50.00%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,2007,English Language Proficient,85,67,23,27.10%,34.30%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,2006,English Language Learner,8,1,s,s,s
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,2007,English Language Learner,16,0,s,s,s
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,2006,English Language Proficient,128,81,19,14.80%,23.50%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,2007,English Language Proficient,93,59,5,5.40%,8.50%
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2006,English Language Learner,7,4,s,s,s
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2007,English Language Learner,18,9,s,s,s
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2006,English Language Proficient,95,70,9,9.50%,12.90%
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2007,English Language Proficient,91,53,2,2.20%,3.80%
07X547,NEW EXPLORERS HIGH SCHOOL,2006,English Language Learner,5,1,s,s,s
07X547,NEW EXPLORERS HIGH SCHOOL,2007,English Language Learner,9,1,s,s,s
07X547,NEW EXPLORERS HIGH SCHOOL,2006,English Language Proficient,76,35,4,5.30%,11.40%
07X547,NEW EXPLORERS HIGH SCHOOL,2007,English Language Proficient,73,40,0,0.00%,0.00%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2006,English Language Learner,1,0,s,s,s
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2007,English Language Learner,3,2,s,s,s
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2006,English Language Proficient,81,65,2,2.50%,3.10%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,2007,English Language Proficient,79,63,12,15.20%,19.00%
07X551,BRONX ACADEMY OF LETTERS,2006,English Language Learner,11,6,s,s,s
07X551,BRONX ACADEMY OF LETTERS,2007,English Language Learner,3,1,s,s,s
07X551,BRONX ACADEMY OF LETTERS,2006,English Language Proficient,65,50,7,10.80%,14.00%
07X551,BRONX ACADEMY OF LETTERS,2007,English Language Proficient,86,72,14,16.30%,19.40%
07X600,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2006,English Language Learner,35,6,s,s,s
07X600,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2007,English Language Learner,24,4,s,s,s
07X600,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2006,English Language Proficient,232,103,6,2.60%,5.80%
07X600,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,2007,English Language Proficient,240,110,14,5.80%,12.70%
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2006,English Language Learner,51,16,s,s,s
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2007,English Language Learner,51,9,s,s,s
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2006,English Language Proficient,306,157,7,2.30%,4.50%
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH,2007,English Language Proficient,243,96,6,2.50%,6.30%
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,2006,English Language Learner,7,2,s,s,s
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,2007,English Language Learner,6,2,s,s,s
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,2006,English Language Proficient,127,91,19,15.00%,20.90%
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,2007,English Language Proficient,148,107,12,8.10%,11.20%
08X192,PIAGENTINI-JONES SCHOOL,2006,English Language Proficient,2,0,s,s,s
08X192,PIAGENTINI-JONES SCHOOL,2007,English Language Proficient,1,0,s,s,s
08X282,WOMEN'S ACADEMY OF EXCELLENCE,2007,English Language Learner,1,0,s,s,s
08X282,WOMEN'S ACADEMY OF EXCELLENCE,2006,English Language Proficient,75,50,10,13.30%,20.00%
08X282,WOMEN'S ACADEMY OF EXCELLENCE,2007,English Language Proficient,64,57,4,6.30%,7.00%
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER AND TE,2006,English Language Learner,3,1,s,s,s
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER AND TE,2007,English Language Learner,5,1,s,s,s
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER AND TE,2006,English Language Proficient,114,76,10,8.80%,13.20%
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER AND TE,2007,English Language Proficient,121,84,8,6.60%,9.50%
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECH,2006,English Language Learner,22,4,s,s,s
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECH,2007,English Language Learner,17,5,s,s,s
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECH,2006,English Language Proficient,99,45,3,3.00%,6.70%
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECH,2007,English Language Proficient,106,55,4,3.80%,7.30%
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD ST,2006,English Language Learner,19,11,s,s,s
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD ST,2007,English Language Learner,17,5,s,s,s
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD ST,2006,English Language Proficient,82,46,7,8.50%,15.20%
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD ST,2007,English Language Proficient,91,45,3,3.30%,6.70%
08X312,MILLENIUM ART ACADEMY,2006,English Language Learner,10,2,s,s,s
08X312,MILLENIUM ART ACADEMY,2007,English Language Learner,7,2,s,s,s
08X312,MILLENIUM ART ACADEMY,2006,English Language Proficient,98,61,7,7.10%,11.50%
08X312,MILLENIUM ART ACADEMY,2007,English Language Proficient,108,70,6,5.60%,8.60%
08X332,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,2006,English Language Learner,12,3,s,s,s
08X332,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,2007,English Language Learner,7,2,s,s,s
08X332,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,2006,English Language Proficient,77,48,11,14.30%,22.90%
08X332,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,2007,English Language Proficient,97,52,3,3.10%,5.80%
08X377,BRONX COMMUNITY HIGH SCHOOL,2006,English Language Learner,3,0,s,s,s
08X377,BRONX COMMUNITY HIGH SCHOOL,2007,English Language Learner,2,0,s,s,s
08X377,BRONX COMMUNITY HIGH SCHOOL,2006,English Language Proficient,76,10,s,s,s
08X377,BRONX COMMUNITY HIGH SCHOOL,2007,English Language Proficient,105,15,s,s,s
08X405,HERBERT H LEHMAN HIGH SCHOOL,2006,English Language Learner,76,17,s,s,s
08X405,HERBERT H LEHMAN HIGH SCHOOL,2007,English Language Learner,84,15,s,s,s
08X405,HERBERT H LEHMAN HIGH SCHOOL,2006,English Language Proficient,"1,016",470,180,17.70%,38.30%
08X405,HERBERT H LEHMAN HIGH SCHOOL,2007,English Language Proficient,898,438,126,14.00%,28.80%
08X450,ADLAI E. STEVENSON HIGH SCHOOL,2006,English Language Learner,1,0,s,s,s
08X450,ADLAI E. STEVENSON HIGH SCHOOL,2006,English Language Proficient,6,0,s,s,s
08X452,BRONX GUILD HIGH SCHOOL,2006,English Language Learner,4,1,s,s,s
08X452,BRONX GUILD HIGH SCHOOL,2007,English Language Learner,7,5,s,s,s
08X452,BRONX GUILD HIGH SCHOOL,2006,English Language Proficient,60,39,1,1.70%,2.60%
08X452,BRONX GUILD HIGH SCHOOL,2007,English Language Proficient,78,51,1,1.30%,2.00%
08X519,FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUB,2006,English Language Learner,9,4,s,s,s
08X519,FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUB,2007,English Language Learner,14,7,s,s,s
08X519,FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUB,2006,English Language Proficient,90,48,0,0.00%,0.00%
08X519,FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUB,2007,English Language Proficient,67,36,3,4.50%,8.30%
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,2006,English Language Learner,9,2,s,s,s
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,2007,English Language Learner,13,4,s,s,s
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,2006,English Language Proficient,80,42,1,1.30%,2.40%
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,2007,English Language Proficient,113,49,1,0.90%,2.00%
08X560,HS 560 BRONX ACADEMY HIGH SCHOOL,2006,English Language Learner,18,0,s,s,s
08X560,HS 560 BRONX ACADEMY HIGH SCHOOL,2007,English Language Learner,18,0,s,s,s
08X560,HS 560 BRONX ACADEMY HIGH SCHOOL,2006,English Language Proficient,123,28,0,0.00%,0.00%
08X560,HS 560 BRONX ACADEMY HIGH SCHOOL,2007,English Language Proficient,158,31,0,0.00%,0.00%
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,2006,English Language Learner,40,8,s,s,s
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,2007,English Language Learner,48,2,s,s,s
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,2006,English Language Proficient,379,172,27,7.10%,15.70%
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,2007,English Language Proficient,314,135,17,5.40%,12.60%
08X686,NEW SCHOOL FOR ARTS AND SCIENCES,2006,English Language Proficient,1,0,s,s,s
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,2006,English Language Learner,21,7,s,s,s
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,2007,English Language Learner,24,7,s,s,s
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,2006,English Language Proficient,75,48,2,2.70%,4.20%
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,2007,English Language Proficient,67,34,1,1.50%,2.90%
09X231,EAGLE ACADEMY FOR YOUNG MEN,2006,English Language Learner,1,1,s,s,s
09X231,EAGLE ACADEMY FOR YOUNG MEN,2007,English Language Learner,1,1,s,s,s
09X231,EAGLE ACADEMY FOR YOUNG MEN,2006,English Language Proficient,99,62,13,13.10%,21.00%
09X231,EAGLE ACADEMY FOR YOUNG MEN,2007,English Language Proficient,116,81,12,10.30%,14.80%
09X239,URBAN ASSEMBLY ACAD-HISTORY AND CITIZENSHIP FOR YO,2006,English Language Learner,10,3,s,s,s
09X239,URBAN ASSEMBLY ACAD-HISTORY AND CITIZENSHIP FOR YO,2007,English Language Learner,15,5,s,s,s
09X239,URBAN ASSEMBLY ACAD-HISTORY AND CITIZENSHIP FOR YO,2006,English Language Proficient,64,28,2,3.10%,7.10%
09X239,URBAN ASSEMBLY ACAD-HISTORY AND CITIZENSHIP FOR YO,2007,English Language Proficient,68,28,5,7.40%,17.90%
09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE,2007,English Language Learner,2,1,s,s,s
09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE,2007,English Language Proficient,69,64,23,33.30%,35.90%
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY,2006,English Language Learner,3,2,s,s,s
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY,2007,English Language Learner,4,1,s,s,s
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY,2006,English Language Proficient,57,34,9,15.80%,26.50%
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY,2007,English Language Proficient,53,37,9,17.00%,24.30%
09X252,MOTT HALL BRONX HIGH SCHOOL,2006,English Language Learner,6,3,s,s,s
09X252,MOTT HALL BRONX HIGH SCHOOL,2007,English Language Learner,9,6,s,s,s
09X252,MOTT HALL BRONX HIGH SCHOOL,2006,English Language Proficient,101,80,3,3.00%,3.80%
09X252,MOTT HALL BRONX HIGH SCHOOL,2007,English Language Proficient,92,79,8,8.70%,10.10%
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,2006,English Language Learner,2,1,s,s,s
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,2007,English Language Learner,4,1,s,s,s
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,2006,English Language Proficient,98,87,59,60.20%,67.80%
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,2007,English Language Proficient,95,76,35,36.80%,46.10%
09X263,VALIDUS PREPARATORY ACADEMY,2006,English Language Learner,13,9,s,s,s
09X263,VALIDUS PREPARATORY ACADEMY,2007,English Language Learner,13,3,s,s,s
09X263,VALIDUS PREPARATORY ACADEMY,2006,English Language Proficient,107,81,3,2.80%,3.70%
09X263,VALIDUS PREPARATORY ACADEMY,2007,English Language Proficient,89,55,2,2.20%,3.60%
09X276,LEADERSHIP INSTITUTE,2006,English Language Learner,11,5,s,s,s
09X276,LEADERSHIP INSTITUTE,2007,English Language Learner,9,2,s,s,s
09X276,LEADERSHIP INSTITUTE,2006,English Language Proficient,56,31,5,8.90%,16.10%
09X276,LEADERSHIP INSTITUTE,2007,English Language Proficient,77,48,6,7.80%,12.50%
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,2006,English Language Learner,14,7,s,s,s
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,2007,English Language Learner,19,9,s,s,s
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,2006,English Language Proficient,85,60,10,11.80%,16.70%
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,2007,English Language Proficient,87,49,7,8.00%,14.30%
09X329,DREAMYARD PREPARATORY SCHOOL,2006,English Language Learner,10,2,s,s,s
09X329,DREAMYARD PREPARATORY SCHOOL,2007,English Language Learner,12,3,s,s,s
09X329,DREAMYARD PREPARATORY SCHOOL,2006,English Language Proficient,83,38,10,12.00%,26.30%
09X329,DREAMYARD PREPARATORY SCHOOL,2007,English Language Proficient,78,32,1,1.30%,3.10%
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,2007,English Language Learner,69,42,0,0.00%,0.00%
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,2007,English Language Proficient,21,19,s,s,s
09X403,BRONX INTERNATIONAL HIGH SCHOOL,2006,English Language Learner,82,52,6,7.30%,11.50%
09X403,BRONX INTERNATIONAL HIGH SCHOOL,2007,English Language Learner,89,49,7,7.90%,14.30%
09X403,BRONX INTERNATIONAL HIGH SCHOOL,2006,English Language Proficient,6,6,s,s,s
09X403,BRONX INTERNATIONAL HIGH SCHOOL,2007,English Language Proficient,15,12,s,s,s
09X404,SCHOOL FOR EXCELLENCE,2006,English Language Learner,15,5,s,s,s
09X404,SCHOOL FOR EXCELLENCE,2007,English Language Learner,16,4,s,s,s
09X404,SCHOOL FOR EXCELLENCE,2006,English Language Proficient,93,54,5,5.40%,9.30%
09X404,SCHOOL FOR EXCELLENCE,2007,English Language Proficient,109,70,9,8.30%,12.90%
09X412,BRONX HIGH SCHOOL OF BUSINESS,2006,English Language Learner,16,5,s,s,s
09X412,BRONX HIGH SCHOOL OF BUSINESS,2007,English Language Learner,17,1,s,s,s
09X412,BRONX HIGH SCHOOL OF BUSINESS,2006,English Language Proficient,94,49,11,11.70%,22.40%
09X412,BRONX HIGH SCHOOL OF BUSINESS,2007,English Language Proficient,105,55,6,5.70%,10.90%
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,2007,English Language Learner,3,0,s,s,s
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,2006,English Language Proficient,103,86,35,34.00%,40.70%
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,2007,English Language Proficient,67,54,18,26.90%,33.30%
09X414,JONATHAN LEVIN HS OF MEDIA AND COMMUNICATIONS,2006,English Language Learner,34,12,s,s,s
09X414,JONATHAN LEVIN HS OF MEDIA AND COMMUNICATIONS,2007,English Language Learner,56,17,s,s,s
09X414,JONATHAN LEVIN HS OF MEDIA AND COMMUNICATIONS,2006,English Language Proficient,89,44,8,9.00%,18.20%
09X414,JONATHAN LEVIN HS OF MEDIA AND COMMUNICATIONS,2007,English Language Proficient,76,32,6,7.90%,18.80%
09X505,BRONX SCHOOL FOR LAW GOVERNMENT AND JUSTICE,2006,English Language Learner,4,1,s,s,s
09X505,BRONX SCHOOL FOR LAW GOVERNMENT AND JUSTICE,2007,English Language Learner,4,0,s,s,s
09X505,BRONX SCHOOL FOR LAW GOVERNMENT AND JUSTICE,2006,English Language Proficient,118,93,8,6.80%,8.60%
09X505,BRONX SCHOOL FOR LAW GOVERNMENT AND JUSTICE,2007,English Language Proficient,95,65,8,8.40%,12.30%
09X517,FREDERICK DOUGLAS ACADEMY III SECONDARY SCHOOL,2006,English Language Learner,4,2,s,s,s
09X517,FREDERICK DOUGLAS ACADEMY III SECONDARY SCHOOL,2007,English Language Learner,3,2,s,s,s
09X517,FREDERICK DOUGLAS ACADEMY III SECONDARY SCHOOL,2006,English Language Proficient,83,66,14,16.90%,21.20%
09X517,FREDERICK DOUGLAS ACADEMY III SECONDARY SCHOOL,2007,English Language Proficient,86,61,6,7.00%,9.80%
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,2006,English Language Learner,9,3,s,s,s
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,2007,English Language Learner,9,4,s,s,s
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,2006,English Language Proficient,169,119,27,16.00%,22.70%
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,2007,English Language Proficient,157,102,14,8.90%,13.70%
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,2006,English Language Learner,8,6,s,s,s
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,2007,English Language Learner,2,1,s,s,s
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,2006,English Language Proficient,39,31,4,10.30%,12.90%
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,2007,English Language Proficient,48,32,2,4.20%,6.30%
10X141,RIVERDALE/KINGSBRIDGE ACADEMY (MS/HS 141),2006,English Language Learner,6,3,s,s,s
