Year of birth,GENDER,ETHNICITY,CHILD FIRST NAME,COUNT,RANK
2009,FEMALE,WHITE NON HISPANIC,OLIVIA,210,1
2009,FEMALE,WHITE NON HISPANIC,SARAH,208,2
2009,FEMALE,WHITE NON HISPANIC,RACHEL,194,3
2009,FEMALE,WHITE NON HISPANIC,LEAH,190,4
2009,FEMALE,WHITE NON HISPANIC,ESTHER,187,5
2009,FEMALE,WHITE NON HISPANIC,EMMA,171,6
2009,FEMALE,WHITE NON HISPANIC,SOPHIA,171,6
2009,FEMALE,WHITE NON HISPANIC,CHANA,160,7
2009,FEMALE,WHITE NON HISPANIC,CHAYA,160,7
2009,FEMALE,WHITE NON HISPANIC,ISABELLA,160,7
2009,FEMALE,WHITE NON HISPANIC,AVA,153,8
2009,FEMALE,WHITE NON HISPANIC,JULIA,147,9
2009,FEMALE,WHITE NON HISPANIC,EMILY,144,10
2009,FEMALE,WHITE NON HISPANIC,ELLA,135,11
2009,FEMALE,WHITE NON HISPANIC,MIRIAM,132,12
2009,FEMALE,WHITE NON HISPANIC,SARA,132,12
2009,FEMALE,WHITE NON HISPANIC,ALEXANDRA,124,13
2009,FEMALE,WHITE NON HISPANIC,MAYA,120,14
2009,FEMALE,WHITE NON HISPANIC,MIA,119,15
2009,FEMALE,WHITE NON HISPANIC,CHARLOTTE,117,16
2009,FEMALE,WHITE NON HISPANIC,ABIGAIL,116,17
2009,FEMALE,WHITE NON HISPANIC,CHLOE,109,18
2009,FEMALE,WHITE NON HISPANIC,LILY,108,19
2009,FEMALE,WHITE NON HISPANIC,SOFIA,103,20
2009,FEMALE,WHITE NON HISPANIC,SAMANTHA,102,21
2009,FEMALE,WHITE NON HISPANIC,ELIZABETH,98,22
2009,FEMALE,WHITE NON HISPANIC,GABRIELLA,97,23
2009,FEMALE,WHITE NON HISPANIC,VICTORIA,97,23
2009,FEMALE,WHITE NON HISPANIC,SOPHIE,96,24
2009,FEMALE,WHITE NON HISPANIC,ANNA,95,25
2009,FEMALE,WHITE NON HISPANIC,ZOE,93,26
2009,FEMALE,WHITE NON HISPANIC,GRACE,89,27
2009,FEMALE,WHITE NON HISPANIC,RIVKA,83,28
2009,FEMALE,WHITE NON HISPANIC,MADISON,72,29
2009,FEMALE,WHITE NON HISPANIC,NICOLE,67,30
2009,FEMALE,WHITE NON HISPANIC,HANNAH,66,31
2009,FEMALE,WHITE NON HISPANIC,EVA,65,32
2009,FEMALE,WHITE NON HISPANIC,ANGELINA,62,33
2009,FEMALE,WHITE NON HISPANIC,GIANNA,62,33
2009,FEMALE,WHITE NON HISPANIC,CAROLINE,61,34
2009,FEMALE,WHITE NON HISPANIC,FAIGY,61,34
2009,FEMALE,WHITE NON HISPANIC,ALEXA,60,35
2009,FEMALE,WHITE NON HISPANIC,AMELIA,60,35
2009,FEMALE,WHITE NON HISPANIC,MALKA,60,35
2009,FEMALE,WHITE NON HISPANIC,KATHERINE,59,36
2009,FEMALE,WHITE NON HISPANIC,GITTY,57,37
2009,FEMALE,WHITE NON HISPANIC,RAIZY,57,37
2009,FEMALE,WHITE NON HISPANIC,BAILA,55,38
2009,FEMALE,WHITE NON HISPANIC,LILA,55,38
2009,FEMALE,WHITE NON HISPANIC,NATALIE,55,38
2009,FEMALE,WHITE NON HISPANIC,LUCY,53,39
2009,FEMALE,WHITE NON HISPANIC,KAYLA,51,40
2009,FEMALE,WHITE NON HISPANIC,LAUREN,51,40
2009,FEMALE,WHITE NON HISPANIC,JESSICA,50,41
2009,FEMALE,WHITE NON HISPANIC,MALKY,50,41
2009,FEMALE,WHITE NON HISPANIC,REBECCA,50,41
2009,FEMALE,WHITE NON HISPANIC,STELLA,50,41
2009,FEMALE,WHITE NON HISPANIC,BROOKE,49,42
2009,FEMALE,WHITE NON HISPANIC,MADELINE,47,43
2009,FEMALE,WHITE NON HISPANIC,RILEY,46,44
2009,FEMALE,WHITE NON HISPANIC,RIVKY,45,45
2009,FEMALE,WHITE NON HISPANIC,ALEXIS,44,46
2009,FEMALE,WHITE NON HISPANIC,RUBY,44,46
2009,FEMALE,WHITE NON HISPANIC,ALYSSA,43,47
2009,FEMALE,WHITE NON HISPANIC,SHAINDY,42,48
2009,FEMALE,WHITE NON HISPANIC,SYDNEY,42,48
2009,FEMALE,WHITE NON HISPANIC,DANIELLA,41,49
2009,FEMALE,WHITE NON HISPANIC,PENELOPE,41,49
2009,FEMALE,WHITE NON HISPANIC,BRIANNA,40,50
2009,FEMALE,WHITE NON HISPANIC,CLAIRE,39,51
2009,FEMALE,WHITE NON HISPANIC,DEVORAH,39,51
2009,FEMALE,WHITE NON HISPANIC,MARIA,39,51
2009,FEMALE,WHITE NON HISPANIC,MICHELLE,39,51
2009,FEMALE,WHITE NON HISPANIC,SIENNA,39,51
2009,FEMALE,WHITE NON HISPANIC,ELEANOR,38,52
2009,FEMALE,WHITE NON HISPANIC,MARY,38,52
2009,FEMALE,WHITE NON HISPANIC,TALIA,38,52
2009,FEMALE,WHITE NON HISPANIC,AVERY,37,53
2009,FEMALE,WHITE NON HISPANIC,ELIANA,36,54
2009,FEMALE,WHITE NON HISPANIC,FRANCESCA,36,54
2009,FEMALE,WHITE NON HISPANIC,MARGARET,36,54
2009,FEMALE,WHITE NON HISPANIC,NAOMI,36,54
2009,FEMALE,WHITE NON HISPANIC,VALENTINA,36,54
2009,FEMALE,WHITE NON HISPANIC,ALICE,35,55
2009,FEMALE,WHITE NON HISPANIC,ANASTASIA,35,55
2009,FEMALE,WHITE NON HISPANIC,HAILEY,35,55
2009,FEMALE,WHITE NON HISPANIC,KATE,35,55
2009,FEMALE,WHITE NON HISPANIC,LILLIAN,35,55
2009,FEMALE,WHITE NON HISPANIC,NINA,35,55
2009,FEMALE,WHITE NON HISPANIC,NOA,35,55
2009,FEMALE,WHITE NON HISPANIC,ROSE,35,55
2009,FEMALE,WHITE NON HISPANIC,TOBY,34,56
2009,FEMALE,WHITE NON HISPANIC,AUDREY,33,57
2009,FEMALE,WHITE NON HISPANIC,CHAVA,33,57
2009,FEMALE,WHITE NON HISPANIC,DINA,33,57
2009,FEMALE,WHITE NON HISPANIC,MOLLY,33,57
2009,FEMALE,WHITE NON HISPANIC,MORGAN,33,57
2009,FEMALE,WHITE NON HISPANIC,SADIE,33,57
2009,FEMALE,WHITE NON HISPANIC,ARIELLA,32,58
2009,FEMALE,WHITE NON HISPANIC,GABRIELLE,32,58
2009,FEMALE,WHITE NON HISPANIC,JULIANA,32,58
2009,FEMALE,WHITE NON HISPANIC,MADELEINE,32,58
2009,FEMALE,WHITE NON HISPANIC,NECHAMA,32,58
2009,FEMALE,WHITE NON HISPANIC,SHIRA,32,58
2009,FEMALE,WHITE NON HISPANIC,GOLDY,31,59
2009,FEMALE,WHITE NON HISPANIC,JULIET,31,59
2009,FEMALE,WHITE NON HISPANIC,KAITLYN,31,59
2009,FEMALE,WHITE NON HISPANIC,MINDY,31,59
2009,FEMALE,WHITE NON HISPANIC,ARIANNA,30,60
2009,FEMALE,WHITE NON HISPANIC,CATHERINE,29,61
2009,FEMALE,WHITE NON HISPANIC,FIONA,29,61
2009,FEMALE,WHITE NON HISPANIC,LUCIA,29,61
2009,FEMALE,WHITE NON HISPANIC,SCARLETT,29,61
2009,FEMALE,WHITE NON HISPANIC,ISABELLE,28,62
2009,FEMALE,WHITE NON HISPANIC,LAYLA,28,62
2009,FEMALE,WHITE NON HISPANIC,LOLA,28,62
2009,FEMALE,WHITE NON HISPANIC,TAYLOR,28,62
2009,FEMALE,WHITE NON HISPANIC,VIOLET,28,62
2009,FEMALE,WHITE NON HISPANIC,ARIANA,27,63
2009,FEMALE,WHITE NON HISPANIC,CLARA,27,63
2009,FEMALE,WHITE NON HISPANIC,ISABEL,27,63
2009,FEMALE,WHITE NON HISPANIC,VIVIAN,27,63
2009,FEMALE,WHITE NON HISPANIC,ALLISON,26,64
2009,FEMALE,WHITE NON HISPANIC,BELLA,26,64
2009,FEMALE,WHITE NON HISPANIC,DIANA,26,64
2009,FEMALE,WHITE NON HISPANIC,ISLA,26,64
2009,FEMALE,WHITE NON HISPANIC,LYLA,26,64
2009,FEMALE,WHITE NON HISPANIC,SABRINA,26,64
2009,FEMALE,WHITE NON HISPANIC,VERONICA,26,64
2009,FEMALE,WHITE NON HISPANIC,ADDISON,25,65
2009,FEMALE,WHITE NON HISPANIC,AMANDA,25,65
2009,FEMALE,WHITE NON HISPANIC,BLIMY,25,65
2009,FEMALE,WHITE NON HISPANIC,BRACHA,25,65
2009,FEMALE,WHITE NON HISPANIC,ELIZA,25,65
2009,FEMALE,WHITE NON HISPANIC,FRAIDY,25,65
2009,FEMALE,WHITE NON HISPANIC,JACQUELINE,25,65
2009,FEMALE,WHITE NON HISPANIC,PEARL,25,65
2009,FEMALE,WHITE NON HISPANIC,SHOSHANA,25,65
2009,FEMALE,WHITE NON HISPANIC,YEHUDIS,25,65
2009,FEMALE,WHITE NON HISPANIC,CHANY,24,66
2009,FEMALE,WHITE NON HISPANIC,DYLAN,24,66
2009,FEMALE,WHITE NON HISPANIC,EDEN,24,66
2009,FEMALE,WHITE NON HISPANIC,HARPER,24,66
2009,FEMALE,WHITE NON HISPANIC,KEIRA,24,66
2009,FEMALE,WHITE NON HISPANIC,LEA,24,66
2009,FEMALE,WHITE NON HISPANIC,NORA,24,66
2009,FEMALE,WHITE NON HISPANIC,ELENA,23,67
2009,FEMALE,WHITE NON HISPANIC,HAZEL,23,67
2009,FEMALE,WHITE NON HISPANIC,JULIANNA,23,67
2009,FEMALE,WHITE NON HISPANIC,JULIETTE,23,67
2009,FEMALE,WHITE NON HISPANIC,LAILA,23,67
2009,FEMALE,WHITE NON HISPANIC,NATALIA,23,67
2009,FEMALE,WHITE NON HISPANIC,ADINA,22,68
2009,FEMALE,WHITE NON HISPANIC,BLIMA,22,68
2009,FEMALE,WHITE NON HISPANIC,EVELYN,22,68
2009,FEMALE,WHITE NON HISPANIC,FAIGA,22,68
2009,FEMALE,WHITE NON HISPANIC,GABRIELA,22,68
2009,FEMALE,WHITE NON HISPANIC,GEORGIA,22,68
2009,FEMALE,WHITE NON HISPANIC,MAEVE,22,68
2009,FEMALE,WHITE NON HISPANIC,SASHA,22,68
2009,FEMALE,WHITE NON HISPANIC,ASHLEY,21,69
2009,FEMALE,WHITE NON HISPANIC,GITTEL,21,69
2009,FEMALE,WHITE NON HISPANIC,JENNA,21,69
2009,FEMALE,WHITE NON HISPANIC,JORDAN,21,69
2009,FEMALE,WHITE NON HISPANIC,JOSEPHINE,21,69
2009,FEMALE,WHITE NON HISPANIC,LIBBY,21,69
2009,FEMALE,WHITE NON HISPANIC,YAEL,21,69
2009,FEMALE,WHITE NON HISPANIC,CHAVY,20,70
2009,FEMALE,WHITE NON HISPANIC,HENNY,20,70
2009,FEMALE,WHITE NON HISPANIC,LIBA,20,70
2009,FEMALE,WHITE NON HISPANIC,LILIANA,20,70
2009,FEMALE,WHITE NON HISPANIC,MARGOT,20,70
2009,FEMALE,WHITE NON HISPANIC,PESSY,20,70
2009,FEMALE,WHITE NON HISPANIC,ROCHEL,20,70
2009,FEMALE,WHITE NON HISPANIC,YITTY,20,70
2009,FEMALE,WHITE NON HISPANIC,ADRIANA,19,71
2009,FEMALE,WHITE NON HISPANIC,DANIELA,19,71
2009,FEMALE,WHITE NON HISPANIC,ELISHEVA,19,71
2009,FEMALE,WHITE NON HISPANIC,ELLE,19,71
2009,FEMALE,WHITE NON HISPANIC,EMILIA,19,71
2009,FEMALE,WHITE NON HISPANIC,GENEVIEVE,19,71
2009,FEMALE,WHITE NON HISPANIC,JANE,19,71
2009,FEMALE,WHITE NON HISPANIC,MACKENZIE,19,71
2009,FEMALE,WHITE NON HISPANIC,PAIGE,19,71
2009,FEMALE,WHITE NON HISPANIC,PEREL,19,71
2009,FEMALE,WHITE NON HISPANIC,PHOEBE,19,71
2009,FEMALE,WHITE NON HISPANIC,YIDES,19,71
2009,FEMALE,WHITE NON HISPANIC,ALESSANDRA,18,72
2009,FEMALE,WHITE NON HISPANIC,CAITLIN,18,72
2009,FEMALE,WHITE NON HISPANIC,CHRISTINA,18,72
2009,FEMALE,WHITE NON HISPANIC,ERIN,18,72
2009,FEMALE,WHITE NON HISPANIC,SIMA,18,72
2009,FEMALE,WHITE NON HISPANIC,SURY,18,72
2009,FEMALE,WHITE NON HISPANIC,YOCHEVED,18,72
2009,FEMALE,WHITE NON HISPANIC,AHUVA,17,73
2009,FEMALE,WHITE NON HISPANIC,ALINA,17,73
2009,FEMALE,WHITE NON HISPANIC,ANNABELLE,17,73
2009,FEMALE,WHITE NON HISPANIC,ARIEL,17,73
2009,FEMALE,WHITE NON HISPANIC,BEATRICE,17,73
2009,FEMALE,WHITE NON HISPANIC,DANIELLE,17,73
2009,FEMALE,WHITE NON HISPANIC,ESTY,17,73
2009,FEMALE,WHITE NON HISPANIC,GIULIANA,17,73
2009,FEMALE,WHITE NON HISPANIC,MADELYN,17,73
2009,FEMALE,WHITE NON HISPANIC,MATILDA,17,73
2009,FEMALE,WHITE NON HISPANIC,RAIZEL,17,73
2009,FEMALE,WHITE NON HISPANIC,SERENA,17,73
2009,FEMALE,WHITE NON HISPANIC,STEPHANIE,17,73
2009,FEMALE,WHITE NON HISPANIC,AMY,16,74
2009,FEMALE,WHITE NON HISPANIC,CECILIA,16,74
2009,FEMALE,WHITE NON HISPANIC,HINDY,16,74
2009,FEMALE,WHITE NON HISPANIC,LAURA,16,74
2009,FEMALE,WHITE NON HISPANIC,MARIAM,16,74
2009,FEMALE,WHITE NON HISPANIC,NICOLETTE,16,74
2009,FEMALE,WHITE NON HISPANIC,REESE,16,74
2009,FEMALE,WHITE NON HISPANIC,SHAYNA,16,74
2009,FEMALE,WHITE NON HISPANIC,VALERIE,16,74
2009,FEMALE,WHITE NON HISPANIC,ZISSY,16,74
2009,FEMALE,WHITE NON HISPANIC,ANA,15,75
2009,FEMALE,WHITE NON HISPANIC,ARIELLE,15,75
2009,FEMALE,WHITE NON HISPANIC,BATSHEVA,15,75
2009,FEMALE,WHITE NON HISPANIC,DEVORA,15,75
2009,FEMALE,WHITE NON HISPANIC,ELSA,15,75
2009,FEMALE,WHITE NON HISPANIC,ETTY,15,75
2009,FEMALE,WHITE NON HISPANIC,FRADEL,15,75
2009,FEMALE,WHITE NON HISPANIC,FRIEDA,15,75
2009,FEMALE,WHITE NON HISPANIC,MIRI,15,75
2009,FEMALE,WHITE NON HISPANIC,PIPER,15,75
2009,FEMALE,WHITE NON HISPANIC,RIFKY,15,75
2009,FEMALE,WHITE NON HISPANIC,RUCHY,15,75
2009,FEMALE,WHITE NON HISPANIC,SIMONE,15,75
2009,FEMALE,WHITE NON HISPANIC,SKYLAR,15,75
2009,FEMALE,WHITE NON HISPANIC,SURI,15,75
2009,FEMALE,WHITE NON HISPANIC,TRANY,15,75
2009,FEMALE,WHITE NON HISPANIC,BRIDGET,14,76
2009,FEMALE,WHITE NON HISPANIC,DAPHNE,14,76
2009,FEMALE,WHITE NON HISPANIC,DELILAH,14,76
2009,FEMALE,WHITE NON HISPANIC,HELEN,14,76
2009,FEMALE,WHITE NON HISPANIC,JILLIAN,14,76
2009,FEMALE,WHITE NON HISPANIC,KRISTINA,14,76
2009,FEMALE,WHITE NON HISPANIC,LIA,14,76
2009,FEMALE,WHITE NON HISPANIC,LIANA,14,76
2009,FEMALE,WHITE NON HISPANIC,MILA,14,76
2009,FEMALE,WHITE NON HISPANIC,RIVKAH,14,76
2009,FEMALE,WHITE NON HISPANIC,RYAN,14,76
2009,FEMALE,WHITE NON HISPANIC,SAVANNAH,14,76
2009,FEMALE,WHITE NON HISPANIC,SHIFRA,14,76
2009,FEMALE,WHITE NON HISPANIC,TESS,14,76
2009,FEMALE,WHITE NON HISPANIC,VANESSA,14,76
2009,FEMALE,WHITE NON HISPANIC,VIVIENNE,14,76
2009,FEMALE,WHITE NON HISPANIC,ALISA,13,77
2009,FEMALE,WHITE NON HISPANIC,AMALIA,13,77
2009,FEMALE,WHITE NON HISPANIC,ANGELICA,13,77
2009,FEMALE,WHITE NON HISPANIC,ARIELA,13,77
2009,FEMALE,WHITE NON HISPANIC,AYA,13,77
2009,FEMALE,WHITE NON HISPANIC,BIANCA,13,77
2009,FEMALE,WHITE NON HISPANIC,CELIA,13,77
2009,FEMALE,WHITE NON HISPANIC,DALIA,13,77
