QUEENS CONDOMINIUM PROPERTY Boro-Block-Lot,QUEENS CONDOMINIUM PROPERTY Condo Section,QUEENS CONDOMINIUM PROPERTY Address,QUEENS CONDOMINIUM PROPERTY Neighborhood,QUEENS CONDOMINIUM PROPERTY Building Classification,QUEENS CONDOMINIUM PROPERTY Total Units,QUEENS CONDOMINIUM PROPERTY Year Built,QUEENS CONDOMINIUM PROPERTY Gross SqFt,QUEENS CONDOMINIUM PROPERTY Est. Gross Income,QUEENS CONDOMINIUM PROPERTY Gross Income per SqFt,QUEENS CONDOMINIUM PROPERTY Full Market Value,QUEENS CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
4-11599-7501,495-R1,109-18 LEFFERTS BOULEVARD,SOUTH OZONE PARK,R2-WALK-UP,24,0,19200,288000,15,974001,51,4-11545-0026,94-20 ALBERT ROAD,OZONE PARK,C1-WALK-UP,36,1967,20646,321230,15.56,1090000,53,1.25,4-12311-0050,156-01 NORTH CONDUIT AVEN,SPRINGFIELD GARDENS,C9-WALK-UP,46,1972,31365,565076,18.02,2110000,67,2.45
4-15557-7501,179-R1,10-11 NAMEOKE STREET,FAR ROCKAWAY,R4-ELEVATOR,64,1961,73060,767130,10.5,2159993,29.6,4-15574-0020,13-34 CAFFREY AVENUE,FAR ROCKAWAY,D1-ELEVATOR,84,1963,83682,938847,11.22,2430000,29,0.2,4-15753-0072,23-11 CORNAGA AVENUE,FAR ROCKAWAY,D1-ELEVATOR,76,1964,78600,768367,9.78,1830000,23.28,0.45
4-15612-7501,570-R1,156 BEACH 9 STREET,FAR ROCKAWAY,R4-ELEVATOR,42,2007,51175,1228200,24,5090001,99,4-16151-0006,2-14 BEACH 96 STREET,HAMMELS,D1-ELEVATOR,72,2004,55628,1047003,18.82,3910000,70,4,4-09760-0022,90-05 161 STREET,JAMAICA,D6-ELEVATOR,96,2003,54496,1465042,26.9,6070000,111,8.1
4-16112-7501,524-R1,79-14 ROCKAWAY BEACH BOUL,HAMMELS,R4-ELEVATOR,86,2006,111775,2235500,20,8359995,75,4-16151-0006,2-14 BEACH 96 STREET,HAMMELS,D1-ELEVATOR,72,2004,55628,1047003,18.82,3910000,70,0.7,4-09760-0022,90-05 161 STREET,JAMAICA,D6-ELEVATOR,96,2003,54496,1465042,26.9,6070000,111,8
4-16113-7501,463-R1,2-21 BEACH 80 STREET,HAMMELS,R4-ELEVATOR,66,2005,93315,1959615,21,8119999,87,4-16151-0006,2-14 BEACH 96 STREET,HAMMELS,D1-ELEVATOR,72,2004,55628,1047003,18.82,3910000,70,0.65,4-09760-0022,90-05 161 STREET,JAMAICA,D6-ELEVATOR,96,2003,54496,1465042,26.9,6070000,111,8
4-16113-7502,462-R1,260 BEACH 81 STREET,HAMMELS,R4-ELEVATOR,78,2005,82862,1740102,21,7210005,87,4-16151-0006,2-14 BEACH 96 STREET,HAMMELS,D1-ELEVATOR,72,2004,55628,1047003,18.82,3910000,70,0.65,4-09760-0022,90-05 161 STREET,JAMAICA,D6-ELEVATOR,96,2003,54496,1465042,26.9,6070000,111,8
4-16137-7501,451-R1,138 BEACH 92 STREET,HAMMELS,R2-WALK-UP,20,2005,27560,551200,20,2060000,75,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,625842,25.6,2590000,106,13.1,4-16151-0006,2-14 BEACH 96 STREET,HAMMELS,D1-ELEVATOR,72,2004,55628,1047003,18.82,3910000,70,0.25
4-16173-7501,494-R1,100-04 SHORE FRONT PARKWA,ROCKAWAY PARK,R2-WALK-UP,78,2007,98222,1964440,20,7349988,75,4-16151-0006,2-14 BEACH 96 STREET,HAMMELS,D1-ELEVATOR,72,2004,55628,1047003,18.82,3910000,70,0.3,4-00598-0018,26-39 30 STREET,ASTORIA,C1-WALK-UP,14,1999,10000,193214,19.32,722000,72,13.8
4-16176-7501,541-R1,102-02 ROCKAWAY BEACH BOU,ROCKAWAY PARK,R2-WALK-UP,52,2006,53200,1223600,23,5070001,95,4-16151-0006,2-14 BEACH 96 STREET,HAMMELS,D1-ELEVATOR,72,2004,55628,1047003,18.82,3910000,70,0.4,4-09760-0022,90-05 161 STREET,JAMAICA,D6-ELEVATOR,96,2003,54496,1465042,26.9,6070000,111,8.5
4-16226-7501,467-R1,136 BEACH 117 STREET,ROCKAWAY PARK,R4-ELEVATOR,93,2005,74400,1860000,25,7700008,103,4-16151-0006,2-14 BEACH 96 STREET,HAMMELS,D1-ELEVATOR,72,2004,55628,1047003,18.82,3910000,70,1.1,4-09760-0022,90-05 161 STREET,JAMAICA,D6-ELEVATOR,96,2003,54496,1465042,26.9,6070000,111,9
4-16228-7501,588-R1,118-20 OCEAN PROMENADE,ROCKAWAY PARK,R4-ELEVATOR,26,2005,41713,1084538,26,4489991,108,4-09760-0022,90-05 161 STREET,JAMAICA,D6-ELEVATOR,96,2003,54496,1465042,26.9,6070000,111,9,4-16151-0006,2-14 BEACH 96 STREET,HAMMELS,D1-ELEVATOR,72,2004,55628,1047003,18.82,3910000,70,1.2
4-16233-7501,173-R1,123-10 OAK STREET,ROCKAWAY PARK,R9-CONDOPS,81,1986,82600,970550,11.75,2730000,33.1,4-16226-0074,180 BEACH 117 STREET,ROCKAWAY PARK,D1-ELEVATOR,61,1960,50347,518067,10.29,1340000,26.6,0.35,4-15625-0001,250 BEACH 15 STREET,FAR ROCKAWAY,D1-ELEVATOR,138,1981,100865,1170164,11.6,2480000,24.59,5.2
