QUEENS CONDOMINIUM PROPERTY Boro-Block-Lot,QUEENS CONDOMINIUM PROPERTY Condo Section,QUEENS CONDOMINIUM PROPERTY Address,QUEENS CONDOMINIUM PROPERTY Neighborhood,QUEENS CONDOMINIUM PROPERTY Building Classification,QUEENS CONDOMINIUM PROPERTY Total Units,QUEENS CONDOMINIUM PROPERTY Year Built,QUEENS CONDOMINIUM PROPERTY Gross SqFt,QUEENS CONDOMINIUM PROPERTY Est. Gross Income,QUEENS CONDOMINIUM PROPERTY Gross Income per SqFt,QUEENS CONDOMINIUM PROPERTY Full Market Value,QUEENS CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
4-00196-7501,286-R1,47-35 41 STREET,SUNNYSIDE,R4-ELEVATOR,30,1988,27636,607992,22,2599997,94,4-01304-0021,40-19 72 STREET,ELMHURST,D1-ELEVATOR,50,1965,30618,718143,23.45,2970000,97,1.65,4-01332-0026,58-23 43 AVENUE,WOODSIDE,D1-ELEVATOR,35,1990,29636,600632,20.27,2250000,76,0.95
4-00199-7501,97-R1,47-55 39 PLACE,SUNNYSIDE,R4-ELEVATOR,47,1939,42000,567000,13.5,1769995,42.1,4-00193-0055,45-54 41 STREET,SUNNYSIDE,D9-ELEVATOR,50,1936,44600,648793,14.55,2190000,49.1,0.15,4-00199-0052,47-46 40 STREET,SUNNYSIDE,D1-ELEVATOR,55,1939,50400,692195,13.73,2160000,42.9,0
4-00267-7501,518-R1,44-27 PURVIS STREET,LONG ISLAND CITY,R4-ELEVATOR,64,2006,64957,1623925,25,6730002,104,4-00531-0060,31-64 21 STREET,ASTORIA,D1-ELEVATOR,52,2002,46333,1176751,25.4,4870000,105,1.4,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,625842,25.6,2590000,106,0.7
4-00414-7501,566-R1,24-15 QUEENS PLAZA NORTH,LONG ISLAND CITY,R4-ELEVATOR,39,1931,52053,806821,15.5,2729997,52,4-00341-0021,35-03 29 STREET,LONG ISLAND CITY,D1-ELEVATOR,48,1940,35568,546133,15.35,1850000,52,0.65,4-00190-0025,43-08 40 STREET,SUNNYSIDE,D1-ELEVATOR,71,1931,53000,874044,16.49,2960000,56,0.95
4-00415-7501,475-R1,41-26 27 STREET,LONG ISLAND CITY,R4-ELEVATOR,66,2004,66590,1997700,30,9310025,140,4-00021-0070,47-25 CENTER BOULEVARD,LONG ISLAND CITY,D8-ELEVATOR,495,2007,460000,17060015,37.1,36200000,79,1.05,4-09760-0022,90-05 161 STREET,JAMAICA,D6-ELEVATOR,96,2003,54496,1465042,26.9,6070000,111,8
4-00415-7502,623-R1,41-23 UNKNOWN,LONG ISLAND CITY,R4-ELEVATOR,121,2007,124347,3233022,26,13999989,113,4-00021-0060,47-05 CENTER BOULEVARD,LONG ISLAND CITY,D8-ELEVATOR,395,2007,466000,11898889,25.5,25200000,54,1.05,4-00531-0060,31-64 21 STREET,ASTORIA,D1-ELEVATOR,52,2002,46333,1176751,25.4,4870000,105,1.1
4-00416-7501,533-R1,27-16 41 AVENUE,LONG ISLAND CITY,R4-ELEVATOR,26,2005,25938,648450,25,2689999,104,4-00531-0059,14-56 31 DRIVE,ASTORIA,D6-ELEVATOR,63,2001,61700,1369718,22.2,5670000,92,1.1,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,625842,25.6,2590000,106,0.95
4-00432-7501,513-R1,42-51 HUNTER STREET,LONG ISLAND CITY,R4-ELEVATOR,25,2007,30480,762000,25,3159984,104,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,625842,25.6,2590000,106,0.75,4-00531-0059,14-56 31 DRIVE,ASTORIA,D6-ELEVATOR,63,2001,61700,1369718,22.2,5670000,92,1.3
4-00504-7501,466-R1,30-85 VERNON BOULEVARD,ASTORIA,R4-ELEVATOR,73,2006,71589,1503369,21,6230001,87,4-00884-0012,25-63 22 STREET,ASTORIA,D1-ELEVATOR,73,1991,72000,1512000,21,3210000,44.6,0.55,4-00531-0059,14-56 31 DRIVE,ASTORIA,D6-ELEVATOR,63,2001,61700,1369718,22.2,5670000,92,0.25
4-00531-7501,529-R1,14-25 BROADWAY,ASTORIA,R4-ELEVATOR,11,2006,6920,0,0,716995,104,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,625842,25.6,2590000,106,2,4-01285-0065,37-54 75 STREET,JACKSON HEIGHTS,C7-WALK-UP,17,1964,9380,216560,23.09,897000,96,2.5
4-00534-7501,514-R1,30-80 21 STREET,ASTORIA,R4-ELEVATOR,29,2006,24480,587520,24,2430000,99,4-00531-0059,14-56 31 DRIVE,ASTORIA,D6-ELEVATOR,63,2001,61700,1369718,22.2,5670000,92,0.2,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,625842,25.6,2590000,106,2.15
4-00539-7501,448-R1,14-43 28 AVENUE,ASTORIA,R4-ELEVATOR,57,2006,19588,450524,23,1870017,95,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,550569,24.29,2280000,101,5.1,4-00531-0059,14-56 31 DRIVE,ASTORIA,D6-ELEVATOR,63,2001,61700,1369718,22.2,5670000,92,0.45
4-00541-7501,490-R1,18-10 27 AVENUE,ASTORIA,R9-CONDOPS,18,2005,18833,414326,22,1720000,91,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,550569,24.29,2280000,101,5.1,4-00573-0046,27-10 ASTORIA BOULEVARD,ASTORIA,D7-ELEVATOR,27,2004,25920,519388,20.04,1940000,75,0.3
4-00549-7501,568-R1,21-24 30 AVENUE,ASTORIA,R4-ELEVATOR,27,2006,30386,744457,24.5,3230004,106,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,625842,25.6,2590000,106,2.3,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,550569,24.29,2280000,101,4.95
4-00570-7501,535-R1,23-23 31 AVENUE,ASTORIA,R4-ELEVATOR,30,0,26598,664950,25,2750001,103,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,625842,25.6,2590000,106,2.15,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,550569,24.29,2280000,101,4.85
4-00570-7502,620-R1,23-03 31 AVENUE,ASTORIA,R4-ELEVATOR,15,2008,11282,282050,25,1170001,104,4-00021-0060,47-05 CENTER BOULEVARD,LONG ISLAND CITY,D8-ELEVATOR,395,2007,466000,11898889,25.5,25200000,54,2.15,4-00531-0060,31-64 21 STREET,ASTORIA,D1-ELEVATOR,52,2002,46333,1176751,25.4,4870000,105,0.25
4-00571-7501,198-R1,23-22 30 ROAD,ASTORIA,R4-ELEVATOR,85,1932,61600,985600,16,3330000,54,4-00587-0018,32-35 30 STREET,ASTORIA,C1-WALK-UP,86,1928,58000,1102991,19.02,4120000,71,0.45,4-00582-0049,33-15 28 STREET,ASTORIA,C1-WALK-UP,66,1933,47684,730563,15.32,2470000,52,0.45
4-00573-7501,565-R1,25-25 NEWTOWN AVENUE,ASTORIA,R4-ELEVATOR,30,2006,18292,439008,24,1820000,99,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,625842,25.6,2590000,106,2.5,4-00573-0046,27-10 ASTORIA BOULEVARD,ASTORIA,D7-ELEVATOR,27,2004,25920,519388,20.04,1940000,75,0
4-00576-7501,136-R1,30-06 30 AVENUE,ASTORIA,R9-CONDOPS,88,1937,67704,1032486,15.25,3490000,52,4-00582-0049,33-15 28 STREET,ASTORIA,C1-WALK-UP,66,1933,47684,730563,15.32,2470000,52,0.5,4-00575-0015,28-28 29 STREET,ASTORIA,C1-WALK-UP,54,1928,41310,656327,15.89,2220000,54,0.1
4-00577-7501,87-R1,30-44 29 STREET,ASTORIA,R4-ELEVATOR,125,1963,99600,1643400,16.5,5559993,56,4-00567-0007,23-35 BROADWAY,ASTORIA,D9-ELEVATOR,74,1963,79950,1634198,20.44,6110000,76,0.3,4-00576-0036,27-10 30 AVENUE,ASTORIA,D1-ELEVATOR,66,1963,50850,810693,15.94,2740000,54,0.05
4-00579-7502,224-R1,25-10 31 AVENUE,ASTORIA,R4-ELEVATOR,74,1950,55000,797500,14.5,2700006,49.1,4-00571-0001,30-60 CRESCENT STREET,ASTORIA,D1-ELEVATOR,79,1963,82637,1135624,13.74,3540000,42.8,0.25,4-00576-0036,27-10 30 AVENUE,ASTORIA,D1-ELEVATOR,66,1963,50850,810693,15.94,2740000,54,0.3
4-00593-7501,592-R1,30-27 30 STREET,ASTORIA,R4-ELEVATOR,11,2007,8320,208000,25,862000,104,4-00531-0059,14-56 31 DRIVE,ASTORIA,D6-ELEVATOR,63,2001,61700,1369718,22.2,5670000,92,0.5,4-00531-0060,31-64 21 STREET,ASTORIA,D1-ELEVATOR,52,2002,46333,1176751,25.4,4870000,105,0.5
4-00660-7501,655-R1,30-63 38 STREET,ASTORIA,R4-ELEVATOR,13,2007,9767,273476,28,1129998,116,4-00531-0060,31-64 21 STREET,ASTORIA,D1-ELEVATOR,52,2002,46333,1176751,25.4,4870000,105,0.85,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,550569,24.29,2280000,101,4.25
4-00676-7501,599-R1,32-86 BEACH 41 STREET,ASTORIA,R4-ELEVATOR,19,2005,14723,368075,25,1520001,103,4-00531-0059,14-56 31 DRIVE,ASTORIA,D6-ELEVATOR,63,2001,61700,1369718,22.2,5670000,92,0.9,4-00531-0060,31-64 21 STREET,ASTORIA,D1-ELEVATOR,52,2002,46333,1176751,25.4,4870000,105,0.9
4-00769-7501,631-R1,45-02 DITMARS BOULEVARD,ASTORIA,R4-ELEVATOR,201,1910,194780,4285160,22,17451633,90,4-00531-0059,14-56 31 DRIVE,ASTORIA,D6-ELEVATOR,63,2001,61700,1369718,22.2,5670000,92,1.5,4-03169-0021,99-22 67 ROAD,REGO PARK,D3-ELEVATOR,29,2001,22662,550569,24.29,2280000,101,4.1
4-00807-7501,358-R1,21-81 38 STREET,ASTORIA,R9-CONDOPS,32,1992,34650,554400,16,1870000,54,4-00579-0070,31-28 29 STREET,ASTORIA,D1-ELEVATOR,44,1971,34050,701900,20.61,2620000,77,1.3,4-00619-0033,31-20 28 ROAD,ASTORIA,C1-WALK-UP,12,1987,9053,136528,15.08,462000,51,0.9
4-00830-7501,197-R1,21-05 33 STREET,ASTORIA,R9-CONDOPS,618,1932,430000,6557500,15.25,22200000,52,4-00566-0001,32-16 33 AVENUE,ASTORIA,D1-ELEVATOR,66,1930,46050,759519,16.49,2570000,56,1.4,4-00620-0051,25-74 33 STREET,ASTORIA,D1-ELEVATOR,60,1931,46584,722241,15.5,2440000,52,0.7
4-00904-7501,375-R1,25-54 12 STREET,ASTORIA,R4-ELEVATOR,32,1994,17250,327750,19,1299998,75,4-00573-0046,27-10 ASTORIA BOULEVARD,ASTORIA,D7-ELEVATOR,27,2004,25920,519388,20.04,1940000,75,0.5,4-00598-0018,26-39 30 STREET,ASTORIA,C1-WALK-UP,14,1999,10000,193214,19.32,722000,72,0.65
4-00905-7501,319-R1,25-40 SHORE BOULEVARD,ASTORIA,R4-ELEVATOR,405,1989,372700,6522250,17.5,24400003,65,4-00908-0001,8-15 27 AVENUE,ASTORIA,D1-ELEVATOR,128,1969,112482,2286555,20.33,4850000,43.1,0.1,4-00903-0007,26-45 9 STREET,ASTORIA,D1-ELEVATOR,108,1972,131250,2092491,15.94,7070000,54,0.1
4-00946-7501,100-R1,19-90 78 STREET,JACKSON HEIGHTS,R2-WALK-UP,16,1929,14361,193873,13.5,604002,42.1,4-01272-0025,35-42 73 STREET,JACKSON HEIGHTS,C1-WALK-UP,32,1929,25832,327582,12.68,1020000,39.5,1.5,4-01291-0060,37-33 80 STREET,JACKSON HEIGHTS,C1-WALK-UP,27,1922,20750,291790,14.06,909000,43.8,1.65
4-00946-7501,100-R2,78-03 19 DRIVE,JACKSON HEIGHTS,R2-WALK-UP,150,1929,134944,1821744,13.5,5669952,42,4-01272-0025,35-42 73 STREET,JACKSON HEIGHTS,C1-WALK-UP,32,1929,25832,327582,12.68,1020000,39.5,1.5,4-01291-0060,37-33 80 STREET,JACKSON HEIGHTS,C1-WALK-UP,27,1922,20750,291790,14.06,909000,43.8,1.6
4-00946-7501,100-R3,19-69 79 STREET,JACKSON HEIGHTS,R2-WALK-UP,70,1929,63140,852390,13.5,2650001,42,4-01272-0025,35-42 73 STREET,JACKSON HEIGHTS,C1-WALK-UP,32,1929,25832,327582,12.68,1020000,39.5,1.5,4-01291-0060,37-33 80 STREET,JACKSON HEIGHTS,C1-WALK-UP,27,1922,20750,291790,14.06,909000,43.8,1.6
4-00946-7501,100-R4,19-35 80 STREET,AIRPORT LA GUARDIA,R2-WALK-UP,34,1929,31445,424507,13.5,1319999,42,4-01272-0025,35-42 73 STREET,JACKSON HEIGHTS,C1-WALK-UP,32,1929,25832,327582,12.68,1020000,39.5,1.55,4-01291-0060,37-33 80 STREET,JACKSON HEIGHTS,C1-WALK-UP,27,1922,20750,291790,14.06,909000,43.8,1.65
4-00946-7501,100-R5,76-03 DITMARS BOULEVARD,JACKSON HEIGHTS,R2-WALK-UP,48,1929,39804,537354,13.5,1670004,42,4-01272-0025,35-42 73 STREET,JACKSON HEIGHTS,C1-WALK-UP,32,1929,25832,327582,12.68,1020000,39.5,1.35,4-01291-0060,37-33 80 STREET,JACKSON HEIGHTS,C1-WALK-UP,27,1922,20750,291790,14.06,909000,43.8,1.5
4-00946-7501,100-R6,77-03 DITMARS BOULEVARD,JACKSON HEIGHTS,R2-WALK-UP,92,1929,83680,1129680,13.5,3519996,42.1,4-01272-0025,35-42 73 STREET,JACKSON HEIGHTS,C1-WALK-UP,32,1929,25832,327582,12.68,1020000,39.5,1.35,4-01291-0060,37-33 80 STREET,JACKSON HEIGHTS,C1-WALK-UP,27,1922,20750,291790,14.06,909000,43.8,1.5
4-00946-7501,100-R7,21-59 78 STREET,JACKSON HEIGHTS,R2-WALK-UP,70,1929,58333,787495,13.5,2450009,42,4-01272-0025,35-42 73 STREET,JACKSON HEIGHTS,C1-WALK-UP,32,1929,25832,327582,12.68,1020000,39.5,1.4,4-01291-0060,37-33 80 STREET,JACKSON HEIGHTS,C1-WALK-UP,27,1922,20750,291790,14.06,909000,43.8,1.5
4-00946-7501,100-R8,22-35 75 STREET,JACKSON HEIGHTS,R2-WALK-UP,75,1929,64422,869697,13.5,2710003,42.1,4-01272-0025,35-42 73 STREET,JACKSON HEIGHTS,C1-WALK-UP,32,1929,25832,327582,12.68,1020000,39.5,1.25,4-01291-0060,37-33 80 STREET,JACKSON HEIGHTS,C1-WALK-UP,27,1922,20750,291790,14.06,909000,43.8,1.4
4-00946-7501,100-R9,22-31 76 STREET,JACKSON HEIGHTS,R2-WALK-UP,204,1929,174093,2350255,13.5,7319996,42,4-01272-0025,35-42 73 STREET,JACKSON HEIGHTS,C1-WALK-UP,32,1929,25832,327582,12.68,1020000,39.5,1.25,4-01291-0060,37-33 80 STREET,JACKSON HEIGHTS,C1-WALK-UP,27,1922,20750,291790,14.06,909000,43.8,1.35
4-01010-7501,73-R1,22-10 79 STREET,JACKSON HEIGHTS,R2-WALK-UP,257,1952,254910,3505012,13.75,10900029,42.8,4-01471-0012,37-16 84 STREET,JACKSON HEIGHTS,C1-WALK-UP,204,1926,180804,2431656,13.45,7570000,41.9,1.35,4-01455-0001,94-06 34 AVENUE,JACKSON HEIGHTS,D1-ELEVATOR,58,1959,52040,643744,12.37,1810000,34.8,1.3
4-01263-7501,96-R1,76-15 35 AVENUE,JACKSON HEIGHTS,R4-ELEVATOR,96,1939,128050,1728675,13.5,5380008,42,4-01262-0034,75-05 35 AVENUE,JACKSON HEIGHTS,D1-ELEVATOR,66,1930,75648,964069,12.74,3000000,39.7,0.05,4-01263-0044,34-35 35 AVENUE,JACKSON HEIGHTS,D1-ELEVATOR,122,1949,124600,1648764,13.23,5130000,41.2,0
4-01266-7501,95-R1,79-15 35 AVENUE,JACKSON HEIGHTS,R4-ELEVATOR,41,1939,50996,675697,13.25,2099996,41.2,4-01261-0054,34-35 74 STREET,JACKSON HEIGHTS,D1-ELEVATOR,42,1936,38000,523405,13.77,1630000,42.9,0.25,4-01246-0035,33-51 73 STREET,JACKSON HEIGHTS,D1-ELEVATOR,48,1936,49800,653600,13.12,2040000,41,0.3
4-01267-7501,602-R1,80-09 35 AVENUE,JACKSON HEIGHTS,R4-ELEVATOR,96,1942,120000,1500000,12.5,4220000,35.2,4-01261-0035,74-15 35 AVENUE,JACKSON HEIGHTS,D1-ELEVATOR,97,1935,97170,1183978,12.18,3330000,34.3,0.3,4-01263-0044,34-35 35 AVENUE,JACKSON HEIGHTS,D1-ELEVATOR,122,1949,124600,1648764,13.23,5130000,41.2,0.2
4-01268-7501,126-R1,34-44 82 STREET,JACKSON HEIGHTS,R4-ELEVATOR,52,1937,66083,908641,13.75,2829985,42.8,4-01260-0016,34-20 74 STREET,JACKSON HEIGHTS,D1-ELEVATOR,65,1937,66138,951080,14.38,2960000,44.8,0.4,4-01275-0061,35-15 75 STREET,JACKSON HEIGHTS,D1-ELEVATOR,59,1939,60000,769482,12.82,2160000,36,0.35
4-01270-7501,83-R1,35-20 LEVERICH STREET,JACKSON HEIGHTS,R4-ELEVATOR,214,1964,214300,3193070,14.9,10800015,50,4-01138-0030,31-16 68 STREET,JACKSON HEIGHTS,D1-ELEVATOR,74,1964,65810,929965,14.13,2900000,44.1,0.5,4-01453-0010,92-16 34 AVENUE,JACKSON HEIGHTS,D1-ELEVATOR,96,1963,59723,967925,16.21,3270000,55,1.1
4-01277-7501,66-R1,35-50 78 STREET,JACKSON HEIGHTS,R4-ELEVATOR,57,1937,64010,880137,13.75,2740017,42.8,4-01260-0016,34-20 74 STREET,JACKSON HEIGHTS,D1-ELEVATOR,65,1937,66138,951080,14.38,2960000,44.8,0.25,4-01275-0061,35-15 75 STREET,JACKSON HEIGHTS,D1-ELEVATOR,59,1939,60000,769482,12.82,2160000,36,0.1
4-01307-7501,279-R1,41-14 68 STREET,WOODSIDE,R2-WALK-UP,16,1986,15633,273577,17.5,1019998,65,4-01606-0052,40-37 97 STREET,CORONA,C1-WALK-UP,16,1990,12304,175895,14.3,595000,48.4,1.6,4-01317-0074,54-01 ROOSEVELT AVENUE,WOODSIDE,C7-WALK-UP,15,1961,9800,213287,21.76,883000,90,0.65
4-01310-7501,211-R1,41-28 71 STREET,ELMHURST,R2-WALK-UP,16,1988,12682,177548,14,553001,43.6,4-01487-0011,40-10 77 STREET,ELMHURST,C1-WALK-UP,18,1961,10076,176037,17.47,658000,65,0.35,4-01285-0053,37-28 75 STREET,JACKSON HEIGHTS,C7-WALK-UP,16,1972,10010,142477,14.23,444000,44.4,0.35
4-01310-7503,387-R1,41-58 71 STREET,ELMHURST,R4-ELEVATOR,20,1991,16000,236000,14.75,798006,49.9,4-01505-0076,40-23 ITHACA STREET,ELMHURST,D1-ELEVATOR,21,1991,19250,260493,13.53,811000,42.1,0.7,4-01566-0021,41-40 DENMAN STREET,ELMHURST,D1-ELEVATOR,122,1961,99180,1416012,14.28,4790000,48.3,1.1
4-01312-7501,287-R1,41-58 73 STREET,ELMHURST,R2-WALK-UP,12,1987,7591,113865,15,384995,51,4-01505-0076,40-23 ITHACA STREET,ELMHURST,D1-ELEVATOR,21,1991,19250,260493,13.53,811000,42.1,0.6,4-01566-0021,41-40 DENMAN STREET,ELMHURST,D1-ELEVATOR,122,1961,99180,1416012,14.28,4790000,48.3,1
4-01336-7501,344-R1,61-20 WOODSIDE AVENUE,WOODSIDE,R2-WALK-UP,68,1992,45000,648000,14.4,2190006,48.7,4-01376-0032,26-49 96 STREET,EAST ELMHURST,C1-WALK-UP,84,1927,56584,763541,13.49,2380000,42.1,2,4-01344-0022,66-14 WOODSIDE AVENUE,WOODSIDE,C1-WALK-UP,40,1928,26544,456543,17.2,1710000,64,0.3
4-01337-7501,116-R1,62-10 WOODSIDE AVENUE,WOODSIDE,R4-ELEVATOR,63,1986,62254,996064,16,3370001,54,4-01307-0023,67-14 41 AVENUE,WOODSIDE,D7-ELEVATOR,90,1964,71700,1119665,15.62,3790000,53,0.25,4-01336-0052,40-14 62 STREET,WOODSIDE,D1-ELEVATOR,56,1963,42924,682230,15.89,2310000,54,0.05
4-01337-7502,483-R1,41-52 63 STREET,WOODSIDE,R4-ELEVATOR,24,2005,20298,426258,21,1769999,87,4-01332-0026,58-23 43 AVENUE,WOODSIDE,D1-ELEVATOR,35,1990,29636,600632,20.27,2250000,76,0.2,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,625842,25.6,2590000,106,2.65
4-01337-7503,504-R1,40 BEACH 62 STREET,WOODSIDE,R4-ELEVATOR,28,2005,19625,412125,21,1709997,87,4-01332-0026,58-23 43 AVENUE,WOODSIDE,D1-ELEVATOR,35,1990,29636,600632,20.27,2250000,76,0.2,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,625842,25.6,2590000,106,2.65
4-01349-7501,550-R1,69-07 43 AVENUE,ELMHURST,R4-ELEVATOR,30,2006,22926,641928,28,2660002,116,4-00040-0015,10-28 JACKSON AVENUE,LONG ISLAND CITY,D9-ELEVATOR,25,2005,24464,625842,25.6,2590000,106,3.1,4-04977-0017,136-14 NORTHERN BOULEVARD,FLUSHING-NORTH,D6-ELEVATOR,63,2000,52477,1320010,25.2,5470000,104,3.65
4-01433-7501,64-R1,85-11 34 AVENUE,JACKSON HEIGHTS,R4-ELEVATOR,89,1951,73800,1070100,14.5,3620008,49.1,4-01445-0034,84-09 35 AVENUE,JACKSON HEIGHTS,D1-ELEVATOR,84,1947,80754,1345570,16.66,4550000,56,0.15,4-01446-0033,85-05 35 AVENUE,JACKSON HEIGHTS,D1-ELEVATOR,90,1952,83238,1100592,13.22,3430000,41.2,0.15
4-01443-7501,99-R1,34-20 83 STREET,JACKSON HEIGHTS,R4-ELEVATOR,52,1929,60900,852600,14,2660005,43.7,4-01443-0033,82-15 35 AVENUE,JACKSON HEIGHTS,D1-ELEVATOR,49,1936,52422,720631,13.75,2240000,42.7,0,4-01443-0040,34-57 82 STREET,JACKSON HEIGHTS,D1-ELEVATOR,46,1936,51872,762322,14.7,2580000,49.7,0
4-01452-7501,219-R1,91-10 34 AVENUE,JACKSON HEIGHTS,R4-ELEVATOR,60,1928,49392,691488,14,2150001,43.5,4-01443-0033,82-15 35 AVENUE,JACKSON HEIGHTS,D1-ELEVATOR,49,1936,52422,720631,13.75,2240000,42.7,0.45,4-01452-0006,91-16 34 AVENUE,JACKSON HEIGHTS,D1-ELEVATOR,48,1929,38826,555852,14.32,1880000,48.4,0
4-01462-7501,223-R1,35-64 89 STREET,JACKSON HEIGHTS,R4-ELEVATOR,88,1927,82000,1168500,14.25,3950000,48.2,4-01451-0012,34-18 91 STREET,JACKSON HEIGHTS,D1-ELEVATOR,162,1927,95904,1544803,16.11,5220000,54,0.15,4-01443-0040,34-57 82 STREET,JACKSON HEIGHTS,D1-ELEVATOR,46,1936,51872,762322,14.7,2580000,49.7,0.35
4-01469-7501,499-R1,35-38 JUNCTION BOULEVARD,JACKSON HEIGHTS,R4-ELEVATOR,62,2006,46128,1153200,25,4780012,104,4-04977-0017,136-14 NORTHERN BOULEVARD,FLUSHING-NORTH,D6-ELEVATOR,63,2000,52477,1320010,25.2,5470000,104,2.35,4-00531-0059,14-56 31 DRIVE,ASTORIA,D6-ELEVATOR,63,2001,61700,1369718,22.2,5670000,92,3.3
4-01486-7501,503-R1,40-24 76 STREET,ELMHURST,R4-ELEVATOR,12,2004,22574,541776,24,2350000,104,4-04977-0017,136-14 NORTHERN BOULEVARD,FLUSHING-NORTH,D6-ELEVATOR,63,2000,52477,1320010,25.2,5470000,104,3.35,4-00531-0059,14-56 31 DRIVE,ASTORIA,D6-ELEVATOR,63,2001,61700,1369718,22.2,5670000,92,2.6
4-01492-7501,185-R1,81-09 41 AVENUE,ELMHURST,R4-ELEVATOR,22,1987,20652,309780,15,1049995,51,4-01505-0076,40-23 ITHACA STREET,ELMHURST,D1-ELEVATOR,21,1991,19250,260493,13.53,811000,42.1,0.15,4-01492-0032,81-31 BAXTER AVENUE,ELMHURST,D7-ELEVATOR,53,1963,33600,525820,15.65,1780000,53,0
4-01505-7501,291-R1,40-35 ITHACA STREET,ELMHURST,R4-ELEVATOR,65,1937,51890,778350,15,2630004,51,4-01504-0080,40-15 HAMPTON STREET,ELMHURST,D1-ELEVATOR,60,1939,57000,870784,15.28,2940000,52,0.05,4-01504-0074,40-25 HAMPTON STREET,ELMHURST,D1-ELEVATOR,60,1939,57000,884840,15.52,2990000,52,0.05
4-01509-7501,147-R1,82-01 BRITTON AVENUE,ELMHURST,R4-ELEVATOR,82,1939,84057,1092741,13,3400007,40.4,4-01511-0032,89-05 ELMHURST AVENUE,ELMHURST,D1-ELEVATOR,107,1938,104646,1257630,12.02,3530000,33.7,0.4,4-01509-0017,81-11 PETTIT AVENUE,ELMHURST,D7-ELEVATOR,109,1957,106541,1493594,14.02,4650000,43.6,0.1
4-01518-7501,89-R1,84-25 ELMHURST AVENUE,ELMHURST,R4-ELEVATOR,144,1954,144300,2020200,14,6298986,43.7,4-01525-0030,42-42 80 STREET,ELMHURST,D1-ELEVATOR,136,1955,111500,1679412,15.06,5680000,51,0.25,4-01581-0001,83-45 BROADWAY,ELMHURST,D7-ELEVATOR,194,1956,179494,2484959,13.84,7740000,43.1,0.2
4-01518-7502,196-R1,83-06 VIETOR AVENUE,ELMHURST,R9-CONDOPS,86,1932,90930,1273020,14,3960000,43.5,4-01525-0030,42-42 80 STREET,ELMHURST,D1-ELEVATOR,136,1955,111500,1679412,15.06,5680000,51,0.25,4-01581-0001,83-45 BROADWAY,ELMHURST,D7-ELEVATOR,194,1956,179494,2484959,13.84,7740000,43.1,0.2
4-01526-7501,58-R1,42-25 80 STREET,ELMHURST,R4-ELEVATOR,147,1960,115364,1557414,13.5,4850017,42,4-01525-0030,42-42 80 STREET,ELMHURST,D1-ELEVATOR,136,1955,111500,1679412,15.06,5680000,51,0.05,4-01566-0001,42-07 WHITNEY AVENUE,ELMHURST,D1-ELEVATOR,74,1959,69000,888105,12.87,2770000,40.1,0.6
