ZIP,Building type (service class), Consumption (mlbs) , Consumption (Mg) ,Utility/Data Source
"10026
(40.80305812163505, -73.95334277604826)",Large Residential,3019,1369,ConEd
"10028
(40.776344978837756, -73.95296667956859)",Commercial,946,429,ConEd
"10028
(40.776344978837756, -73.95296667956859)",Commercial,292775,132800,ConEd
"10028
(40.776344978837756, -73.95296667956859)",Large Residential,70157,31823,ConEd
"10033
(40.85621992920642, -73.94585900019268)",Commercial,8030,3642,ConEd
"10035
(40.79381703542788, -73.91931750020245)",Commercial,46948,21295,ConEd
"10036
(40.75934682719435, -73.989860554421)",Commercial,31939,14487,ConEd
"10036
(40.75934682719435, -73.989860554421)",Commercial,1276990,579233,ConEd
"10036
(40.75934682719435, -73.989860554421)",Large Residential,185204,84007,ConEd
"10036
(40.75934682719435, -73.989860554421)",Commercial,4103,1861,ConEd
"10038
(40.70935929189784, -74.00307186237649)",Commercial,12944,5871,ConEd
"10038
(40.70935929189784, -74.00307186237649)",Commercial,238716,108280,ConEd
"10038
(40.70935929189784, -74.00307186237649)",Large Residential,102786,46623,ConEd
"10048
",Commercial,72117,32712,ConEd
"10065
(40.76430121303059, -73.96303993544461)",Commercial,24267,11007,ConEd
"10065
(40.76430121303059, -73.96303993544461)",Commercial,94145,42704,ConEd
"10065
(40.76430121303059, -73.96303993544461)",Large Residential,139824,63423,ConEd
"10065
(40.76430121303059, -73.96303993544461)",Commercial,286837,130107,ConEd
"10075
(40.77293949176419, -73.95609016263086)",Commercial,6308,2861,ConEd
"10075
(40.77293949176419, -73.95609016263086)",Commercial,15672,7109,ConEd
"10075
(40.77293949176419, -73.95609016263086)",Large Residential,17430,7906,ConEd
"10128
(40.781770000585084, -73.95062814906976)",Large Residential,3373,1530,ConEd
