BRONX – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Address,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Total Units,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Year Built,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
2-02522-0109,"1383 PLIMPTON AVENUE
Bronx, NY
(40.842210247633716, -73.92323872588163)",HIGHBRIDGE/MORRIS HEIGHTS,C6-WALK-UP,26,1922,19250,182105,9.46,426000,22.13,2-02536-0001,"1406 MERRIAM AVENUE
Bronx, NY
(40.8427927739334, -73.92471970817714)",HIGHBRIDGE/MORRIS HEIGHTS,D7-ELEVATOR,40,1922,36000,340718,9.46,972000,27,0.05,2-02504-0094,"1038 ANDERSON AVENUE
Bronx, NY
(40.833150550279285, -73.92644422203932)",HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,172,1926,143606,1120245,7.8,2890000,20.12,0.75
2-02523-0150,"1015 SUMMIT AVENUE
Bronx, NY
(40.83360700450424, -73.93002678756274)",HIGHBRIDGE/MORRIS HEIGHTS,D4-ELEVATOR,38,1928,36900,259038,7.02,606000,16.42,2-02505-0046,"1130 ANDERSON AVENUE
Bronx, NY
(40.835399393333304, -73.92474226913575)",HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,42,1928,40800,286565,7.02,671000,16.45,0.35,2-02534-0003,"1370 DR
Bronx, NY
(40.82557699997852, -73.91844899972153)",HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,47,1928,58560,400371,6.84,937000,16,0.7
2-02534-0008,"1380 DR
Bronx, NY
(40.82557699997852, -73.91844899972153)",HIGHBRIDGE/MORRIS HEIGHTS,D4-ELEVATOR,140,1967,182218,1598052,8.77,5156000,28.3,2-02869-0058,"109 TREMONT AVENUE
Bronx, NY
(40.850833686417225, -73.90755599532852)",HIGHBRIDGE/MORRIS HEIGHTS,D7-ELEVATOR,69,1941,64594,571081,8.84,1470000,22.76,1,2-02878-0015,"1615 DR
Bronx, NY
(40.82557699997852, -73.91844899972153)",HIGHBRIDGE/MORRIS HEIGHTS,D7-ELEVATOR,33,1917,46383,386814,8.34,906000,19.53,0.45
2-02534-0038,"185 170 STREET
Bronx, NY
(40.8390436141133, -73.91422280219068)",HIGHBRIDGE/MORRIS HEIGHTS,C6-WALK-UP,21,1926,18750,174000,9.28,407000,21.71,2-02532-0020,"1350 DR
Bronx, NY
(40.82557699997852, -73.91844899972153)",HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,43,1926,41800,368299,8.81,950000,22.73,0.1,2-02532-0015,"1344 DR
Bronx, NY
(40.82557699997852, -73.91844899972153)",HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,52,1926,55000,510340,9.28,1320000,24,0.1
2-02582-0061,"823 147 STREET
Bronx, NY
(40.81109679995666, -73.90614202693932)",MOTT HAVEN/PORT MORRIS,C6-WALK-UP,38,1920,25980,195370,7.52,457000,17.59,2-02579-0025,"740 149 STREET
Bronx, NY
(40.813050000207554, -73.90833103997885)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,21,1920,15045,113142,7.52,265000,17.61,0.15,2-02265-0049,"213 ST ANNS AVENUE
Bronx, NY
(40.80632461498203, -73.91787380344104)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,11,1920,12539,125163,9.98,357000,28.5,0.75
2-02603-0024,"590 SOUTHERN BOULEVARD
Bronx, NY
(40.81254573251176, -73.90260323770909)",MORRISANIA/LONGWOOD,C6-WALK-UP,29,1924,26742,257258,9.62,602000,22.51,2-02750-0022,"1206 WESTCHESTER AVENUE
Bronx, NY
(40.82587625346987, -73.88950235292432)",MORRISANIA/LONGWOOD,C7-WALK-UP,106,1924,81708,785685,9.62,2240000,27.4,1.15,2-02603-0026,"1034 AVENUE ST
Bronx, NY
(40.82557699997852, -73.91844899972153)",MORRISANIA/LONGWOOD,C7-WALK-UP,32,1924,31050,255231,8.22,598000,19.26,0
2-02608-0019,"1109 FRANKLIN AVENUE
Bronx, NY
(40.828015136085305, -73.90614659452487)",MORRISANIA/LONGWOOD,C6-WALK-UP,25,1917,24750,289575,11.7,678000,27.4,2-02609-0028,"536 168 STREET
Bronx, NY
(40.83087166972546, -73.90534722440665)",MORRISANIA/LONGWOOD,C7-WALK-UP,38,1917,24174,283097,11.71,977000,40.4,0.2,2-02418-0001,"299 158 STREET
Bronx, NY
(40.8232941753595, -73.91799700102091)",MELROSE/CONCOURSE,C7-WALK-UP,15,1931,11815,143848,12.18,496000,42,0.65
2-02608-0022,"1103 FRANKLIN AVENUE
Bronx, NY
(40.82794822762804, -73.90622370935696)",MORRISANIA/LONGWOOD,C6-WALK-UP,25,1917,24750,289575,11.7,678000,27.4,2-02609-0028,"536 168 STREET
Bronx, NY
(40.83087166972546, -73.90534722440665)",MORRISANIA/LONGWOOD,C7-WALK-UP,38,1917,24174,283097,11.71,977000,40.4,0.2,2-02418-0001,"299 158 STREET
Bronx, NY
(40.8232941753595, -73.91799700102091)",MELROSE/CONCOURSE,C7-WALK-UP,15,1931,11815,143848,12.18,496000,42,0.65
2-02609-0051,"1165 FULTON AVENUE
Bronx, NY
(40.829458029583236, -73.90534542258764)",MORRISANIA/LONGWOOD,C6-WALK-UP,40,1927,36560,310760,8.5,728000,19.91,2-02433-0057,"320 166 STREET
Bronx, NY
(40.829935747998604, -73.91395076514198)",MELROSE/CONCOURSE,C1-WALK-UP,15,1928,15925,115022,7.22,269000,16.89,0.45,2-02418-0001,"299 158 STREET
Bronx, NY
(40.8232941753595, -73.91799700102091)",MELROSE/CONCOURSE,C7-WALK-UP,15,1931,11815,143848,12.18,496000,42,0.8
2-02615-0055,"1225 BOSTON ROAD
Bronx, NY
(40.82992767025238, -73.90190545696247)",MORRISANIA/LONGWOOD,C6-WALK-UP,25,1905,24930,229854,9.22,538000,21.58,2-02615-0029,"622 169 STREET
Bronx, NY
(40.831443554942354, -73.90125916044589)",MORRISANIA/LONGWOOD,C7-WALK-UP,24,1905,25790,237845,9.22,678000,26.3,0,2-02376-0049,"3009 3 AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",MORRISANIA/LONGWOOD,C7-WALK-UP,12,1905,11022,116136,10.54,361000,32.8,1
