DBN,DISTRICT,SCHOOL,PRINCIPAL,PROGRESS REPORT TYPE,SCHOOL LEVEL*,PEER INDEX*,2010-2011 OVERALL GRADE,2010-2011 OVERALL SCORE,2010-2011 ENVIRONMENT CATEGORY SCORE,2010-2011 ENVIRONMENT GRADE,2010-2011 PERFORMANCE CATEGORY SCORE,2010-2011 PERFORMANCE GRADE,2010-2011 PROGRESS CATEGORY SCORE,2010-2011 PROGRESS GRADE,2010-2011 ADDITIONAL CREDIT,2009-10 PROGRESS REPORT GRADE
01M015,1,P.S. 015 Roberto Clemente,Irene Sanchez,EMS,Elementary,63.61,C,27.0,6.4,B,2.1,D,18.0,C,0.5,C
01M019,1,P.S. 019 Asher Levy,Jacqueline Flanagan,EMS,Elementary,49.48,B,48.7,7.8,B,5.2,D,35.1,A,0.5,C
01M020,1,P.S. 020 Anna Silver,James Lee,EMS,Elementary,56.65,B,48.2,7.7,B,7.4,C,31.1,B,2.0,A
01M034,1,P.S. 034 Franklin D. Roosevelt,Joyce Stallings Harte,EMS,K-8,67.97,C,39.8,7.5,B,11.3,B,18.5,C,2.5,B
01M063,1,P.S. 063 William McKinley,Darlene Despeignes,EMS,Elementary,58.85,B,49.0,8.1,B,10.4,B,29.0,B,1.5,B
01M064,1,P.S. 064 Robert Simon,Marlon L. Hosang,EMS,Elementary,60.73,C,25.8,9.7,A,4.5,D,11.6,D,0.0,C
01M110,1,P.S. 110 Florence Nightingale,Karen Feuer,EMS,Elementary,40.85,C,38.1,4.1,C,10.9,B,22.1,C,1.0,D
01M134,1,P.S. 134 Henrietta Szold,Loretta Caputo,EMS,Elementary,54.33,C,34.6,4.2,C,5.9,C,24.0,C,0.5,B
01M137,1,P.S. 137 John L. Bernstein,Melissa Rodriguez,EMS,Elementary,57.88,F,17.6,5.1,C,4.8,D,6.7,F,1.0,C
01M140,1,P.S. 140 Nathan Straus,Esteban Barrientos,EMS,K-8,61.28,D,23.6,8.4,B,5.1,D,9.6,D,0.5,B
01M142,1,P.S. 142 Amalia Castro,Rhonda Levy,EMS,Elementary,63.39,C,29.2,10.0,A,7.1,C,10.6,F,1.5,B
01M184,1,P.S. 184m Shuang Wen,Ling Ling Chou,EMS,K-8,28.13,A,86.8,9.8,A,20.9,A,50.6,A,5.5,A
01M188,1,P.S. 188 The Island School,Mary Pree,EMS,K-8,64.17,A,60.7,4.1,C,7.9,C,41.7,A,7.0,C
01M292,1,Henry Street School for International Studies,Erin Balet,EMS,Middle,1.95,C,32.4,5.1,C,4.1,D,18.7,C,4.5,C
01M292,1,Henry Street School for International Studies,Erin Balet,HS,High School,1.81,C,49.8,6.9,D,12.8,C,30.1,C,,D
01M301,1,"Technology, Arts, and Sciences Studio",George Morgan,EMS,Middle,1.90,B,47.6,7.0,B,8.9,C,28.7,B,3.0,C
01M315,1,The East Village Community School,Robin Williams,EMS,Elementary,35.33,C,38.2,8.6,A,12.2,B,16.4,C,1.0,C
