ID,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
1,K001,15K001,P.S. 001 The Bergen,K001,309 47 STREET,BROOKLYN,15,1198,,1,P.S. 001 The Bergen,0,0,2,0,0,6C,1001-1250,0.89,3.67,5.5,0.41,0.47
2,K002,75K141,P.S. K141,K141,655 PARKSIDE AVENUE,BROOKLYN,17,376,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,2,M.S. 002 | P.S. K141| 655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
3,K002,17K002,M.S. 002,K002,655 PARKSIDE AVENUE,BROOKLYN,17,403,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,2,M.S. 002 | P.S. K141| 655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
4,K002,,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,,655 PARKSIDE AVENUE,BROOKLYN,17,779,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,2,M.S. 002 | P.S. K141| 655 PARKSIDE AVENUE CONSOLIDATED LOCATION,0,5,9,0,0,5C,751-1000,0.61,2.32,2.67,0.31,0.3
5,K003,13K003,P.S. 003 The Bedford Village,K003,50 JEFFERSON AVENUE,BROOKLYN,13,634,,1,P.S. 003 The Bedford Village,0,3,0,0,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
6,K005,16K005,P.S. 005 Dr. Ronald Mcnair,K005,820 HANCOCK STREET,BROOKLYN,16,439,,1,P.S. 005 Dr. Ronald Mcnair,0,0,1,0,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
7,K006,17K006,P.S. 006,K006,43 SNYDER AVENUE,BROOKLYN,17,664,,1,P.S. 006,0,1,1,0,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
8,K007,19K007,P.S. 007 Abraham Lincoln,K007,858 JAMAICA AVENUE,BROOKLYN,19,892,,1,P.S. 007 Abraham Lincoln,N/A,N/A,N/A,N/A,N/A,5C,751-1000,0.61,2.32,2.67,0.31,0.3
9,K008,13K008,P.S. 008 Robert Fulton,K008,37 HICKS STREET,BROOKLYN,13,552,,1,P.S. 008 Robert Fulton,0,0,2,0,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
10,K009,13K571,M.S. 571,K571,80 UNDERHILL AVENUE,BROOKLYN,13,169,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,2,P.S. 009 Teunis G. Bergen | M.S. 571|  | 80 UNDERHILL AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
11,K009,13K009,P.S. 009 Teunis G. Bergen,K009,80 UNDERHILL AVENUE,BROOKLYN,13,596,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,2,P.S. 009 Teunis G. Bergen | M.S. 571|  | 80 UNDERHILL AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
12,K009,,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,,80 UNDERHILL AVENUE,BROOKLYN,13,765,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,2,P.S. 009 Teunis G. Bergen | M.S. 571|  | 80 UNDERHILL AVENUE CONSOLIDATED LOCATION,1,4,4,1,0,5C,751-1000,0.61,2.32,2.67,0.31,0.3
13,K010,15K010,"Magnet School of Math, Science and Design Technolo",K010,511 7 AVENUE,BROOKLYN,15,766,,1,"Magnet School of Math, Science and Design Technolo",N/A,N/A,N/A,N/A,N/A,5C,751-1000,0.61,2.32,2.67,0.31,0.3
14,K011,13K011,P.S. 011 Purvis J. Behan,K011,419 WAVERLY AVENUE,BROOKLYN,13,598,,1,P.S. 011 Purvis J. Behan,0,0,2,0,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
15,K012,17K484,Ronald Edmonds Learning Center II,K484,430 HOWARD AVENUE,BROOKLYN,23,168,430 HOWARD AVENUE CONSOLIDATED LOCATION,2,P.S. 012 | Ronald Edmonds Learning Center II |  | 430 HOWARD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
16,K012,17K012,P.S. 012,K012,430 HOWARD AVENUE,BROOKLYN,23,267,430 HOWARD AVENUE CONSOLIDATED LOCATION,2,P.S. 012 | Ronald Edmonds Learning Center II |  | 430 HOWARD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
17,K012,,430 HOWARD AVENUE CONSOLIDATED LOCATION,,430 HOWARD AVENUE,BROOKLYN,23,435,430 HOWARD AVENUE CONSOLIDATED LOCATION,2,P.S. 012 | Ronald Edmonds Learning Center II |  | 430 HOWARD AVENUE CONSOLIDATED LOCATION,1,2,3,1,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
18,K013,19K013,P.S. 013 Roberto Clemente,K013,557 PENNSYLVANIA AVENUE,BROOKLYN,19,511,,1,P.S. 013 Roberto Clemente,0,1,7,0,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
19,K014,22K014,J.H.S. 014 Shell Bank,K014,2424 BATCHELDER STREET,BROOKLYN,22,651,,1,J.H.S. 014 Shell Bank,1,5,4,0,1,4C,501-750,0.41,1.54,2.05,0.22,0.19
20,K015,15K015,P.S. 015 Patrick F. Daly,K015,71 SULLIVAN STREET,BROOKLYN,15,392,,1,P.S. 015 Patrick F. Daly,2,1,2,2,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
21,K016,14K016,P.S. 016 Leonard Dunkly,K016,157 WILSON STREET,BROOKLYN,14,335,,1,P.S. 016 Leonard Dunkly,N/A,N/A,N/A,N/A,N/A,3C,251-500,0.37,1.2,1.51,0.22,0.15
22,K017,14K017,P.S. 017 Henry D. Woodworth,K017,208 NORTH  5 STREET,BROOKLYN,14,394,208 NORTH  5 STREET CONSOLIDATED LOCATION,2,P.S. 017 Henry D. Woodworth | Conselyea Preparatory School | 208 NORTH  5 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
23,K017,14K577,Conselyea Preparatory School,K577,208 NORTH  5 STREET,BROOKLYN,14,444,208 NORTH  5 STREET CONSOLIDATED LOCATION,2,P.S. 017 Henry D. Woodworth | Conselyea Preparatory School | 208 NORTH  5 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
24,K017,,208 NORTH  5 STREET CONSOLIDATED LOCATION,,208 NORTH  5 STREET,BROOKLYN,14,838,208 NORTH  5 STREET CONSOLIDATED LOCATION,2,P.S. 017 Henry D. Woodworth | Conselyea Preparatory School | 208 NORTH  5 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,0.61,2.32,2.67,0.31,0.3
25,K018,14K018,P.S. 018 Edward Bush,K018,101 MAUJER STREET,BROOKLYN,14,221,,1,P.S. 018 Edward Bush,1,1,0,1,0,2C,1-250,0.29,0.94,1.17,0.17,0.12
26,K019,14K019,P.S. 019 Roberto Clemente,K019,325 SOUTH  3 STREET,BROOKLYN,14,378,,1,P.S. 019 Roberto Clemente,N/A,N/A,N/A,N/A,N/A,3C,251-500,0.37,1.2,1.51,0.22,0.15
27,K020,13K492,Urban Assembly Academy of Arts and Letters,K492,225 ADELPHI STREET,BROOKLYN,13,307,225 ADELPHI STREET CONSOLIDATED LOCATION,2,P.S. 020 Clinton Hill | Urban Assembly Academy of Arts and Letters | 225 ADELPHI STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
28,K020,13K020,P.S. 020 Clinton Hill,K020,225 ADELPHI STREET,BROOKLYN,13,357,225 ADELPHI STREET CONSOLIDATED LOCATION,2,P.S. 020 Clinton Hill | Urban Assembly Academy of Arts and Letters | 225 ADELPHI STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
29,K020,,225 ADELPHI STREET CONSOLIDATED LOCATION,,225 ADELPHI STREET,BROOKLYN,13,664,225 ADELPHI STREET CONSOLIDATED LOCATION,2,P.S. 020 Clinton Hill | Urban Assembly Academy of Arts and Letters | 225 ADELPHI STREET CONSOLIDATED LOCATION,1,6,4,0,1,4C,501-750,0.41,1.54,2.05,0.22,0.19
30,K021,16K021,P.S. 021 Crispus Attucks,K021,180 CHAUNCEY STREET,BROOKLYN,16,684,,1,P.S. 021 Crispus Attucks,1,0,1,1,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
31,K022,17K022,P.S. 022,K022,443 ST MARKS AVENUE,BROOKLYN,17,518,,1,P.S. 022,0,3,1,0,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
32,K023,14K023,P.S. 023 Carter G. Woodson,K023,545 WILLOUGHBY AVENUE,BROOKLYN,14,308,,1,P.S. 023 Carter G. Woodson,1,1,0,1,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
33,K024,15K024,P.S. 024,K024,427 38 STREET,BROOKLYN,15,759,,1,P.S. 024,N/A,N/A,N/A,N/A,N/A,5C,751-1000,0.61,2.32,2.67,0.31,0.3
34,K025,16K534,Upper School @ P.S. 25,K534,787 LAFAYETTE AVENUE,BROOKLYN,16,231,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,2,P.S. 025 Eubie Blake School | Upper School @ P.S. 25 | 787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
35,K025,16K025,P.S. 025 Eubie Blake School,K025,787 LAFAYETTE AVENUE,BROOKLYN,16,334,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,2,P.S. 025 Eubie Blake School | Upper School @ P.S. 25 | 787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
36,K025,,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,,787 LAFAYETTE AVENUE,BROOKLYN,16,565,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,2,P.S. 025 Eubie Blake School | Upper School @ P.S. 25 | 787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,2,3,3,1,1,4C,501-750,0.41,1.54,2.05,0.22,0.19
37,K026,16K026,P.S. 026 Jesse Owens,K026,1010 LAFAYETTE AVENUE,BROOKLYN,16,348,1010 LAFAYETTE AVENUE CONSOLIDATED LOCATION,2,P.S. 026 Jesse Owens | Frederick Douglass Academy IV Secondary School | 1010 LAFAYETTE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
38,K026,16K393,Frederick Douglass Academy IV Secondary School,K393,1010 LAFAYETTE AVENUE,BROOKLYN,16,467,1010 LAFAYETTE AVENUE CONSOLIDATED LOCATION,2,P.S. 026 Jesse Owens | Frederick Douglass Academy IV Secondary School | 1010 LAFAYETTE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
39,K026,,1010 LAFAYETTE AVENUE CONSOLIDATED LOCATION,,1010 LAFAYETTE AVENUE,BROOKLYN,16,815,1010 LAFAYETTE AVENUE CONSOLIDATED LOCATION,2,P.S. 026 Jesse Owens | Frederick Douglass Academy IV Secondary School | 1010 LAFAYETTE AVENUE CONSOLIDATED LOCATION,1,9,13,0,1,5C,751-1000,0.61,2.32,2.67,0.31,0.3
40,K027,15K027,Agnes Y. Humphrey School for Leadership,K027,27 HUNTINGTON STREET,BROOKLYN,15,77,27 HUNTINGTON STREET CONSOLIDATED LOCATION,2,Agnes Y. Humphrey School for Leadership | RED HOOK NEIGHBORHOOD SCHOOL | 27 HUNTINGTON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
41,K027,15K676,RED HOOK NEIGHBORHOOD SCHOOL,K676,27 HUNTINGTON STREET,BROOKLYN,15,185,27 HUNTINGTON STREET CONSOLIDATED LOCATION,2,Agnes Y. Humphrey School for Leadership | RED HOOK NEIGHBORHOOD SCHOOL | 27 HUNTINGTON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
42,K027,,27 HUNTINGTON STREET CONSOLIDATED LOCATION,,27 HUNTINGTON STREET,BROOKLYN,15,262,27 HUNTINGTON STREET CONSOLIDATED LOCATION,2,Agnes Y. Humphrey School for Leadership | RED HOOK NEIGHBORHOOD SCHOOL | 27 HUNTINGTON STREET CONSOLIDATED LOCATION,1,3,1,1,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
43,K028,16K028,P.S. 028 The Warren Prep Academy,K028,1001 HERKIMER STREET,BROOKLYN,16,251,,1,P.S. 028 The Warren Prep Academy,1,1,0,1,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
44,K029,15K029,P.S. 029 John M. Harrigan,K029,425 HENRY STREET,BROOKLYN,15,679,,1,P.S. 029 John M. Harrigan,1,0,1,1,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
45,K031,14K031,P.S. 031 Samuel F. Dupont,K031,75 MESEROLE AVENUE,BROOKLYN,14,556,,1,P.S. 031 Samuel F. Dupont,N/A,N/A,N/A,N/A,N/A,4C,501-750,0.41,1.54,2.05,0.22,0.19
46,K032,15K442,New Horizons School,K442,317 HOYT STREET,BROOKLYN,15,193,317 HOYT STREET CONSOLIDATED LOCATION,2,P.S. 032 Samuels Mills Sprole | New Horizons School | 317 HOYT STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
47,K032,15K032,P.S. 032 Samuels Mills Sprole,K032,317 HOYT STREET,BROOKLYN,15,289,317 HOYT STREET CONSOLIDATED LOCATION,2,P.S. 032 Samuels Mills Sprole | New Horizons School | 317 HOYT STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
48,K032,,317 HOYT STREET CONSOLIDATED LOCATION,,317 HOYT STREET,BROOKLYN,15,482,317 HOYT STREET CONSOLIDATED LOCATION,2,P.S. 032 Samuels Mills Sprole | New Horizons School | 317 HOYT STREET CONSOLIDATED LOCATION,1,7,10,1,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
49,K033,14K330,The Urban Assembly School for the Urban Environmen,K330,70 TOMPKINS AVENUE,BROOKLYN,14,145,70 TOMPKINS AVENUE CONSOLIDATED LOCATION,4,Foundations Academy | The Urban Assembly School for the Urban Environmen | P.S. 368 | ALC - Urban Assembly | 70 TOMPKINS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
50,K033,14K322,Foundations Academy,K322,70 TOMPKINS AVENUE,BROOKLYN,14,186,70 TOMPKINS AVENUE CONSOLIDATED LOCATION,4,Foundations Academy | The Urban Assembly School for the Urban Environmen | P.S. 368 | ALC - Urban Assembly | 70 TOMPKINS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
51,K033,75K368,P.S. 368,K368,70 TOMPKINS AVENUE,BROOKLYN,14,265,70 TOMPKINS AVENUE CONSOLIDATED LOCATION,4,Foundations Academy | The Urban Assembly School for the Urban Environmen | P.S. 368 | ALC - Urban Assembly | 70 TOMPKINS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
52,K033,,70 TOMPKINS AVENUE CONSOLIDATED LOCATION,,70 TOMPKINS AVENUE,BROOKLYN,14,596,70 TOMPKINS AVENUE CONSOLIDATED LOCATION,4,Foundations Academy | The Urban Assembly School for the Urban Environmen | P.S. 368 | ALC - Urban Assembly | 70 TOMPKINS AVENUE CONSOLIDATED LOCATION,0,11,11,0,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
53,K033,88K988,ALC - Urban Assembly,K988,70 TOMPKINS AVENUE,BROOKLYN,14,#N/A,70 TOMPKINS AVENUE CONSOLIDATED LOCATION,4,Foundations Academy | The Urban Assembly School for the Urban Environmen | P.S. 368 | ALC - Urban Assembly | 70 TOMPKINS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A
54,K034,14K034,P.S. 034 Oliver H. Perry,K034,131 NORMAN AVENUE,BROOKLYN,14,521,,1,P.S. 034 Oliver H. Perry,N/A,N/A,N/A,N/A,N/A,4C,501-750,0.41,1.54,2.05,0.22,0.19
55,K035,16K628,Brooklyn Brownstone School,K628,272 MCDONOUGH STREET,BROOKLYN,16,151,272 MCDONOUGH STREET CONSOLIDATED LOCATION,2,M.S. 035 Stephen Decatur | Brooklyn Brownstone School | 272 MCDONOUGH STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
56,K035,16K035,M.S. 035 Stephen Decatur,K035,272 MCDONOUGH STREET,BROOKLYN,16,229,272 MCDONOUGH STREET CONSOLIDATED LOCATION,2,M.S. 035 Stephen Decatur | Brooklyn Brownstone School | 272 MCDONOUGH STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
57,K035,,272 MCDONOUGH STREET CONSOLIDATED LOCATION,,272 MCDONOUGH STREET,BROOKLYN,16,380,272 MCDONOUGH STREET CONSOLIDATED LOCATION,2,M.S. 035 Stephen Decatur | Brooklyn Brownstone School | 272 MCDONOUGH STREET CONSOLIDATED LOCATION,0,6,5,0,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
58,K038,15K038,P.S. 038 The Pacific,K038,450 PACIFIC STREET,BROOKLYN,15,471,,1,P.S. 038 The Pacific,0,3,0,0,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
59,K039,15K039,P.S. 039 Henry Bristow,K039,417 6 AVENUE,BROOKLYN,15,360,,1,P.S. 039 Henry Bristow,N/A,N/A,N/A,N/A,N/A,3C,251-500,0.37,1.2,1.51,0.22,0.15
60,K040,16K594,Gotham Professional Arts Academy,K594,265 RALPH AVENUE,BROOKLYN,16,279,265 RALPH AVENUE CONSOLIDATED LOCATION,2,P.S. 040 George W. Carver | Gotham Professional Arts Academy | 265 RALPH AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
61,K040,16K040,P.S. 040 George W. Carver,K040,265 RALPH AVENUE,BROOKLYN,16,383,265 RALPH AVENUE CONSOLIDATED LOCATION,2,P.S. 040 George W. Carver | Gotham Professional Arts Academy | 265 RALPH AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
62,K040,,265 RALPH AVENUE CONSOLIDATED LOCATION,,265 RALPH AVENUE,BROOKLYN,16,662,265 RALPH AVENUE CONSOLIDATED LOCATION,2,P.S. 040 George W. Carver | Gotham Professional Arts Academy | 265 RALPH AVENUE CONSOLIDATED LOCATION,1,4,5,1,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
63,K041,23K041,P.S. 041 Francis White,K041,411 THATFORD AVENUE,BROOKLYN,23,653,,1,P.S. 041 Francis White,2,3,2,0,2,4C,501-750,0.41,1.54,2.05,0.22,0.19
64,K043,21K098,I.S. 98 Bay Academy,K098,1401 EMMONS AVENUE,BROOKLYN,21,1212,,1,I.S. 98 Bay Academy,N/A,N/A,N/A,N/A,N/A,6C,1001-1250,0.89,3.67,5.5,0.41,0.47
65,K044,13K044,P.S. 044 Marcus Garvey,K044,432 MONROE STREET,BROOKLYN,13,379,,1,P.S. 044 Marcus Garvey,0,1,1,0,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
66,K045,32K045,P.S. 045 Horace E. Greene,K045,84 SCHAEFER STREET,BROOKLYN,32,753,,1,P.S. 045 Horace E. Greene,N/A,N/A,N/A,N/A,N/A,5C,751-1000,0.61,2.32,2.67,0.31,0.3
67,K046,13K691,FORT GREENE PREPARATORY ACADEMY,K691,100 CLERMONT AVENUE,BROOKLYN,13,104,100 CLERMONT AVENUE CONSOLIDATED LOCATION,2,P.S. 046 Edward C. Blum | FORT GREENE PREPARATORY ACADEMY | 100 CLERMONT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
68,K046,13K046,P.S. 046 Edward C. Blum,K046,100 CLERMONT AVENUE,BROOKLYN,13,401,100 CLERMONT AVENUE CONSOLIDATED LOCATION,2,P.S. 046 Edward C. Blum | FORT GREENE PREPARATORY ACADEMY | 100 CLERMONT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
69,K046,,100 CLERMONT AVENUE CONSOLIDATED LOCATION,,100 CLERMONT AVENUE,BROOKLYN,13,505,100 CLERMONT AVENUE CONSOLIDATED LOCATION,2,P.S. 046 Edward C. Blum | FORT GREENE PREPARATORY ACADEMY | 100 CLERMONT AVENUE CONSOLIDATED LOCATION,0,4,2,0,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
70,K048,20K048,P.S. 048 Mapleton,K048,6015 18 AVENUE,BROOKLYN,20,649,,1,P.S. 048 Mapleton,0,1,0,0,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
71,K049,14K614,Young Women's Leadership School of Brooklyn,K614,223 GRAHAM AVENUE,BROOKLYN,14,198,223 GRAHAM AVENUE CONSOLIDATED LOCATION,3,Green School: An Academy for Environmental Careers | Lyons Community School | Young Women's Leadership School of Brooklyn | 223 GRAHAM AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
72,K049,14K454,Green School: An Academy for Environmental Careers,K454,223 GRAHAM AVENUE,BROOKLYN,14,361,223 GRAHAM AVENUE CONSOLIDATED LOCATION,3,Green School: An Academy for Environmental Careers | Lyons Community School | Young Women's Leadership School of Brooklyn | 223 GRAHAM AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
73,K049,14K586,Lyons Community School,K586,223 GRAHAM AVENUE,BROOKLYN,14,544,223 GRAHAM AVENUE CONSOLIDATED LOCATION,3,Green School: An Academy for Environmental Careers | Lyons Community School | Young Women's Leadership School of Brooklyn | 223 GRAHAM AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
74,K049,,223 GRAHAM AVENUE CONSOLIDATED LOCATION,,223 GRAHAM AVENUE,BROOKLYN,14,1103,223 GRAHAM AVENUE CONSOLIDATED LOCATION,3,Green School: An Academy for Environmental Careers | Lyons Community School | Young Women's Leadership School of Brooklyn | 223 GRAHAM AVENUE CONSOLIDATED LOCATION,5,5,7,3,2,6C,1001-1250,0.89,3.67,5.5,0.41,0.47
75,K050,14K404,Academy for Young Writers,K404,183 SOUTH  3 STREET,BROOKLYN,14,372,183 SOUTH  3 STREET CONSOLIDATED LOCATION,2,J.H.S. 050 John D. Wells | Academy for Young Writers | 183 SOUTH  3 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
76,K050,14K050,J.H.S. 050 John D. Wells,K050,183 SOUTH  3 STREET,BROOKLYN,14,471,183 SOUTH  3 STREET CONSOLIDATED LOCATION,2,J.H.S. 050 John D. Wells | Academy for Young Writers | 183 SOUTH  3 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
77,K050,,183 SOUTH  3 STREET CONSOLIDATED LOCATION,,183 SOUTH  3 STREET,BROOKLYN,14,843,183 SOUTH  3 STREET CONSOLIDATED LOCATION,2,J.H.S. 050 John D. Wells | Academy for Young Writers | 183 SOUTH  3 STREET CONSOLIDATED LOCATION,2,9,6,2,0,5C,751-1000,0.61,2.32,2.67,0.31,0.3
78,K051,15K051,M.S. 51 William Alexander,K051,350 5 AVENUE,BROOKLYN,15,1081,,1,M.S. 51 William Alexander,2,0,2,2,0,6C,1001-1250,0.89,3.67,5.5,0.41,0.47
79,K052,22K052,P.S. 052 Sheepshead Bay,K052,2675 EAST  29 STREET,BROOKLYN,22,752,,1,P.S. 052 Sheepshead Bay,1,0,1,0,1,5C,751-1000,0.61,2.32,2.67,0.31,0.3
80,K054,13K054,P.S. 054 Samuel C. Barnes,K054,195 SANFORD STREET,BROOKLYN,13,286,,1,P.S. 054 Samuel C. Barnes,N/A,N/A,N/A,N/A,N/A,3C,251-500,0.37,1.2,1.51,0.22,0.15
81,K055,23K493,Brooklyn Collegiate: A College Board School,K493,2021 BERGEN STREET,BROOKLYN,23,598,,1,Brooklyn Collegiate: A College Board School,2,6,7,1,1,4C,501-750,0.41,1.54,2.05,0.22,0.19
82,K056,13K103,Satellite Three,K103,170 GATES AVENUE,BROOKLYN,13,272,170 GATES AVENUE CONSOLIDATED LOCATION,2,P.S. 056 Lewis H. Latimer | Satellite Three | 170 GATES AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
83,K056,13K056,P.S. 056 Lewis H. Latimer,K056,170 GATES AVENUE,BROOKLYN,13,290,170 GATES AVENUE CONSOLIDATED LOCATION,2,P.S. 056 Lewis H. Latimer | Satellite Three | 170 GATES AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
84,K056,,170 GATES AVENUE CONSOLIDATED LOCATION,,170 GATES AVENUE,BROOKLYN,13,562,170 GATES AVENUE CONSOLIDATED LOCATION,2,P.S. 056 Lewis H. Latimer | Satellite Three | 170 GATES AVENUE CONSOLIDATED LOCATION,1,3,1,1,0,4C,501-750,0.41,1.54,2.05,0.22,0.19
85,K057,16K688,The Brooklyn Academy of Global Finance,K688,125 STUYVESANT AVENUE,BROOKLYN,16,144,125 STUYVESANT AVENUE CONSOLIDATED LOCATION,3,"J.H.S. 057 Whitelaw Reid | School of Business, Finance and Entrepreneurship | The Brooklyn Academy of Global Finance | 125 STUYVESANT AVENUE CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
86,K057,16K385,"School of Business, Finance and Entrepreneurship",K385,125 STUYVESANT AVENUE,BROOKLYN,16,225,125 STUYVESANT AVENUE CONSOLIDATED LOCATION,3,"J.H.S. 057 Whitelaw Reid | School of Business, Finance and Entrepreneurship | The Brooklyn Academy of Global Finance | 125 STUYVESANT AVENUE CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
