ID,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
557,K805,13K350,Urban Assembly High School of Music and Art,K350,49 FLATBUSH AVENUE EXTENSION,BROOKLYN,13,391,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,3,"Urban Assembly High School of Music and Art | Science Skills Center High School for Science, Tec | Brooklyn International High School | 49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
558,K805,13K419,"Science Skills Center High School for Science, Tec",K419,49 FLATBUSH AVENUE EXTENSION,BROOKLYN,13,627,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,3,"Urban Assembly High School of Music and Art | Science Skills Center High School for Science, Tec | Brooklyn International High School | 49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
559,K805,,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,,49 FLATBUSH AVENUE EXTENSION,BROOKLYN,13,1406,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,3,"Urban Assembly High School of Music and Art | Science Skills Center High School for Science, Tec | Brooklyn International High School | 49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION",2,16,28,1,1,7C,1251-1500,0.81,3.68,6.85,0.4,0.41
560,K806,15K530,Metropolitan Corporate Academy High School,K530,362 SCHERMERHORN STREET,BROOKLYN,15,290,,1,Metropolitan Corporate Academy High School,0,4,4,0,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
561,K807,20K163,P.S. 163 Bath Beach,K163,109 BAY 14TH STREET,BROOKLYN,20,489,,1,P.S. 163 Bath Beach,N/A,N/A,N/A,N/A,N/A,3C,251-500,0.37,1.2,1.51,0.22,0.15
562,K813,19K751,ACADEMY FOR HEALTH CAREERS,K751,355 PARK PLACE,BROOKLYN,13,82,,1,ACADEMY FOR HEALTH CAREERS,1,3,2,0,1,2C,1-250,0.29,0.94,1.17,0.17,0.12
563,K814,19K089,P.S. 089 Cypress Hills,K089,265 WARWICK STREET,BROOKLYN,19,322,,1,P.S. 089 Cypress Hills,N/A,N/A,N/A,N/A,N/A,3C,251-500,0.37,1.2,1.51,0.22,0.15
564,K819,19K409,East New York Family Academy,K409,2057 LINDEN BOULEVARD,BROOKLYN,19,438,,1,East New York Family Academy,1,0,2,1,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
565,K824,17K489,W.E.B. Dubois Academic High School,K489,402 EASTERN PARKWAY,BROOKLYN,17,287,402 EASTERN PARKWAY CONSOLIDATED LOCATION,2,W.E.B. Dubois Academic High School | ALC- W.E.B Debois | 402 EASTERN PARKWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
566,K824,,402 EASTERN PARKWAY CONSOLIDATED LOCATION,,402 EASTERN PARKWAY,BROOKLYN,17,287,402 EASTERN PARKWAY CONSOLIDATED LOCATION,2,W.E.B. Dubois Academic High School | ALC- W.E.B Debois | 402 EASTERN PARKWAY CONSOLIDATED LOCATION,1,2,26,1,0,3C,251-500,0.37,1.2,1.51,0.22,0.15
