BN,SCHOOL NAME,PROGRESS REPORT TYPE,2009-10 PROGRESS REPORT GRADE,2008-09 PROGRESS REPORT GRADE,2007-08 PROGRESS REPORT GRADE,2006-07 PROGRESS REPORT GRADE
K107,P.S. 107 John W. Kimball,EMS,A,A,A,A
K108,P.S. 108 Sal Abbracciamento,EMS,B,A,B,C
K109,P.S. 109,EMS,B,A,C,B
K110,P.S. 110 The Monitor,EMS,C,A,A,B
K112,P.S. 112 Lefferts Park,EMS,B,A,A,B
K113,M.S. 113 Ronald Edmonds Learning Center,EMS,C,A,B,B
K114,P.S. 114 Ryder Elementary,EMS,D,B,B,D
K115,P.S. 115 Daniel Mucatel School,EMS,B,A,A,A
K116,P.S. 116 Elizabeth L Farrell,EMS,A,A,A,A
K117,J.H.S. 117 Francis Scott Key,EMS,None,None,None,None
K119,P.S. 119 Amersfort,EMS,B,A,B,B
K120,P.S. 120 Carlos Tapia,EMS,C,A,A,B
K121,P.S. 121 Nelson A. Rockefeller,EMS,A,A,A,B
K123,P.S. 123 Suydam,EMS,C,A,B,D
K124,P.S. 124 Silas B. Dutcher,EMS,A,A,A,A
K126,John Ericsson Middle School 126,EMS,B,B,D,D
K127,P.S. 127 Mckinley Park,EMS,D,B,B,A
K128,P.S. 128 Bensonhurst,EMS,B,B,B,B
K130,P.S. 130 The Parkside,EMS,B,A,A,B
K131,P.S. 131 Brooklyn,EMS,A,A,A,B
K132,P.S. 132 The Conselyea School,EMS,B,A,A,A
K133,P.S. 133 William A. Butler,EMS,C,A,B,B
K134,P.S. K134,EMS,A,A,A,B
K135,P.S. 135 Sheldon A. Brookner,EMS,B,A,A,C
K136,I.S. 136 Charles O. Dewey,EMS,C,A,B,B
K137,P.S./I.S. 137 Rachel Jean Mitchell,EMS,D,B,B,F
K138,P.S. 138 Brooklyn,EMS,A,A,A,C
K139,P.S. 139 Alexine A. Fenty,EMS,C,A,B,B
K140,P.S. K140,D75,D,None,None,None
K141,P.S. K141,D75,B,None,None,None
K143,M.S. 143 Performing & Fine Arts,EMS,None,None,None,None
K145,P.S. 145 Andrew Jackson,EMS,B,A,B,C
K146,P.S. 146,EMS,B,A,A,C
K147,P.S. 147 Isaac Remsen,EMS,A,B,A,A
K149,P.S. 149 Danny Kaye,EMS,C,A,B,A
K150,P.S. 150 Christopher,EMS,C,A,F,D
K151,P.S. 151 Lyndon B. Johnson,EMS,C,A,B,B
K152,School of Science & Technology,EMS,C,A,A,B
K153,P.S. 153 Homecrest,EMS,B,A,B,C
K154,Magnet School for Science & Technology,EMS,C,A,B,D
K155,P.S./ I.S. 155 Nicholas Herkimer,EMS,B,A,B,B
K156,P.S. 156 Waverly,EMS,C,A,C,C
K157,P.S. 157 Benjamin Franklin,EMS,B,A,A,A
K158,P.S. 158 Warwick,EMS,C,A,B,C
K159,P.S. 159 Isaac Pitkin,EMS,C,A,C,B
K160,P.S. 160 William T. Sampson,EMS,B,A,B,C
K161,P.S. 161 The Crown,EMS,C,A,C,B
K162,J.H.S. 162 The Willoughby,EMS,C,A,B,C
K163,P.S. 163 Bath Beach,EMS,A,A,A,C
K164,P.S. 164 Caesar Rodney,EMS,A,A,A,A
K165,P.S. 165 Ida Posner,EMS,C,B,B,D
K166,J.H.S. 166 George Gershwin,EMS,C,B,B,D
K167,P.S. 167 The Parkway,EMS,C,A,B,D
K169,P.S. 169 Sunset Park,EMS,B,A,B,B
K170,Ralph A. Fabrizio School,EMS,B,A,B,C
