QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Address,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Total Units,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Year Built,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
4-01548-0006,"84 20 51 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,75,1961,52230,605868,11.6,2140000,41,4-01566-0001,"42 07 WHITNEY AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,74,1959,65000,757477,11.65,2670000,41.1,0.6,4-01564-0034,"93 35 LAMONT AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,90,1961,68500,794327,11.6,2800000,40.9,0.7
4-01551-0026,"92 05 WHITNEY AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,95,1939,123228,1355508,11,4780000,38.8,4-01512-0026,"88 35 ELMHURST AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,84,1938,99383,927384,9.33,3060000,30.8,0.15,4-01451-0047,"34 19 90 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,162,1927,95904,1381453,14.4,5480000,57,0.4
4-01555-0001,"88 12 ELMHURST AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,90,1941,88426,1171644,13.25,4400000,49.8,4-02115-0001,"65 09 99 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",REGO PARK,D7-ELEVATOR,133,1946,142260,1392902,9.79,4710000,33.1,1.6,4-01581-0001,"83 45
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,194,1956,172494,2240993,12.99,8420000,48.8,0.35
4-01560-0001,"44 05 MACNISH STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,169,1951,144932,1594252,11,5620000,38.8,4-01581-0001,"83 45
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,194,1956,172494,2240993,12.99,8420000,48.8,0.15,4-02115-0001,"65 09 99 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",REGO PARK,D7-ELEVATOR,133,1946,142260,1392902,9.79,4710000,33.1,1.6
4-01560-0006,"44 10 KETCHAM STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,65,1940,71196,804514,11.3,2840000,39.9,4-01566-0001,"42 07 WHITNEY AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,74,1959,65000,757477,11.65,2670000,41.1,0.35,4-01567-0040,"92 01 LAMONT AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,98,1962,82500,930577,11.28,3280000,39.8,0.3
4-01561-0012,"44 10 MACNISH STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,126,1950,97032,1455480,15,5770000,59,4-01842-0071,"86 35 QUEENS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D7-ELEVATOR,150,1963,127140,1914238,15.06,7590000,60,0.4,4-01842-0031,"87 22 JUSTICE AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,109,1962,107010,1255760,11.73,4430000,41.4,0.4
4-01564-0004,"92 16 WHITNEY AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,66,1941,69654,877640,12.6,3300000,47.4,4-01518-0050,"85 05 ELMHURST AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,60,1940,60000,781531,13.03,2940000,49,0.5,4-01518-0060,"84 49 ELMHURST AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,60,1940,60000,753441,12.56,2830000,47.2,0.5
4-01566-0039,"92 29 LAMONT AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,78,1963,61500,719550,11.7,2540000,41.3,4-01566-0001,"42 07 WHITNEY AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,74,1959,65000,757477,11.65,2670000,41.1,0,4-01564-0034,"93 35 LAMONT AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,90,1961,68500,794327,11.6,2800000,40.9,0.1
4-01569-0037,"91 15 LAMONT AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,80,1962,61896,717993,11.6,2530000,40.9,4-01566-0001,"42 07 WHITNEY AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,74,1959,65000,757477,11.65,2670000,41.1,0.15,4-01564-0034,"93 35 LAMONT AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,90,1961,68500,794327,11.6,2800000,40.9,0.25
4-01580-0037,"86 25 DONGAN AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D4-ELEVATOR,31,1937,24444,329994,13.5,1240000,51,4-01516-0049,"42 29 JUDGE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,41,1941,32070,408055,12.72,1530000,47.7,0.25,4-01518-0044,"42 54 JUDGE STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,41,1939,32550,497060,15.27,2020000,62,0.15
