QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Address,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Total Units,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Year Built,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
4-00018-0001,"4 74 48 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,D4-ELEVATOR,536,1996,724475,11084467,15.3,45100000,62,4-06809-0001,"75 25 153 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,D8-ELEVATOR,388,2004,534846,17900000,33.5,86700000,162,7.8,4-06797-0054,"159 10 71 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,D6-ELEVATOR,142,2000,209525,5430133,25.9,26300000,126,7.9
4-00125-0028,"46 01 39 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,158,1961,155750,1791125,11.5,6310000,40.5,4-02319-0010,"47 50 59 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,D3-ELEVATOR,233,1970,239190,2297319,9.6,6490000,27.1,0.85,4-02104-0001,"98 41 QUEENS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",REGO PARK,D7-ELEVATOR,206,1952,204340,2347652,11.49,8280000,40.5,3.5
4-00128-0007,"39 25 51 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,D4-ELEVATOR,426,1951,385200,4429800,11.5,15600000,40.5,4-02104-0001,"98 41 QUEENS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",REGO PARK,D7-ELEVATOR,206,1952,204340,2347652,11.49,8280000,40.5,3.25,4-02319-0010,"47 50 59 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,D3-ELEVATOR,233,1970,239190,2297319,9.6,6490000,27.1,0.6
4-00131-0004,"50 05 43 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,73,1932,64350,1029600,16,4190000,65,4-00137-0013,"41 29 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,72700,1122870,15.45,4570000,63,0.2,4-00137-0020,"41 15 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,73197,1176753,16.08,4790000,65,0.2
4-00131-0036,"41 36 51 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,42,1930,42474,679584,16,2760000,65,4-00137-0013,"41 29 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,72700,1122870,15.45,4570000,63,0.2,4-00137-0020,"41 15 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,73197,1176753,16.08,4790000,65,0.2
4-00134-0045,"41 42 50 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,43,1940,45570,729120,16,2970000,65,4-00137-0013,"41 29 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,72700,1122870,15.45,4570000,63,0.15,4-00137-0020,"41 15 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,73197,1176753,16.08,4790000,65,0.15
4-00140-0040,"43 30 48 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,92,1927,79896,1271145,15.91,5170000,65,4-00137-0013,"41 29 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,72700,1122870,15.45,4570000,63,0.1,4-00137-0004,"41 41 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,106,1931,76630,1219183,15.91,4960000,65,0.1
4-00141-0015,"43 33 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,176,1932,140760,2238084,15.9,9100000,65,4-00137-0004,"41 41 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,106,1931,76630,1219183,15.91,4960000,65,0.1,4-00137-0013,"41 29 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,72700,1122870,15.45,4570000,63,0.1
4-00141-0024,"43 01 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,69,1942,58650,932535,15.9,3790000,65,4-00137-0013,"41 29 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,72700,1122870,15.45,4570000,63,0.1,4-00137-0004,"41 41 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,106,1931,76630,1219183,15.91,4960000,65,0.1
4-00156-0005,"41 15 45 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,320,1943,250000,3975000,15.9,16200000,65,4-00137-0013,"41 29 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,72700,1122870,15.45,4570000,63,0.05,4-00137-0004,"41 41 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,106,1931,76630,1219183,15.91,4960000,65,0.05
4-00157-0009,"41 25 44 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,52,1931,41508,502246,12.1,1770000,42.6,4-00184-0009,"41 29 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,50,1937,40800,483321,11.85,1700000,41.7,0.15,4-00184-0014,"41 19 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,49,1937,40800,557580,13.67,2100000,51,0.15
4-00157-0013,"41 15 44 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,71,1940,65748,795550,12.1,2800000,42.6,4-00184-0014,"41 19 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,49,1937,40800,557580,13.67,2100000,51,0.15,4-00184-0009,"41 29 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,50,1937,40800,483321,11.85,1700000,41.7,0.15
4-00157-0040,"44 15 43 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,73,1927,68700,833331,12.13,2940000,42.8,4-00184-0009,"41 29 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,50,1937,40800,483321,11.85,1700000,41.7,0.15,4-00184-0014,"41 19 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,49,1937,40800,557580,13.67,2100000,51,0.15
4-00158-0001,"41 41 43 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,94,1930,70590,856256,12.13,3020000,42.8,4-00184-0014,"41 19 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,49,1937,40800,557580,13.67,2100000,51,0.1,4-00184-0009,"41 29 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,50,1937,40800,483321,11.85,1700000,41.7,0.1
4-00159-0021,"41 08 43 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,61,1936,58926,936923,15.9,3810000,65,4-00184-0009,"41 29 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,50,1937,40800,483321,11.85,1700000,41.7,0.05,4-00184-0014,"41 19 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,49,1937,40800,557580,13.67,2100000,51,0.05
4-00162-0011,"43 25 43 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,60,1941,65820,1047196,15.91,4260000,65,4-00137-0004,"41 41 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,106,1931,76630,1219183,15.91,4960000,65,0.2,4-00137-0013,"41 29 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,72700,1122870,15.45,4570000,63,0.2
4-00162-0028,"43 10 44 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,48,1928,35340,562259,15.91,2290000,65,4-00184-0009,"41 29 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,50,1937,40800,483321,11.85,1700000,41.7,0.15,4-00184-0014,"41 19 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,49,1937,40800,557580,13.67,2100000,51,0.15
4-00162-0034,"43 30 44 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,60,1941,65280,1038604,15.91,4220000,65,4-00184-0014,"41 19 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,49,1937,40800,557580,13.67,2100000,51,0.15,4-00184-0009,"41 29 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,50,1937,40800,483321,11.85,1700000,41.7,0.15
4-00169-0029,"45 14 43 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,C6-WALK-UP,23,1929,18984,300516,15.83,1220000,64,4-00859-0001,"20 75 27 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,C9-WALK-UP,60,1947,45417,716762,15.78,2920000,64,2.7,4-05964-0001,"28 16
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,C1-WALK-UP,24,1950,14379,235796,16.4,959000,67,7
4-00169-0032,"45 20 43 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,C6-WALK-UP,23,1931,18984,299947,15.8,1220000,64,4-00860-0001,"20 65 26 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,C9-WALK-UP,60,1947,45417,716762,15.78,2920000,64,2.7,4-00859-0001,"20 75 27 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,C9-WALK-UP,60,1947,45417,716762,15.78,2920000,64,2.7
4-00170-0001,"47 37 45 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,93,1964,75024,880781,11.74,3100000,41.3,4-02104-0001,"98 41 QUEENS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",REGO PARK,D7-ELEVATOR,206,1952,204340,2347652,11.49,8280000,40.5,3.45,4-02319-0010,"47 50 59 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,D3-ELEVATOR,233,1970,239190,2297319,9.6,6490000,27.1,0.65
4-00175-0001,"42 05 48 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,54,1942,53400,801000,15,3180000,60,4-00163-0014,"43 23 42 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1942,61320,975601,15.91,3970000,65,0.3,4-00166-0006,"45 35 44 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,100,1931,79450,1193233,15.02,4730000,60,0.2
4-00177-0001,"43 10 50 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,493,1931,409538,4955409,12.1,17500000,42.7,4-00184-0009,"41 29 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,50,1937,40800,483321,11.85,1700000,41.7,0.5,4-00184-0014,"41 19 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,49,1937,40800,557580,13.67,2100000,51,0.5
4-00178-0025,"48 10 43 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,262,1937,235000,3736500,15.9,15200000,65,4-00137-0004,"41 41 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,106,1931,76630,1219183,15.91,4960000,65,0.55,4-00137-0013,"41 29 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,72700,1122870,15.45,4570000,63,0.55
4-00184-0001,"41 41 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,96,1936,74664,903434,12.1,3180000,42.6,4-00131-0013,"41 15 50 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,48,1931,43150,572903,13.28,2150000,49.8,0.45,4-00131-0025,"41 16 51 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,42,1931,43150,611615,14.17,2420000,56,0.45
4-00184-0037,"41 42 42 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,94,1931,74664,903434,12.1,3180000,42.6,4-00131-0013,"41 15 50 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,48,1931,43150,572903,13.28,2150000,49.8,0.45,4-00131-0025,"41 16 51 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,42,1931,43150,611615,14.17,2420000,56,0.45
4-00185-0027,"41 12 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,83,1941,79000,1256100,15.9,5110000,65,4-00137-0004,"41 41 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,106,1931,76630,1219183,15.91,4960000,65,0.3,4-00137-0013,"41 29 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,72700,1122870,15.45,4570000,63,0.3
4-00189-0025,"43 08 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,52,1937,53500,648955,12.13,2290000,42.8,4-00184-0009,"41 29 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,50,1937,40800,483321,11.85,1700000,41.7,0.1,4-00184-0014,"41 19 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,49,1937,40800,557580,13.67,2100000,51,0.1
4-00194-0023,"45 08 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,C6-WALK-UP,124,1922,121714,1923081,15.8,7820000,64,4-00860-0001,"20 65 26 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,C9-WALK-UP,60,1947,45417,716762,15.78,2920000,64,2.75,4-00859-0001,"20 75 27 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,C9-WALK-UP,60,1947,45417,716762,15.78,2920000,64,2.7
4-00196-0027,"41 12 47 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,48,1937,42232,511007,12.1,1800000,42.6,4-00184-0014,"41 19 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,49,1937,40800,557580,13.67,2100000,51,0.35,,,,,,,,,,,,
4-00196-0032,"47 20 42 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,59,1938,64890,785169,12.1,2770000,42.7,4-00184-0009,"41 29 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,50,1937,40800,483321,11.85,1700000,41.7,0.35,4-00184-0014,"41 19 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,49,1937,40800,557580,13.67,2100000,51,0.35
4-00198-0011,"47 39 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,54,1939,48000,580800,12.1,2050000,42.7,4-00184-0009,"41 29 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,50,1937,40800,483321,11.85,1700000,41.7,0.4,4-00184-0014,"41 19 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,49,1937,40800,557580,13.67,2100000,51,0.4
4-00198-0019,"47 25 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,54,1939,48000,580800,12.1,2050000,42.7,4-00184-0009,"41 29 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,50,1937,40800,483321,11.85,1700000,41.7,0.4,4-00184-0014,"41 19 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,49,1937,40800,557580,13.67,2100000,51,0.4
4-00202-0023,"48 21 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,60,1955,49660,600886,12.1,2120000,42.7,4-00184-0009,"41 29 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,50,1937,40800,483321,11.85,1700000,41.7,0.5,4-00184-0014,"41 19 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,49,1937,40800,557580,13.67,2100000,51,0.5
4-00206-0101,"39 55 GREENPOINT AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,C6-WALK-UP,17,1940,14000,221200,15.8,900000,64,4-00859-0001,"20 75 27 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,C9-WALK-UP,60,1947,45417,716762,15.78,2920000,64,2.95,4-00860-0001,"20 65 26 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,C9-WALK-UP,60,1947,45417,716762,15.78,2920000,64,3
4-00209-0025,"50 21 39 PLACE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,51,1961,29725,359672,12.1,1270000,42.7,4-00184-0009,"41 29 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,50,1937,40800,483321,11.85,1700000,41.7,0.65,4-00184-0014,"41 19 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,49,1937,40800,557580,13.67,2100000,51,0.65
4-00209-0042,"50 22 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,51,1961,29754,360023,12.1,1270000,42.7,4-00184-0009,"41 29 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,50,1937,40800,483321,11.85,1700000,41.7,0.65,4-00184-0014,"41 19 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,49,1937,40800,557580,13.67,2100000,51,0.65
4-00210-0022,"50 15 39 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,51,1960,38864,470254,12.1,1660000,42.7,4-00184-0009,"41 29 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,50,1937,40800,483321,11.85,1700000,41.7,0.65,4-00184-0014,"41 19 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,49,1937,40800,557580,13.67,2100000,51,0.65
4-00341-0001,"35 55 29 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,D4-ELEVATOR,61,1929,47000,515510,10.97,1820000,38.7,4-00341-0021,"35 03 29 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,D1-ELEVATOR,48,1940,35568,489250,13.76,1940000,55,0,4-00343-0024,"28 20 36 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,D1-ELEVATOR,72,1929,78660,745344,9.48,2460000,31.3,0.15
4-00528-0050,"33 43 14 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D4-ELEVATOR,364,1958,444115,4498885,10.13,15200000,34.2,4-00583-0011,"34 43 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D1-ELEVATOR,120,1964,103850,1255609,12.09,4430000,42.7,0.3,4-00581-0033,"33 43 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D1-ELEVATOR,73,1959,76956,1033754,13.43,3890000,51,0.3
4-00534-0015,"14 17 31 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D4-ELEVATOR,48,1914,28704,388652,13.54,1460000,51,4-00580-0030,"32 02 29 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D7-ELEVATOR,63,1931,48000,744498,15.51,3030000,63,0.4,4-00189-0014,"43 23 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,74,1930,52000,718819,13.82,2850000,55,1.65
4-00557-0003,"33 34 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D4-ELEVATOR,727,1950,563800,6697944,11.88,23600000,41.9,4-01567-0040,"92 01 LAMONT AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,98,1962,82500,930577,11.28,3280000,39.8,3.2,4-09236-0033,"120 07 85 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",KEW GARDENS,D1-ELEVATOR,57,1962,46692,510651,10.94,1800000,38.6,6.7
4-00569-0056,"31 14 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,C6-WALK-UP,59,1926,33138,548433,16.55,2230000,67,4-01299-0024,"40 07 67 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,C1-WALK-UP,35,1921,22410,349940,15.62,1420000,63,2.1,4-01307-0018,"41 01 67 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,C1-WALK-UP,21,1927,13672,226262,16.55,920000,67,2.2
4-00578-0020,"30 83 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,C6-WALK-UP,35,1928,27500,507375,18.45,2060000,75,4-01307-0018,"41 01 67 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,C1-WALK-UP,21,1927,13672,226262,16.55,920000,67,2.1,4-01342-0009,"43 05 65 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,C1-WALK-UP,42,1928,26468,423670,16.01,1720000,65,2.1
4-00578-0023,"25 06 30 DRIVE
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,C6-WALK-UP,30,1928,21500,352815,16.41,1430000,67,4-01307-0018,"41 01 67 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,C1-WALK-UP,21,1927,13672,226262,16.55,920000,67,2.1,4-01342-0009,"43 05 65 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,C1-WALK-UP,42,1928,26468,423670,16.01,1720000,65,2.1
4-00579-0018,"31 85 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D4-ELEVATOR,116,1960,92250,1166040,12.64,4380000,47.5,4-15501-0002,"14 56 BEACH CHANNEL DRIVE
Queens, NY
(40.749436300045204, -73.79729979984586)",FAR ROCKAWAY,D3-ELEVATOR,3724,1952,644035,8140602,12.64,30500000,47.4,14.1,4-12235-0022,"116 30
Queens, NY
(40.749436300045204, -73.79729979984586)",SO. JAMAICA-BAISLEY PARK,D3-ELEVATOR,231,1962,214496,2711229,12.64,10200000,47.6,9.2
4-00579-0042,"31 23 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D4-ELEVATOR,26,1971,16800,212352,12.64,798000,47.5,4-15501-0002,"14 56 BEACH CHANNEL DRIVE
Queens, NY
(40.749436300045204, -73.79729979984586)",FAR ROCKAWAY,D3-ELEVATOR,3724,1952,644035,8140602,12.64,30500000,47.4,14.1,4-12235-0022,"116 30
Queens, NY
(40.749436300045204, -73.79729979984586)",SO. JAMAICA-BAISLEY PARK,D3-ELEVATOR,231,1962,214496,2711229,12.64,10200000,47.6,9.2
4-00579-0055,"25 40 31 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D4-ELEVATOR,121,1939,100000,1354000,13.54,5090000,51,4-00580-0030,"32 02 29 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D7-ELEVATOR,63,1931,48000,744498,15.51,3030000,63,0.1,,,,,,,,,,,,
